word	COMPARE	EARLIER	LATER	delta_later
агентство	3.15	3.62	3.55	-0.07
археолог	3.69	3.74	3.8	0.06
богадельня	3.65	3.3	3.29	-0.01
больница	3.86	3.71	3.92	0.21
бюрократ	3.51	3.63	3.73	0.1
весна	3.58	3.55	3.6	0.05
вино	3.37	3.68	3.77	0.09
влажный	2.82	3.03	2.59	-0.44
войско	3.85	3.86	3.65	-0.21
вывеска	3.4	3.5	3.58	0.08
графиня	3.95	3.95	3.92	-0.03
декрет	3.31	3.62	3.41	-0.21
директор	3.7	3.68	3.62	-0.06
дождь	3.78	3.54	3.76	0.22
дума	2.25	2.38	2.3	-0.08
заведующий	3.31	3.02	3.38	0.36
заключенный	1.71	2.49	3.4	0.91
защитник	2.66	2.9	2.61	-0.29
знатный	2.82	3.02	2.78	-0.24
казенный	2.89	2.97	2.98	0.01
классный	2.41	3.02	2.76	-0.26
клиника	3.22	3.58	3.51	-0.07
комиссар	2.99	3.35	3.34	-0.01
мазь	2.87	3.44	3.13	-0.31
мама	3.69	3.6	3.79	0.19
машина	2.12	2.3	2.74	0.44
молодец	2.22	2.61	2.62	0.01
насаждение	2.48	2.11	2.78	0.67
неудачник	3.37	3.51	3.51	0.0
новичок	3.54	3.7	3.61	-0.09
ночлег	3.56	3.53	3.68	0.15
обвинитель	3.48	3.26	3.43	0.17
овес	3.66	3.72	3.43	-0.29
особа	2.95	2.79	3.3	0.51
отдел	2.55	2.13	2.74	0.61
отделение	2.09	2.09	2.18	0.09
отрывок	3.44	3.54	3.62	0.08
пакет	2.79	2.98	2.53	-0.45
палата	1.46	2.16	1.53	-0.63
передовой	2.56	2.59	2.46	-0.13
переулок	3.63	3.74	3.59	-0.15
пионер	1.86	2.77	2.64	-0.13
похищение	3.31	3.65	3.64	-0.01
правитель	3.38	3.38	3.6	0.22
привет	3.24	3.03	3.55	0.52
присутствие	3.16	2.89	3.01	0.12
прозвище	3.75	3.65	3.82	0.17
пружина	2.18	2.28	2.69	0.41
публика	3.53	3.56	3.62	0.06
свалка	1.9	3.09	2.34	-0.75
сволочь	3.26	3.41	3.43	0.02
секция	2.76	2.66	2.22	-0.44
серединный	2.33	2.21	2.11	-0.1
смотритель	3.23	3.35	3.46	0.11
собор	2.95	2.44	2.93	0.49
ссора	3.71	3.62	3.67	0.05
стиль	2.41	2.83	2.6	-0.23
тетка	3.37	3.27	3.06	-0.21
торжественный	2.94	3.0	2.93	-0.07
трибунал	2.98	2.8	3.37	0.57
тройка	2.5	3.33	1.43	-1.9
трубка	2.04	2.08	2.12	0.04
уклон	2.49	1.93	2.41	0.48
управа	3.18	3.32	2.94	-0.38
управление	1.66	2.07	2.18	0.11
участок	1.9	2.0	2.12	0.12
философ	3.52	3.5	3.58	0.08
червяк	1.92	2.48	1.9	-0.58
чиновник	3.77	3.79	3.72	-0.07
элемент	1.91	2.15	1.86	-0.29
юношество	3.51	3.04	3.25	0.21
