word	COMPARE	EARLIER	LATER	delta_later	frequency_presov/sov
агентство	3.15	3.62	3.55	-0.07	842/333
богадельня	3.65	3.3	3.29	-0.01	442/190
больница	3.86	3.71	3.92	0.21	3337/6597
весна	3.58	3.55	3.6	0.05	5729/10250
вино	3.37	3.68	3.77	0.09	6499/6919
вывеска	3.4	3.5	3.58	0.08	693/1258
декрет	3.31	3.62	3.41	-0.21	240/856
дождь	3.78	3.54	3.76	0.22	6273/10612
дума	2.25	2.38	2.3	-0.08	4454/2978
заключенный	1.71	2.49	3.4	0.91	28/93
защитник	2.66	2.9	2.61	-0.29	2334/2158
знатный	2.82	3.02	2.78	-0.24	3864/1201
казенный	2.89	2.97	2.98	0.01	4280/2580
классный	2.41	3.02	2.76	-0.26	917/1151
клиника	3.22	3.58	3.51	-0.07	446/1159
комиссар	2.99	3.35	3.34	-0.01	955/5586
мазь	2.87	3.44	3.13	-0.31	281/514
мама	3.69	3.6	3.79	0.19	3186/18470
машина	2.12	2.3	2.74	0.44	3866/32379
молодец	2.22	2.61	2.62	0.01	4306/3327
насаждение	2.48	2.11	2.78	0.67	134/394
отдел	2.55	2.13	2.74	0.61	1916/7946
отделение	2.09	2.09	2.18	0.09	5116/6521
отрывок	3.44	3.54	3.62	0.08	1282/1866
пакет	2.79	2.98	2.53	-0.45	1119/2412
палата	1.46	2.16	1.53	-0.63	5024/3997
передовой	2.56	2.59	2.46	-0.13	1689/3608
пионер	1.86	2.77	2.64	-0.13	177/1851
правитель	3.38	3.38	3.6	0.22	2114/1455
привет	3.24	3.03	3.55	0.52	745/1778
присутствие	3.16	2.89	3.01	0.12	7334/5456
пружина	2.18	2.28	2.69	0.41	685/1323
свалка	1.9	3.09	2.34	-0.75	331/796
сволочь	3.26	3.41	3.43	0.02	465/1679
секция	2.76	2.66	2.22	-0.44	118/1821
собор	2.95	2.44	2.93	0.49	4990/4227
стиль	2.41	2.83	2.6	-0.23	1407/5695
тетка	3.37	3.27	3.06	-0.21	3851/4177
трибунал	2.98	2.8	3.37	0.57	187/588
тройка	2.5	3.33	1.43	-1.9	1843/1967
трубка	2.04	2.08	2.12	0.04	3161/8616
уклон	2.49	1.93	2.41	0.48	95/1023
управа	3.18	3.32	2.94	-0.38	2146/641
управление	1.66	2.07	2.18	0.11	6050/8516
участок	1.9	2.0	2.12	0.12	2942/9590
червяк	1.92	2.48	1.9	-0.58	332/447
элемент	1.91	2.15	1.86	-0.29	4593/9672
юношество	3.51	3.04	3.25	0.21	572/261
