identifier1	identifier2	annotator	judgment	comment	lemma
агентство-0-12	агентство-1-12	annotator1	4		агентство
агентство-22-12	агентство-23-12	annotator1	4		агентство
агентство-72-12	агентство-73-12	annotator1	4		агентство
агентство-28-12	агентство-29-12	annotator1	4		агентство
агентство-74-12	агентство-75-12	annotator1	2		агентство
агентство-26-12	агентство-27-12	annotator1	1		агентство
агентство-24-12	агентство-25-12	annotator1	3		агентство
агентство-6-12	агентство-7-12	annotator1	4		агентство
агентство-62-12	агентство-63-12	annotator1	3		агентство
агентство-118-12	агентство-119-12	annotator1	4		агентство
агентство-2-12	агентство-3-12	annotator1	4		агентство
агентство-60-12	агентство-61-12	annotator1	4		агентство
агентство-64-12	агентство-65-12	annotator1	4		агентство
агентство-8-12	агентство-9-12	annotator1	3		агентство
агентство-14-12	агентство-15-12	annotator1	4		агентство
агентство-12-12	агентство-13-12	annotator1	2		агентство
агентство-16-12	агентство-17-12	annotator1	3		агентство
агентство-66-12	агентство-67-12	annotator1	1		агентство
агентство-18-12	агентство-19-12	annotator1	4		агентство
агентство-20-12	агентство-21-12	annotator1	4		агентство
агентство-116-12	агентство-117-12	annotator1	4		агентство
агентство-114-12	агентство-115-12	annotator1	4		агентство
агентство-106-12	агентство-107-12	annotator1	4		агентство
агентство-96-12	агентство-97-12	annotator1	4		агентство
агентство-94-12	агентство-95-12	annotator1	4		агентство
агентство-108-12	агентство-109-12	annotator1	3		агентство
агентство-92-12	агентство-93-12	annotator1	4		агентство
агентство-98-12	агентство-99-12	annotator1	4		агентство
агентство-110-12	агентство-111-12	annotator1	4		агентство
агентство-104-12	агентство-105-12	annotator1	3		агентство
агентство-102-12	агентство-103-12	annotator1	4		агентство
агентство-112-12	агентство-113-12	annotator1	4		агентство
агентство-100-12	агентство-101-12	annotator1	4		агентство
агентство-90-12	агентство-91-12	annotator1	4		агентство
агентство-68-12	агентство-69-12	annotator1	2		агентство
агентство-70-12	агентство-71-12	annotator1	4		агентство
агентство-10-12	агентство-11-12	annotator1	4		агентство
агентство-4-12	агентство-5-12	annotator1	2		агентство
агентство-30-12	агентство-31-12	annotator1	3		агентство
агентство-40-12	агентство-41-12	annotator1	1		агентство
агентство-44-12	агентство-45-12	annotator1	1		агентство
агентство-42-12	агентство-43-12	annotator1	4		агентство
агентство-80-12	агентство-81-12	annotator1	4		агентство
агентство-82-12	агентство-83-12	annotator1	4		агентство
агентство-38-12	агентство-39-12	annotator1	4		агентство
агентство-78-12	агентство-79-12	annotator1	1		агентство
агентство-32-12	агентство-33-12	annotator1	2		агентство
агентство-34-12	агентство-35-12	annotator1	4		агентство
агентство-36-12	агентство-37-12	annotator1	1		агентство
агентство-54-12	агентство-55-12	annotator1	4		агентство
агентство-56-12	агентство-57-12	annotator1	3		агентство
агентство-88-12	агентство-89-12	annotator1	4		агентство
агентство-58-12	агентство-59-12	annotator1	4		агентство
агентство-48-12	агентство-49-12	annotator1	3		агентство
агентство-50-12	агентство-51-12	annotator1	3		агентство
агентство-46-12	агентство-47-12	annotator1	4		агентство
агентство-52-12	агентство-53-12	annotator1	1		агентство
агентство-76-12	агентство-77-12	annotator1	4		агентство
агентство-84-12	агентство-85-12	annotator1	4		агентство
агентство-86-12	агентство-87-12	annotator1	4		агентство
агентство-14-12	агентство-15-12	annotator2	4		агентство
агентство-30-12	агентство-31-12	annotator2	2		агентство
агентство-102-12	агентство-103-12	annotator2	4		агентство
агентство-34-12	агентство-35-12	annotator2	4		агентство
агентство-104-12	агентство-105-12	annotator2	4		агентство
агентство-50-12	агентство-51-12	annotator2	4		агентство
агентство-92-12	агентство-93-12	annotator2	4		агентство
агентство-12-12	агентство-13-12	annotator2	4		агентство
агентство-100-12	агентство-101-12	annotator2	4		агентство
