lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
агентство	NOUN	1682-1916	1	агентство-0		Агентство Франс-Пресс сообщает.	0:9	0:31
агентство	NOUN	1918-1990	2	агентство-1		От "С.-Петербургского Телеграфного Агентства" Убийства, нападения, грабежи Тула, 9, IX.	35:44	0:87
агентство	NOUN	1682-1916	1	агентство-2		"Впервые в истории человечества" -- так начинаются телеграммы-"молнии", распространенные американскими информационными агентствами сразу же после сообщения ТАСС о выводе на орбиту вокруг Земли советского космического корабля "Восток-6", пилотируемого гражданкой СССР, первой женщиной-космонавтом в мире В.В.	119:130	0:307
агентство	NOUN	1918-1990	2	агентство-3		От "С.-Петербургского Телеграфного Агентства" Петербург, 9, I.	35:44	0:62
агентство	NOUN	1918-1990	2	агентство-4		-- А вы понаторели, Чезаре, -- неприязненно сказала Сандра, -- на службе в рекламном агентстве.	85:94	0:95
агентство	NOUN	1918-1990	2	агентство-5		Ко мне ломились в дом и в московские гостиничные номера корреспонденты, звонили из московских посольств в рязанскую школу, слали письменные запросы от агентств, даже с такими глупыми просьбами, как: оценить для западного читателя, насколько блестяще "разрешил" Хрущёв кубинский конфликт.	151:159	0:287
агентство	NOUN	1682-1916	1	агентство-6		-- Английский писатель Майкл Скэммелл в своем заявлении агентству Рейтер опровергает сообщение газеты "Советская Россия", обвинившей его в вывозе из СССР нелегальных материалов и к принадлежности находящейся в Западной Германии организации русских эмигрантов НТС.	56:65	0:263
агентство	NOUN	1918-1990	2	агентство-7		От "Петербургского агентства" Тегеран, 17 (30), VII.	19:28	0:52
агентство	NOUN	1682-1916	1	агентство-8		-- Я говорил, что путешественники всегда встретятся, -- весело усмехнулся ладакхский геолог, входя в агентство вместе со своим прежним спутником.	101:110	0:145
агентство	NOUN	1918-1990	2	агентство-9		От "С.-Петербургского Телеграфного Агентства" Петербург, 20, VIII. 19-го августа в 6 часов 15 минут пополудни, Их Величества с Августейшими Детьми отбыли на Императорской яхте "Штандарт" в финляндские шхеры.	35:44	0:207
агентство	NOUN	1682-1916	1	агентство-10		-Петербургского Телеграфного Агентства" Петербург, 17, XI.	29:38	0:58
агентство	NOUN	1682-1916	1	агентство-11		Русско-японское соглашение (от "С.-Петербургского агентства") Петербург, 28, VIII.	50:59	0:82
агентство	NOUN	1682-1916	1	агентство-12		4-го июня минувшего 1897 года в русских газетах появилась следующая телеграмма российского телеграфного агентства: "Договор о присоединении Гаванских островов к Соединенным Штатам подписан сегодня представителями обоих государств и внесен в сенат.	104:113	0:247
агентство	NOUN	1682-1916	1	агентство-13		Агентству рейтера сообщают из Тегерана, что экс-шах с семьей и приверженцами бежал в Тюмюштете.	0:9	0:95
агентство	NOUN	1918-1990	2	агентство-14		40 коп. принимается без ограничения всеми отделениями связи и агентствами Союзпечати Индекс Союзпечати 71095 А.П. Александров, Д.Б. Вольфберг.	62:73	0:142
агентство	NOUN	1918-1990	2	агентство-15		В тот же день Эстонское телеграфное агентство сообщило, что командующий морским флотом Эстонии и начальник штаба флота подали в отставку и перечислены в резерв.	36:45	0:160
