identifier1	identifier2	annotator	judgment	comment	lemma
археолог-38-12	археолог-39-12	annotator1	4		археолог
археолог-24-12	археолог-25-12	annotator1	4		археолог
археолог-14-12	археолог-15-12	annotator1	3		археолог
археолог-62-12	археолог-63-12	annotator1	4		археолог
археолог-4-12	археолог-5-12	annotator1	4		археолог
археолог-64-12	археолог-65-12	annotator1	4		археолог
археолог-0-12	археолог-1-12	annotator1	4		археолог
археолог-6-12	археолог-7-12	annotator1	4		археолог
археолог-12-12	археолог-13-12	annotator1	3		археолог
археолог-10-12	археолог-11-12	annotator1	4		археолог
археолог-66-12	археолог-67-12	annotator1	4		археолог
археолог-8-12	археолог-9-12	annotator1	4		археолог
археолог-68-12	археолог-69-12	annotator1	2		археолог
археолог-84-12	археолог-85-12	annotator1	3		археолог
археолог-50-12	археолог-51-12	annotator1	3		археолог
археолог-48-12	археолог-49-12	annotator1	4		археолог
археолог-86-12	археолог-87-12	annotator1	4		археолог
археолог-46-12	археолог-47-12	annotator1	4		археолог
археолог-52-12	археолог-53-12	annotator1	4		археолог
археолог-30-12	археолог-31-12	annotator1	4		археолог
археолог-90-12	археолог-91-12	annotator1	4		археолог
археолог-74-12	археолог-75-12	annotator1	4		археолог
археолог-26-12	археолог-27-12	annotator1	4		археолог
археолог-28-12	археолог-29-12	annotator1	4		археолог
археолог-116-12	археолог-117-12	annotator1	4		археолог
археолог-114-12	археолог-115-12	annotator1	4		археолог
археолог-106-12	археолог-107-12	annotator1	4		археолог
археолог-96-12	археолог-97-12	annotator1	4		археолог
археолог-94-12	археолог-95-12	annotator1	3		археолог
археолог-108-12	археолог-109-12	annotator1	4		археолог
археолог-92-12	археолог-93-12	annotator1	4		археолог
археолог-98-12	археолог-99-12	annotator1	3		археолог
археолог-104-12	археолог-105-12	annotator1	3		археолог
археолог-58-12	археолог-59-12	annotator1	4		археолог
археолог-110-12	археолог-111-12	annotator1	4		археолог
археолог-100-12	археолог-101-12	annotator1	4		археолог
