lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
археолог	NOUN	1918-1990	2	археолог-0		-- В кожанке -- секретарь обкома, а толстый -- по вашей части: ученый археолог, биолог или еще что-то.	70:78	0:102
археолог	NOUN	1918-1990	2	археолог-1		Первое письменное описание столь уникального образования сделал выдающийся русский историк, археолог и писатель Виктор Тепляков.	92:100	0:128
археолог	NOUN	1682-1916	1	археолог-2		-- Вы гости, а я скромный археолог.	26:34	0:35
археолог	NOUN	1918-1990	2	археолог-3		Нельзя же, чтобы в обществе, особенно отличающемся стремлением к единству материальной и духовной централизации, воспитание и жизнь шли рядом, не заботясь друг о друге, как в азиатских городах турка, данный в провожатые немецкому археологу.	230:239	0:240
археолог	NOUN	1918-1990	2	археолог-4		-- Может, нас уже хватились, -- заворочался в сумке археолог.	52:60	0:61
археолог	NOUN	1918-1990	2	археолог-5		Район Монголии и Центральной Гоби ожидает исследователей и археологов.	59:69	0:70
археолог	NOUN	1682-1916	1	археолог-6		-- Следите за печатными трудами археологов.	32:42	0:43
археолог	NOUN	1918-1990	2	археолог-7		И когда молодое поколение Скорбных-Голованов собралось, то археолог-библиограф, указывая Каширину на невинных детей, возопил: -- Вот! уже шесть человек налицо, а мы с женой еще молоды!	59:77	0:184
археолог	NOUN	1918-1990	2	археолог-8		-- Совершенно верно: под полом собора всегда было абсолютно сухо, -- начиная раздражаться, ответил археолог.	99:107	0:108
археолог	NOUN	1918-1990	2	археолог-9		В первый раз археолог разглядел его внешность.	13:21	0:46
археолог	NOUN	1918-1990	2	археолог-10		Археолог, словно нехотя, рассказал нам, что недавно стали копать тут яму для телефонного столба.	0:8	0:96
археолог	NOUN	1918-1990	2	археолог-11		А вопросы-то так ли уж и сложны Вот они: "Почему маркизу де Сапукахи письмо было переслано по почте, а не с посыльным, как это было принято у богатых людей южноамериканских стран в XIX веке Почему сеньор да Коста никогда так и не встретился с ним, хотя не мог не знать из газет о прямой заинтересованности самого императора Почему после первого весьма вежливого письма да Коста больше никогда не давал о себе знать Почему его конверт был помечен столь неопределенным обратным адресом Почему не удается взглянуть на оригинал ни одному ученому вот уже сто лет И почему нет ни одного квалифицированного отзыва специалистов по древним языкам о такой немаловажной детали, как грамотность текста с точки зрения канонов финикийского языка" Недавно некоторые энтузиасты решения загадки Бразильского камня обратились за разъяснением "финикийской проблемы" к консилиуму криминалистов, психологов и археологов.	888:898	0:899
археолог	NOUN	1682-1916	1	археолог-12		Археолог откинулся в кресле, но Гирин остался в прежней, окаменелой позе.	0:8	0:73
археолог	NOUN	1918-1990	2	археолог-13		Известный археолог наш архимандрит Макарий при содействии П. Ив.	10:18	0:64
археолог	NOUN	1918-1990	2	археолог-14		Археолог поднял череп и направил струю света в пустые глазницы.	0:8	0:63
археолог	NOUN	1918-1990	2	археолог-15		Интересно, что сделано в течение минувшей недели нашими археологами Если завтра выедем вовремя, ранним утром, то к месту прибудем в наиболее интересный момент.	56:67	0:159
археолог	NOUN	1918-1990	2	археолог-16		Археолог поднялся с легкостью спортсмена, медленно закрыл коробку с сигаретами, постучав квадратным концом пальца по ее крышке.	0:8	0:127
археолог	NOUN	1918-1990	2	археолог-17		-- А вы и есть археологи -- Мы из исторического кружка, -- призналась вторая, но первая с энергией оскорбленной рыбачки прервала ее: -- А ваше какое дело Читали -- так не рассаживайтесь тут, нашелся -- грабить ценности!	15:24	0:219
археолог	NOUN	1918-1990	2	археолог-18		Археолог уставился на Гирина, глубоко и медленно вдыхая воздух через раздутые ноздри.	0:8	0:85
археолог	NOUN	1918-1990	2	археолог-19		Пусть археологи буква за буквой расшифровывают старые камни, занесенные прахом веков, и постепенно восстанавливают сложную и яркую мозаику истории: их работа еще долго не даст тех обобщений, которые станут доступны профанам.	6:15	0:224
археолог	NOUN	1918-1990	2	археолог-20		Археологи Италии в гротах некоторых пещер находят терракотовые вазы, которым более двух тысяч лет.	0:9	0:98
археолог	NOUN	1918-1990	2	археолог-21		Но профессор Людерс чувствовал себя здесь великолепно, как ученый археолог в любимом музее древностей.	66:74	0:102
археолог	NOUN	1682-1916	1	археолог-22		Археологи обнаружили керамические обломки, они искусно украшены вдавленными орнаментами.	0:9	0:88
археолог	NOUN	1918-1990	2	археолог-23		Не знаю наверно, а кажется, ему первому пришла в голову догадка, что царя Менелая прозвали этим именем, потому что он со всеми ругался и что ему часто говорили: "Мене лай!" Несмотря, однако ж, на эту странную славяноманию, он человек истинно ученый и, конечно, один из первых русских археологов нашего времени.	284:294	0:310
археолог	NOUN	1682-1916	1	археолог-24		А исследования археологов доказали, что аланы -- предки современных осетин -- это сарматское племя.	15:25	0:99
археолог	NOUN	1918-1990	2	археолог-25		Чириако был первым археологом.	19:29	0:30
археолог	NOUN	1682-1916	1	археолог-26		А пока наш новый знакомый осторожно возглавил осмотр дворца, обратив наше внимание на детали его убранства и сопроводив рассказ пояснениями, которые мог бы сделать именно археолог: по словам Браниште, в самом рисунке металлических решеток, светильников можно было отыскать детали, не чуждые орнаменту, бытовавшему на Балканах в средние, а быть может, не только в средние века.	171:179	0:376
археолог	NOUN	1918-1990	2	археолог-27		В 1836 г. один купеческий сын из города Спаска, по имени Дмитрий Тихомиров, молодой ревностный археолог производил целое лето раскопки на Старо-Рязанском городище, и снес один из двух холмов, который, по преданию, заключал в себе остатки собора.	95:103	0:245
археолог	NOUN	1682-1916	1	археолог-28		Алиса сразу вспомнила, зачем ее разыскивает главный археолог.	52:60	0:61
археолог	NOUN	1918-1990	2	археолог-29		Этот доктор и археолог, занимавшийся некромантией и вызыванием духов, оставил после своей смерти рукопись, которая после революции была найдена генеральным секретарем парижской коммуны, Francois de Metz.	14:22	0:203
археолог	NOUN	1682-1916	1	археолог-30		Антон Павлович трунил надо мною, называл меня археологом и, как местный абориген, уверял меня, что сердце дебелой француженки занято и что для меня в нем места уже не найдется даже и в том случае, если бы я выпил и съел весь ее буфет.	46:56	0:234
археолог	NOUN	1682-1916	1	археолог-31		В газетах то и дело читаем, что то там, то сям устраиваются съезды и конгрессы; был съезд археологов, съезд естествоиспытателей, были железнодорожные съезды, наконец, недавно был статистический конгресс, -- так чем устраивать в генеральшиной квартире просто пирушку, не лучше ли мне устроить "съезд петербургских лавочных приказчиков" В сущности, это будет та же пирушка, только по новой моде, по-современному.	90:100	0:410
археолог	NOUN	1682-1916	1	археолог-32		Благо, за один раз познакомлюсь с знаменитым археологом и своими глазами увижу сокровища искусства, которые я знал понаслышке и из книг или из копий: в Лувре увижу Венеру Милосскую, Диану Версальскую, "Пленников" Микель-Анджело, фонтенблоскую Диану Бенвенуто Челлини, а в Историческом музее Клюньи -- золотые короны вестготских царей, алтари и церковную утварь романского и готического стилей, средневековые одежды, старинные ковры с затейливыми изображениями, майолики с изящными рисунками Рафаэля и его учеников и многих других.	45:55	0:530
археолог	NOUN	1682-1916	1	археолог-33		Как только о находке узнали киевские археологи, тотчас же на место выехали специалисты для охраны находки и изучения ее.	37:46	0:120
археолог	NOUN	1682-1916	1	археолог-34		В те годы в Восточном Казахстане вел раскопки ленинградский археолог Сергей Сергеевич Черников.	60:68	0:95
археолог	NOUN	1918-1990	2	археолог-35		Пользующееся широкой известностью, составляющее крупную ценность собрание древних книг, актов, папирусов и других документов скончавшегося в Ярославле известного археолога Вахрамеева завещано им московскому Историческому музею. неизвестный.	162:171	0:240
археолог	NOUN	1682-1916	1	археолог-36		Всему есть местные причины, до которых археологу не трудно добраться, по молодости края.	39:48	0:88
археолог	NOUN	1682-1916	1	археолог-37		Позднйше археологи съ большею вроятностю относили его къ началу XVII ст.	9:18	0:72
археолог	NOUN	1682-1916	1	археолог-38		Вскоре после моего отъезда археологи обнаружили верх помещения и самую камеру и, пользуясь хорошими (тремя) днями, энергично работали; все мои спутники помогали вовсю.	27:36	0:167
археолог	NOUN	1918-1990	2	археолог-39		Недалеко от берегов Сетуни и сделана находка, которая, несомненно, заинтересует археологов.	80:90	0:91
