identifier1	identifier2	annotator	judgment	comment	lemma
богадельня-0-12	богадельня-1-12	annotator1	4		богадельня
богадельня-72-12	богадельня-73-12	annotator1	2		богадельня
богадельня-50-12	богадельня-51-12	annotator1	4		богадельня
богадельня-104-12	богадельня-105-12	annotator1	3		богадельня
богадельня-74-12	богадельня-75-12	annotator1	4		богадельня
богадельня-68-12	богадельня-69-12	annotator1	4		богадельня
богадельня-34-12	богадельня-35-12	annotator1	3		богадельня
богадельня-36-12	богадельня-37-12	annotator1	4		богадельня
богадельня-102-12	богадельня-103-12	annotator1	4		богадельня
богадельня-100-12	богадельня-101-12	annotator1	4		богадельня
богадельня-62-12	богадельня-63-12	annotator1	4		богадельня
богадельня-32-12	богадельня-33-12	annotator1	3		богадельня
богадельня-98-12	богадельня-99-12	annotator1	4		богадельня
богадельня-64-12	богадельня-65-12	annotator1	4		богадельня
богадельня-8-12	богадельня-9-12	annotator1	3		богадельня
богадельня-30-12	богадельня-31-12	annotator1	2		богадельня
богадельня-66-12	богадельня-67-12	annotator1	4		богадельня
богадельня-92-12	богадельня-93-12	annotator1	4		богадельня
богадельня-48-12	богадельня-49-12	annotator1	4		богадельня
богадельня-118-12	богадельня-119-12	annotator1	4		богадельня
богадельня-56-12	богадельня-57-12	annotator1	4		богадельня
богадельня-116-12	богадельня-117-12	annotator1	4		богадельня
богадельня-108-12	богадельня-109-12	annotator1	4		богадельня
богадельня-114-12	богадельня-115-12	annotator1	4		богадельня
богадельня-110-12	богадельня-111-12	annotator1	4		богадельня
богадельня-70-12	богадельня-71-12	annotator1	4		богадельня
богадельня-106-12	богадельня-107-12	annotator1	4		богадельня
богадельня-46-12	богадельня-47-12	annotator1	4		богадельня
богадельня-54-12	богадельня-55-12	annotator1	3		богадельня
богадельня-112-12	богадельня-113-12	annotator1	3		богадельня
богадельня-96-12	богадельня-97-12	annotator1	3		богадельня
богадельня-90-12	богадельня-91-12	annotator1	4		богадельня
богадельня-94-12	богадельня-95-12	annotator1	4		богадельня
богадельня-52-12	богадельня-53-12	annotator1	4		богадельня
богадельня-20-12	богадельня-21-12	annotator1	2		богадельня
богадельня-58-12	богадельня-59-12	annotator1	4		богадельня
богадельня-60-12	богадельня-61-12	annotator1	3		богадельня
богадельня-78-12	богадельня-79-12	annotator1	4		богадельня
богадельня-40-12	богадельня-41-12	annotator1	4		богадельня
богадельня-42-12	богадельня-43-12	annotator1	3		богадельня
богадельня-12-12	богадельня-13-12	annotator1	2		богадельня
богадельня-6-12	богадельня-7-12	annotator1	3		богадельня
богадельня-28-12	богадельня-29-12	annotator1	3		богадельня
богадельня-24-12	богадельня-25-12	annotator1	1		богадельня
богадельня-86-12	богадельня-87-12	annotator1	4		богадельня
богадельня-22-12	богадельня-23-12	annotator1	4		богадельня
богадельня-88-12	богадельня-89-12	annotator1	4		богадельня
богадельня-26-12	богадельня-27-12	annotator1	4		богадельня
богадельня-44-12	богадельня-45-12	annotator1	3		богадельня
богадельня-80-12	богадельня-81-12	annotator1	4		богадельня
богадельня-16-12	богадельня-17-12	annotator1	4		богадельня
богадельня-84-12	богадельня-85-12	annotator1	3		богадельня
богадельня-38-12	богадельня-39-12	annotator1	4		богадельня
богадельня-4-12	богадельня-5-12	annotator1	4		богадельня
богадельня-2-12	богадельня-3-12	annotator1	3		богадельня
богадельня-82-12	богадельня-83-12	annotator1	3		богадельня
богадельня-10-12	богадельня-11-12	annotator1	3		богадельня
