lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
богадельня	NOUN	1682-1916	1	богадельня-0		-- Да куда же я пойду! ну, говори, дура, куда я денусь-то! -- тосковала Прасковья Павловна, -- в богадельню меня не возьмут: я не мещанка! в услужение идти -- сил моих нету! дрова колоть -- так я и топора в руки взять не умею!	97:107	0:226
богадельня	NOUN	1682-1916	1	богадельня-1		Богадельни, больницы, приюты для сирот и подкидышей, бесспорно, всегда и везде заслуживают названия истинно благотворительных учреждений; но о "стипендиях" и других педагогических мероприятиях и жертвах нельзя сказать того же без оговорки.	0:10	0:239
богадельня	NOUN	1682-1916	1	богадельня-2		-- Нет, Зиночка, не в богадельню, а в Дом ветеранов революции!	22:32	0:62
богадельня	NOUN	1918-1990	2	богадельня-3		Разрешения этого пока не последовало, а деньги, в размере 3000 р., получены из думы, под расписку купца Брадецкого, по уполномочию от общества, на содержание богадельни.	158:168	0:169
богадельня	NOUN	1918-1990	2	богадельня-4		-- Этот сумасбродный филантроп, которому золото бросилось в голову, как молоко кормилице Да, конечно, что Я могу сделать Еще один университет в Чикаго Еще богадельню в Сан-Франциско Еще одну гуманную исправительную тюрьму в Нью-Йорке -- Последнее было бы истинным благодеянием для человечества.	155:165	0:294
богадельня	NOUN	1918-1990	2	богадельня-5		К бульвару, у богадельни, туда же, куда направлялся доктор, от мясных лавок, от Репьевки, бежали с засученными рукавами в одних подштанниках отдельные хлыновцы.	14:24	0:160
богадельня	NOUN	1682-1916	1	богадельня-6		-- Я вам еще готов дать пятьдесят рублей на вашу богадельню, если вы мне докажете, что у Кишенского был источник, из которого он хватил капитал, на который бы мог так развернуться.	49:59	0:180
богадельня	NOUN	1682-1916	1	богадельня-7		По указу царя произвели в Москве разборку нищих и убогих, питавшихся подаяниями, и действительно беспомощных поместили на казенное содержание в двух устроенных для того богадельнях, а здоровых определили на разные работы.	169:180	0:221
богадельня	NOUN	1682-1916	1	богадельня-8		Богадельня, или исправительный дом, ночлежка.	0:10	0:45
богадельня	NOUN	1918-1990	2	богадельня-9		Настроит богаделен, ещё церковь выстроит, замостит и выровняет улицы.	9:18	0:69
богадельня	NOUN	1682-1916	1	богадельня-10		Богадельня -- царство забвения -- удел актеров, а не писателей.	0:10	0:63
богадельня	NOUN	1918-1990	2	богадельня-11		Газета не богадельня, не странно-приимный дом.	10:20	0:46
богадельня	NOUN	1918-1990	2	богадельня-12		А не можем -- будем писать заявление в богадельню.	39:49	0:50
