lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
больница	NOUN	1682-1916	1	больница-0		(Вместо нее Анну Андреевну сопровождала в Италию Ирина Пунина.) 13 октября 1964 г. Анна Андреевна пишет ей в больницу из Комарова: "Нина, наверное, мне не надо говорить Вам, что я все время с Вами, я так хорошо себе представляю четырехместную палату, обход врачей, меряние температуры и т.д. Странно мне только, что там не я, а Вы.	109:117	0:331
больница	NOUN	1918-1990	2	больница-1		А в большом портовом городе, -- ну-ка, кто поручится, что привозная проститутка, два месяца спустя по приезде, не очутится уже в больнице Учтите характер рынка, цены и риск и увидите, что 3000 франков -- сумма, которую, поклонившись, берут.	129:137	0:240
больница	NOUN	1682-1916	1	больница-2		-- А моя сестра заболела холерой, а попав в больницу, заразилась тифом.	44:52	0:71
больница	NOUN	1682-1916	1	больница-3		Больница прекрасно оборудована, условия службы: трехтысячное содержание, хорошая квартира -- дом особняк, отопление, обстановка и заведывание больницей, имеющей годовым бюджетом 16-18 тысяч р. Есть второй врач-терапевт.	0:8	0:219
больница	NOUN	1918-1990	2	больница-4		-- Но если все будут, подобно вам, только по своим кельям, кто же будет двигать и устраивать общую жизнь -- О какой общей жизни вы говорите -- Той, которой мы пользуемся: производство, торговля, жилища, больницы, школы, почта, войско и мало ли еще что.	203:211	0:252
больница	NOUN	1918-1990	2	больница-5		Бывший в то время городским головою Н.А. Алексеев, отличавшийся особой деятельностью и талантливостью, решил добиться постройки психиатрической больницы.	144:152	0:153
больница	NOUN	1918-1990	2	больница-6		. Некогда, воротясь из Парижа, усердно показывал он друзьям привезенные жилеты и фраки и давал дамам обнюхивать свою голову, умащенную модной помадой; с тою же приятностью показал он Державину разоренный Кремль и Голицынскую больницу.	225:233	0:234
больница	NOUN	1918-1990	2	больница-7		Ирина Михайловна тогда уже заведовала терапевтическим отделением крупной инфекционной больницы.	86:94	0:95
больница	NOUN	1682-1916	1	больница-8		6) Больницу иметь одну в городе, ту же, которая и в настоящее время существует, переименовав её из городской в земскую.	3:11	0:119
больница	NOUN	1682-1916	1	больница-9		Старший сын его Фёдор служит на заводе в старших механиках и, как говорят про него мужики, далеко в гору пошел, так что до него теперь рукой не достанешь; жена Фёдора Софья, некрасивая и болезненная баба, живет дома при свёкре, всё плачет и каждое воскресенье ездит в больницу лечиться.	268:276	0:286
больница	NOUN	1918-1990	2	больница-10		Больница отказывается его дальше держать, и я хочу завтра перевезти Велимира к себе.	0:8	0:84
больница	NOUN	1918-1990	2	больница-11		В больнице теперь кормят, и я отдала Миму туда.	2:10	0:47
больница	NOUN	1918-1990	2	больница-12		Больница переполнена.	0:8	0:21
больница	NOUN	1918-1990	2	больница-13		Но Софья Александровна обратилась к Манухину, и тот, имевший какие-то чрезвычайно сильные связи, добился перевода арестанта в свою больницу.	131:139	0:140
больница	NOUN	1682-1916	1	больница-14		А вы чего лежите Э-эх, в ваше время меня не то что в больницу -- домой не затянуть было!	53:61	0:88
больница	NOUN	1918-1990	2	больница-15		Кроме школ он устроил у себя специальную больницу для сифилиса, который, как известно, составляет у нас в иных местностях язву населения по деревням, передаваясь наследственно от одного поколения другому.	41:49	0:204
больница	NOUN	1918-1990	2	больница-16		Была у Туси в больнице.	14:22	0:23
больница	NOUN	1918-1990	2	больница-17		Вечером, когда Антон пришел из больницы, я изображала все это ему и Юле в лицах.	31:39	0:80
больница	NOUN	1918-1990	2	больница-18		В больнице было как-то холодно и непривычно пахло.	2:10	0:50
больница	NOUN	1918-1990	2	больница-19		В Воронеже, когда мы жили у "агента", жарившего мышей, Рудаков заболел скарлатиной и в больнице познакомился с "барышнями", которых отчаянно от нас скрывал.	87:95	0:156
больница	NOUN	1918-1990	2	больница-20		В больницу поступила в тяжелом состоянии: потеряв двадцать килограммов, она превратилась в скелет, обтянутый кожей.	2:10	0:115
больница	NOUN	1918-1990	2	больница-21		В ноябре 1968 года в Свердловске, куда я был командирован "Комсомольской правдой", меня вдруг догнал первый инфаркт и на месяц уложил в местную больницу.	144:152	0:153
больница	NOUN	1682-1916	1	больница-22		В Рыковском есть школа, телеграф, больница и метеорологическая станция имени М.Н.	34:42	0:81
больница	NOUN	1682-1916	1	больница-23		Как испуган "беглец" Пашка первою смертью, которую он увидел на соседней койке в больнице; как бежал он через палату, где "лежали и сидели на кроватях чудовища с длинными волосами и со старушечьими лицами"; как призывал он свою "мамку"!	81:89	0:236
больница	NOUN	1918-1990	2	больница-24		В городской больнице имелся лишний хирургический набор, так называемый "большой полковой".	12:20	0:90
больница	NOUN	1918-1990	2	больница-25		Сразу же позвонил к художнику и узнал, что тот все еще находится в больнице.	67:75	0:76
больница	NOUN	1918-1990	2	больница-26		В июле больную поместили в Калужскую психиатрическую больницу, где она не могла оставаться потому, что там было много беспокойных больных и больных с ранами.	53:61	0:157
больница	NOUN	1918-1990	2	больница-27		Сегодня Ляльку выписывают из больницы.	29:37	0:38
больница	NOUN	1682-1916	1	больница-28		В свое время они оказались нужными при организации больниц, гаражей, подстанций и это спасло их от доходиловки общих работ.	51:58	0:123
больница	NOUN	1918-1990	2	больница-29		Сей будучи за болзню отъ полевой службы уволенъ въ самое то время изъ Молдави прибывъ, и когда никто добровольно не хотлъ въ опасную больницу пойти, по собственномужеланю, будучи еще и самъ въ слабомъ здоровьи, изъ усердя и ревности къ отечеству, принялъ на себя пользоване язвенныхъ, и всю притомъ сопряженную опасность.	133:141	0:321
больница	NOUN	1682-1916	1	больница-30		В среду 15-го января, в женском отделении больницы Александра III, больным в присутствии доктора Толоконникова, демонстрировали граммофон-монарх, безвозмездно доставленный компанией "Граммофон".	42:50	0:194
больница	NOUN	1682-1916	1	больница-31		Полиция поручила заведующему городской больницей врачу вскрыть труп 14-летней девочки, умершей в земской больнице, -- согласно диагнозу последней, -- от желудочной болезни.	39:48	0:172
больница	NOUN	1682-1916	1	больница-32		Деток, двух сынков, Он, Создатель, раньше к Себе отозвал; осталась я аки перст и задумала это для Господа потрудиться -- по сиделкам за больными пошла -- княгинюшка тут одна благодетельница в больницу меня определила.	192:200	0:217
больница	NOUN	1682-1916	1	больница-33		В свое время эта комиссия предъявила свой отчет, но оказалось, что в этом отчете сведения о Лондонской гомеопатической больнице были совершенно выпущены, несмотря на то, что они были доставлены комиссии ее же инспектором, доктором Маклоглином.	119:127	0:243
больница	NOUN	1682-1916	1	больница-34		До вечера они объехали, обегали десяток больниц, дважды возвращались к железному кулачку замка на двери кухни Хрисанфа.	40:47	0:119
больница	NOUN	1918-1990	2	больница-35		Объяснивши министру безнадежное положение моего запасного капитала, я заблаговременно заручился разрешением обратить его на сельскую больницу.	133:141	0:142
больница	NOUN	1918-1990	2	больница-36		Его не только не взяли в больницу, но и врач долго не шла.	25:33	0:58
больница	NOUN	1918-1990	2	больница-37		За стенкой ходил, кашлял и стучал палкой об пол молодой тогда еще дед Егор Семенович, главный врач сосновской больницы, в маминой комнате мастерил птичьи клетки из ивовых прутьев отчим Василий Юрьевич, мама куталась в пуховый платок, хотя в доме было очень тепло, и было приятно слушать, как завывает за окном февральская метель.	110:118	0:329
больница	NOUN	1682-1916	1	больница-38		Его отвезли в Шереметевскую больницу (сейчас Институт имени Склифосовского).	28:36	0:76
больница	NOUN	1918-1990	2	больница-39		Живых везли в больницу, мертвых -- в котловину, возле бани.	14:22	0:59
больница	NOUN	1682-1916	1	больница-40		Запрёг тятенька Удалого, положил старушку на телегу и повез в земскую больницу, от нас от линии в сторону пятнадцать верст.	70:78	0:123
больница	NOUN	1918-1990	2	больница-41		Скончался гласный думы Петин, завещавший городу все свое состояние -- около 150 000 руб. -- с тем, чтобы этот капитал был обращен на устройство городской больницы.	154:162	0:163
больница	NOUN	1918-1990	2	больница-42		Зато помнится другое: как шли непрерывно (очередь, что ли, установили) наши рабочие ко мне в больницу, когда случилась со мной беда.	93:101	0:132
больница	NOUN	1918-1990	2	больница-43		Когда его хотели свезти в больницу, он сначала посмотрел на свою старуху Аксинью, как бы плохо понимая, потом вдруг понял и молча показал рукой на лавку -- под святые.	26:34	0:167
больница	NOUN	1682-1916	1	больница-44		Здесь скажем: горилла жила трое суток еще, но без сознанья была; проживала в тюремной больнице она -- вне себя, неопознанная!	86:94	0:125
больница	NOUN	1918-1990	2	больница-45		Больница, построенная на поцелуи В городе Салеме, штата Огайо (Сев.	0:8	0:67
больница	NOUN	1682-1916	1	больница-46		И когда нашли, что она здорова, выписали ее из больницы и отправили к отцу.	47:55	0:75
больница	NOUN	1682-1916	1	больница-47		Недавно девушка эта стала жаловаться на боли в желудке, который приняли такой характер, что пришлось отправить ее в больницу.	116:124	0:125
больница	NOUN	1682-1916	1	больница-48		Из тех, кто работает в этом цехе, некоторые ежегодно попадают в больницу с одним и тем же диагнозом -- отравление хлором.	64:72	0:121
больница	NOUN	1918-1990	2	больница-49		Ребята были славные, друг дружку не выдавали; дерка была нипочем, можно в больницу уйти; только теперь струсили: а если выгонят Ну, и не сказали-таки.	74:82	0:150
больница	NOUN	1682-1916	1	больница-50		Информацию подобного рода легче осуществить, чем построить бронированные палаты в больницах, госпиталях и клиниках.	82:91	0:115
больница	NOUN	1918-1990	2	больница-51		Слезами облил я эту святую записку и, не доверяя ее карману, сжал в кулаке и побежал в больницу.	87:95	0:96
больница	NOUN	1682-1916	1	больница-52		Костя, седой и редковолосый, со страдальческим недоумением в глазах, Павел с красненькими от водки глазами, неприятный, замученная Нюра ("мы уж давно не едим и не пьем"), Надя, беременная, непрерывно плачущая по бабушке, забивалась ото всех то в один, то в другой угол, Маруся в стареньком тесном черном платье, сама вышла из больницы "на это время".	326:334	0:350
больница	NOUN	1918-1990	2	больница-53		А то выдавали за достоверное, что каждое утро и вечер во все квартиры будет являться доктор, чтобы осматривать всех живущих; если кто и здоров, но доктору покажется больным, то его сейчас же посадят в закрытую фуру и увезут в больницу под конвоем.	226:234	0:247
больница	NOUN	1918-1990	2	больница-54		Мира, д. 22, кв. 31, но находится она в настоящее время в больнице с тяжелым и, как она сообщает, безнадежным заболеванием.	58:66	0:123
больница	NOUN	1918-1990	2	больница-55		Папа никогда не мог простить Керенскому, что во время его краткого царения богатые "отцы города" из скупости закрыли общественную больницу.	130:138	0:139
больница	NOUN	1682-1916	1	больница-56		Накануне, в субботу, в больнице у Миши.	23:31	0:39
больница	NOUN	1918-1990	2	больница-57		Судью разбивает паралич, и его отвозят в больницу.	41:49	0:50
больница	NOUN	1918-1990	2	больница-58		Наша больница имеет большое дифтерийное отделение.	5:13	0:50
больница	NOUN	1918-1990	2	больница-59		Это довольно специфическое вещество, скажу прямо, встречается нам не каждый день, и поэтому не составляло особого труда выйти на главврача шестьдесят второй больницы, откуда этот самый меркамин и был заимствован.	157:165	0:212
больница	NOUN	1682-1916	1	больница-60		Не надейся на больницу и лекарства, надейся на себя.	14:22	0:52
больница	NOUN	1918-1990	2	больница-61		Лекция предназначалась для усиления фонда на устройство библиотечек при больницах.	72:81	0:82
больница	NOUN	1682-1916	1	больница-62		Ну, полетел, разыскал Лешкин самолет, взял больного, отвез в больницу.	61:69	0:70
больница	NOUN	1918-1990	2	больница-63		А ежели в больницу, так тут и смерть моя!	10:18	0:41
больница	NOUN	1682-1916	1	больница-64		Обширный материал Илленауской больницы, огромное оживление в среде ее медицинских работников (куда входили Зандт, Рейх, Гассе, Кирн, Гудден, Крафт-Эбинг), а также учение Мореля, бывшее в фокусе всеобщего внимания, создали в высшей степени благоприятную атмосферу для научной работы, в результате чего из Илленау вышло много психиатрических исследований, в том числе труды Шюле.	30:38	0:377
больница	NOUN	1918-1990	2	больница-65		.." Вскоре Писарева посадили в карету и отвезли в психиатрическую больницу, где он и пробыл 4 месяца.	66:74	0:101
больница	NOUN	1682-1916	1	больница-66		Он предлагал следующую реформу: 1) открытие психиатрических клиник при каждом университете, 2) учреждение приемных покоев во всех больших городах, 3) основание колоний не только для больных, нуждающихся во врачебном наблюдении, но и для невротиков, почти не нуждающихся в таковом, 4) устройство у ворот больниц колоний для выздоравливающих, периодиков и других больных, могущих быть переведенными на более свободный режим и, наконец, 5) организацию патронажа, независимого от больницы.	303:310	0:485
больница	NOUN	1918-1990	2	больница-67		Находка доставлена в земскую больницу для отправления в Симферополь. неизвестный.	29:37	0:81
больница	NOUN	1682-1916	1	больница-68		Она оправилась от волнения и спокойно рассказала, что знала: Крыльцов очень ослабел дорогой, и его тотчас же поместили в больницу.	121:129	0:130
больница	NOUN	1682-1916	1	больница-69		Равным образом имеют быть постановлены правила в видах упрочения связи между заводами и рабочими, об учреждении для сих последних особых горнозаводских товариществ для устройства вспомогательных касс, больниц, школ и вообще взаимного пособия к упрочению благосостояния и нравственности горнозаводских мастеровых и привязанности их к горному промыслу.	201:208	0:350
больница	NOUN	1682-1916	1	больница-70		Они звонили по телефону всем своим знакомым, объездили на такси все отделения милиции, все больницы, побывали в уголовном розыске и даже в городских моргах, и все безрезультатно.	91:99	0:178
больница	NOUN	1918-1990	2	больница-71		Жилище имъ имть въ больниц, или по близости оной, и все се время съ другими посторонними здоровыми людьми обхожденя никакого не имть; но въ пол, или около больницы на чистомъ воздух прохаживаться дозволяется.	19:26	0:208
больница	NOUN	1918-1990	2	больница-72		Они собирались забрать Николая Владимировича из ковровской больницы, его жену и сына из Погоста и ехать всем вместе в Куйбышев.	59:67	0:127
больница	NOUN	1918-1990	2	больница-73		Собралась было уехать из больницы.	25:33	0:34
больница	NOUN	1918-1990	2	больница-74		От безнадежно заболевшей дочери, которую вы исключили из партии и удалили с работы, письмо ко мне шло из московской больницы 73 дня, так что ответ мой уже не застал ее в живых.	116:124	0:176
