identifier1	identifier2	annotator	judgment	comment	lemma
бюрократ-0	бюрократ-1	annotator1	1		бюрократ
бюрократ-0	бюрократ-1	annotator2	4		бюрократ
бюрократ-0	бюрократ-1	annotator3	4		бюрократ
бюрократ-0	бюрократ-1	annotator4	4		бюрократ
бюрократ-0	бюрократ-1	annotator5	4		бюрократ
бюрократ-2	бюрократ-3	annotator1	4		бюрократ
бюрократ-2	бюрократ-3	annotator2	4		бюрократ
бюрократ-2	бюрократ-3	annotator3	3		бюрократ
бюрократ-2	бюрократ-3	annotator4	4		бюрократ
бюрократ-2	бюрократ-3	annotator5	4		бюрократ
бюрократ-4	бюрократ-5	annotator1	4		бюрократ
бюрократ-4	бюрократ-5	annotator2	3		бюрократ
бюрократ-4	бюрократ-5	annotator3	4		бюрократ
бюрократ-4	бюрократ-5	annotator4	3		бюрократ
бюрократ-4	бюрократ-5	annotator5	4		бюрократ
бюрократ-6	бюрократ-7	annotator1	4		бюрократ
бюрократ-6	бюрократ-7	annotator2	3		бюрократ
бюрократ-6	бюрократ-7	annotator3	4		бюрократ
бюрократ-6	бюрократ-7	annotator4	4		бюрократ
бюрократ-6	бюрократ-7	annotator5	2		бюрократ
бюрократ-8	бюрократ-9	annotator1	4		бюрократ
бюрократ-8	бюрократ-9	annotator2	4		бюрократ
бюрократ-8	бюрократ-9	annotator3	4		бюрократ
бюрократ-8	бюрократ-9	annotator4	3		бюрократ
бюрократ-8	бюрократ-9	annotator5	4		бюрократ
бюрократ-10	бюрократ-11	annotator1	4		бюрократ
бюрократ-10	бюрократ-11	annotator2	4		бюрократ
бюрократ-10	бюрократ-11	annotator3	4		бюрократ
бюрократ-10	бюрократ-11	annotator4	4		бюрократ
бюрократ-10	бюрократ-11	annotator5	2		бюрократ
бюрократ-12	бюрократ-13	annotator1	4		бюрократ
бюрократ-12	бюрократ-13	annotator2	4		бюрократ
бюрократ-12	бюрократ-13	annotator3	4		бюрократ
бюрократ-12	бюрократ-13	annotator4	4		бюрократ
бюрократ-12	бюрократ-13	annotator5	4		бюрократ
бюрократ-14	бюрократ-15	annotator1	4		бюрократ
бюрократ-14	бюрократ-15	annotator2	4		бюрократ
бюрократ-14	бюрократ-15	annotator3	3		бюрократ
бюрократ-14	бюрократ-15	annotator4	4		бюрократ
бюрократ-14	бюрократ-15	annotator5	4		бюрократ
бюрократ-16	бюрократ-17	annotator1	4		бюрократ
бюрократ-16	бюрократ-17	annotator2	4		бюрократ
бюрократ-16	бюрократ-17	annotator3	4		бюрократ
бюрократ-16	бюрократ-17	annotator4	4		бюрократ
бюрократ-16	бюрократ-17	annotator5	4		бюрократ
бюрократ-18	бюрократ-19	annotator1	3		бюрократ
бюрократ-18	бюрократ-19	annotator2	4		бюрократ
бюрократ-18	бюрократ-19	annotator3	4		бюрократ
бюрократ-18	бюрократ-19	annotator4	1		бюрократ
бюрократ-18	бюрократ-19	annotator5	4		бюрократ
бюрократ-20	бюрократ-21	annotator1	4		бюрократ
