lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
бюрократ	NOUN	1682-1916	1	бюрократ-0		Ну бюрократы!	3:12	0:13
бюрократ	NOUN	1918-1990	2	бюрократ-1		Но спрашивается: когда и какой бюрократ предлагал что-либо иное -- Никакой и никогда.	31:39	0:85
бюрократ	NOUN	1682-1916	1	бюрократ-2		"Что такое бюрократ" -- спрашивает Фетюк-Мижуев.	11:19	0:48
бюрократ	NOUN	1682-1916	1	бюрократ-3		Конечно, сеятелям хорошо; они, как молодые рыбки, резво плещутся в безбрежном океане словоизвержений; но каково другим каково тем, во-первых, кои, за недостатком семян, к сеянию не призываются, и, во-вторых, тем, коим угрожает в ближайшем будущем быстрое обсеменение Какую роль должны играть эти люди в происходящих перед их глазами словесных турнирах Должны ли они ожидать предстоящего оплодотворения с смирением и кротостью или обязаны озаботиться приисканием мер, чтобы сделать это оплодотворение взаимным, то есть со временем, в свою очередь, обсеменить самих сеятелей Но пуще всего достается тут бюрократам.	601:611	0:612
бюрократ	NOUN	1682-1916	1	бюрократ-4		-- "Я бюрократ мертвец" -- спросил сам себя Рубашкин, воротившись с одного пышного, блистательного вечера, где толковалось много о разных последних регламентациях, кодификациях и прочих бумажных реформациях и где были в числе гостей даже два статс-секретаря.	6:14	0:258
бюрократ	NOUN	1682-1916	1	бюрократ-5		Граф Блудов был олицетворением полнейшего бесстрастия: его тихий, миролюбивый и спокойный нрав не допускал в себе никакой ненависти, но весь склад его умственной личности, его служебной карьеры был таков, что он, как умный бюрократ, мирился с либерализмом как с доктриною, как с течением времени, но идеи политического влияния дворянства он не постигал и не допускал, не находя в себе к ней ни малейшего отголоска.	223:231	0:414
бюрократ	NOUN	1682-1916	1	бюрократ-6		-- Вы не дурак, -- крикнула Тоня, -- но вы бюрократ и черствая душа!	43:51	0:68
бюрократ	NOUN	1918-1990	2	бюрократ-7		Обозвав меня бюрократом, г. Ржевский для подкрепления своей правоты прибегает к булгаринству.	13:23	0:93
бюрократ	NOUN	1682-1916	1	бюрократ-8		-- Действительно, бюрократы.	18:27	0:28
бюрократ	NOUN	1918-1990	2	бюрократ-9		-- Все же, -- ораторствовала Ольга Петровна в салонах губернских дам, -- она наша, из бюрократии (Ольга Петровна никогда не говорила чиновник, а заменяла это слово словом бюрократ), дочь надворного советника, ведет себя уже с полгода прекрасно, скромно, а если что и было там, а l'etranger.	86:96	0:290
бюрократ	NOUN	1682-1916	1	бюрократ-10		-- Значит, сначала надо нанять адвоката, чтобы он доказал, что этот человек жулик или бюрократ -- спросил он.	86:94	0:109
бюрократ	NOUN	1918-1990	2	бюрократ-11		Бюрократы, гимназисты, писатели, художник, адвокат, светские львы и львицы, купчихи, учителя, земский начальник, доктор, пейзане.	0:9	0:129
бюрократ	NOUN	1918-1990	2	бюрократ-12		-- Но неужели вы думаете, Лев Николаевич, что заводчик, жандарм, бюрократ возлюбят когда-нибудь страждущего.	65:73	0:108
бюрократ	NOUN	1918-1990	2	бюрократ-13		Такого же характера "Записки чудака", -- где говорится о машине времени, якобы действующей в прошлом не далее 1915 года, в эпоху которого захотел вернуться старый чиновник-бюрократ.	-1:15	0:181
бюрократ	NOUN	1918-1990	2	бюрократ-14		-- Тебе, бюрократ, рабочий человек одним пальцем должен приказывать, а ты гордишься!	9:17	0:84
бюрократ	NOUN	1918-1990	2	бюрократ-15		-- И если таких, как ты, бюрократы Федяевы вздумают выпихивать за дверь.	25:34	0:72
бюрократ	NOUN	1682-1916	1	бюрократ-16		Бюрократы наши смотрят на разные исповедания, как на разные ведомства: есть, видите ли, тайные советники по министерству внутренних дел, но есть они и по министерству финансов, и по другим ведомствам.	0:9	0:200
бюрократ	NOUN	1682-1916	1	бюрократ-17		В "Рассказе неизвестного человека" революционер спрашивает бюрократа, оказываясь с ним в одной общей скобке: "Отчего я раньше времени ослабел и упал, объяснить не трудно.	59:68	0:170
бюрократ	NOUN	1918-1990	2	бюрократ-18		А ведь у нас, по мнению бюрократов, которые управляют искусством, нет пороков, а недостатки столь ничтожны, что лучше -- прямо приступить к описанию добродетели".	24:34	0:162
бюрократ	NOUN	1918-1990	2	бюрократ-19		В наши дни бюрократ и мещанин -- понятия однозначные, и обе они, -- медицинская сестра и общественница -- прежде всего мещанки.	11:19	0:127
