identifier1	identifier2	annotator	judgment	comment	lemma
весна-50-12	весна-51-12	annotator1	4		весна
весна-108-12	весна-109-12	annotator1	4		весна
весна-54-12	весна-55-12	annotator1	3		весна
весна-10-12	весна-11-12	annotator1	4		весна
весна-14-12	весна-15-12	annotator1	4		весна
весна-90-12	весна-91-12	annotator1	4		весна
весна-56-12	весна-57-12	annotator1	4		весна
весна-6-12	весна-7-12	annotator1	4		весна
весна-76-12	весна-77-12	annotator1	1		весна
весна-88-12	весна-89-12	annotator1	4		весна
весна-94-12	весна-95-12	annotator1	1		весна
весна-58-12	весна-59-12	annotator1	4		весна
весна-62-12	весна-63-12	annotator1	2		весна
весна-4-12	весна-5-12	annotator1	4		весна
весна-100-12	весна-101-12	annotator1	4		весна
весна-86-12	весна-87-12	annotator1	3		весна
весна-46-12	весна-47-12	annotator1	4		весна
весна-2-12	весна-3-12	annotator1	4		весна
весна-66-12	весна-67-12	annotator1	4		весна
весна-112-12	весна-113-12	annotator1	2		весна
весна-12-12	весна-13-12	annotator1	4		весна
весна-8-12	весна-9-12	annotator1	4		весна
весна-102-12	весна-103-12	annotator1	4		весна
весна-30-12	весна-31-12	annotator1	4		весна
весна-96-12	весна-97-12	annotator1	4		весна
весна-52-12	весна-53-12	annotator1	4		весна
весна-84-12	весна-85-12	annotator1	4		весна
весна-0-12	весна-1-12	annotator1	1		весна
весна-64-12	весна-65-12	annotator1	2		весна
весна-48-12	весна-49-12	annotator1	4		весна
весна-110-12	весна-111-12	annotator1	4		весна
весна-92-12	весна-93-12	annotator1	4		весна
весна-18-12	весна-19-12	annotator1	4		весна
весна-44-12	весна-45-12	annotator1	4		весна
весна-68-12	весна-69-12	annotator1	4		весна
весна-34-12	весна-35-12	annotator1	4		весна
весна-38-12	весна-39-12	annotator1	3		весна
весна-118-12	весна-119-12	annotator1	3		весна
весна-60-12	весна-61-12	annotator1	1		весна
весна-40-12	весна-41-12	annotator1	2		весна
весна-16-12	весна-17-12	annotator1	1		весна
весна-116-12	весна-117-12	annotator1	4		весна
весна-72-12	весна-73-12	annotator1	4		весна
весна-42-12	весна-43-12	annotator1	4		весна
весна-80-12	весна-81-12	annotator1	4		весна
весна-78-12	весна-79-12	annotator1	4		весна
весна-22-12	весна-23-12	annotator1	4		весна
весна-114-12	весна-115-12	annotator1	4		весна
весна-98-12	весна-99-12	annotator1	4		весна
весна-28-12	весна-29-12	annotator1	4		весна
весна-104-12	весна-105-12	annotator1	1		весна
весна-32-12	весна-33-12	annotator1	4		весна
весна-70-12	весна-71-12	annotator1	4		весна
весна-106-12	весна-107-12	annotator1	4		весна
весна-36-12	весна-37-12	annotator1	4		весна
весна-24-12	весна-25-12	annotator1	4		весна
весна-74-12	весна-75-12	annotator1	4		весна
весна-26-12	весна-27-12	annotator1	4		весна
весна-20-12	весна-21-12	annotator1	4		весна
весна-82-12	весна-83-12	annotator1	4		весна
весна-18-12	весна-19-12	annotator2	4		весна
весна-24-12	весна-25-12	annotator2	4		весна
весна-4-12	весна-5-12	annotator2	4		весна
весна-64-12	весна-65-12	annotator2	4		весна
весна-12-12	весна-13-12	annotator2	4		весна
весна-16-12	весна-17-12	annotator2	1		весна
весна-90-12	весна-91-12	annotator2	4		весна
весна-102-12	весна-103-12	annotator2	4		весна
весна-112-12	весна-113-12	annotator2	4		весна
весна-6-12	весна-7-12	annotator2	3		весна
весна-20-12	весна-21-12	annotator2	4		весна
весна-74-12	весна-75-12	annotator2	4		весна
весна-72-12	весна-73-12	annotator2	4		весна
весна-100-12	весна-101-12	annotator2	4		весна
весна-26-12	весна-27-12	annotator2	3		весна
весна-22-12	весна-23-12	annotator2	4		весна
весна-2-12	весна-3-12	annotator2	4		весна
весна-118-12	весна-119-12	annotator2	1		весна
весна-28-12	весна-29-12	annotator2	4		весна
весна-62-12	весна-63-12	annotator2	4		весна
весна-14-12	весна-15-12	annotator2	1		весна
весна-66-12	весна-67-12	annotator2	2		весна
весна-60-12	весна-61-12	annotator2	3		весна
весна-104-12	весна-105-12	annotator2	4		весна
весна-88-12	весна-89-12	annotator2	4		весна
весна-10-12	весна-11-12	annotator2	4		весна
весна-108-12	весна-109-12	annotator2	4		весна
весна-54-12	весна-55-12	annotator2	3		весна
весна-96-12	весна-97-12	annotator2	4		весна
весна-34-12	весна-35-12	annotator2	4		весна
весна-76-12	весна-77-12	annotator2	3		весна
весна-106-12	весна-107-12	annotator2	4		весна
весна-114-12	весна-115-12	annotator2	3		весна
весна-32-12	весна-33-12	annotator2	4		весна
весна-82-12	весна-83-12	annotator2	4		весна
весна-78-12	весна-79-12	annotator2	4		весна
весна-30-12	весна-31-12	annotator2	4		весна
весна-36-12	весна-37-12	annotator2	4		весна
весна-40-12	весна-41-12	annotator2	4		весна
весна-42-12	весна-43-12	annotator2	4		весна
весна-80-12	весна-81-12	annotator2	4		весна
весна-116-12	весна-117-12	annotator2	4		весна
весна-38-12	весна-39-12	annotator2	4		весна
весна-56-12	весна-57-12	annotator2	4		весна
весна-94-12	весна-95-12	annotator2	1		весна
весна-70-12	весна-71-12	annotator2	4		весна
весна-50-12	весна-51-12	annotator2	4		весна
весна-68-12	весна-69-12	annotator2	4		весна
весна-0-12	весна-1-12	annotator2	1		весна
весна-44-12	весна-45-12	annotator2	4		весна
весна-52-12	весна-53-12	annotator2	4		весна
весна-86-12	весна-87-12	annotator2	4		весна
весна-98-12	весна-99-12	annotator2	4		весна
весна-92-12	весна-93-12	annotator2	4		весна
весна-8-12	весна-9-12	annotator2	4		весна
весна-84-12	весна-85-12	annotator2	4		весна
весна-58-12	весна-59-12	annotator2	4		весна
весна-48-12	весна-49-12	annotator2	2		весна
весна-46-12	весна-47-12	annotator2	4		весна
весна-110-12	весна-111-12	annotator2	4		весна
весна-90-12	весна-91-12	annotator3	4		весна
весна-98-12	весна-99-12	annotator3	4		весна
весна-104-12	весна-105-12	annotator3	4		весна
весна-116-12	весна-117-12	annotator3	1		весна
весна-18-12	весна-19-12	annotator3	4		весна
весна-102-12	весна-103-12	annotator3	4		весна
весна-100-12	весна-101-12	annotator3	4		весна
весна-114-12	весна-115-12	annotator3	4		весна
весна-20-12	весна-21-12	annotator3	4		весна
весна-112-12	весна-113-12	annotator3	4		весна
весна-106-12	весна-107-12	annotator3	4		весна
весна-96-12	весна-97-12	annotator3	4		весна
весна-68-12	весна-69-12	annotator3	4		весна
весна-92-12	весна-93-12	annotator3	4		весна
весна-108-12	весна-109-12	annotator3	4		весна
весна-110-12	весна-111-12	annotator3	4		весна
весна-94-12	весна-95-12	annotator3	3		весна
весна-2-12	весна-3-12	annotator3	4		весна
весна-16-12	весна-17-12	annotator3	1		весна
весна-50-12	весна-51-12	annotator3	4		весна
весна-48-12	весна-49-12	annotator3	4		весна
весна-70-12	весна-71-12	annotator3	1		весна
весна-46-12	весна-47-12	annotator3	4		весна
весна-52-12	весна-53-12	annotator3	4		весна
весна-58-12	весна-59-12	annotator3	3		весна
весна-56-12	весна-57-12	annotator3	4		весна
весна-88-12	весна-89-12	annotator3	3		весна
весна-54-12	весна-55-12	annotator3	4		весна
весна-86-12	весна-87-12	annotator3	2		весна
весна-28-12	весна-29-12	annotator3	4		весна
весна-44-12	весна-45-12	annotator3	4		весна
весна-36-12	весна-37-12	annotator3	4		весна
весна-34-12	весна-35-12	annotator3	4		весна
