lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
весна	NOUN	1682-1916	1	весна-0		Весна не весна, да и зимы нет настоящей; по морозному ветру вспоминаются январские холода, а дорога, бесснежная, заледенелая, крепится, словно капризными мартовскими вечерами.	0:5	0:175
весна	NOUN	1918-1990	2	весна-1		Так, свершив в пределах земного все земное опочил Ведь если вся эта весна -- результат не непосредственного напора общественных сил, революционных организаций, а так ... "признания за благо", временной растерянности и платонического желания испытать новые пути, когда "крамола побеждена", -- то ведь все это гроша медного не стоит, а революционные силы отодвигает в сторону ...	68:73	0:377
весна	NOUN	1682-1916	1	весна-2		Весной 1838.	0:6	0:12
весна	NOUN	1682-1916	1	весна-3		Они всегда появляются небольшими стайками и бегают довольно кучно, держатся весною не долее двух педель и потом пропадают до исхода июля или начала августа.	76:82	0:156
весна	NOUN	1682-1916	1	весна-4		Весной 1923 года в Одессе произошла знаменательная встреча с Орленевым.	0:6	0:71
весна	NOUN	1918-1990	2	весна-5		Весною 1637 года новое волнение: комиссары королевские приехали к козакам, чтоб отдать им жалованье и взять присягу; но чернь объявила, что не хочет давать присягу, хочет идти на Запорожье.	0:6	0:189
весна	NOUN	1682-1916	1	весна-6		Весной 1977 года опрос показал: 75 процентов американцев -- за хорошие отношения между СССР и США и только 10 -- против.	0:6	0:120
весна	NOUN	1918-1990	2	весна-7		Яко древо, во всегдашней весне насажденное, не теряет своея зелености, тако орудия книгопечатания остановлены могут быть в действии, но не разрушены.	25:30	0:149
весна	NOUN	1918-1990	2	весна-8		Весной двадцать девятого года прореха в посевном клину была перекрыта.	0:6	0:70
весна	NOUN	1918-1990	2	весна-9		Дерево, пересаженное весной, быстро залечивает раны и восстанавливает потерянные части.	21:27	0:87
весна	NOUN	1682-1916	1	весна-10		Весной и летом наши предприятия принимали иной характер.	0:6	0:56
весна	NOUN	1918-1990	2	весна-11		Бояре отвечали Исакию: "Как видно из твоих речей, мысль эта в самих вас еще не утвердилась, укрепленья об этом между вами еще нет; про козаков ты сказал, что их столько не будет, чтоб стоять против поляков одним без помощи, и говоришь, что теперь Запорожское Войско идет на весну морем на турок: так теперь царскому величеству этого дела начать нельзя.	274:279	0:352
весна	NOUN	1682-1916	1	весна-12		Весной и летом уже ехать туда не мог, и в Москве приходилось скрываться и жить нелегально.	0:6	0:90
весна	NOUN	1918-1990	2	весна-13		Володя всю эту зиму и до самой весны был неразлучен с Дубковым (с Дмитрием же они начинали холодно расходиться).	31:36	0:112
весна	NOUN	1918-1990	2	весна-14		Весной они покрываются белыми и розовыми цветами, точно свечками.	0:6	0:65
весна	NOUN	1918-1990	2	весна-15		Прозрачность стекла весною сливается с прозрачностью зеленоватого ленинградского неба.	20:26	0:86
весна	NOUN	1682-1916	1	весна-16		Весною 1831 года для содержания караулов в Новгороде и для приготовления к смотру начальника штаба, генерала Клейнмихеля, -- все резервные батальоны выступили из округов; по недостатку в них офицеров, были командируемы от поселенных батальонов ротные командиры, которые, по этому случаю, находились в Новгороде, а по окончании очереди, возвращались в свои роты к управлению хозяйственной частью; во время же их отсутствия, обязанность по этому предмету лежала на фельдфебелях.	0:6	0:476
весна	NOUN	1682-1916	1	весна-17		Когда после Крымской войны повеяло весной, запахло "разрытой землей", предвещавшей конец чему-то отживающему, бледному, как смерть, и разлагающемуся, как труп, для молодежи настали действительно совершенно иные времена.	35:41	0:219
весна	NOUN	1918-1990	2	весна-18		А если так, то к чему такая срочность Да и вообще сейчас зима, и покойник в мертвецкой больницы может ждать погребения хоть до самой весны.	133:138	0:139
весна	NOUN	1918-1990	2	весна-19		Мне не нравилось быть иллюстрацией в такой паучьей картине, и я тогда совершенно отказался от прогулок: безвыходно просидел в разных камерах с весны 1938-го года по лето 1939-го года.	143:148	0:183
весна	NOUN	1682-1916	1	весна-20		А теперь я живу в деревне, в настоящей деревне, из которой осенью и весной иной раз выехать невозможно.	68:74	0:103
весна	NOUN	1682-1916	1	весна-21		Поставлен был вопрос: должны ли мы в случае отказа Порты начать войну неотлагательно, или же, ввиду необходимости продлить перемирие для спасения Сербии от неминуемого разгрома, протянуть дело до весны -- В первый раз так прямо ставился вопрос и, мало того, Государь сам положительно высказался в пользу отсрочки; он настойчиво доказывал невозможность зимней кампании при том обороте, который приняли дела.	196:201	0:406
весна	NOUN	1918-1990	2	весна-22		Будучи в полковой учебной команде, весной 12-го года он получил тяжелые увечья при падении с лошади и был освобожден даже от службы.	35:41	0:132
весна	NOUN	1918-1990	2	весна-23		К. не так давно удалось отыскать несколько записей, сделанных им весной 1934 г. после разговоров с Г. Все они -- их у меня теперь четыре, а было, по всей вероятности, больше -- писаны рукою К. Сначала идут мои вопросы Г., а затем на том же листке находятся и его ответы.	65:71	0:270
весна	NOUN	1682-1916	1	весна-24		В ту весну Владимир Мономах посылал Фому Ратиборовича в Корсунь.	5:10	0:64
весна	NOUN	1918-1990	2	весна-25		Всю зиму и всю весну в Риме, в Неаполе и во Флоренции он недомогал, а теперь, едва приехал, как пришлось его уложить в постель и даже совершить довольно мучительную операцию -- разрезание нарыва, который образовался у него на спине.	15:20	0:232
весна	NOUN	1682-1916	1	весна-26		Вместе с тем, как обыкновенно бывает при буре, стало холодно. Р. Чархалык покрылась льдом, хотя весна была уже в полном разгаре и все кругом зеленело.	96:101	0:150
весна	NOUN	1682-1916	1	весна-27		После этого последнего свидания нашего в Москве (весной 54-го года), на Пречистенке, мы с Тургеневым не встречались в течение целых семи лет; от весны 54-го года в Москве до весны 61-го года в Петербурге.	145:150	0:204
весна	NOUN	1682-1916	1	весна-28		Во влажном воздухе было разлито смутное предчувствие неблизкой весны.	63:68	0:69
весна	NOUN	1918-1990	2	весна-29		Прихода судов весною я не дождусь, а теперь в здешних лавках такая дрянь и так дорого, что было бы смешно бросать понапрасну деньги.	14:20	0:132
весна	NOUN	1682-1916	1	весна-30		Вот и петербургские жители заметили весну.	36:41	0:42
весна	NOUN	1682-1916	1	весна-31		Измятый огород мой поднялся на будущую весну и произвел растения свои ничем не хуже истоптанных.	39:44	0:96
весна	NOUN	1682-1916	1	весна-32		Главные условия удачи составляют безбурная, морозная зима и позднее наступление весны.	80:85	0:86
весна	NOUN	1682-1916	1	весна-33		Вероятно, кречетки прилетают позднее кроншнепов, потому что на тех самых местах, где с начала весны кроншнепы жили одни, впоследствии, недели две позднее, мне случалось много раз находить вместе с ними и кречеток, всегда уже вьющихся над человеком или собакой, очевидно от гнезд, которые, без сомнения, устроиваются ими очень поспешно.	94:99	0:335
весна	NOUN	1918-1990	2	весна-34		Да и все мы, сказать по правде, к весне как-то отупели и развалились.	34:39	0:69
весна	NOUN	1918-1990	2	весна-35		А к весне он решил уйти.	4:9	0:24
весна	NOUN	1918-1990	2	весна-36		Дело было поздней весной (или ранним летом) и, повторяю, рано утром: к девяти надо было поспеть на улицу Герцена, 11, -- в наш юридический, где перед залом имени Вышинского будет ожидать и страдать в предвкушении экзекуции славная, 47-я, родная группа.	18:24	0:252
весна	NOUN	1918-1990	2	весна-37		С бутылкой в откинутой руке Царь помешанно оглядел нас по очереди и спросил, как в тот раз, весной, когда испугался сумасшедки: -- Куда отвезет Кого -- А тебя! -- сказал я.	92:98	0:172
весна	NOUN	1682-1916	1	весна-38		До двадцатой весны дожила Палаша, и никогда еще не приходилось ей испытывать ни стольких мук, ни стольких радостей.	13:18	0:115
весна	NOUN	1682-1916	1	весна-39		-- Видя, сколь деревянные укрепления ненадежны, великий князь в общем совете с братом, Владимиром Андреевичем, и с боярами решился построить каменный Кремль и заложил его весною в 1367 году.	171:177	0:190
весна	NOUN	1682-1916	1	весна-40		Дупелиное время для меня, как весна: беспокойство.	30:35	0:50
весна	NOUN	1918-1990	2	весна-41		[...] Поучившись осень и зиму в корпусе, весной гардемарины [снова] отправились на флот для практических занятий.	41:47	0:113
весна	NOUN	1918-1990	2	весна-42		Если зимой погибают листья, стебли и даже корни, но не повреждается узел кущения, то весной из него возрождается все растение.	85:91	0:126
весна	NOUN	1918-1990	2	весна-43		Теперь, весной, я наведался к обеим моим знакомым.	8:14	0:50
весна	NOUN	1918-1990	2	весна-44		Если так называемая "дружба народов" вообще возможна, то максимальное приближение к этому состоянию я наблюдал и испытывал с весны 1966-го -- мое лагерное время.	125:130	0:161
весна	NOUN	1918-1990	2	весна-45		Голубиная книга вступительное Вступительный экзамен я сдавал весной.	61:67	0:68
весна	NOUN	1682-1916	1	весна-46		Жаль, что растает весной.	18:24	0:25
весна	NOUN	1682-1916	1	весна-47		Я пустился въ путь въ исход весны, въ самое лучшее время года.	28:33	0:62
весна	NOUN	1918-1990	2	весна-48		И весну обещают не раньше 7 апреля.	2:7	0:35
весна	NOUN	1918-1990	2	весна-49		Весной в первую прогулку Ладе разрешается гоняться за птичками.	0:6	0:63
весна	NOUN	1682-1916	1	весна-50		И объявлено, что писали донцы из Азова, просят принять город от них; но в то же время пришли вести, что сам великий визирь хочет идти весною под Азов, и если не возьмет скоро города, то, осадя его крепко, хочет послать турецкое и крымское войско на Московское государство: "И государю царю за Азов с турским и крымским царем разрывать ли и Азов у донских козаков принимать ли Если принимать и с турским и крымским разорвать, то ратные люди в Азов, в польские (степные), украинские и поволжские города надобны будут многие, на городовое азовское дело и ратным людям на жалованье деньги надобны же многие, хлебные, пушечные и всякие запасы надобны не на один год, потому что война бывает у турских людей не по один год, и такие великие деньги и многие запасы на те годы где брать Стольникам, дворянам московским и дьякам, головам, сотникам, дворянам и детям боярским из городов, гостям, гостиные и суконные сотни и черных сотен торговым и всяких чинов служилым и жилецким людям помыслить о том накрепко и государю мысль свою объявить на письме, чтоб ему, государю, про все то было известно".	134:140	0:1089
весна	NOUN	1682-1916	1	весна-51		Нравятся мне одни русские песни -- то в деревне, и то весной -- с пляской, знаете.	54:60	0:82
весна	NOUN	1918-1990	2	весна-52		И я понял, что и на самом деле все кончено для меня: я уже немолод, езжу лечиться по санаториям, вы остались навечно юной, красота ваша не меркнет, а лишь слегка видоизменяется, как цветущие весны нашей земли -- все изумительные, хотя и совсем непохожие одна на другую.	191:196	0:269
весна	NOUN	1918-1990	2	весна-53		Каждую весну на второй день пасхи он идет на кладбище и заново красит жестяной Егоров обелиск.	7:12	0:94
весна	NOUN	1918-1990	2	весна-54		Каждая птица весной ведет себя несколько иначе, чем в другое время года, сопровождая свое пенье или крик движениями, которые можно наблюдать только в эту пору.	13:19	0:159
весна	NOUN	1918-1990	2	весна-55		К весне следующего года вариант американского плана вторжения в Северную Францию был подготовлен.	2:7	0:97
весна	NOUN	1918-1990	2	весна-56		Крики судовых ярыг и голос рыжего мужика, начальника каравана: -- Шевели работу -- весна не спит!	83:88	0:97
весна	NOUN	1918-1990	2	весна-57		С этого дня надо считать законным совершенно все творчество весны.	60:65	0:66
весна	NOUN	1918-1990	2	весна-58		Мирон Полякин собрал на свой концерт в Кисловодске весной 1940 года 40 слушателей.	51:57	0:82
весна	NOUN	1918-1990	2	весна-59		-- Весна придет, с чем взяться -- Не закон, мужики.	3:8	0:51
весна	NOUN	1918-1990	2	весна-60		Может быть, потому и шум леса стал теперь ворчливо нудным, сонливым, казалось, настолько безнадежным, что вроде бы и зимы не будет, и весны не будет.	134:139	0:149
весна	NOUN	1918-1990	2	весна-61		К весне шестнадцатого года мужиков в Волчьих Норах осталось совсем мало.	2:7	0:72
весна	NOUN	1682-1916	1	весна-62		Московская жизнь Летняя погода в Москве В Москве и ее окрестностях стоит настоящая весна.	83:88	0:89
весна	NOUN	1682-1916	1	весна-63		Он считается специалистом по части железных дорог, потому что езжал по николаевской дороге, специалистом по части кредита, потому что закладывал свои имения в опекунском совете, специалистом по части народной нравственности, потому что держит около десятка кабаков, специалистом по части мостов и перевозов, потому что не далее как прошлой весной единолично и собственноручно разбил наголову целую армию перевозчиков за то, что они замешкались подать ему паром, и наконец специалистом по части больниц, потому что видал-таки на своем веку виды.	340:346	0:544
весна	NOUN	1918-1990	2	весна-64		Нема и Маша рвались к детям, оставленным у чужих людей, Нюра Иванова собиралась соединиться с одним лагерником из уголовных, кончавшим срок весной.	140:146	0:147
весна	NOUN	1918-1990	2	весна-65		Чехов как истинный поэт видит, что сквозит и тайно светит в этом предначатии русской весны.	85:90	0:91
весна	NOUN	1682-1916	1	весна-66		Ниже мы помещаем две весьма важныя заметки об устройстве коммун в Сибири которыя служат "первыми ласточками грядущей весны" и призываем товарищей помочь им всеми имеющимися у нас средствами.	117:122	0:190
весна	NOUN	1918-1990	2	весна-67		Дело было уже весной, было жарко.	14:20	0:33
весна	NOUN	1682-1916	1	весна-68		Но если хорошия дороги нужны весною, летом, осенью для проезжающих, для обозов они ненужны.	29:35	0:91
весна	NOUN	1682-1916	1	весна-69		Этих больше по весне.	15:20	0:21
весна	NOUN	1918-1990	2	весна-70		Но значительно более интересные результаты были получены в это время с новым воздушным кораблем, который был выстроен к весне.	120:125	0:126
весна	NOUN	1918-1990	2	весна-71		Обменяемся ролями: какой, по-вашему, фильм в последнее время пользовался у детей самой большой популярностью -- Наверно, "Семнадцать мгновений весны".	143:148	0:150
весна	NOUN	1682-1916	1	весна-72		Но помолвка с малолетней принцессой была отложена до весны, и только 16 апреля 1841 года состоялся брак Александра Николаевича с гессен-дармштадтской принцессой Максимилианой-Вильгельминой-Августой-Софией-Марией.	53:58	0:212
