lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
вино	NOUN	1918-1990	2	вино-0		Возьми, -- скажем, -- господин атаман, своего казака, а нас за то, что сохранили целым, угости вином.	95:100	0:101
вино	NOUN	1918-1990	2	вино-1		Как я наслаждался возможностью одному ходить по улице, есть много хлеба, пить вино и видеть прекрасные лица близких.	78:82	0:116
вино	NOUN	1918-1990	2	вино-2		"И вот приходит еще один вестник к Иову и говорит ему: сыновья твои и дочери твои ели и пили вино в доме первородного брата твоего: и вот большой ветер пришел из пустыни и охватил четыре угла дома, и дом упал на них, и они умерли..."	93:97	0:233
вино	NOUN	1918-1990	2	вино-3		Но он в полной неприкосновенности сохранил свою Русскую душу и несет ее, как чашу переполненную драгоценным вином, полную горячей любви к Родине и ее олицетворению в вашем лице.	108:113	0:177
вино	NOUN	1682-1916	1	вино-4		-- Бог даст, и я вам отслужу, -- сказал он, допивая вино.	52:56	0:57
вино	NOUN	1682-1916	1	вино-5		14 к.; продажная цена: навынос 3 р. 80 к., с распитием -- 5 р., а так как больше всего продается вино с распитием, то барыш оказывается почти неслыханный.	97:101	0:154
вино	NOUN	1918-1990	2	вино-6		-- Все ты со своим вином.	19:24	0:25
вино	NOUN	1918-1990	2	вино-7		Ты сыт и даже получаешь в умеренном количестве вино.	47:51	0:52
вино	NOUN	1682-1916	1	вино-8		-- И вино лилось в келье от зари до зари.	5:9	0:41
вино	NOUN	1682-1916	1	вино-9		Он сказал мне, что в Испании, -- и это я еще прежде слышала, даже читала, -- что в Испании есть какой-то необыкновенный остров, кажется Малага, -- одним словом, похоже на какое-то вино, -- где не только грудные, но даже настоящие чахоточные совсем выздоравливали от одного климата, и что туда нарочно ездят лечиться, разумеется, только одни вельможи или даже, пожалуй, и купцы, но только очень богатые.	180:184	0:402
вино	NOUN	1918-1990	2	вино-10		-- Когда вы с Левонтием все вино это клятое выжрете И когда вы, язвило бы вас, захвораете чем-нибудь, чтоб пить нельзя, чтоб на сторону воротило.	28:32	0:145
вино	NOUN	1918-1990	2	вино-11		Они были так богаты мясом, шерстью, рыбой и вином, так густы лесами и широки полями, что дух у Волка и изголодавшихся его подданных захватывало от предвкушений сытости.	44:49	0:168
вино	NOUN	1682-1916	1	вино-12		-- Отнеси вино отцу.	10:14	0:20
вино	NOUN	1682-1916	1	вино-13		В мое отсутствие матушка получила от новой своей соседки письмо на серой бумаге, запечатанной бурым сургучом, какой употребляется только на почтовых повестках да на пробках дешевого вина.	182:186	0:187
вино	NOUN	1682-1916	1	вино-14		-- Февраля 17, рано поутру, великий князь отправился в Москву; на первом стане, в Ямнах, угостил обедом архиепископа, бояр и житых людей новогородских; принял от них несколько бочек вина и меда; сам отдарил всех, отпустил с милостию в Новгород и приехал в столицу 5 марта.	182:186	0:272
вино	NOUN	1682-1916	1	вино-15		Кажется, недурно -- Но, -- скажет читатель, -- принимая вино, вы можете попробовать его вторично А на сей случай в корзине или подвешенные под юбками продавщицы имеются в запасе две-три бутылки хорошего вина, которые и будут ловко подсунуты вам как вторичная проба.	56:60	0:265
вино	NOUN	1682-1916	1	вино-16		-- Что-с как-с -- Да так, брат, чай бочки-то с ренским вином везут тебе из Крыма, а уж тут, брат, подсластить, да подкрасить сандальцом, да подпустить взварцу какого ни на есть не штука.	55:60	0:186
вино	NOUN	1682-1916	1	вино-17		Все потягивали водку, вино или пиво.	22:26	0:36
вино	NOUN	1682-1916	1	вино-18		А когда уйдут спрашиватели, мы возьмем да двадцать рублей отдадим кесарю, а из других двадцати десять возьму я себе за выдумку, а остальные десять -- вам на вино.	157:161	0:162
вино	NOUN	1682-1916	1	вино-19		Он успокоился, а я пошла в столовую за вином.	39:44	0:45
