identifier1	identifier2	annotator	judgment	comment	lemma
влажный-0	влажный-1	annotator1	4		влажный
влажный-0	влажный-1	annotator2	1		влажный
влажный-0	влажный-1	annotator3	3		влажный
влажный-0	влажный-1	annotator4	4		влажный
влажный-0	влажный-1	annotator5	3		влажный
влажный-2	влажный-3	annotator1	2		влажный
влажный-2	влажный-3	annotator2	3		влажный
влажный-2	влажный-3	annotator3	3		влажный
влажный-2	влажный-3	annotator4	1		влажный
влажный-2	влажный-3	annotator5	4		влажный
влажный-4	влажный-5	annotator1	4		влажный
влажный-4	влажный-5	annotator2	4		влажный
влажный-4	влажный-5	annotator3	4		влажный
влажный-4	влажный-5	annotator4	1		влажный
влажный-4	влажный-5	annotator5	2		влажный
влажный-6	влажный-7	annotator1	3		влажный
влажный-6	влажный-7	annotator2	3		влажный
влажный-6	влажный-7	annotator3	4		влажный
влажный-6	влажный-7	annotator4	3		влажный
влажный-6	влажный-7	annotator5	4		влажный
влажный-8	влажный-9	annotator1	2		влажный
влажный-8	влажный-9	annotator2	3		влажный
влажный-8	влажный-9	annotator3	4		влажный
влажный-8	влажный-9	annotator4	4		влажный
влажный-8	влажный-9	annotator5	1		влажный
влажный-10	влажный-11	annotator1	4		влажный
влажный-10	влажный-11	annotator2	2		влажный
влажный-10	влажный-11	annotator3	2		влажный
влажный-10	влажный-11	annotator4	4		влажный
влажный-10	влажный-11	annotator5	4		влажный
влажный-12	влажный-13	annotator1	4		влажный
влажный-12	влажный-13	annotator2	4		влажный
влажный-12	влажный-13	annotator3	4		влажный
влажный-12	влажный-13	annotator4	3		влажный
влажный-12	влажный-13	annotator5	3		влажный
влажный-14	влажный-15	annotator1	4		влажный
влажный-14	влажный-15	annotator2	4		влажный
влажный-14	влажный-15	annotator3	3		влажный
влажный-14	влажный-15	annotator4	4		влажный
влажный-14	влажный-15	annotator5	1		влажный
влажный-16	влажный-17	annotator1	1		влажный
влажный-16	влажный-17	annotator2	1		влажный
влажный-16	влажный-17	annotator3	4		влажный
влажный-16	влажный-17	annotator4	4		влажный
влажный-16	влажный-17	annotator5	3		влажный
влажный-18	влажный-19	annotator1	3		влажный
влажный-18	влажный-19	annotator2	1		влажный
влажный-18	влажный-19	annotator3	1		влажный
влажный-18	влажный-19	annotator4	4		влажный
влажный-18	влажный-19	annotator5	1		влажный
влажный-20	влажный-21	annotator1	4		влажный
влажный-20	влажный-21	annotator2	4		влажный
влажный-20	влажный-21	annotator3	2		влажный
влажный-20	влажный-21	annotator4	1		влажный
влажный-20	влажный-21	annotator5	3		влажный
влажный-22	влажный-23	annotator1	4		влажный
влажный-22	влажный-23	annotator2	4		влажный
влажный-22	влажный-23	annotator3	4		влажный
влажный-22	влажный-23	annotator4	1		влажный
влажный-22	влажный-23	annotator5	4		влажный
влажный-24	влажный-25	annotator1	4		влажный
влажный-24	влажный-25	annotator2	1		влажный
влажный-24	влажный-25	annotator3	1		влажный
влажный-24	влажный-25	annotator4	4		влажный
влажный-24	влажный-25	annotator5	3		влажный
влажный-26	влажный-27	annotator1	1		влажный
влажный-26	влажный-27	annotator2	3		влажный
влажный-26	влажный-27	annotator3	1		влажный
влажный-26	влажный-27	annotator4	3		влажный
влажный-26	влажный-27	annotator5	4		влажный
влажный-28	влажный-29	annotator1	1		влажный
влажный-28	влажный-29	annotator2	4		влажный
влажный-28	влажный-29	annotator3	4		влажный
влажный-28	влажный-29	annotator4	4		влажный
влажный-28	влажный-29	annotator5	2		влажный
влажный-30	влажный-31	annotator1	3		влажный
влажный-30	влажный-31	annotator2	4		влажный
влажный-30	влажный-31	annotator3	1		влажный
влажный-30	влажный-31	annotator4	1		влажный
влажный-30	влажный-31	annotator5	3		влажный
влажный-32	влажный-33	annotator1	4		влажный
влажный-32	влажный-33	annotator2	1		влажный
влажный-32	влажный-33	annotator3	4		влажный
влажный-32	влажный-33	annotator4	4		влажный
влажный-32	влажный-33	annotator5	4		влажный
влажный-34	влажный-35	annotator1	4		влажный
влажный-34	влажный-35	annotator2	2		влажный
влажный-34	влажный-35	annotator3	2		влажный
влажный-34	влажный-35	annotator4	4		влажный
влажный-34	влажный-35	annotator5	3		влажный
влажный-36	влажный-37	annotator1	4		влажный
влажный-36	влажный-37	annotator2	1		влажный
влажный-36	влажный-37	annotator3	3		влажный
влажный-36	влажный-37	annotator4	4		влажный
влажный-36	влажный-37	annotator5	4		влажный
влажный-38	влажный-39	annotator1	4		влажный
влажный-38	влажный-39	annotator2	3		влажный
влажный-38	влажный-39	annotator3	2		влажный
влажный-38	влажный-39	annotator4	4		влажный
