identifier1	identifier2	annotator	judgment	comment	lemma
войско-0	войско-1	annotator1	4		войско
войско-0	войско-1	annotator2	3		войско
войско-0	войско-1	annotator3	4		войско
войско-0	войско-1	annotator4	3		войско
войско-0	войско-1	annotator5	4		войско
войско-2	войско-3	annotator1	4		войско
войско-2	войско-3	annotator2	4		войско
войско-2	войско-3	annotator3	4		войско
войско-2	войско-3	annotator4	4		войско
войско-2	войско-3	annotator5	4		войско
войско-4	войско-5	annotator1	4		войско
войско-4	войско-5	annotator2	1		войско
войско-4	войско-5	annotator3	4		войско
войско-4	войско-5	annotator4	4		войско
войско-4	войско-5	annotator5	4		войско
войско-6	войско-7	annotator1	4		войско
войско-6	войско-7	annotator2	3		войско
войско-6	войско-7	annotator3	4		войско
войско-6	войско-7	annotator4	3		войско
войско-6	войско-7	annotator5	4		войско
войско-8	войско-9	annotator1	4		войско
войско-8	войско-9	annotator2	4		войско
войско-8	войско-9	annotator3	4		войско
войско-8	войско-9	annotator4	4		войско
войско-8	войско-9	annotator5	4		войско
войско-10	войско-11	annotator1	4		войско
войско-10	войско-11	annotator2	4		войско
войско-10	войско-11	annotator3	4		войско
войско-10	войско-11	annotator4	4		войско
войско-10	войско-11	annotator5	4		войско
войско-12	войско-13	annotator1	4		войско
войско-12	войско-13	annotator2	4		войско
войско-12	войско-13	annotator3	4		войско
войско-12	войско-13	annotator4	4		войско
войско-12	войско-13	annotator5	4		войско
войско-14	войско-15	annotator1	4		войско
войско-14	войско-15	annotator2	4		войско
войско-14	войско-15	annotator3	4		войско
войско-14	войско-15	annotator4	4		войско
войско-14	войско-15	annotator5	4		войско
войско-16	войско-17	annotator1	4		войско
войско-16	войско-17	annotator2	3		войско
войско-16	войско-17	annotator3	4		войско
войско-16	войско-17	annotator4	4		войско
войско-16	войско-17	annotator5	4		войско
войско-18	войско-19	annotator1	4		войско
войско-18	войско-19	annotator2	4		войско
войско-18	войско-19	annotator3	4		войско
войско-18	войско-19	annotator4	3		войско
войско-18	войско-19	annotator5	4		войско
войско-20	войско-21	annotator1	4		войско
войско-20	войско-21	annotator2	4		войско
войско-20	войско-21	annotator3	4		войско
войско-20	войско-21	annotator4	3		войско
войско-20	войско-21	annotator5	4		войско
войско-22	войско-23	annotator1	4		войско
войско-22	войско-23	annotator2	3		войско
войско-22	войско-23	annotator3	4		войско
войско-22	войско-23	annotator4	4		войско
войско-22	войско-23	annotator5	4		войско
войско-24	войско-25	annotator1	4		войско
войско-24	войско-25	annotator2	4		войско
войско-24	войско-25	annotator3	4		войско
войско-24	войско-25	annotator4	4		войско
войско-24	войско-25	annotator5	4		войско
войско-26	войско-27	annotator1	4		войско
войско-26	войско-27	annotator2	4		войско
войско-26	войско-27	annotator3	4		войско
войско-26	войско-27	annotator4	4		войско
войско-26	войско-27	annotator5	4		войско
войско-28	войско-29	annotator1	4		войско
войско-28	войско-29	annotator2	4		войско
войско-28	войско-29	annotator3	4		войско
войско-28	войско-29	annotator4	4		войско
войско-28	войско-29	annotator5	4		войско
войско-30	войско-31	annotator1	4		войско
войско-30	войско-31	annotator2	4		войско
войско-30	войско-31	annotator3	4		войско
войско-30	войско-31	annotator4	4		войско
войско-30	войско-31	annotator5	4		войско
войско-32	войско-33	annotator1	4		войско
войско-32	войско-33	annotator2	4		войско
войско-32	войско-33	annotator3	4		войско
войско-32	войско-33	annotator4	4		войско
войско-32	войско-33	annotator5	4		войско
войско-34	войско-35	annotator1	4		войско
войско-34	войско-35	annotator2	4		войско
войско-34	войско-35	annotator3	4		войско
войско-34	войско-35	annotator4	4		войско
войско-34	войско-35	annotator5	3		войско
войско-36	войско-37	annotator1	4		войско
войско-36	войско-37	annotator2	4		войско
войско-36	войско-37	annotator3	4		войско
войско-36	войско-37	annotator4	4		войско
войско-36	войско-37	annotator5	4		войско
войско-38	войско-39	annotator1	4		войско
войско-38	войско-39	annotator2	4		войско
войско-38	войско-39	annotator3	4		войско
войско-38	войско-39	annotator4	4		войско
войско-38	войско-39	annotator5	4		войско
войско-40	войско-41	annotator1	4		войско
войско-40	войско-41	annotator2	4		войско
войско-40	войско-41	annotator3	4		войско
войско-40	войско-41	annotator4	4		войско
войско-40	войско-41	annotator5	4		войско
войско-42	войско-43	annotator1	4		войско
войско-42	войско-43	annotator2	1		войско
войско-42	войско-43	annotator3	4		войско
войско-42	войско-43	annotator4	4		войско
войско-42	войско-43	annotator5	4		войско
войско-44	войско-45	annotator1	4		войско
войско-44	войско-45	annotator2	4		войско
войско-44	войско-45	annotator3	4		войско
войско-44	войско-45	annotator4	4		войско
войско-44	войско-45	annotator5	4		войско
войско-46	войско-47	annotator1	4		войско
войско-46	войско-47	annotator2	4		войско
войско-46	войско-47	annotator3	4		войско
войско-46	войско-47	annotator4	3		войско
войско-46	войско-47	annotator5	4		войско
войско-48	войско-49	annotator1	4		войско
войско-48	войско-49	annotator2	4		войско
войско-48	войско-49	annotator3	4		войско
войско-48	войско-49	annotator4	4		войско
войско-48	войско-49	annotator5	4		войско
войско-50	войско-51	annotator1	4		войско
войско-50	войско-51	annotator2	3		войско
войско-50	войско-51	annotator3	4		войско
войско-50	войско-51	annotator4	4		войско
войско-50	войско-51	annotator5	4		войско
войско-52	войско-53	annotator1	4		войско
войско-52	войско-53	annotator2	4		войско
войско-52	войско-53	annotator3	4		войско
войско-52	войско-53	annotator4	3		войско
войско-52	войско-53	annotator5	4		войско
войско-54	войско-55	annotator1	4		войско
войско-54	войско-55	annotator2	4		войско
войско-54	войско-55	annotator3	4		войско
войско-54	войско-55	annotator4	4		войско
войско-54	войско-55	annotator5	4		войско
войско-56	войско-57	annotator1	4		войско
войско-56	войско-57	annotator2	4		войско
войско-56	войско-57	annotator3	4		войско
войско-56	войско-57	annotator4	4		войско
войско-56	войско-57	annotator5	4		войско
войско-58	войско-59	annotator1	4		войско
войско-58	войско-59	annotator2	4		войско
войско-58	войско-59	annotator3	4		войско
войско-58	войско-59	annotator4	4		войско
войско-58	войско-59	annotator5	4		войско
войско-60	войско-61	annotator1	4		войско
войско-60	войско-61	annotator2	4		войско
войско-60	войско-61	annotator3	4		войско
войско-60	войско-61	annotator4	4		войско
войско-60	войско-61	annotator5	4		войско
войско-62	войско-63	annotator1	4		войско
войско-62	войско-63	annotator2	4		войско
войско-62	войско-63	annotator3	4		войско
войско-62	войско-63	annotator4	4		войско
войско-62	войско-63	annotator5	4		войско
войско-64	войско-65	annotator1	1		войско
войско-64	войско-65	annotator2	4		войско
войско-64	войско-65	annotator3	2		войско
войско-64	войско-65	annotator4	3		войско
войско-64	войско-65	annotator5	1		войско
войско-66	войско-67	annotator1	2		войско
войско-66	войско-67	annotator2	4		войско
войско-66	войско-67	annotator3	3		войско
войско-66	войско-67	annotator4	4		войско
войско-66	войско-67	annotator5	4		войско
войско-68	войско-69	annotator1	4		войско
войско-68	войско-69	annotator2	4		войско
войско-68	войско-69	annotator3	4		войско
войско-68	войско-69	annotator4	4		войско
войско-68	войско-69	annotator5	4		войско
войско-70	войско-71	annotator1	4		войско
войско-70	войско-71	annotator2	4		войско
войско-70	войско-71	annotator3	4		войско
войско-70	войско-71	annotator4	2		войско
войско-70	войско-71	annotator5	4		войско
войско-72	войско-73	annotator1	4		войско
войско-72	войско-73	annotator2	3		войско
войско-72	войско-73	annotator3	4		войско
войско-72	войско-73	annotator4	4		войско
войско-72	войско-73	annotator5	4		войско
войско-74	войско-75	annotator1	4		войско
войско-74	войско-75	annotator2	4		войско
войско-74	войско-75	annotator3	4		войско
войско-74	войско-75	annotator4	4		войско
войско-74	войско-75	annotator5	4		войско
войско-76	войско-77	annotator1	4		войско
войско-76	войско-77	annotator2	4		войско
войско-76	войско-77	annotator3	4		войско
войско-76	войско-77	annotator4	4		войско
войско-76	войско-77	annotator5	4		войско
войско-78	войско-79	annotator1	4		войско
войско-78	войско-79	annotator2	4		войско
войско-78	войско-79	annotator3	3		войско
войско-78	войско-79	annotator4	4		войско
войско-78	войско-79	annotator5	4		войско
войско-80	войско-81	annotator1	4		войско
войско-80	войско-81	annotator2	2		войско
войско-80	войско-81	annotator3	2		войско
войско-80	войско-81	annotator4	4		войско
войско-80	войско-81	annotator5	4		войско
войско-82	войско-83	annotator1	4		войско
войско-82	войско-83	annotator2	4		войско
войско-82	войско-83	annotator3	4		войско
войско-82	войско-83	annotator4	4		войско
войско-82	войско-83	annotator5	4		войско
войско-84	войско-85	annotator1	4		войско
войско-84	войско-85	annotator2	4		войско
войско-84	войско-85	annotator3	4		войско
войско-84	войско-85	annotator4	4		войско
войско-84	войско-85	annotator5	4		войско
войско-86	войско-87	annotator1	4		войско
войско-86	войско-87	annotator2	4		войско
войско-86	войско-87	annotator3	4		войско
войско-86	войско-87	annotator4	4		войско
войско-86	войско-87	annotator5	3		войско
войско-88	войско-89	annotator1	3		войско
войско-88	войско-89	annotator2	3		войско
войско-88	войско-89	annotator3	4		войско
войско-88	войско-89	annotator4	4		войско
войско-88	войско-89	annotator5	4		войско
войско-90	войско-91	annotator1	4		войско
войско-90	войско-91	annotator2	4		войско
войско-90	войско-91	annotator3	4		войско
войско-90	войско-91	annotator4	4		войско
войско-90	войско-91	annotator5	4		войско
войско-92	войско-93	annotator1	4		войско
войско-92	войско-93	annotator2	4		войско
войско-92	войско-93	annotator3	4		войско
войско-92	войско-93	annotator4	4		войско
войско-92	войско-93	annotator5	4		войско
войско-94	войско-95	annotator1	2		войско
войско-94	войско-95	annotator2	4		войско
войско-94	войско-95	annotator3	4		войско
войско-94	войско-95	annotator4	4		войско
войско-94	войско-95	annotator5	4		войско
войско-96	войско-97	annotator1	4		войско
войско-96	войско-97	annotator2	2		войско
войско-96	войско-97	annotator3	3		войско
войско-96	войско-97	annotator4	3		войско
войско-96	войско-97	annotator5	2		войско
войско-98	войско-99	annotator1	4		войско
войско-98	войско-99	annotator2	3		войско
войско-98	войско-99	annotator3	4		войско
войско-98	войско-99	annotator4	4		войско
войско-98	войско-99	annotator5	2		войско
войско-100	войско-101	annotator1	3		войско
войско-100	войско-101	annotator2	4		войско
войско-100	войско-101	annotator3	4		войско
войско-100	войско-101	annotator4	4		войско
войско-100	войско-101	annotator5	4		войско
войско-102	войско-103	annotator1	4		войско
войско-102	войско-103	annotator2	4		войско
войско-102	войско-103	annotator3	4		войско
войско-102	войско-103	annotator4	4		войско
войско-102	войско-103	annotator5	4		войско
войско-104	войско-105	annotator1	4		войско
войско-104	войско-105	annotator2	4		войско
войско-104	войско-105	annotator3	4		войско
войско-104	войско-105	annotator4	4		войско
войско-104	войско-105	annotator5	4		войско
войско-106	войско-107	annotator1	4		войско
войско-106	войско-107	annotator2	3		войско
войско-106	войско-107	annotator3	4		войско
войско-106	войско-107	annotator4	4		войско
войско-106	войско-107	annotator5	4		войско
войско-108	войско-109	annotator1	4		войско
войско-108	войско-109	annotator2	1		войско
войско-108	войско-109	annotator3	4		войско
войско-108	войско-109	annotator4	4		войско
войско-108	войско-109	annotator5	4		войско
войско-110	войско-111	annotator1	4		войско
войско-110	войско-111	annotator2	4		войско
войско-110	войско-111	annotator3	3		войско
войско-110	войско-111	annotator4	4		войско
