lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
войско	NOUN	1918-1990	2	войско-0		"Единственный и величайший" заговорил низким хриплым голосом: -- Лазутчики меня известили, что сын желтоухой собаки, хорезм-шах Мухаммед, тайно покинул свое войско.	157:163	0:164
войско	NOUN	1918-1990	2	войско-1		Победить такое войско врагов и скрыть победу от соратника.	15:21	0:58
войско	NOUN	1682-1916	1	войско-2		"Повесть временных лет" сообщает (под 1111 г.), что русское войско в трудной битве разгромило половцев с помощью ангелов небесных.	60:66	0:130
войско	NOUN	1918-1990	2	войско-3		Подавить возмущение явился римский полководец Веспасиан с тремя легионами регулярного войска; будучи вскоре избран императором, он оставил войско сыну своему Титу, который весной 70 г. обложил Иерусалим.	86:92	0:203
войско	NOUN	1682-1916	1	войско-4		-- "Неладно, атаман, чинишь ты, приказывая мног народ беглой к Астрахани, и надобно тебе распустить, а не манить людей, чтоб тем не чинить нелюбья от великого государя, и ехати тебе вскорости в Войско донское, чего для службы в войске за многая вины своя перед землей русской и великим государем.	194:200	0:296
войско	NOUN	1918-1990	2	войско-5		По возвращении своем Хмельницкий служил в войске польском; потом несколько лет жил в селении Субботове, в покое.	42:48	0:112
войско	NOUN	1682-1916	1	войско-6		-- Значит, против нас двинули царскую гвардию, при-виле-ги-ро-ванное войско, -- разломив длинное слово, он усмешливо взглянул на Клима.	69:75	0:135
войско	NOUN	1918-1990	2	войско-7		-- Тебе известно, отче Леонид, что мы все, собравшиеся здесь мирские люди, если не в явной опале, то, по крайней мере, не любимы Борисом Федоровичем и лишены наших мест и в войске, и в Думе.	173:179	0:190
войско	NOUN	1918-1990	2	войско-8		-- Не беспокойся, я помню, а вот, как по-твоему -- Ага Как по-моему Ты сказал: дайте честное слово, что не пойдете к своему войску.	124:130	0:131
войско	NOUN	1918-1990	2	войско-9		Сначала он ничего не хотел отвечать, а как я покричал на него маленько, он рассказал, что скоро в Нарву ждут самого Шлиппенбаха с большим войском и шведы уже отправили туда караван в тридцать пять судов с хлебом, солодом, сельдями, копченой рыбой и солониной.	138:145	0:259
войско	NOUN	1682-1916	1	войско-10		-- Но для того-то вот людям нашего закала, наших убеждений и нужно, прежде всего, вносить пропаганду в войско.	103:109	0:110
войско	NOUN	1682-1916	1	войско-11		Но они не хотят припомнить, что мы в сущности воюем не с одними турками, а и с европейскими державами, что множество англичан служат офицерами в турецком войске, что вооружены турки на европейские деньги, что европейская дипломатия во многом стала поперек нашей дороги с самого начала войны, лишив нас помощи естественных союзников наших, лишив нас даже настоящих дорог наших в Турцию.	154:160	0:385
войско	NOUN	1682-1916	1	войско-12		-- Ты видел, какие туманы подымаются из глубины ущелий Это души убитых твоим войском младенцев.	77:84	0:95
войско	NOUN	1918-1990	2	войско-13		Послы соглашались однако ж писать к Ермогену, боярам и войску об унятии кровопролития, если Сигизмунд обяжется немедленно выступить из России: чего он никак не хотел, упорно требуя Смоленска, и в гневе велел им наконец готовиться к ссылке в Литву.	55:61	0:247
войско	NOUN	1682-1916	1	войско-14		[1437-1440 гг.] Спокойный внутри московского владения, сей юный государь имел тогда распрю с новогородцами, которые в самом начале его княжения посылали войско наказать устюжан за их грабительство в Двинской земле, и взяли с сего города в окуп 50000 белок и шесть сороков соболей, к досаде Василия.	153:159	0:298
войско	NOUN	1682-1916	1	войско-15		Потом отправлен был воинский совет, на котором положено, чтоб болшой части войску итти и добывать Гадичь.	75:81	0:105
войско	NOUN	1682-1916	1	войско-16		В 1718 году, по ходатайству царя, константинопольский патриарх разрешил не только лично ему, но и всему православному российскому войску употреблять мясо в посты за границей, во время походов, кроме семи дней, предшествующих причащению Св.	130:136	0:239
войско	NOUN	1682-1916	1	войско-17		Какое войско!	6:12	0:13
войско	NOUN	1682-1916	1	войско-18		В конце 1589 года Казы-Гирей известил Феодора о сожжении крымцами многих городов и сел в Литве и в Галиции: хваля его доблесть и дружественное к нам расположение, царь в знак признательности честил хана умеренными дарами, однако ж держал сильное войско на берегах Оки; следственно худо ему верил.	246:252	0:296
войско	NOUN	1682-1916	1	войско-19		Шли мы лесом девять верст, и, по выходе из оного, упал сильной дождь, которой наше войско ободрил, противному ж мокротою причинил вред.	83:89	0:135
войско	NOUN	1682-1916	1	войско-20		Венгерский король Андрей, услышавши о несчастье, постигшем сына, отправил к Мстиславу требование отпустить пленника, в противном случае грозил послать огромное войско.	160:166	0:167
войско	NOUN	1682-1916	1	войско-21		-- Виватом у нас в Петербурге встречает войско свою государыню.	40:46	0:63
войско	NOUN	1918-1990	2	войско-22		Вечные переселенцы, они пустили корни и на Кубани, и неужели кто-нибудь в иной час вырвет их и разбросает по свету В 1792 году "кош верных казаков", позднее -- войско Черноморское, подготовился в полном составе перекинуться за Дунай, но Екатерина II обхитрила их указом, по которому казаки наделялись островом Фанагория со всею землею по правому берегу Кубани, от низовья ее к Усть-Лабинскому редуту, так что с одной стороны река Кубань, с другой же -- Азовское море до Ейского городка служили границей войсковой земли.	160:166	0:519
войско	NOUN	1918-1990	2	войско-23		Царь обратился к князю Долгорукому: -- Князь Юрий Алексеевич, -- ты разбил польское войско Гонсевского, ты победил под Могилевом гетмана Сапегу, ты у меня первый воевода -- я от тебя совета, решенья жду, как скажешь -- так и сделаем.	84:90	0:233
войско	NOUN	1682-1916	1	войско-24		Вместе с молодой женой и небольшим ордынским отрядом, а также с ханским послом Кавгадыем Юрий наконец вернулся из Орды в Москву и неожиданно стал собирать войско на Михаила тверского.	155:161	0:183
войско	NOUN	1918-1990	2	войско-25		Падение Киева предвещало гибель и новогородской независимости: шло то же войско; тот же Мстислав вел оное.	73:79	0:106
войско	NOUN	1682-1916	1	войско-26		Во время лагерной там стоянки окружные жители поднесли ему зонт (этот парадный значок в приношении от народа выражает "полную доверенность и любовь"), по отозвании Шэн Бао войско по нем рыдало, это расположение к Шэн Бао народа и войска не высказывает ли, что он поистине с высоким характером!	172:178	0:293
войско	NOUN	1682-1916	1	войско-27		Потом обращался я в разных местах и комиссиях, командуя казанскою дивизиею; до заключения конвенции с турками командовал я кубанским корпусом, в 1783 году привел нагайские орды ко всеподданической ее императорского величества присяге, и как они, учиня мятеж, знатною частью ушли за Кубань, то имел я туда на них поход, с регулярным и сильным иррегулярным войском; были они нами за Кубанью и на реке Лабе на рассвете при Керменчике так супренированы, что потеряли множество народа и всех своих мурз, и того ж числа другой раз их и иные поколения равно сему разбиты были; одни сутки кончили все дело.	355:362	0:598
войско	NOUN	1682-1916	1	войско-28		Во всяком случае под Полтавой девятилетний камень свалился с плеч Петра: русское войско, им созданное, уничтожило шведскую армию, т. е. 30 тысяч отощавших, обносившихся, деморализованных шведов, которых затащил сюда 27-летний скандинавский бродяга.	81:87	0:248
войско	NOUN	1682-1916	1	войско-29		Теперь надобно выставить войско для истребления Чуло-хана, а потом приступим к делу о браке".	25:31	0:93
войско	NOUN	1918-1990	2	войско-30		Гвидерий и Арвираг, выросшие среди диких скал, побеждают состоящее из знатных патрициев войско римлян.	88:94	0:102
войско	NOUN	1918-1990	2	войско-31		-- Хорошо, -- сказал начальник, -- мы вас отпускаем, только дайте честное слово, что вы пойдете домой, а не в ваше войско.	115:121	0:122
войско	NOUN	1682-1916	1	войско-32		За войском шли волки, завывая сквозь вьюгу.	3:10	0:43
войско	NOUN	1918-1990	2	войско-33		Весною в 1569 году, собирая войско в Нижнем Новегороде для защиты Астрахани, Иоанн не усомнился вверить оное своему мужественному брату; но сия мнимая доверенность произвела опалу и гибель.	28:34	0:189
войско	NOUN	1682-1916	1	войско-34		И такъ Петру по низверженй съ престола сестры своея, по заключени ея въ Монастырь, по заточени любимца ея, по наказани главныхъ производителей послдняго заговора и утушени возмущеня, и наконецъ по уступлени Ему единому кроткимъ братомъ его власти своей, содлавшись единовластителемъ и Самодержцемъ, надлежало одному заняться всми частьми правленя обширнйшаго въ свт Государства, и поправить главныя злоупотребленя, застарвшя въ царствоване предшественниковъ Его; надлежало уничтожить мятежное Стрлецкое войско, и на мсто онаго имть новое обученное по лучшему Европейскому образцу, привязать новыхъ сихъ воиновъ къ своей должности, къ своему Государю, къ отечеству; надлежало пручить подданныхъ вступать въ сю службу безъ отвращеня, и имть таковаго войска число извстное какъ во время войны, такъ и мирное.	503:509	0:805
войско	NOUN	1682-1916	1	войско-35		Шуйский, провождаемый множеством чиновных стольников и стряпчих, нашел войско близ Стародуба в лесах, между засеками, где оно, усиленное новыми дружинами, как бы таилось от неприятеля, в бездействии, в унынии, с предводителем недужным; другая запасная рать под начальством Федора Шереметева собиралась близ Кром, так что Борис имел в поле не менее осьмидесяти тысяч воинов.	71:77	0:373
войско	NOUN	1918-1990	2	войско-36		Кого возьмут в войско да пошлют куда, тогда жди!	15:21	0:48
войско	NOUN	1918-1990	2	войско-37		Трое гостей -- Амарантовъ, Ферфаксовъ и Михако -- одтые въ однообразную одежду, въ одинаковыхъ черныхъ шляпахъ съ широкими полями и правда были похожи на солдатъ какого то экзотическаго, будто американскаго войска.	207:213	0:214
войско	NOUN	1682-1916	1	войско-38		Леонардо спешно перебрался в Имолу, где находился со своим войском Цезарь.	59:66	0:74
