identifier1	identifier2	annotator	judgment	comment	lemma
вывеска-108-12	вывеска-109-12	annotator1	1		вывеска
вывеска-8-12	вывеска-9-12	annotator1	4		вывеска
вывеска-114-12	вывеска-115-12	annotator1	4		вывеска
вывеска-116-12	вывеска-117-12	annotator1	4		вывеска
вывеска-10-12	вывеска-11-12	annotator1	4		вывеска
вывеска-118-12	вывеска-119-12	annotator1	4		вывеска
вывеска-0-12	вывеска-1-12	annotator1	4		вывеска
вывеска-36-12	вывеска-37-12	annotator1	4		вывеска
вывеска-112-12	вывеска-113-12	annotator1	4		вывеска
вывеска-104-12	вывеска-105-12	annotator1	4		вывеска
вывеска-38-12	вывеска-39-12	annotator1	4		вывеска
вывеска-106-12	вывеска-107-12	annotator1	1		вывеска
вывеска-40-12	вывеска-41-12	annotator1	1		вывеска
вывеска-110-12	вывеска-111-12	annotator1	3		вывеска
вывеска-42-12	вывеска-43-12	annotator1	2		вывеска
вывеска-60-12	вывеска-61-12	annotator1	2		вывеска
вывеска-92-12	вывеска-93-12	annotator1	4		вывеска
вывеска-58-12	вывеска-59-12	annotator1	4		вывеска
вывеска-90-12	вывеска-91-12	annotator1	4		вывеска
вывеска-6-12	вывеска-7-12	annotator1	4		вывеска
вывеска-18-12	вывеска-19-12	annotator1	1		вывеска
вывеска-16-12	вывеска-17-12	annotator1	4		вывеска
вывеска-22-12	вывеска-23-12	annotator1	4		вывеска
вывеска-14-12	вывеска-15-12	annotator1	4		вывеска
вывеска-24-12	вывеска-25-12	annotator1	4		вывеска
вывеска-48-12	вывеска-49-12	annotator1	4		вывеска
вывеска-12-12	вывеска-13-12	annotator1	4		вывеска
вывеска-96-12	вывеска-97-12	annotator1	4		вывеска
вывеска-98-12	вывеска-99-12	annotator1	4		вывеска
вывеска-100-12	вывеска-101-12	annotator1	4		вывеска
вывеска-2-12	вывеска-3-12	annotator1	4		вывеска
вывеска-102-12	вывеска-103-12	annotator1	4		вывеска
вывеска-94-12	вывеска-95-12	annotator1	4		вывеска
вывеска-4-12	вывеска-5-12	annotator1	4		вывеска
вывеска-86-12	вывеска-87-12	annotator1	3		вывеска
вывеска-88-12	вывеска-89-12	annotator1	1		вывеска
вывеска-44-12	вывеска-45-12	annotator1	4		вывеска
вывеска-20-12	вывеска-21-12	annotator1	4		вывеска
вывеска-64-12	вывеска-65-12	annotator1	4		вывеска
вывеска-80-12	вывеска-81-12	annotator1	1		вывеска
вывеска-82-12	вывеска-83-12	annotator1	4		вывеска
вывеска-84-12	вывеска-85-12	annotator1	4		вывеска
вывеска-78-12	вывеска-79-12	annotator1	4		вывеска
вывеска-26-12	вывеска-27-12	annotator1	4		вывеска
вывеска-66-12	вывеска-67-12	annotator1	4		вывеска
вывеска-56-12	вывеска-57-12	annotator1	4		вывеска
вывеска-76-12	вывеска-77-12	annotator1	1		вывеска
вывеска-30-12	вывеска-31-12	annotator1	4		вывеска
вывеска-68-12	вывеска-69-12	annotator1	3		вывеска
вывеска-28-12	вывеска-29-12	annotator1	4		вывеска
вывеска-52-12	вывеска-53-12	annotator1	4		вывеска
вывеска-54-12	вывеска-55-12	annotator1	1		вывеска
вывеска-34-12	вывеска-35-12	annotator1	3		вывеска
вывеска-74-12	вывеска-75-12	annotator1	1		вывеска
вывеска-70-12	вывеска-71-12	annotator1	1		вывеска
вывеска-50-12	вывеска-51-12	annotator1	4		вывеска
вывеска-62-12	вывеска-63-12	annotator1	4		вывеска
вывеска-72-12	вывеска-73-12	annotator1	4		вывеска
вывеска-46-12	вывеска-47-12	annotator1	4		вывеска
вывеска-32-12	вывеска-33-12	annotator1	4		вывеска
вывеска-16-12	вывеска-17-12	annotator2	4		вывеска
вывеска-82-12	вывеска-83-12	annotator2	4		вывеска
вывеска-72-12	вывеска-73-12	annotator2	4		вывеска
вывеска-94-12	вывеска-95-12	annotator2	3		вывеска
вывеска-100-12	вывеска-101-12	annotator2	4		вывеска
вывеска-14-12	вывеска-15-12	annotator2	4		вывеска
вывеска-74-12	вывеска-75-12	annotator2	2		вывеска
вывеска-66-12	вывеска-67-12	annotator2	4		вывеска
вывеска-98-12	вывеска-99-12	annotator2	4		вывеска
вывеска-70-12	вывеска-71-12	annotator2	3		вывеска
вывеска-96-12	вывеска-97-12	annotator2	4		вывеска
вывеска-68-12	вывеска-69-12	annotator2	4		вывеска
вывеска-76-12	вывеска-77-12	annotator2	4		вывеска
вывеска-86-12	вывеска-87-12	annotator2	4		вывеска
вывеска-92-12	вывеска-93-12	annotator2	2		вывеска
вывеска-90-12	вывеска-91-12	annotator2	4		вывеска
вывеска-60-12	вывеска-61-12	annotator2	4		вывеска
вывеска-64-12	вывеска-65-12	annotator2	4		вывеска
вывеска-58-12	вывеска-59-12	annotator2	4		вывеска
вывеска-84-12	вывеска-85-12	annotator2	4		вывеска
вывеска-48-12	вывеска-49-12	annotator2	4		вывеска
вывеска-110-12	вывеска-111-12	annotator2	4		вывеска
вывеска-108-12	вывеска-109-12	annotator2	3		вывеска
вывеска-18-12	вывеска-19-12	annotator2	4		вывеска
вывеска-106-12	вывеска-107-12	annotator2	4		вывеска
вывеска-50-12	вывеска-51-12	annotator2	4		вывеска
вывеска-104-12	вывеска-105-12	annotator2	4		вывеска
вывеска-52-12	вывеска-53-12	annotator2	4		вывеска
вывеска-54-12	вывеска-55-12	annotator2	4		вывеска
вывеска-112-12	вывеска-113-12	annotator2	4		вывеска
вывеска-118-12	вывеска-119-12	annotator2	4		вывеска
вывеска-116-12	вывеска-117-12	annotator2	4		вывеска
вывеска-56-12	вывеска-57-12	annotator2	4		вывеска
вывеска-114-12	вывеска-115-12	annotator2	3		вывеска
вывеска-102-12	вывеска-103-12	annotator2	4		вывеска
вывеска-62-12	вывеска-63-12	annotator2	4		вывеска
вывеска-78-12	вывеска-79-12	annotator2	4		вывеска
вывеска-80-12	вывеска-81-12	annotator2	4		вывеска
вывеска-88-12	вывеска-89-12	annotator2	1		вывеска
вывеска-0-12	вывеска-1-12	annotator2	4		вывеска
вывеска-6-12	вывеска-7-12	annotator2	4		вывеска
вывеска-24-12	вывеска-25-12	annotator2	4		вывеска
вывеска-12-12	вывеска-13-12	annotator2	4		вывеска
вывеска-36-12	вывеска-37-12	annotator2	1		вывеска
вывеска-46-12	вывеска-47-12	annotator2	4		вывеска
вывеска-10-12	вывеска-11-12	annotator2	4		вывеска
вывеска-44-12	вывеска-45-12	annotator2	4		вывеска
вывеска-28-12	вывеска-29-12	annotator2	4		вывеска
вывеска-22-12	вывеска-23-12	annotator2	4		вывеска
вывеска-38-12	вывеска-39-12	annotator2	2		вывеска
вывеска-8-12	вывеска-9-12	annotator2	4		вывеска
вывеска-2-12	вывеска-3-12	annotator2	1		вывеска
вывеска-4-12	вывеска-5-12	annotator2	4		вывеска
вывеска-42-12	вывеска-43-12	annotator2	4		вывеска
вывеска-32-12	вывеска-33-12	annotator2	3		вывеска
вывеска-40-12	вывеска-41-12	annotator2	2		вывеска
вывеска-26-12	вывеска-27-12	annotator2	4		вывеска
вывеска-20-12	вывеска-21-12	annotator2	4		вывеска
вывеска-34-12	вывеска-35-12	annotator2	4		вывеска
вывеска-30-12	вывеска-31-12	annotator2	4		вывеска
вывеска-114-12	вывеска-115-12	annotator3	4		вывеска
вывеска-50-12	вывеска-51-12	annotator3	4		вывеска
вывеска-102-12	вывеска-103-12	annotator3	4		вывеска
вывеска-52-12	вывеска-53-12	annotator3	4		вывеска
вывеска-54-12	вывеска-55-12	annotator3	2		вывеска
вывеска-92-12	вывеска-93-12	annotator3	1		вывеска
вывеска-84-12	вывеска-85-12	annotator3	4		вывеска
вывеска-90-12	вывеска-91-12	annotator3	4		вывеска
вывеска-6-12	вывеска-7-12	annotator3	4		вывеска
вывеска-8-12	вывеска-9-12	annotator3	4		вывеска
вывеска-24-12	вывеска-25-12	annotator3	4		вывеска
вывеска-56-12	вывеска-57-12	annotator3	4		вывеска
вывеска-46-12	вывеска-47-12	annotator3	4		вывеска
вывеска-110-12	вывеска-111-12	annotator3	4		вывеска
вывеска-40-12	вывеска-41-12	annotator3	1		вывеска
вывеска-58-12	вывеска-59-12	annotator3	4		вывеска
вывеска-108-12	вывеска-109-12	annotator3	1		вывеска
вывеска-42-12	вывеска-43-12	annotator3	4		вывеска
вывеска-60-12	вывеска-61-12	annotator3	4		вывеска
вывеска-106-12	вывеска-107-12	annotator3	4		вывеска
вывеска-112-12	вывеска-113-12	annotator3	4		вывеска
вывеска-38-12	вывеска-39-12	annotator3	4		вывеска
вывеска-62-12	вывеска-63-12	annotator3	4		вывеска
вывеска-104-12	вывеска-105-12	annotator3	4		вывеска
вывеска-64-12	вывеска-65-12	annotator3	1		вывеска
вывеска-36-12	вывеска-37-12	annotator3	1		вывеска
вывеска-116-12	вывеска-117-12	annotator3	4		вывеска
вывеска-118-12	вывеска-119-12	annotator3	4		вывеска
вывеска-10-12	вывеска-11-12	annotator3	4		вывеска
вывеска-44-12	вывеска-45-12	annotator3	4		вывеска
вывеска-66-12	вывеска-67-12	annotator3	4		вывеска
вывеска-30-12	вывеска-31-12	annotator3	3		вывеска
вывеска-88-12	вывеска-89-12	annotator3	1		вывеска
вывеска-0-12	вывеска-1-12	annotator3	3		вывеска
вывеска-26-12	вывеска-27-12	annotator3	4		вывеска
вывеска-76-12	вывеска-77-12	annotator3	4		вывеска
вывеска-48-12	вывеска-49-12	annotator3	4		вывеска
вывеска-68-12	вывеска-69-12	annotator3	4		вывеска
вывеска-12-12	вывеска-13-12	annotator3	4		вывеска
вывеска-32-12	вывеска-33-12	annotator3	4		вывеска
вывеска-22-12	вывеска-23-12	annotator3	4		вывеска
вывеска-14-12	вывеска-15-12	annotator3	4		вывеска
вывеска-34-12	вывеска-35-12	annotator3	4		вывеска
вывеска-72-12	вывеска-73-12	annotator3	4		вывеска
вывеска-16-12	вывеска-17-12	annotator3	3		вывеска
вывеска-74-12	вывеска-75-12	annotator3	1		вывеска
вывеска-20-12	вывеска-21-12	annotator3	4		вывеска
вывеска-18-12	вывеска-19-12	annotator3	4		вывеска
вывеска-94-12	вывеска-95-12	annotator3	3		вывеска
вывеска-82-12	вывеска-83-12	annotator3	4		вывеска
вывеска-96-12	вывеска-97-12	annotator3	4		вывеска
вывеска-78-12	вывеска-79-12	annotator3	4		вывеска
вывеска-70-12	вывеска-71-12	annotator3	4		вывеска
вывеска-28-12	вывеска-29-12	annotator3	4		вывеска
вывеска-100-12	вывеска-101-12	annotator3	4		вывеска
вывеска-80-12	вывеска-81-12	annotator3	3		вывеска
вывеска-86-12	вывеска-87-12	annotator3	4		вывеска
вывеска-98-12	вывеска-99-12	annotator3	4		вывеска
вывеска-4-12	вывеска-5-12	annotator3	4		вывеска
вывеска-2-12	вывеска-3-12	annotator3	3		вывеска
вывеска-54-12	вывеска-55-12	annotator4	4		вывеска
вывеска-70-12	вывеска-71-12	annotator4	4		вывеска
вывеска-34-12	вывеска-35-12	annotator4	4		вывеска
вывеска-50-12	вывеска-51-12	annotator4	4		вывеска
вывеска-24-12	вывеска-25-12	annotator4	4		вывеска
вывеска-72-12	вывеска-73-12	annotator4	4		вывеска
вывеска-58-12	вывеска-59-12	annotator4	4		вывеска
вывеска-30-12	вывеска-31-12	annotator4	3		вывеска
вывеска-26-12	вывеска-27-12	annotator4	4		вывеска
вывеска-76-12	вывеска-77-12	annotator4	4		вывеска
вывеска-60-12	вывеска-61-12	annotator4	4		вывеска
вывеска-42-12	вывеска-43-12	annotator4	4		вывеска
вывеска-62-12	вывеска-63-12	annotator4	4		вывеска
вывеска-44-12	вывеска-45-12	annotator4	4		вывеска
вывеска-78-12	вывеска-79-12	annotator4	4		вывеска
вывеска-68-12	вывеска-69-12	annotator4	4		вывеска
вывеска-64-12	вывеска-65-12	annotator4	4		вывеска
вывеска-66-12	вывеска-67-12	annotator4	3		вывеска
вывеска-56-12	вывеска-57-12	annotator4	4		вывеска
вывеска-74-12	вывеска-75-12	annotator4	1		вывеска
вывеска-52-12	вывеска-53-12	annotator4	4		вывеска
вывеска-48-12	вывеска-49-12	annotator4	4		вывеска
вывеска-80-12	вывеска-81-12	annotator4	4		вывеска
вывеска-82-12	вывеска-83-12	annotator4	4		вывеска
вывеска-46-12	вывеска-47-12	annotator4	4		вывеска
вывеска-28-12	вывеска-29-12	annotator4	4		вывеска
вывеска-32-12	вывеска-33-12	annotator4	4		вывеска
вывеска-84-12	вывеска-85-12	annotator4	3		вывеска
вывеска-18-12	вывеска-19-12	annotator4	4		вывеска
вывеска-102-12	вывеска-103-12	annotator4	2		вывеска
вывеска-94-12	вывеска-95-12	annotator4	4		вывеска
вывеска-4-12	вывеска-5-12	annotator4	4		вывеска
вывеска-114-12	вывеска-115-12	annotator4	4		вывеска
вывеска-96-12	вывеска-97-12	annotator4	4		вывеска
вывеска-8-12	вывеска-9-12	annotator4	1		вывеска
вывеска-112-12	вывеска-113-12	annotator4	2		вывеска
вывеска-0-12	вывеска-1-12	annotator4	3		вывеска
вывеска-92-12	вывеска-93-12	annotator4	1		вывеска
вывеска-98-12	вывеска-99-12	annotator4	4		вывеска
вывеска-6-12	вывеска-7-12	annotator4	4		вывеска
вывеска-90-12	вывеска-91-12	annotator4	1		вывеска
вывеска-40-12	вывеска-41-12	annotator4	3		вывеска
вывеска-100-12	вывеска-101-12	annotator4	4		вывеска
вывеска-88-12	вывеска-89-12	annotator4	1		вывеска
вывеска-10-12	вывеска-11-12	annotator4	4		вывеска
вывеска-2-12	вывеска-3-12	annotator4	1		вывеска
вывеска-86-12	вывеска-87-12	annotator4	4		вывеска
вывеска-118-12	вывеска-119-12	annotator4	4		вывеска
вывеска-22-12	вывеска-23-12	annotator4	4		вывеска
вывеска-116-12	вывеска-117-12	annotator4	4		вывеска
вывеска-106-12	вывеска-107-12	annotator4	4		вывеска
вывеска-12-12	вывеска-13-12	annotator4	4		вывеска
вывеска-110-12	вывеска-111-12	annotator4	4		вывеска
вывеска-16-12	вывеска-17-12	annotator4	4		вывеска
вывеска-36-12	вывеска-37-12	annotator4	2		вывеска
вывеска-108-12	вывеска-109-12	annotator4	4		вывеска
вывеска-14-12	вывеска-15-12	annotator4	4		вывеска
вывеска-104-12	вывеска-105-12	annotator4	4		вывеска
вывеска-20-12	вывеска-21-12	annotator4	4		вывеска
вывеска-38-12	вывеска-39-12	annotator4	4		вывеска
вывеска-20-12	вывеска-21-12	annotator5	4		вывеска
вывеска-0-12	вывеска-1-12	annotator5	4		вывеска
вывеска-80-12	вывеска-81-12	annotator5	3		вывеска
вывеска-10-12	вывеска-11-12	annotator5	3		вывеска
вывеска-100-12	вывеска-101-12	annotator5	4		вывеска
вывеска-16-12	вывеска-17-12	annotator5	4		вывеска
вывеска-98-12	вывеска-99-12	annotator5	4		вывеска
вывеска-72-12	вывеска-73-12	annotator5	4		вывеска
вывеска-14-12	вывеска-15-12	annotator5	4		вывеска
вывеска-68-12	вывеска-69-12	annotator5	4		вывеска
вывеска-82-12	вывеска-83-12	annotator5	4		вывеска
вывеска-28-12	вывеска-29-12	annotator5	4		вывеска
вывеска-96-12	вывеска-97-12	annotator5	3		вывеска
вывеска-70-12	вывеска-71-12	annotator5	4		вывеска
вывеска-32-12	вывеска-33-12	annotator5	4		вывеска
вывеска-12-12	вывеска-13-12	annotator5	4		вывеска
вывеска-46-12	вывеска-47-12	annotator5	4		вывеска
вывеска-26-12	вывеска-27-12	annotator5	4		вывеска
вывеска-66-12	вывеска-67-12	annotator5	1		вывеска
вывеска-94-12	вывеска-95-12	annotator5	4		вывеска
вывеска-74-12	вывеска-75-12	annotator5	1		вывеска
вывеска-30-12	вывеска-31-12	annotator5	3		вывеска
вывеска-78-12	вывеска-79-12	annotator5	4		вывеска
вывеска-24-12	вывеска-25-12	annotator5	4		вывеска
вывеска-92-12	вывеска-93-12	annotator5	4		вывеска
вывеска-118-12	вывеска-119-12	annotator5	4		вывеска
вывеска-4-12	вывеска-5-12	annotator5	4		вывеска
вывеска-110-12	вывеска-111-12	annotator5	1		вывеска
вывеска-44-12	вывеска-45-12	annotator5	4		вывеска
вывеска-62-12	вывеска-63-12	annotator5	4		вывеска
вывеска-36-12	вывеска-37-12	annotator5	2		вывеска
вывеска-56-12	вывеска-57-12	annotator5	4		вывеска
вывеска-104-12	вывеска-105-12	annotator5	4		вывеска
вывеска-42-12	вывеска-43-12	annotator5	4		вывеска
вывеска-106-12	вывеска-107-12	annotator5	4		вывеска
вывеска-18-12	вывеска-19-12	annotator5	4		вывеска
вывеска-58-12	вывеска-59-12	annotator5	3		вывеска
вывеска-108-12	вывеска-109-12	annotator5	1		вывеска
вывеска-40-12	вывеска-41-12	annotator5	1		вывеска
вывеска-60-12	вывеска-61-12	annotator5	4		вывеска
вывеска-22-12	вывеска-23-12	annotator5	4		вывеска
вывеска-116-12	вывеска-117-12	annotator5	4		вывеска
вывеска-48-12	вывеска-49-12	annotator5	4		вывеска
вывеска-86-12	вывеска-87-12	annotator5	4		вывеска
вывеска-76-12	вывеска-77-12	annotator5	4		вывеска
вывеска-88-12	вывеска-89-12	annotator5	2		вывеска
вывеска-64-12	вывеска-65-12	annotator5	2		вывеска
вывеска-90-12	вывеска-91-12	annotator5	1		вывеска
вывеска-54-12	вывеска-55-12	annotator5	4		вывеска
вывеска-6-12	вывеска-7-12	annotator5	3		вывеска
вывеска-34-12	вывеска-35-12	annotator5	4		вывеска
вывеска-84-12	вывеска-85-12	annotator5	4		вывеска
вывеска-52-12	вывеска-53-12	annotator5	4		вывеска
вывеска-102-12	вывеска-103-12	annotator5	4		вывеска
вывеска-112-12	вывеска-113-12	annotator5	2		вывеска
вывеска-50-12	вывеска-51-12	annotator5	4		вывеска
вывеска-114-12	вывеска-115-12	annotator5	4		вывеска
вывеска-8-12	вывеска-9-12	annotator5	4		вывеска
вывеска-2-12	вывеска-3-12	annotator5	2		вывеска
вывеска-38-12	вывеска-39-12	annotator5	4		вывеска
