identifier1	identifier2	annotator	judgment	comment	lemma
графиня-0	графиня-1	annotator1	4		графиня
графиня-0	графиня-1	annotator2	4		графиня
графиня-0	графиня-1	annotator3	4		графиня
графиня-0	графиня-1	annotator4	4		графиня
графиня-0	графиня-1	annotator5	4		графиня
графиня-2	графиня-3	annotator1	4		графиня
графиня-2	графиня-3	annotator2	4		графиня
графиня-2	графиня-3	annotator3	4		графиня
графиня-2	графиня-3	annotator4	4		графиня
графиня-2	графиня-3	annotator5	4		графиня
графиня-4	графиня-5	annotator1	4		графиня
графиня-4	графиня-5	annotator2	4		графиня
графиня-4	графиня-5	annotator3	4		графиня
графиня-4	графиня-5	annotator4	4		графиня
графиня-4	графиня-5	annotator5	4		графиня
графиня-6	графиня-7	annotator1	4		графиня
графиня-6	графиня-7	annotator2	4		графиня
графиня-6	графиня-7	annotator3	4		графиня
графиня-6	графиня-7	annotator4	4		графиня
графиня-6	графиня-7	annotator5	4		графиня
графиня-8	графиня-9	annotator1	4		графиня
графиня-8	графиня-9	annotator2	4		графиня
графиня-8	графиня-9	annotator3	3		графиня
графиня-8	графиня-9	annotator4	4		графиня
графиня-8	графиня-9	annotator5	4		графиня
графиня-10	графиня-11	annotator1	4		графиня
графиня-10	графиня-11	annotator2	4		графиня
графиня-10	графиня-11	annotator3	4		графиня
графиня-10	графиня-11	annotator4	4		графиня
графиня-10	графиня-11	annotator5	4		графиня
графиня-12	графиня-13	annotator1	4		графиня
графиня-12	графиня-13	annotator2	4		графиня
графиня-12	графиня-13	annotator3	4		графиня
графиня-12	графиня-13	annotator4	4		графиня
графиня-12	графиня-13	annotator5	4		графиня
графиня-14	графиня-15	annotator1	4		графиня
графиня-14	графиня-15	annotator2	4		графиня
графиня-14	графиня-15	annotator3	3		графиня
графиня-14	графиня-15	annotator4	4		графиня
графиня-14	графиня-15	annotator5	4		графиня
графиня-16	графиня-17	annotator1	4		графиня
графиня-16	графиня-17	annotator2	4		графиня
графиня-16	графиня-17	annotator3	4		графиня
графиня-16	графиня-17	annotator4	4		графиня
графиня-16	графиня-17	annotator5	4		графиня
графиня-18	графиня-19	annotator1	4		графиня
графиня-18	графиня-19	annotator2	4		графиня
графиня-18	графиня-19	annotator3	4		графиня
графиня-18	графиня-19	annotator4	4		графиня
графиня-18	графиня-19	annotator5	4		графиня
графиня-20	графиня-21	annotator1	4		графиня
графиня-20	графиня-21	annotator2	4		графиня
графиня-20	графиня-21	annotator3	4		графиня
графиня-20	графиня-21	annotator4	4		графиня
графиня-20	графиня-21	annotator5	4		графиня
графиня-22	графиня-23	annotator1	4		графиня
графиня-22	графиня-23	annotator2	4		графиня
графиня-22	графиня-23	annotator3	4		графиня
графиня-22	графиня-23	annotator4	4		графиня
графиня-22	графиня-23	annotator5	4		графиня
графиня-24	графиня-25	annotator1	4		графиня
графиня-24	графиня-25	annotator2	4		графиня
графиня-24	графиня-25	annotator3	4		графиня
графиня-24	графиня-25	annotator4	4		графиня
графиня-24	графиня-25	annotator5	4		графиня
графиня-26	графиня-27	annotator1	4		графиня
графиня-26	графиня-27	annotator2	4		графиня
графиня-26	графиня-27	annotator3	4		графиня
графиня-26	графиня-27	annotator4	4		графиня
графиня-26	графиня-27	annotator5	4		графиня
графиня-28	графиня-29	annotator1	4		графиня
графиня-28	графиня-29	annotator2	4		графиня
графиня-28	графиня-29	annotator3	4		графиня
графиня-28	графиня-29	annotator4	4		графиня
графиня-28	графиня-29	annotator5	4		графиня
графиня-30	графиня-31	annotator1	4		графиня
графиня-30	графиня-31	annotator2	4		графиня
графиня-30	графиня-31	annotator3	4		графиня
графиня-30	графиня-31	annotator4	4		графиня
графиня-30	графиня-31	annotator5	4		графиня
графиня-32	графиня-33	annotator1	4		графиня
графиня-32	графиня-33	annotator2	4		графиня
графиня-32	графиня-33	annotator3	4		графиня
графиня-32	графиня-33	annotator4	4		графиня
графиня-32	графиня-33	annotator5	4		графиня
графиня-34	графиня-35	annotator1	4		графиня
графиня-34	графиня-35	annotator2	4		графиня
