lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
графиня	NOUN	1918-1990	2	графиня-0		-- А вы, может, не из буржуев -- Я графиня Могельницкая.	35:42	0:56
графиня	NOUN	1918-1990	2	графиня-1		Графиня, неотрывно глядя на него, сидела на широкой кушетке, окруженная счастливыми раскрасневшимися племянниками.	0:7	0:114
графиня	NOUN	1682-1916	1	графиня-2		-- А кто эта женщина Тоже какая-нибудь графиня Тарновская -- Не видел ее, не знаю.	39:46	0:82
графиня	NOUN	1918-1990	2	графиня-3		Я найду сам графиню Имогену.	12:19	0:28
графиня	NOUN	1682-1916	1	графиня-4		-- Ведь главное, он такой нежный отец, -- сказала графиня Марья, оправдывая своего мужа, -- но только, когда уже год или этак...	50:57	0:128
графиня	NOUN	1682-1916	1	графиня-5		В некоторых тогдашних спесивых кружках были возмущены неровным браком графа Николая Петровича Шереметева и весьма часто позволяли себе злословить графиню Прасковью Ивановну, которую бабушка знала с отличной стороны и любила со всею горячностию своей благородной натуры.	146:153	0:269
графиня	NOUN	1682-1916	1	графиня-6		-- Вы можете идти, -- обратилась Стефания к Франциске и Адаму, -- мы с графиней немного побудем здесь.	71:79	0:102
графиня	NOUN	1918-1990	2	графиня-7		Какая женщина графиня Тереза!	14:21	0:29
графиня	NOUN	1682-1916	1	графиня-8		-- Да кто же объявил войну туркам Иван Иванович Рагозов и графиня Лидия Ивановна с мадам Шталь Вот и проговорился.	58:65	0:114
графиня	NOUN	1682-1916	1	графиня-9		-- Права наши на вас, графиня, не одинаковы.	22:29	0:44
графиня	NOUN	1682-1916	1	графиня-10		-- Да, графиня, и я думаю, что счастье взыскало их без заслуг; думаю, что они ни почему не имеют на него права.	7:14	0:111
графиня	NOUN	1682-1916	1	графиня-11		В Претории, где до сих пор продолжаются беспорядки, воспрещена продажа алкоголя. 73-летний Кошут, бывший венгерский министр торговли, опасно заболев, пожелал обвенчаться с графиней Бениовоки, с которой уже был обручен.	172:180	0:218
графиня	NOUN	1918-1990	2	графиня-12		-- Как вы тут поживаете Говорят, графиня сама доит корову.	33:40	0:58
графиня	NOUN	1918-1990	2	графиня-13		Так рассказ о вполне прозаическом вымогательстве приобретает иной, мистический характер, и встреча Германна с графиней превращается во встречу человека с чем-то иррациональным, придавая повествованию новый, философский характер.	110:118	0:228
