identifier1	identifier2	annotator	judgment	comment	lemma
декрет-82-12	декрет-83-12	annotator1	4		декрет
декрет-22-12	декрет-23-12	annotator1	4		декрет
декрет-16-12	декрет-17-12	annotator1	4		декрет
декрет-18-12	декрет-19-12	annotator1	4		декрет
декрет-20-12	декрет-21-12	annotator1	4		декрет
декрет-98-12	декрет-99-12	annotator1	4		декрет
декрет-100-12	декрет-101-12	annotator1	4		декрет
декрет-102-12	декрет-103-12	annotator1	2		декрет
декрет-104-12	декрет-105-12	annotator1	4		декрет
декрет-92-12	декрет-93-12	annotator1	4		декрет
декрет-94-12	декрет-95-12	annotator1	4		декрет
декрет-96-12	декрет-97-12	annotator1	4		декрет
декрет-114-12	декрет-115-12	annotator1	4		декрет
декрет-116-12	декрет-117-12	annotator1	3		декрет
декрет-118-12	декрет-119-12	annotator1	4		декрет
декрет-106-12	декрет-107-12	annotator1	4		декрет
декрет-108-12	декрет-109-12	annotator1	4		декрет
декрет-110-12	декрет-111-12	annotator1	4		декрет
декрет-112-12	декрет-113-12	annotator1	1		декрет
декрет-90-12	декрет-91-12	annotator1	4		декрет
декрет-70-12	декрет-71-12	annotator1	4		декрет
декрет-72-12	декрет-73-12	annotator1	3		декрет
декрет-28-12	декрет-29-12	annotator1	3		декрет
декрет-26-12	декрет-27-12	annotator1	2		декрет
декрет-24-12	декрет-25-12	annotator1	1		декрет
декрет-14-12	декрет-15-12	annotator1	4		декрет
декрет-40-12	декрет-41-12	annotator1	4		декрет
декрет-44-12	декрет-45-12	annotator1	4		декрет
декрет-42-12	декрет-43-12	annotator1	4		декрет
декрет-38-12	декрет-39-12	annotator1	4		декрет
декрет-32-12	декрет-33-12	annotator1	4		декрет
декрет-34-12	декрет-35-12	annotator1	4		декрет
декрет-36-12	декрет-37-12	annotator1	3		декрет
декрет-52-12	декрет-53-12	annotator1	4		декрет
декрет-54-12	декрет-55-12	annotator1	4		декрет
декрет-56-12	декрет-57-12	annotator1	1		декрет
декрет-74-12	декрет-75-12	annotator1	2		декрет
декрет-58-12	декрет-59-12	annotator1	4		декрет
декрет-46-12	декрет-47-12	annotator1	4		декрет
декрет-48-12	декрет-49-12	annotator1	4		декрет
декрет-50-12	декрет-51-12	annotator1	3		декрет
декрет-60-12	декрет-61-12	annotator1	2		декрет
декрет-8-12	декрет-9-12	annotator1	1		декрет
декрет-10-12	декрет-11-12	annotator1	4		декрет
декрет-12-12	декрет-13-12	annotator1	4		декрет
декрет-2-12	декрет-3-12	annotator1	1		декрет
декрет-4-12	декрет-5-12	annotator1	4		декрет
декрет-6-12	декрет-7-12	annotator1	4		декрет
декрет-30-12	декрет-31-12	annotator1	4		декрет
декрет-68-12	декрет-69-12	annotator1	4		декрет
декрет-0-12	декрет-1-12	annotator1	4		декрет
декрет-64-12	декрет-65-12	annotator1	4		декрет
декрет-88-12	декрет-89-12	annotator1	3		декрет
декрет-80-12	декрет-81-12	annotator1	4		декрет
декрет-78-12	декрет-79-12	annotator1	3		декрет
декрет-84-12	декрет-85-12	annotator1	4		декрет
декрет-86-12	декрет-87-12	annotator1	3		декрет
декрет-76-12	декрет-77-12	annotator1	4		декрет
декрет-66-12	декрет-67-12	annotator1	1		декрет
декрет-62-12	декрет-63-12	annotator1	4		декрет
декрет-68-12	декрет-69-12	annotator2	4		декрет
декрет-94-12	декрет-95-12	annotator2	4		декрет
декрет-50-12	декрет-51-12	annotator2	4		декрет
декрет-0-12	декрет-1-12	annotator2	4		декрет
декрет-6-12	декрет-7-12	annotator2	3		декрет
декрет-14-12	декрет-15-12	annotator2	4		декрет
декрет-96-12	декрет-97-12	annotator2	4		декрет
декрет-30-12	декрет-31-12	annotator2	4		декрет
декрет-12-12	декрет-13-12	annotator2	4		декрет
декрет-90-12	декрет-91-12	annotator2	4		декрет
декрет-8-12	декрет-9-12	annotator2	4		декрет
декрет-66-12	декрет-67-12	annotator2	4		декрет
декрет-114-12	декрет-115-12	annotator2	3		декрет
декрет-10-12	декрет-11-12	annotator2	4		декрет
декрет-2-12	декрет-3-12	annotator2	4		декрет
декрет-116-12	декрет-117-12	annotator2	4		декрет
декрет-88-12	декрет-89-12	annotator2	4		декрет
декрет-18-12	декрет-19-12	annotator2	4		декрет
декрет-38-12	декрет-39-12	annotator2	4		декрет
декрет-60-12	декрет-61-12	annotator2	2		декрет
декрет-84-12	декрет-85-12	annotator2	3		декрет
декрет-16-12	декрет-17-12	annotator2	4		декрет
декрет-100-12	декрет-101-12	annotator2	4		декрет
декрет-28-12	декрет-29-12	annotator2	1		декрет
декрет-92-12	декрет-93-12	annotator2	4		декрет
декрет-26-12	декрет-27-12	annotator2	3		декрет
декрет-24-12	декрет-25-12	annotator2	3		декрет
декрет-86-12	декрет-87-12	annotator2	4		декрет
декрет-104-12	декрет-105-12	annotator2	4		декрет
декрет-98-12	декрет-99-12	annotator2	4		декрет
декрет-22-12	декрет-23-12	annotator2	4		декрет
декрет-4-12	декрет-5-12	annotator2	4		декрет
декрет-118-12	декрет-119-12	annotator2	3		декрет
декрет-102-12	декрет-103-12	annotator2	1		декрет
декрет-82-12	декрет-83-12	annotator2	4		декрет
декрет-20-12	декрет-21-12	annotator2	4		декрет
декрет-48-12	декрет-49-12	annotator2	4		декрет
декрет-40-12	декрет-41-12	annotator2	3		декрет
декрет-74-12	декрет-75-12	annotator2	4		декрет
декрет-62-12	декрет-63-12	annotator2	4		декрет
декрет-42-12	декрет-43-12	annotator2	4		декрет
декрет-80-12	декрет-81-12	annotator2	3		декрет
декрет-72-12	декрет-73-12	annotator2	4		декрет
декрет-70-12	декрет-71-12	annotator2	2		декрет
декрет-32-12	декрет-33-12	annotator2	4		декрет
декрет-34-12	декрет-35-12	annotator2	3		декрет
декрет-78-12	декрет-79-12	annotator2	2		декрет
декрет-36-12	декрет-37-12	annotator2	1		декрет
декрет-54-12	декрет-55-12	annotator2	4		декрет
декрет-110-12	декрет-111-12	annotator2	4		декрет
декрет-64-12	декрет-65-12	annotator2	4		декрет
декрет-56-12	декрет-57-12	annotator2	4		декрет
декрет-44-12	декрет-45-12	annotator2	4		декрет
декрет-106-12	декрет-107-12	annotator2	4		декрет
декрет-58-12	декрет-59-12	annotator2	4		декрет
декрет-108-12	декрет-109-12	annotator2	4		декрет
декрет-52-12	декрет-53-12	annotator2	3		декрет
декрет-46-12	декрет-47-12	annotator2	4		декрет
декрет-76-12	декрет-77-12	annotator2	3		декрет
декрет-112-12	декрет-113-12	annotator2	1		декрет
декрет-34-12	декрет-35-12	annotator3	4		декрет
декрет-30-12	декрет-31-12	annotator3	3		декрет
декрет-86-12	декрет-87-12	annotator3	4		декрет
декрет-18-12	декрет-19-12	annotator3	3		декрет
декрет-28-12	декрет-29-12	annotator3	3		декрет
декрет-22-12	декрет-23-12	annotator3	3		декрет
декрет-82-12	декрет-83-12	annotator3	2		декрет
декрет-50-12	декрет-51-12	annotator3	3		декрет
декрет-80-12	декрет-81-12	annotator3	4		декрет
декрет-46-12	декрет-47-12	annotator3	3		декрет
декрет-16-12	декрет-17-12	annotator3	4		декрет
декрет-38-12	декрет-39-12	annotator3	4		декрет
декрет-42-12	декрет-43-12	annotator3	3		декрет
декрет-24-12	декрет-25-12	annotator3	2		декрет
декрет-6-12	декрет-7-12	annotator3	4		декрет
декрет-12-12	декрет-13-12	annotator3	1		декрет
декрет-56-12	декрет-57-12	annotator3	1		декрет
декрет-58-12	декрет-59-12	annotator3	2		декрет
декрет-0-12	декрет-1-12	annotator3	4		декрет
декрет-54-12	декрет-55-12	annotator3	4		декрет
декрет-76-12	декрет-77-12	annotator3	3		декрет
декрет-88-12	декрет-89-12	annotator3	3		декрет
декрет-78-12	декрет-79-12	annotator3	4		декрет
декрет-44-12	декрет-45-12	annotator3	4		декрет
декрет-2-12	декрет-3-12	annotator3	3		декрет
декрет-36-12	декрет-37-12	annotator3	1		декрет
декрет-52-12	декрет-53-12	annotator3	4		декрет
декрет-4-12	декрет-5-12	annotator3	4		декрет
декрет-10-12	декрет-11-12	annotator3	4		декрет
декрет-14-12	декрет-15-12	annotator3	4		декрет
декрет-32-12	декрет-33-12	annotator3	4		декрет
декрет-8-12	декрет-9-12	annotator3	4		декрет
декрет-48-12	декрет-49-12	annotator3	4		декрет
декрет-26-12	декрет-27-12	annotator3	3		декрет
декрет-40-12	декрет-41-12	annotator3	4		декрет
декрет-74-12	декрет-75-12	annotator3	4		декрет
декрет-70-12	декрет-71-12	annotator3	3		декрет
декрет-94-12	декрет-95-12	annotator3	4		декрет
декрет-104-12	декрет-105-12	annotator3	4		декрет
декрет-92-12	декрет-93-12	annotator3	4		декрет
декрет-114-12	декрет-115-12	annotator3	3		декрет
декрет-116-12	декрет-117-12	annotator3	4		декрет
декрет-62-12	декрет-63-12	annotator3	4		декрет
декрет-72-12	декрет-73-12	annotator3	4		декрет
декрет-84-12	декрет-85-12	annotator3	4		декрет
декрет-68-12	декрет-69-12	annotator3	4		декрет
декрет-110-12	декрет-111-12	annotator3	4		декрет
декрет-102-12	декрет-103-12	annotator3	2		декрет
декрет-60-12	декрет-61-12	annotator3	2		декрет
декрет-90-12	декрет-91-12	annotator3	4		декрет
декрет-66-12	декрет-67-12	annotator3	4		декрет
декрет-118-12	декрет-119-12	annotator3	4		декрет
декрет-100-12	декрет-101-12	annotator3	4		декрет
декрет-20-12	декрет-21-12	annotator3	4		декрет
декрет-108-12	декрет-109-12	annotator3	4		декрет
декрет-112-12	декрет-113-12	annotator3	1		декрет
декрет-64-12	декрет-65-12	annotator3	4		декрет
декрет-98-12	декрет-99-12	annotator3	4		декрет
декрет-96-12	декрет-97-12	annotator3	4		декрет
декрет-106-12	декрет-107-12	annotator3	4		декрет
декрет-48-12	декрет-49-12	annotator4	4		декрет
декрет-108-12	декрет-109-12	annotator4	4		декрет
декрет-12-12	декрет-13-12	annotator4	4		декрет
декрет-46-12	декрет-47-12	annotator4	3		декрет
декрет-56-12	декрет-57-12	annotator4	1		декрет
декрет-32-12	декрет-33-12	annotator4	4		декрет
декрет-112-12	декрет-113-12	annotator4	1		декрет
декрет-10-12	декрет-11-12	annotator4	4		декрет
декрет-110-12	декрет-111-12	annotator4	4		декрет
декрет-76-12	декрет-77-12	annotator4	4		декрет
декрет-114-12	декрет-115-12	annotator4	4		декрет
декрет-88-12	декрет-89-12	annotator4	3		декрет
декрет-8-12	декрет-9-12	annotator4	1		декрет
декрет-68-12	декрет-69-12	annotator4	4		декрет
декрет-64-12	декрет-65-12	annotator4	4		декрет
декрет-82-12	декрет-83-12	annotator4	4		декрет
