lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
декрет	NOUN	1918-1990	2	декрет-0		"Менделеевка" Первый химический 20 декабря 1920 года был подписан декрет о создании Московского химико-технологического института имени Дмитрия Ивановича Менделеева.	66:72	0:165
декрет	NOUN	1918-1990	2	декрет-1		Еще в декабре 1918 года он подписал декрет об организации первого научно-технического учреждения по радиотехнике -- Нижегородской радиолаборатории, которая впоследствии получила имя Ленина.	36:42	0:189
декрет	NOUN	1682-1916	1	декрет-2		-- Декрет о мире.	3:9	0:17
декрет	NOUN	1918-1990	2	декрет-3		Того ради если бы кто презирал и ругал, или что горше, тщался бы не допустить чтения, или проповеди слова Божия, без крайней нужды за едину некую горделивую злобу: тот наказанию церковному подлежит, или суду Епископскому, о котором выше слово было, где о анафеме, или, аще силен явится, самаго Духовнаго Коллегиум следованием и декретом.	328:336	0:337
декрет	NOUN	1682-1916	1	декрет-4		33. Президиум Центрального Исполнительного Комитета Союза Советских Социалистических Республик издает декреты, постановления и распоряжения, рассматривает и утверждает проекты декретов и постановлений, вносимых Советом Народных Комиссаров, отдельными ведомствами Союза Советских Социалистических Республик, центральными исполнительными комитетами союзных республик, их президиумами и другими органами власти.	102:109	0:408
декрет	NOUN	1918-1990	2	декрет-5		О продаже бриллиантов, дворцов и проч. почти не было помина на другой день декрета.	75:82	0:83
декрет	NOUN	1682-1916	1	декрет-6		Декретом итальянского короля разрешен кредит в тридцать миллионов на военные расходы по занятию Ливии.	0:8	0:102
декрет	NOUN	1682-1916	1	декрет-7		Этот могучий рычаг неминуемо должен быть пущен во всю свою силу, разом, повсюду, где есть возможность, и не одними декретами, а путем прямого революционного примера и призыва брать то, что принадлежит народу по праву.	115:124	0:217
декрет	NOUN	1918-1990	2	декрет-8		А на следующий день был издан чрезвычайный президентский декрет о борьбе с коммунистической опасностью, давший правительству, в отмену статей конституции о гражданских свободах, абсолютное административное полновластие.	57:63	0:219
декрет	NOUN	1918-1990	2	декрет-9		Как не использовать этот неудачливый декрет и порожденные им настроения Смесь маргарина с маслом стимулирует помесь Гитлера с Папеном.	37:43	0:134
декрет	NOUN	1918-1990	2	декрет-10		Был опубликован специальный декрет о наказании тех несознательных граждан, которые их не признавали.	28:34	0:100
декрет	NOUN	1918-1990	2	декрет-11		Придешь на вокзал, все декреты, постановления, все прочту.	23:30	0:58
декрет	NOUN	1682-1916	1	декрет-12		В декрете говорится: он будет помогать женщине в тяжких и величественных ее обязанностях.	2:9	0:89
декрет	NOUN	1918-1990	2	декрет-13		Париж, 13 (26), Х. По ходатайству лиги защиты прав человека, президентом которой состоит депутат Пресансе, президент республики подписал декрет о полном помиловании Антона Березовского, который 6-го июня 1861 года совершил покушение на жизнь Императора Александра II в Булонском лесу.	137:143	0:284
декрет	NOUN	1682-1916	1	декрет-14		В апрельское утро для населенья был напечатан декрет о понижении цен на продукты, -- продовольственные в два раза, а прочие в пять.	46:52	0:131
декрет	NOUN	1918-1990	2	декрет-15		Декрет был издан тотчас же.	0:6	0:27
декрет	NOUN	1918-1990	2	декрет-16		В октябре пошли дожди, первые утренние заморозки, последние декреты Временного Правительства.	60:67	0:93
