lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
директор	NOUN	1918-1990	2	директор-0		Зимним вечером к директору МТС вошел незнакомый человек в каракулевой шапке.	17:26	0:76
директор	NOUN	1918-1990	2	директор-1		Рассказ о директоре, который прощал 10 л[ет] жену, что она жила с инж[енером], п[отому] ч[то] инж[енер] -- великий работник, и дело без него (инж[ене]ра) ухудшится.	10:19	0:164
директор	NOUN	1918-1990	2	директор-2		-- А откуда он прибежал -- спросил директор у Серпокрылова, предполагая, что Вера замолчала надолго.	35:43	0:100
директор	NOUN	1918-1990	2	директор-3		Все, кто был в комнате, затаив дыхание слушали, как бывший главный умоляет директора.	75:84	0:85
директор	NOUN	1682-1916	1	директор-4		-- Вот ордер, -- сказал директор, не глядя на меня.	24:32	0:51
директор	NOUN	1918-1990	2	директор-5		В этом заседании я, между прочим, внес предложение, чтобы в театре кружка в течение, по крайней мере, первого сезона не шли пьесы директоров и режиссера.	130:140	0:153
директор	NOUN	1918-1990	2	директор-6		-- Еще я на тебя тем похожий, Василий, что за Верютиным, который Коломенские гривы взял, да за директором магазина, что лосей бьет, технорука Степанова не видал.	95:105	0:161
директор	NOUN	1918-1990	2	директор-7		В отношении личного состава министерства Временное правительство сочло автоматически уволенными только самих министров и товарищей министра; в отношении же директоров департаментов, а тем более младших служащих вопрос зависел от новых министров.	156:166	0:245
директор	NOUN	1682-1916	1	директор-8		-- Знаете ли, почтеннейший, -- осторожным голосом продолжал директор, -- я бы вам советовал не ходить пока в гимназию.	60:68	0:118
директор	NOUN	1682-1916	1	директор-9		Потом он рассказывал о баснословных кутежах, которые в его честь задавал в каком-то губернском городе директор банка, угодивший впоследствии под суд, и о торжественном обеде, устроенном ему в Москве печатью.	102:110	0:207
директор	NOUN	1682-1916	1	директор-10		-- Как я могу сказать,-- говорил он,-- задачу присылают из округа директору, он распечатает ее только на экзамене.	66:75	0:114
директор	NOUN	1918-1990	2	директор-11		"Свинья!" -- сквозь зубы процедил директор и отвернулся.	34:42	0:56
директор	NOUN	1682-1916	1	директор-12		-- Коллектив совхоза, -- заявил директор И.М. Гвоздев, -- горячо благодарит родную Коммунистическую партию и Советское правительство, а также своего земляка, поэта Александра Трифоновича Твардовского за заботу о хлебопашцах, о всех тружениках земли.	32:40	0:249
