lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
дождь	NOUN	1918-1990	2	дождь-0		-- Опять дождя не будет! -- сердито сказал Анискин.	9:14	0:51
дождь	NOUN	1918-1990	2	дождь-1		Души же, исходящие из тел, "бегут столь быстро, что если бы какая-нибудь душа изошла из тела в Валенсии и вошла (в другое тело) в какой-нибудь деревне в графстве Фуа, и на всем пространстве между этими местами шел бы сильный дождь, то на нее попали бы едва ли три капли" [56].	225:230	0:276
дождь	NOUN	1918-1990	2	дождь-2		-- Успели, хвала Создателю, -- прошептал Цуха на языке "детей дождя": с артиклями и редуцированными гласными; та же самая фраза на Понго могла привести прямиком в петлю, так как означала бы: "Мы вздрючили Создателя".	62:67	0:216
дождь	NOUN	1918-1990	2	дождь-3		Приехал Петр Иванович и в дождь притащился сюда наверх.	26:31	0:55
дождь	NOUN	1682-1916	1	дождь-4		. Ложась спать, надевай, на случай могущего быть ночью дождя, калоши и укрывайся брезентом, радуясь, что и сквозь брезент можно выслушивать ропот жены, вопли озябнувших детей и полицейские свистки.	55:60	0:197
дождь	NOUN	1682-1916	1	дождь-5		На обратном пути все время лил проливной дождь, и мы приехали домой в семь часов все мокрые, так что я решил в Ясную не ездить.	41:46	0:127
дождь	NOUN	1682-1916	1	дождь-6		Дожди летом редко балуют табасаранские земли.	0:5	0:45
дождь	NOUN	1918-1990	2	дождь-7		-- Бесперечь тут дождь.	17:22	0:23
дождь	NOUN	1682-1916	1	дождь-8		Дождь идет, дорога суха!	0:5	0:24
дождь	NOUN	1918-1990	2	дождь-9		Ночь была так темна, что скорее можно было набежать на берег, нежели успеть отворотить от оного; небо покрылось густыми чёрными облаками, ветр дул крепкий с порывами и дождём.	168:174	0:175
дождь	NOUN	1918-1990	2	дождь-10		Дождь моросил отовсюду, а, может, ниоткуда не моросил, мне было наплевать.	0:5	0:74
дождь	NOUN	1918-1990	2	дождь-11		Среди баснословных преданий, собранных в библии, имеется сказание о том, как некогда весь мир был затоплен дождём выше самых высоких гор.	107:113	0:137
дождь	NOUN	1682-1916	1	дождь-12		Дождь шел небольшой, но с этой минуты понеслось в воздухе все что угодно: черепицы, железные листы, стекла, вода, град, снег.	0:5	0:125
дождь	NOUN	1682-1916	1	дождь-13		Потрескавшаяся, сухая земля молила небо о дожде; пышно разросшиеся деревья стояли угрюмо и лениво; ни один листок не шевелился; по всей скале снизу до верху звонко свистали кузнечики.	42:47	0:183
