identifier1	identifier2	annotator	judgment	comment	lemma
дума-0	дума-1	annotator1	1		дума
дума-0	дума-1	annotator2	1		дума
дума-0	дума-1	annotator3	1		дума
дума-0	дума-1	annotator4	1		дума
дума-0	дума-1	annotator5	1		дума
дума-2	дума-3	annotator1	1		дума
дума-2	дума-3	annotator2	1		дума
дума-2	дума-3	annotator3	1		дума
дума-2	дума-3	annotator4	1		дума
дума-2	дума-3	annotator5	1		дума
дума-4	дума-5	annotator1	1		дума
дума-4	дума-5	annotator2	1		дума
дума-4	дума-5	annotator3	1		дума
дума-4	дума-5	annotator4	1		дума
дума-4	дума-5	annotator5	1		дума
дума-6	дума-7	annotator1	1		дума
дума-6	дума-7	annotator2	1		дума
дума-6	дума-7	annotator3	1		дума
дума-6	дума-7	annotator4	1		дума
дума-6	дума-7	annotator5	1		дума
дума-8	дума-9	annotator1	3		дума
дума-8	дума-9	annotator2	3		дума
дума-8	дума-9	annotator3	3		дума
дума-8	дума-9	annotator4	3		дума
дума-8	дума-9	annotator5	4		дума
дума-10	дума-11	annotator1	1		дума
дума-10	дума-11	annotator2	1		дума
дума-10	дума-11	annotator3	1		дума
дума-10	дума-11	annotator4	1		дума
дума-10	дума-11	annotator5	1		дума
дума-12	дума-13	annotator1	4		дума
дума-12	дума-13	annotator2	4		дума
дума-12	дума-13	annotator3	4		дума
дума-12	дума-13	annotator4	4		дума
дума-12	дума-13	annotator5	4		дума
дума-14	дума-15	annotator1	1		дума
дума-14	дума-15	annotator2	1		дума
дума-14	дума-15	annotator3	1		дума
дума-14	дума-15	annotator4	1		дума
дума-14	дума-15	annotator5	1		дума
дума-16	дума-17	annotator1	1		дума
дума-16	дума-17	annotator2	1		дума
дума-16	дума-17	annotator3	1		дума
дума-16	дума-17	annotator4	1		дума
дума-16	дума-17	annotator5	1		дума
дума-18	дума-19	annotator1	4		дума
дума-18	дума-19	annotator2	4		дума
дума-18	дума-19	annotator3	4		дума
дума-18	дума-19	annotator4	4		дума
дума-18	дума-19	annotator5	4		дума
дума-20	дума-21	annotator1	4		дума
дума-20	дума-21	annotator2	4		дума
дума-20	дума-21	annotator3	4		дума
дума-20	дума-21	annotator4	4		дума
дума-20	дума-21	annotator5	4		дума
дума-22	дума-23	annotator1	4		дума
дума-22	дума-23	annotator2	4		дума
дума-22	дума-23	annotator3	4		дума
дума-22	дума-23	annotator4	4		дума
дума-22	дума-23	annotator5	4		дума
дума-24	дума-25	annotator1	1		дума
дума-24	дума-25	annotator2	1		дума
дума-24	дума-25	annotator3	1		дума
дума-24	дума-25	annotator4	1		дума
дума-24	дума-25	annotator5	1		дума
дума-26	дума-27	annotator1	1		дума
дума-26	дума-27	annotator2	1		дума
дума-26	дума-27	annotator3	1		дума
дума-26	дума-27	annotator4	1		дума
дума-26	дума-27	annotator5	1		дума
дума-28	дума-29	annotator1	1		дума
дума-28	дума-29	annotator2	4		дума
дума-28	дума-29	annotator3	1		дума
дума-28	дума-29	annotator4	1		дума
дума-28	дума-29	annotator5	1		дума
дума-30	дума-31	annotator1	4		дума
дума-30	дума-31	annotator2	4		дума
дума-30	дума-31	annotator3	4		дума
дума-30	дума-31	annotator4	4		дума
дума-30	дума-31	annotator5	4		дума
дума-32	дума-33	annotator1	1		дума
дума-32	дума-33	annotator2	1		дума
дума-32	дума-33	annotator3	1		дума
дума-32	дума-33	annotator4	1		дума
дума-32	дума-33	annotator5	2		дума
дума-34	дума-35	annotator1	1		дума
дума-34	дума-35	annotator2	1		дума
дума-34	дума-35	annotator3	1		дума
дума-34	дума-35	annotator4	1		дума
дума-34	дума-35	annotator5	1		дума
дума-36	дума-37	annotator1	1		дума
дума-36	дума-37	annotator2	1		дума
дума-36	дума-37	annotator3	1		дума
дума-36	дума-37	annotator4	1		дума
дума-36	дума-37	annotator5	1		дума
дума-38	дума-39	annotator1	1		дума
дума-38	дума-39	annotator2	2		дума
дума-38	дума-39	annotator3	1		дума
дума-38	дума-39	annotator4	1		дума
дума-38	дума-39	annotator5	1		дума
дума-40	дума-41	annotator1	4		дума
дума-40	дума-41	annotator2	4		дума
дума-40	дума-41	annotator3	4		дума
дума-40	дума-41	annotator4	4		дума
дума-40	дума-41	annotator5	4		дума
дума-42	дума-43	annotator1	4		дума
дума-42	дума-43	annotator2	3		дума
дума-42	дума-43	annotator3	4		дума
дума-42	дума-43	annotator4	4		дума
дума-42	дума-43	annotator5	4		дума
дума-44	дума-45	annotator1	1		дума
дума-44	дума-45	annotator2	1		дума
дума-44	дума-45	annotator3	1		дума
дума-44	дума-45	annotator4	1		дума
дума-44	дума-45	annotator5	1		дума
дума-46	дума-47	annotator1	1		дума
дума-46	дума-47	annotator2	1		дума
дума-46	дума-47	annotator3	1		дума
дума-46	дума-47	annotator4	1		дума
дума-46	дума-47	annotator5	1		дума
дума-48	дума-49	annotator1	4		дума
дума-48	дума-49	annotator2	4		дума
дума-48	дума-49	annotator3	4		дума
дума-48	дума-49	annotator4	4		дума
дума-48	дума-49	annotator5	4		дума
дума-50	дума-51	annotator1	1		дума
дума-50	дума-51	annotator2	1		дума
дума-50	дума-51	annotator3	1		дума
дума-50	дума-51	annotator4	1		дума
дума-50	дума-51	annotator5	1		дума
дума-52	дума-53	annotator1	1		дума
дума-52	дума-53	annotator2	1		дума
дума-52	дума-53	annotator3	1		дума
дума-52	дума-53	annotator4	1		дума
дума-52	дума-53	annotator5	1		дума
дума-54	дума-55	annotator1	4		дума
дума-54	дума-55	annotator2	3		дума
дума-54	дума-55	annotator3	4		дума
дума-54	дума-55	annotator4	4		дума
дума-54	дума-55	annotator5	4		дума
дума-56	дума-57	annotator1	1		дума
дума-56	дума-57	annotator2	1		дума
дума-56	дума-57	annotator3	1		дума
дума-56	дума-57	annotator4	1		дума
дума-56	дума-57	annotator5	1		дума
дума-58	дума-59	annotator1	1		дума
дума-58	дума-59	annotator2	2		дума
дума-58	дума-59	annotator3	1		дума
дума-58	дума-59	annotator4	1		дума
дума-58	дума-59	annotator5	1		дума
дума-60	дума-61	annotator1	4		дума
дума-60	дума-61	annotator2	3		дума
дума-60	дума-61	annotator3	1		дума
дума-60	дума-61	annotator4	4		дума
дума-60	дума-61	annotator5	1		дума
дума-62	дума-63	annotator1	4		дума
дума-62	дума-63	annotator2	3		дума
дума-62	дума-63	annotator3	4		дума
дума-62	дума-63	annotator4	4		дума
дума-62	дума-63	annotator5	3		дума
дума-64	дума-65	annotator1	1		дума
дума-64	дума-65	annotator2	1		дума
дума-64	дума-65	annotator3	1		дума
дума-64	дума-65	annotator4	1		дума
дума-64	дума-65	annotator5	1		дума
дума-66	дума-67	annotator1	1		дума
дума-66	дума-67	annotator2	1		дума
дума-66	дума-67	annotator3	1		дума
дума-66	дума-67	annotator4	1		дума
дума-66	дума-67	annotator5	1		дума
дума-68	дума-69	annotator1	4		дума
дума-68	дума-69	annotator2	4		дума
дума-68	дума-69	annotator3	4		дума
дума-68	дума-69	annotator4	3		дума
дума-68	дума-69	annotator5	4		дума
дума-70	дума-71	annotator1	4		дума
дума-70	дума-71	annotator2	4		дума
дума-70	дума-71	annotator3	4		дума
дума-70	дума-71	annotator4	4		дума
дума-70	дума-71	annotator5	4		дума
дума-72	дума-73	annotator1	1		дума
дума-72	дума-73	annotator2	1		дума
дума-72	дума-73	annotator3	1		дума
дума-72	дума-73	annotator4	1		дума
дума-72	дума-73	annotator5	1		дума
дума-74	дума-75	annotator1	4		дума
дума-74	дума-75	annotator2	4		дума
дума-74	дума-75	annotator3	4		дума
дума-74	дума-75	annotator4	4		дума
дума-74	дума-75	annotator5	4		дума
дума-76	дума-77	annotator1	4		дума
дума-76	дума-77	annotator2	4		дума
дума-76	дума-77	annotator3	4		дума
дума-76	дума-77	annotator4	4		дума
дума-76	дума-77	annotator5	4		дума
дума-78	дума-79	annotator1	1		дума
дума-78	дума-79	annotator2	1		дума
дума-78	дума-79	annotator3	1		дума
дума-78	дума-79	annotator4	1		дума
дума-78	дума-79	annotator5	1		дума
дума-80	дума-81	annotator1	4		дума
дума-80	дума-81	annotator2	4		дума
дума-80	дума-81	annotator3	4		дума
дума-80	дума-81	annotator4	4		дума
дума-80	дума-81	annotator5	4		дума
дума-82	дума-83	annotator1	4		дума
дума-82	дума-83	annotator2	4		дума
дума-82	дума-83	annotator3	4		дума
дума-82	дума-83	annotator4	4		дума
дума-82	дума-83	annotator5	4		дума
дума-84	дума-85	annotator1	2		дума
дума-84	дума-85	annotator2	4		дума
дума-84	дума-85	annotator3	4		дума
дума-84	дума-85	annotator4	4		дума
дума-84	дума-85	annotator5	4		дума
дума-86	дума-87	annotator1	4		дума
дума-86	дума-87	annotator2	4		дума
дума-86	дума-87	annotator3	4		дума
дума-86	дума-87	annotator4	3		дума
дума-86	дума-87	annotator5	4		дума
дума-88	дума-89	annotator1	4		дума
дума-88	дума-89	annotator2	4		дума
дума-88	дума-89	annotator3	4		дума
дума-88	дума-89	annotator4	4		дума
дума-88	дума-89	annotator5	2		дума
дума-90	дума-91	annotator1	1		дума
дума-90	дума-91	annotator2	1		дума
дума-90	дума-91	annotator3	1		дума
дума-90	дума-91	annotator4	1		дума
дума-90	дума-91	annotator5	1		дума
дума-92	дума-93	annotator1	4		дума
дума-92	дума-93	annotator2	3		дума
дума-92	дума-93	annotator3	2		дума
дума-92	дума-93	annotator4	4		дума
дума-92	дума-93	annotator5	2		дума
дума-94	дума-95	annotator1	3		дума
дума-94	дума-95	annotator2	3		дума
дума-94	дума-95	annotator3	4		дума
дума-94	дума-95	annotator4	3		дума
дума-94	дума-95	annotator5	2		дума
дума-96	дума-97	annotator1	1		дума
дума-96	дума-97	annotator2	1		дума
дума-96	дума-97	annotator3	1		дума
дума-96	дума-97	annotator4	1		дума
дума-96	дума-97	annotator5	1		дума
дума-98	дума-99	annotator1	1		дума
дума-98	дума-99	annotator2	1		дума
дума-98	дума-99	annotator3	1		дума
дума-98	дума-99	annotator4	1		дума
дума-98	дума-99	annotator5	1		дума
дума-100	дума-101	annotator1	4		дума
дума-100	дума-101	annotator2	4		дума
дума-100	дума-101	annotator3	4		дума
дума-100	дума-101	annotator4	4		дума
дума-100	дума-101	annotator5	4		дума
дума-102	дума-103	annotator1	1		дума
дума-102	дума-103	annotator2	1		дума
дума-102	дума-103	annotator3	1		дума
дума-102	дума-103	annotator4	1		дума
дума-102	дума-103	annotator5	1		дума
дума-104	дума-105	annotator1	4		дума
дума-104	дума-105	annotator2	4		дума
дума-104	дума-105	annotator3	4		дума
дума-104	дума-105	annotator4	4		дума
дума-104	дума-105	annotator5	4		дума
дума-106	дума-107	annotator1	1		дума
дума-106	дума-107	annotator2	1		дума
дума-106	дума-107	annotator3	1		дума
дума-106	дума-107	annotator4	1		дума
дума-106	дума-107	annotator5	1		дума
дума-108	дума-109	annotator1	1		дума
дума-108	дума-109	annotator2	1		дума
