lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
дума	NOUN	1918-1990	2	дума-0		"Он знал одной лишь думы власть, одну, но пламенную страсть!"...	20:24	0:64
дума	NOUN	1918-1990	2	дума-1		В нем "предписывалось" отделам (Пуришкевич насчитывал их "тысячу"), как только появится знак креста в органе союза "Русском знамени", "тотчас же начать обращаться настойчивыми телеграммами к государю императору и к председателю Совета министров Столыпину и в телеграммах настойчиво просить и даже требовать: а) немедленного роспуска думы.	333:337	0:338
дума	NOUN	1682-1916	1	дума-2		-- Государственная дума орет о патриотизме и гонит государя в бессмысленные и кровавые наступления.	19:23	0:99
дума	NOUN	1918-1990	2	дума-3		Он, ma tante, всюду со мной: и ночью, и за дружеской беседой, за чашей пиршества, и в минуту глубокой думы!	102:106	0:107
дума	NOUN	1918-1990	2	дума-4		15 июня III Дума и Государственный совет были распущены после пятилетнего благополучного существования, а 23 июня вскоре после моего возвращения с Валаама, в день Владимирской иконы Божией Матери, Холмский законопроект был Высочайше утвержден.	12:16	0:243
дума	NOUN	1918-1990	2	дума-5		Под думой он полагал не мысль, а наслаждение от постоянного воображения любимых предметов; такими предметами для него сейчас были чевенгурские люди -- он представлял себе их голые жалкие туловища существом социализма, который они искали с Копенкиным в степи и теперь нашли.	4:9	0:273
дума	NOUN	1918-1990	2	дума-6		А они там, в городской думе, завтра -- ого!	23:27	0:43
дума	NOUN	1918-1990	2	дума-7		Даже если специально гнать из головы эти самые думы, они же мысли, они же рассуждения, они же размышления, ну вот сидеть и все, -- нет, все подмечает глаз, все врастает в память.	47:51	0:178
дума	NOUN	1918-1990	2	дума-8		А то ежели с месяц так-то просидеть -- голова не своя, в поле не работник, дак маета с думой хуже вши заест.	87:92	0:108
дума	NOUN	1918-1990	2	дума-9		Как обычно, погруженный в свои думы, сидит Алик Кариян, удивительно талантливый, утонченный инженер, изобретатель оригинальных механизмов и систем.	31:35	0:147
дума	NOUN	1682-1916	1	дума-10		Бедный Пущин -- он того не знает, что нам от Верховной думы было даже запрещено знакомиться с поэтом Александром Сергеевичем Пушкиным, когда он жил на юге.	55:59	0:155
дума	NOUN	1682-1916	1	дума-11		И всякий раз, как он нападет на эти думы, ему ничуть не стыдно того, что он пошел по деловой части, что ему страстно хочется быть при большом капитале, ворочать вот на этой самой Волге миллионным делом.	36:40	0:202
дума	NOUN	1682-1916	1	дума-12		Бывало, приду в церковь раньше всех, встану на колени перед образом Троицы и лью слёзы, легко и покорно, без дум и без молитвы: нечего было просить мне у бога, бескорыстно поклонялся я ему.	109:112	0:189
