identifier1	identifier2	annotator	judgment	comment	lemma
заведующий-0	заведующий-1	annotator1	3		заведующий
заведующий-0	заведующий-1	annotator2	1		заведующий
заведующий-0	заведующий-1	annotator3	3		заведующий
заведующий-0	заведующий-1	annotator4	3		заведующий
заведующий-0	заведующий-1	annotator5	3		заведующий
заведующий-2	заведующий-3	annotator1	4		заведующий
заведующий-2	заведующий-3	annotator2	2		заведующий
заведующий-2	заведующий-3	annotator3	4		заведующий
заведующий-2	заведующий-3	annotator4	2		заведующий
заведующий-2	заведующий-3	annotator5	3		заведующий
заведующий-4	заведующий-5	annotator1	4		заведующий
заведующий-4	заведующий-5	annotator2	4		заведующий
заведующий-4	заведующий-5	annotator3	4		заведующий
заведующий-4	заведующий-5	annotator4	2		заведующий
заведующий-4	заведующий-5	annotator5	3		заведующий
заведующий-6	заведующий-7	annotator1	2		заведующий
заведующий-6	заведующий-7	annotator2	4		заведующий
заведующий-6	заведующий-7	annotator3	1		заведующий
заведующий-6	заведующий-7	annotator4	0		заведующий
заведующий-6	заведующий-7	annotator5	4		заведующий
заведующий-8	заведующий-9	annotator1	4		заведующий
заведующий-8	заведующий-9	annotator2	4		заведующий
заведующий-8	заведующий-9	annotator3	4		заведующий
заведующий-8	заведующий-9	annotator4	4		заведующий
заведующий-8	заведующий-9	annotator5	3		заведующий
заведующий-10	заведующий-11	annotator1	4		заведующий
заведующий-10	заведующий-11	annotator2	3		заведующий
заведующий-10	заведующий-11	annotator3	4		заведующий
заведующий-10	заведующий-11	annotator4	4		заведующий
заведующий-10	заведующий-11	annotator5	4		заведующий
заведующий-12	заведующий-13	annotator1	3		заведующий
заведующий-12	заведующий-13	annotator2	4		заведующий
заведующий-12	заведующий-13	annotator3	4		заведующий
заведующий-12	заведующий-13	annotator4	4		заведующий
заведующий-12	заведующий-13	annotator5	4		заведующий
заведующий-14	заведующий-15	annotator1	3		заведующий
заведующий-14	заведующий-15	annotator2	3		заведующий
заведующий-14	заведующий-15	annotator3	3		заведующий
заведующий-14	заведующий-15	annotator4	4		заведующий
заведующий-14	заведующий-15	annotator5	4		заведующий
заведующий-16	заведующий-17	annotator1	4		заведующий
заведующий-16	заведующий-17	annotator2	4		заведующий
заведующий-16	заведующий-17	annotator3	4		заведующий
заведующий-16	заведующий-17	annotator4	3		заведующий
заведующий-16	заведующий-17	annotator5	4		заведующий
заведующий-18	заведующий-19	annotator1	4		заведующий
заведующий-18	заведующий-19	annotator2	4		заведующий
заведующий-18	заведующий-19	annotator3	3		заведующий
заведующий-18	заведующий-19	annotator4	4		заведующий
заведующий-18	заведующий-19	annotator5	4		заведующий
заведующий-20	заведующий-21	annotator1	2		заведующий
заведующий-20	заведующий-21	annotator2	4		заведующий
заведующий-20	заведующий-21	annotator3	4		заведующий
заведующий-20	заведующий-21	annotator4	4		заведующий
заведующий-20	заведующий-21	annotator5	4		заведующий
заведующий-22	заведующий-23	annotator1	3		заведующий
заведующий-22	заведующий-23	annotator2	2		заведующий
заведующий-22	заведующий-23	annotator3	2		заведующий
заведующий-22	заведующий-23	annotator4	4		заведующий
заведующий-22	заведующий-23	annotator5	1		заведующий
заведующий-24	заведующий-25	annotator1	3		заведующий
заведующий-24	заведующий-25	annotator2	4		заведующий
заведующий-24	заведующий-25	annotator3	4		заведующий
заведующий-24	заведующий-25	annotator4	3		заведующий
заведующий-24	заведующий-25	annotator5	2		заведующий
заведующий-26	заведующий-27	annotator1	3		заведующий
заведующий-26	заведующий-27	annotator2	4		заведующий
заведующий-26	заведующий-27	annotator3	4		заведующий
заведующий-26	заведующий-27	annotator4	3		заведующий
заведующий-26	заведующий-27	annotator5	4		заведующий
заведующий-28	заведующий-29	annotator1	1		заведующий
заведующий-28	заведующий-29	annotator2	3		заведующий
заведующий-28	заведующий-29	annotator3	3		заведующий
заведующий-28	заведующий-29	annotator4	1		заведующий
заведующий-28	заведующий-29	annotator5	1		заведующий
заведующий-30	заведующий-31	annotator1	3		заведующий
заведующий-30	заведующий-31	annotator2	3		заведующий
заведующий-30	заведующий-31	annotator3	2		заведующий
заведующий-30	заведующий-31	annotator4	3		заведующий
заведующий-30	заведующий-31	annotator5	1		заведующий
заведующий-32	заведующий-33	annotator1	3		заведующий
заведующий-32	заведующий-33	annotator2	4		заведующий
заведующий-32	заведующий-33	annotator3	4		заведующий
заведующий-32	заведующий-33	annotator4	3		заведующий
заведующий-32	заведующий-33	annotator5	4		заведующий
заведующий-34	заведующий-35	annotator1	4		заведующий
заведующий-34	заведующий-35	annotator2	4		заведующий
заведующий-34	заведующий-35	annotator3	4		заведующий
заведующий-34	заведующий-35	annotator4	3		заведующий
заведующий-34	заведующий-35	annotator5	3		заведующий
заведующий-36	заведующий-37	annotator1	3		заведующий
заведующий-36	заведующий-37	annotator2	3		заведующий
заведующий-36	заведующий-37	annotator3	1		заведующий
заведующий-36	заведующий-37	annotator4	4		заведующий
заведующий-36	заведующий-37	annotator5	2		заведующий
заведующий-38	заведующий-39	annotator1	4		заведующий
заведующий-38	заведующий-39	annotator2	4		заведующий
заведующий-38	заведующий-39	annotator3	4		заведующий
заведующий-38	заведующий-39	annotator4	4		заведующий
заведующий-38	заведующий-39	annotator5	3		заведующий
заведующий-40	заведующий-41	annotator1	1		заведующий
заведующий-40	заведующий-41	annotator2	3		заведующий
заведующий-40	заведующий-41	annotator3	4		заведующий
заведующий-40	заведующий-41	annotator4	3		заведующий
заведующий-40	заведующий-41	annotator5	3		заведующий
заведующий-42	заведующий-43	annotator1	2		заведующий
заведующий-42	заведующий-43	annotator2	1		заведующий
заведующий-42	заведующий-43	annotator3	4		заведующий
заведующий-42	заведующий-43	annotator4	4		заведующий
заведующий-42	заведующий-43	annotator5	2		заведующий
заведующий-44	заведующий-45	annotator1	3		заведующий
заведующий-44	заведующий-45	annotator2	2		заведующий
заведующий-44	заведующий-45	annotator3	3		заведующий
заведующий-44	заведующий-45	annotator4	4		заведующий
заведующий-44	заведующий-45	annotator5	3		заведующий
заведующий-46	заведующий-47	annotator1	3		заведующий
заведующий-46	заведующий-47	annotator2	4		заведующий
заведующий-46	заведующий-47	annotator3	3		заведующий
заведующий-46	заведующий-47	annotator4	3		заведующий
заведующий-46	заведующий-47	annotator5	4		заведующий
заведующий-48	заведующий-49	annotator1	4		заведующий
заведующий-48	заведующий-49	annotator2	3		заведующий
заведующий-48	заведующий-49	annotator3	4		заведующий
заведующий-48	заведующий-49	annotator4	4		заведующий
заведующий-48	заведующий-49	annotator5	4		заведующий
заведующий-50	заведующий-51	annotator1	4		заведующий
заведующий-50	заведующий-51	annotator2	4		заведующий
заведующий-50	заведующий-51	annotator3	4		заведующий
