lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
заведующий	NOUN	1682-1916	1	заведующий-0		Во исполнение предложения министерства народного просвещения от 27-го июня т. г. за 29 616 и 23-го октября т. г. за 41 653 о немедленном и полном устранении из школ хрестоматии В. и Э. Вахтеровых "Мир в рассказах для детей" 3 и 4-й год обучения (в одной книге), покорнейше прошу гг. заведующих по получении сего изъять вышеуказанную книгу не только из классного употребления, но и из школьных ученических и учительских библиотек.	283:293	0:429
заведующий	NOUN	1682-1916	1	заведующий-1		Их беседа не пошла дальше, была прервана приездом сестры Антонины Сергеевны, Лидии Сергеевны Нитятко, жены тайного советника, заведующего "отдельной частью", делового чиновника, на прямой дороге к самому высокому положению, о каком только можно мечтать на гражданской службе.	126:137	0:275
заведующий	NOUN	1918-1990	2	заведующий-2		"Мы вынуждены, -- признал заведующий лабораторией социально-экономических исследований института Г.В. Морозов, -- говорить о большом количестве разводов в семьях женщин, которые работают на текстильных предприятиях, о том, что мужчины именно в этих семьях злоупотребляют алкоголем, о высокой заболеваемости женщин-текстильщиц, работающих в ночные смены, по сравнению с женщинами, занятыми в других отраслях." Экономическую сторону вопроса о ночных сменах ученые исследовали по 102 предприятиям текстильной промышленности, расположенным в разных регионах страны.	26:36	0:561
заведующий	NOUN	1918-1990	2	заведующий-3		Но злоба против этого отдела, где царил я, все росла и росла, ибо самым своим существованием он ставил вечные препятствия возможности поставщику сговориться с заведующим тем или иным закупочным отделом.	159:169	0:202
заведующий	NOUN	1682-1916	1	заведующий-4		(Во время разгрома донос ее был предъявлен, например, заведующему нашей редакцией, Михаилу Моисеевичу Майслеру: она сообщала, будто бы, шагая на первомайской демонстрации, он, Майслер, подговаривал своего десятилетнего сына петь Интернационал с издевательским выражением лица.)	54:65	0:277
заведующий	NOUN	1918-1990	2	заведующий-5		А вечером Алпатов пошел к своему заведующему хозяйством, подполковнику Бузуну, потому что была Бузунова очередь выставлять на окно лампу.	33:44	0:137
заведующий	NOUN	1918-1990	2	заведующий-6		-- Какие такие мертвяки -- насторожился зав.	40:43	0:44
заведующий	NOUN	1918-1990	2	заведующий-7		Кагановича на XVII съезде ВКП(б)) Исходящие и входящие Мы спросили заведующего магазином 80: -- Бывает ли у вас кто-нибудь из ТСПО -- Очень редко.	67:78	0:146
заведующий	NOUN	1918-1990	2	заведующий-8		-- Я попросил бы вас выбирать выражения, -- произнес Валерьян Семенович, и Ломов увидел выпученные, оскорбленные и испуганные глаза заведующего.	132:143	0:144
заведующий	NOUN	1918-1990	2	заведующий-9		В сочинениях не раз встречался я с фактами, которые мне были хорошо известны из рассказов заведующих школами: приход в школу, отрыв от семьи даже на несколько часов, а тем более на несколько месяцев, если дитя попало в пансион, очень часто сопровождается такой душевной болью, которую нельзя даже представить себе.	90:100	0:314
заведующий	NOUN	1682-1916	1	заведующий-10		Заведующий Отделом Н.А. Макаров 4 апреля 1905 г. Начальникам губернских жандармских управлений и охранных отделений Совершенно секретно.	0:10	0:136
заведующий	NOUN	1682-1916	1	заведующий-11		Судебная палата приговорила заведующего симферопольской телефонной сетью инженера Рейснарса к двум годам арестантских отделений с лишением всех прав состояния за растрату казенных денег и подлоги. неизвестный.	28:39	0:209
заведующий	NOUN	1918-1990	2	заведующий-12		Заведующий городской больницей доктор Никольский Алексей Ипполитович поступил, с современной точки зрения, прямо-таки удивительно.	0:10	0:130
заведующий	NOUN	1918-1990	2	заведующий-13		Надо всем этим господствовал заведующий клубом и режиссер товарищ Митя Сахаров -- вечно озабоченный молодой человек в длинной порыжевшей бархатной толстовке с лоснящимся черным бантом и в узких брюках "дудочкой".	29:39	0:212
заведующий	NOUN	1682-1916	1	заведующий-14		Заведующий постом при Путятинских каменноугольных ломках на о.	0:10	0:62
заведующий	NOUN	1682-1916	1	заведующий-15		Местное управление принадлежало начальникам округов, причем звание начальника Сев[еро]-Сахалинского округа было присвоено заведующему ссыльнокаторжными на о. Сахалине и Приморской области, имеющему местопребывание в Дуэ, а звание начальника Южного округа -- командиру 4-го восточного сибирского линейного батальона, имеющему местопребывание в п[осту] Корсаковском.	122:133	0:364
заведующий	NOUN	1682-1916	1	заведующий-16		Заведующий ремесленным отдел.	0:10	0:29
заведующий	NOUN	1682-1916	1	заведующий-17		Прокурором был подписан ордер и на арест рыжеусого заведующего питанием Ивана Стервякова, но тот, опасаясь мести рабочих, дня три тому назад удрал в тайгу.	51:62	0:155
заведующий	NOUN	1682-1916	1	заведующий-18		Заведующий снабжением стал относиться к нам с несколько безпокойным вниманием: как бы эти сукины дети еще какого-нибудь загиба не откопали.	0:10	0:139
заведующий	NOUN	1918-1990	2	заведующий-19		Работы эти делались каждым в своей камере и сдавались заведующему работами, от которого и получался расчет каждую субботу.	54:65	0:122
заведующий	NOUN	1918-1990	2	заведующий-20		А заведующий выскочил на улицу, вынул свисток и начал свистеть: милицию звать.	2:12	0:78
заведующий	NOUN	1918-1990	2	заведующий-21		Заведующий осмотрел нас оценивающим взором.	0:10	0:43
заведующий	NOUN	1682-1916	1	заведующий-22		А хозяева этих батарей -- матросы, заведующие пушками, -- отдыхали повахтенно.	35:45	0:78
