identifier1	identifier2	annotator	judgment	comment	lemma
заключенный-0	заключенный-1	annotator1	1		заключенный
заключенный-0	заключенный-1	annotator2	1		заключенный
заключенный-0	заключенный-1	annotator3	1		заключенный
заключенный-0	заключенный-1	annotator4	1		заключенный
заключенный-0	заключенный-1	annotator5	1		заключенный
заключенный-2	заключенный-3	annotator1	1		заключенный
заключенный-2	заключенный-3	annotator2	1		заключенный
заключенный-2	заключенный-3	annotator3	4		заключенный
заключенный-2	заключенный-3	annotator4	1		заключенный
заключенный-2	заключенный-3	annotator5	1		заключенный
заключенный-4	заключенный-5	annotator1	1		заключенный
заключенный-4	заключенный-5	annotator2	1		заключенный
заключенный-4	заключенный-5	annotator3	1		заключенный
заключенный-4	заключенный-5	annotator4	1		заключенный
заключенный-4	заключенный-5	annotator5	1		заключенный
заключенный-6	заключенный-7	annotator1	4		заключенный
заключенный-6	заключенный-7	annotator2	4		заключенный
заключенный-6	заключенный-7	annotator3	4		заключенный
заключенный-6	заключенный-7	annotator4	4		заключенный
заключенный-6	заключенный-7	annotator5	4		заключенный
заключенный-8	заключенный-9	annotator1	1		заключенный
заключенный-8	заключенный-9	annotator2	1		заключенный
заключенный-8	заключенный-9	annotator3	1		заключенный
заключенный-8	заключенный-9	annotator4	1		заключенный
заключенный-8	заключенный-9	annotator5	1		заключенный
заключенный-10	заключенный-11	annotator1	1		заключенный
заключенный-10	заключенный-11	annotator2	1		заключенный
заключенный-10	заключенный-11	annotator3	1		заключенный
заключенный-10	заключенный-11	annotator4	1		заключенный
заключенный-10	заключенный-11	annotator5	1		заключенный
заключенный-12	заключенный-13	annotator1	1		заключенный
заключенный-12	заключенный-13	annotator2	1		заключенный
заключенный-12	заключенный-13	annotator3	1		заключенный
заключенный-12	заключенный-13	annotator4	1		заключенный
заключенный-12	заключенный-13	annotator5	1		заключенный
заключенный-14	заключенный-15	annotator1	4		заключенный
заключенный-14	заключенный-15	annotator2	3		заключенный
заключенный-14	заключенный-15	annotator3	4		заключенный
заключенный-14	заключенный-15	annotator4	4		заключенный
заключенный-14	заключенный-15	annotator5	4		заключенный
заключенный-16	заключенный-17	annotator1	1		заключенный
заключенный-16	заключенный-17	annotator2	4		заключенный
заключенный-16	заключенный-17	annotator3	4		заключенный
заключенный-16	заключенный-17	annotator4	4		заключенный
заключенный-16	заключенный-17	annotator5	4		заключенный
заключенный-18	заключенный-19	annotator1	4		заключенный
заключенный-18	заключенный-19	annotator2	4		заключенный
заключенный-18	заключенный-19	annotator3	4		заключенный
заключенный-18	заключенный-19	annotator4	4		заключенный
заключенный-18	заключенный-19	annotator5	4		заключенный
заключенный-20	заключенный-21	annotator1	4		заключенный
заключенный-20	заключенный-21	annotator2	1		заключенный
заключенный-20	заключенный-21	annotator3	3		заключенный
заключенный-20	заключенный-21	annotator4	4		заключенный
заключенный-20	заключенный-21	annotator5	4		заключенный
заключенный-22	заключенный-23	annotator1	4		заключенный
заключенный-22	заключенный-23	annotator2	4		заключенный
заключенный-22	заключенный-23	annotator3	4		заключенный
заключенный-22	заключенный-23	annotator4	4		заключенный
заключенный-22	заключенный-23	annotator5	4		заключенный
заключенный-24	заключенный-25	annotator1	4		заключенный
заключенный-24	заключенный-25	annotator2	4		заключенный
заключенный-24	заключенный-25	annotator3	4		заключенный
заключенный-24	заключенный-25	annotator4	4		заключенный
заключенный-24	заключенный-25	annotator5	3		заключенный
