lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
заключенный	ADJ	1682-1916	1	заключенный-0		"Моя телеграмма (год, месяц и число): "Немедленно переведите одиннадцать миллионов марок, необходимых для внесения задатка по заключенному договору.	126:138	0:148
заключенный	ADJ	1918-1990	2	заключенный-1		Но все-таки не взялись ни за князя Радзивила, ни за Огинского, на которых указывала сама заключенная, не разобрали как следует найденных в Пизе бумаг польской генеральной конфедерации, а обратили исключительное внимание на одну самозванку, настоятельно добиваясь от нее того, чего, по всей вероятности, и действительно она не знала.	89:100	0:332
заключенный	ADJ	1682-1916	1	заключенный-2		(В тюрьмах самобытных, серых, заключённые имеют столько свободы слова и самоуправления, чтобы решить этот вопрос самим.	30:41	0:119
заключенный	ADJ	1918-1990	2	заключенный-3		Вступление § 1. Речь есть двоякая: одна свободная, или проза, которая особливо принадлежит до реторов и до историков; а другая заключенная, или стихи, кою по большой части употребляют пииты.	127:138	0:190
заключенный	ADJ	1682-1916	1	заключенный-4		-- Хоть поговоришь с кем-нибудь, а тут сиди одна, как заключенная.	54:65	0:66
заключенный	ADJ	1682-1916	1	заключенный-5		Получено известие из Бухареста, что палата огромным большинством голосов одобрила заключенную конвенцию между Румынией и Россией.	82:93	0:129
заключенный	ADJ	1918-1990	2	заключенный-6		-- Что нужно заключенному-- спрашивает он.	13:25	0:42
заключенный	ADJ	1918-1990	2	заключенный-7		"Недоверие к заключённому -- высшая добродетель тюремщика!" -- патетически восклицал мой сосед по нарам, бывший учитель истории, перефразируя известное выражение Робеспьера о революционных добродетелях.	11:12	0:202
заключенный	ADJ	1682-1916	1	заключенный-8		...В сквере у подножия соловецких соборов собирались в свободный час и погожее время обитатели соседних рот, более всего сторожевой, где было одно заключенное духовенство.	147:158	0:171
заключенный	ADJ	1918-1990	2	заключенный-9		Гейсмар колебался выступить из Врацы, потому что паша скодринский, несмотря на заключенный мир и на требование Порты, отказывался распустить свои войска и продолжал занимать угрожающее положение между Софией и Филиппополем.	79:90	0:223
заключенный	ADJ	1682-1916	1	заключенный-10		Заключенная, политическая.	0:11	0:26
заключенный	ADJ	1682-1916	1	заключенный-11		Собака, уверена будучи заключенным договором, пошла прямо в поварню, откуда прогнали ее дубиною, так что от ударов насилу могла опамятоваться.	23:34	0:142
заключенный	ADJ	1682-1916	1	заключенный-12		Заключенное весною 1928 года соглашение между Англией и Францией освободило английское правительство от забот в Европе и позволило ему почувствовать себя спокойнее и увереннее на азиатском Дальнем Востоке.	0:11	0:205
заключенный	ADJ	1918-1990	2	заключенный-13		Это дало повод к следующей любопытной переписке: 1) Письмо Скобелева к военному министру от 1 ноября 1848 года: "Заключенный на 6 месяцев в каземат лейб-гвардии Егерского полка Браккель, образуя собой слабого, щедушного, юного немца, принявший определенное ему наказание с чувством вполне кающегося грешника, все более за нанесение удара родителям, проживающим, по словам его, в Риге, слезами и тоской наводит мне страх.	113:124	0:420
заключенный	ADJ	1918-1990	2	заключенный-14		Заключенным большевикам не предъявлялось никаких обвинений.	0:11	0:59
заключенный	ADJ	1918-1990	2	заключенный-15		Раздавая с утра работу инвалидам, я через окна видела, как провели в баню очередную группу заключенных мужчин.	91:102	0:110
заключенный	ADJ	1918-1990	2	заключенный-16		А вот уже не бездействие, вот уже активное преступное действие: через Л. Н. Хрущеву, члена политического Красного Креста (тут же и она, на скамье), другие подсудимые помогали бутырским заключённым деньгами (можно себе представить этот поток капиталов -- на тюремный ларек!) и вещами (да еще, гляди, шерстяными).	185:196	0:311
заключенный	ADJ	1918-1990	2	заключенный-17		Кушнарев -- это был, конечно, он, ссутулясь еще сильнее, отошел на пару шагов назад, затем вернулся и сдавленным голосом забубнил уже более внятно: -- Дневальный барака номер три, заключенный номер жэ-триста восемнадцатый.	180:191	0:222
заключенный	ADJ	1918-1990	2	заключенный-18		Бегал, наверно, на рыбные склады проверять, на месте ли сторожа из заключённых.	67:78	0:79
заключенный	ADJ	1918-1990	2	заключенный-19		Неожиданно загремел засов, дверь в камеру растворилась, и надзиратель произнес привычные для заключенного слова: "Собирайтесь на допрос!"	93:105	0:137
заключенный	ADJ	1918-1990	2	заключенный-20		Бешеный заряд злобы несли на этот раз не столько заключенные и бывшие зэка, сколько вольные.	49:60	0:92
заключенный	ADJ	1918-1990	2	заключенный-21		Это, собственно, даже противозаконно, так как в те предвоенные годы свирепость ежовщины в местах заключения ещё не была изжита и официально никаких дней отдыха для заключённых не полагалось круглый год.	97:107	0:202
заключенный	ADJ	1918-1990	2	заключенный-22		Будь это наша, заключенная, мы бы ее исколотили, но ее.	15:26	0:55
заключенный	ADJ	1918-1990	2	заключенный-23		Был ли он сам тогда заключенным -- не знаю.	20:31	0:43
заключенный	ADJ	1918-1990	2	заключенный-24		Был еще один строительный объект, пожалуй более всего остального удивлявший даже самых бывалых и опытных из заключенных строителей -- казармы охраны будущего лагеря.	108:119	0:165
заключенный	ADJ	1918-1990	2	заключенный-25		Не помню, кого я там ждал в то пасмурное утро, помню только, что рядом со мной стоял очень взволнованный Евгений Червяков, режиссер только что завершенного фильма "Заключенные" -- о строительстве Беломорканала.	164:175	0:210
