identifier1	identifier2	annotator	judgment	comment	lemma
защитник-56-12	защитник-57-12	annotator1	2		защитник
защитник-30-12	защитник-31-12	annotator1	4		защитник
защитник-12-12	защитник-13-12	annotator1	3		защитник
защитник-62-12	защитник-63-12	annotator1	2		защитник
защитник-68-12	защитник-69-12	annotator1	4		защитник
защитник-10-12	защитник-11-12	annotator1	1		защитник
защитник-28-12	защитник-29-12	annotator1	1		защитник
защитник-8-12	защитник-9-12	annotator1	1		защитник
защитник-26-12	защитник-27-12	annotator1	4		защитник
защитник-94-12	защитник-95-12	annotator1	2		защитник
защитник-96-12	защитник-97-12	annotator1	4		защитник
защитник-32-12	защитник-33-12	annotator1	1		защитник
защитник-38-12	защитник-39-12	annotator1	1		защитник
защитник-66-12	защитник-67-12	annotator1	3		защитник
защитник-98-12	защитник-99-12	annotator1	4		защитник
защитник-92-12	защитник-93-12	annotator1	2		защитник
защитник-36-12	защитник-37-12	annotator1	4		защитник
защитник-34-12	защитник-35-12	annotator1	4		защитник
защитник-60-12	защитник-61-12	annotator1	4		защитник
защитник-78-12	защитник-79-12	annotator1	4		защитник
защитник-48-12	защитник-49-12	annotator1	3		защитник
защитник-50-12	защитник-51-12	annotator1	2		защитник
защитник-18-12	защитник-19-12	annotator1	1		защитник
защитник-24-12	защитник-25-12	annotator1	3		защитник
защитник-16-12	защитник-17-12	annotator1	3		защитник
защитник-44-12	защитник-45-12	annotator1	4		защитник
защитник-58-12	защитник-59-12	annotator1	4		защитник
защитник-22-12	защитник-23-12	annotator1	1		защитник
защитник-114-12	защитник-115-12	annotator1	4		защитник
защитник-42-12	защитник-43-12	annotator1	3		защитник
защитник-116-12	защитник-117-12	annotator1	4		защитник
защитник-118-12	защитник-119-12	annotator1	2		защитник
защитник-40-12	защитник-41-12	annotator1	4		защитник
защитник-46-12	защитник-47-12	annotator1	4		защитник
защитник-14-12	защитник-15-12	annotator1	4		защитник
защитник-6-12	защитник-7-12	annotator1	1		защитник
защитник-52-12	защитник-53-12	annotator1	2		защитник
защитник-4-12	защитник-5-12	annotator1	3		защитник
защитник-54-12	защитник-55-12	annotator1	1		защитник
защитник-2-12	защитник-3-12	annotator1	4		защитник
защитник-88-12	защитник-89-12	annotator1	1		защитник
защитник-20-12	защитник-21-12	annotator1	4		защитник
защитник-86-12	защитник-87-12	annotator1	1		защитник
защитник-64-12	защитник-65-12	annotator1	2		защитник
защитник-102-12	защитник-103-12	annotator1	3		защитник
защитник-110-12	защитник-111-12	annotator1	1		защитник
защитник-74-12	защитник-75-12	annotator1	3		защитник
защитник-0-12	защитник-1-12	annotator1	4		защитник
защитник-80-12	защитник-81-12	annotator1	1		защитник
защитник-70-12	защитник-71-12	annotator1	1		защитник
защитник-104-12	защитник-105-12	annotator1	1		защитник
