lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
защитник	NOUN	1918-1990	2	защитник-0		"Он убивать не хотел" В основу картины студии "Грузия-фильм" "Он убивать не хотел" положен роман писателя А. Пурцеладзе "Маци Хвития", старый роман, где собраны воедино народные предания о легендарном герое, защитнике бедняков, поднявшем оружие против князей, о любви, которая не страшится самой смерти, верной мужской дружбе.	208:217	0:326
защитник	NOUN	1918-1990	2	защитник-1		Бывает так, что между врагами и его защитниками происходят длинные дебаты; встречаются такие случаи, когда неприятные голоса слышатся с одной стороны или даже только одним ухом, например левым, а ободряющие -- с другой.	36:47	0:219
защитник	NOUN	1682-1916	1	защитник-2		-- Да оставите ли вы меня, -- закричала она на уговаривавших ее; -- нет, коли вы уж даже сами, Евгений Павлыч, заявили сейчас, что даже сам защитник на суде объявлял, что ничего нет естественнее, как по бедности шесть человек укокошить, так уж и впрямь последние времена пришли.	140:148	0:278
защитник	NOUN	1682-1916	1	защитник-3		Анна Александровна слышала о Сергее Павловиче много хорошего, и уже одно то, что прямая, честная, не входящая никогда в сделки со своей совестью Лиза -- как называла Дубянскую Сиротинина, -- несмотря на свое прошлое предубеждение к защитнику убийцы своего отца, изменила свое мнение о Долинском и стала относиться к нему с уважением, очень возвышало личность молодого адвоката в глазах старушки.	232:241	0:395
защитник	NOUN	1918-1990	2	защитник-4		-- Центральный защитник, что ли Хотя.	15:23	0:37
защитник	NOUN	1918-1990	2	защитник-5		Большинство их было из кружка "политических защитников" и вообще из ярко "левых".	44:54	0:81
защитник	NOUN	1918-1990	2	защитник-6		." Посмертные записки защитников Брестской крепости!	22:32	0:52
защитник	NOUN	1918-1990	2	защитник-7		Не мы, так называемые "защитники Бродского", своими хлопотами раздули это дело и придали ему такое значение; сама жизнь подняла и развернула над нашими головами, как знамя, требование освободить поэта.	23:32	0:201
защитник	NOUN	1918-1990	2	защитник-8		Защитникам "старого доброго" морального кодекса, желающим его реставрировать, противостоят восстающие против его лицемерия и законнического духа апологеты новой нравственности, которую они называют "ситуативной этикой", "этикой любви" и т. п. С другой стороны, в настоящее время наблюдается значительное оживление интереса к "духовности" и поискам ее -- причем само это слово прикрывает невероятную духовную путаницу, которая, в свою очередь, порождает великое множество сомнительных духовных "учений" и "рецептов".	0:10	0:515
защитник	NOUN	1918-1990	2	защитник-9		Назначение этой вымостки -- облегчить защитникам городища восхождение по валу, особенно в дождливую, сырую погоду.	38:48	0:114
защитник	NOUN	1682-1916	1	защитник-10		Защитники Севастополя узнали о кончине своего царя от врагов.	0:9	0:61
защитник	NOUN	1682-1916	1	защитник-11		После этого защитника опять встал товарищ прокурора и, защитив свое положение о наследственности против первого защитника тем, что если Бочкова и дочь неизвестных родителей, то истинность учения наследственности этим нисколько не инвалидируется, так как закон наследственности настолько установлен наукой, что мы не только можем выводить преступление из наследственности, но и наследственность из преступления.	12:21	0:410
защитник	NOUN	1682-1916	1	защитник-12		Защитники этих господ оправдывают их тем, что они описывали одну только сторону наших провинциальных нравов, сиречь дурную.	0:9	0:123
защитник	NOUN	1682-1916	1	защитник-13		Это очень просто, но в сей-то именно простоте -- новость, смелость, величие того поэтического соображения, которого не поняли ни противники Грибоедова, ни его неловкие защитники.	168:177	0:178
защитник	NOUN	1918-1990	2	защитник-14		Защитники это чувствовали и из этого делали выводы.	0:9	0:51
защитник	NOUN	1918-1990	2	защитник-15		Моя тетка сговаривалась с защитниками, и ездила для этого в Екатеринодар.	26:37	0:73
защитник	NOUN	1918-1990	2	защитник-16		Ахматова приехала в Оксфорд в сопровождении очень симпатичной, молоденькой Ани Каминской, внучки Николая Пунина, известного русского искусствоведа, теоретика и защитника авангардных форм художественных исканий в первые годы революции, с которым я был в товарищеских отношениях.	160:169	0:277
защитник	NOUN	1918-1990	2	защитник-17		На протяжении трех десятилетий Советский Союз неизменно выступал поборником мирных отношений между государствами, защитником независимости и свободы народов.	114:124	0:157
защитник	NOUN	1682-1916	1	защитник-18		В жестокой рукопашной схватке погибли почти все его защитники.	52:61	0:62
защитник	NOUN	1918-1990	2	защитник-19		Но считаем своим долгом указать вам, что в случае процесса вы, со стороны защиты герцога, -- а ведь у нас защитник при следственных допросах присутствует и может, при желании, весьма искусно следствие направлять, -- непременно встретитесь с этим возражением, и оно вам, что называется, боком выйдет.	106:114	0:299
защитник	NOUN	1682-1916	1	защитник-20		В зале установилась мертвая тишина, в которой было слышно только, как вспотевший защитник рвет в мелкие клочья проект своей речи.	81:89	0:129
защитник	NOUN	1918-1990	2	защитник-21		Я не защитник буржуа, и ни до них, ни до судьбы их мне дела нет; но и простая пропись, и простой здравый смысл кричат: "Отчего же это фабриканты должны уступить рабочим машины и корпуса фабрик, -- когда решительно ничего не уступили: Герцен -- Белинскому; Михайловский и Некрасов -- Глебу Успенскому".	5:13	0:301
защитник	NOUN	1918-1990	2	защитник-22		В нашей фантазии ящерицы беспрепятственно превращались во львов, крепости населялись невидимыми защитниками, желтые пески были то жгучею пустыней, то американскими прериями.	96:107	0:173
защитник	NOUN	1918-1990	2	защитник-23		Что же представляет собой Русская Армия теперь Существует ли она еще Без оружия, без территории, без возможности осуществления Главнокомандующим и всеми начальниками своей власти по военному закону, распыленная, живущая в разных странах, в несчетном количестве городов всего мира, озабоченная добыванием себе средств к существованию тяжелым, подчас непосильным трудом -- разве это Армия, разве это полки, разве это воины, разве на эти десятки тысяч людей еще можно смотреть как на сильных и крепких защитников своей Родины На все эти вопросы, иногда недоуменные, иногда тревожные, я могу дать ясный и определенный ответ: да.	499:509	0:624
защитник	NOUN	1682-1916	1	защитник-24		В периоды чревовещаний ряды защитников высших задач постепенно редеют и наконец совсем умолкают; напротив того, чревовещатели смело выступают вперед и, не встречая ниоткуда препятствия, открывают односторонний бой, наполняя при этом веси и грады всяческим сквернословием и проклятиями.	28:38	0:285
защитник	NOUN	1682-1916	1	защитник-25		Потом часть его была послана на остров Сан-Доминго в экспедиционном отряде генерала Леклерка, а остальная часть вела кровопролитную войну в Калабрии противу защитников Итальянской независимости.	157:167	0:194
защитник	NOUN	1682-1916	1	защитник-26		В прежнее время у нас было немало защитников именно таких переводов, пренебрегающих красотой и поэтичностью подлинника.	34:44	0:119
защитник	NOUN	1918-1990	2	защитник-27		Однако, если моему отечеству будет угрожать неприятель (чего не дай Боже), то, несмотря на мою седую голову, седую бороду, я все-таки препояшусь мечом, сяду на коня и стану в ряды защитников отечества.	180:190	0:201
защитник	NOUN	1682-1916	1	защитник-28		В разгаре боёв защитники Севастополя -- бойцы Приморской армии и черноморцы -- получили приветствие великого Сталина.	15:24	0:117
защитник	NOUN	1918-1990	2	защитник-29		. -- встает с своего места защитник, но председатель прерывает его, говоря, что он в свое время может сказать все, что находит нужным в защиту подсудимого.	27:35	0:155
защитник	NOUN	1682-1916	1	защитник-30		В сущности, он не стоял ни за гвельфов, ни за гибеллинов, ни за Белых, ни за Черных, а просто был приверженцем и защитником идей, имевших в виду лишь одно: благосостояние отечества, чего нельзя сказать об остальных, маскировавшихся той или другой вывеской для прикрытия личных целей.	113:123	0:283
защитник	NOUN	1682-1916	1	защитник-31		Правда, выставляется Сергей Иванович как бы защитником против Левина сознательности народного движения, но защищает он дело свое плохо, тоже горячится, и вообще, как я уже и сказал, выставлен в комическом виде.	44:54	0:210
защитник	NOUN	1682-1916	1	защитник-32		В то время, как россияне великого княжения с надеждою или страхом могли готовиться ко второй Донской битве, они были изумлены враждою своих двух главных защитников.	153:163	0:164
защитник	NOUN	1682-1916	1	защитник-33		С особенной силой ответил Спасович на упрек защитника Овсянникова, что он строит все свои выводы на одних косвенных уликах, на чертах и черточках: "Н-да! черты и черточки! -- воскликнул он.	44:53	0:189
защитник	NOUN	1682-1916	1	защитник-34		Вопрос о том, что такое бог в существе (essential, substantia, natura) своем, еще с первых веков христианства сделался предметом особенного внимания учителей церкви, с одной стороны, как вопрос и сам по себе весьма важный и близкий к уму и сердцу каждого человека, а еще более потому, что вопросом этим много занимались тогда еретики, естественно вызывавшие против себя защитников православия (стр. 92).	370:380	0:403
защитник	NOUN	1682-1916	1	защитник-35		Прибавьте к этому последние голоса защитников французского средневекового романтизма, рапсодии любителей чистоты русского слога, толки старцев, сохранивших предания карамзинской сентиментальности -- и перед вами предстанет странная картина идей и понятий, не доросших до полного своего проявления, погибших во цвете лет, но все еще не сходящих со сцены, идей и понятий не развитых, не высказанных, не досказанных.	35:45	0:413
защитник	NOUN	1682-1916	1	защитник-36		Вы слышали горячие речи защитников этих мероприятий о том, как много страна получит, а вот когда дошло до голодовок, с этих хуторов великолепнейшим образом гонят.	24:34	0:162
защитник	NOUN	1682-1916	1	защитник-37		Но присяжный поверенный Александров просил суд о вызове поименованных в его заявлении лиц не для проверки подробностей рассказов, переданных об этом событии Засулич совсем другими лицами, а для проверки обстоятельств, вызвавших и сопровождавших наказание Боголюбова, тогда как, по вышеприведенным объяснениям Засулич, на решимость ее повлияли не обстоятельства, вызвавшие и сопровождавшие наказание Боголюбова розгами, очевидицей которых она не была, а рассказы об этом событии, и притом рассказы, переданные ей не теми лицами, вызова которых защитник ее домогался.	543:551	0:565
