identifier1	identifier2	annotator	judgment	comment	lemma
знатный-0	знатный-1	annotator1	4		знатный
знатный-0	знатный-1	annotator2	4		знатный
знатный-0	знатный-1	annotator3	2		знатный
знатный-0	знатный-1	annotator4	4		знатный
знатный-0	знатный-1	annotator5	4		знатный
знатный-2	знатный-3	annotator1	4		знатный
знатный-2	знатный-3	annotator2	2		знатный
знатный-2	знатный-3	annotator3	1		знатный
знатный-2	знатный-3	annotator4	2		знатный
знатный-2	знатный-3	annotator5	2		знатный
знатный-4	знатный-5	annotator1	1		знатный
знатный-4	знатный-5	annotator2	4		знатный
знатный-4	знатный-5	annotator3	4		знатный
знатный-4	знатный-5	annotator4	1		знатный
знатный-4	знатный-5	annotator5	4		знатный
знатный-6	знатный-7	annotator1	4		знатный
знатный-6	знатный-7	annotator2	4		знатный
знатный-6	знатный-7	annotator3	2		знатный
знатный-6	знатный-7	annotator4	4		знатный
знатный-6	знатный-7	annotator5	4		знатный
знатный-8	знатный-9	annotator1	4		знатный
знатный-8	знатный-9	annotator2	1		знатный
знатный-8	знатный-9	annotator3	4		знатный
знатный-8	знатный-9	annotator4	2		знатный
знатный-8	знатный-9	annotator5	4		знатный
знатный-10	знатный-11	annotator1	1		знатный
знатный-10	знатный-11	annotator2	1		знатный
знатный-10	знатный-11	annotator3	2		знатный
знатный-10	знатный-11	annotator4	1		знатный
знатный-10	знатный-11	annotator5	1		знатный
знатный-12	знатный-13	annotator1	4		знатный
знатный-12	знатный-13	annotator2	3		знатный
знатный-12	знатный-13	annotator3	4		знатный
знатный-12	знатный-13	annotator4	4		знатный
знатный-12	знатный-13	annotator5	4		знатный
знатный-14	знатный-15	annotator1	4		знатный
знатный-14	знатный-15	annotator2	2		знатный
знатный-14	знатный-15	annotator3	3		знатный
знатный-14	знатный-15	annotator4	3		знатный
знатный-14	знатный-15	annotator5	4		знатный
знатный-16	знатный-17	annotator1	4		знатный
знатный-16	знатный-17	annotator2	4		знатный
знатный-16	знатный-17	annotator3	4		знатный
знатный-16	знатный-17	annotator4	4		знатный
знатный-16	знатный-17	annotator5	4		знатный
знатный-18	знатный-19	annotator1	4		знатный
знатный-18	знатный-19	annotator2	3		знатный
знатный-18	знатный-19	annotator3	3		знатный
знатный-18	знатный-19	annotator4	4		знатный
знатный-18	знатный-19	annotator5	3		знатный
знатный-20	знатный-21	annotator1	1		знатный
знатный-20	знатный-21	annotator2	4		знатный
знатный-20	знатный-21	annotator3	1		знатный
знатный-20	знатный-21	annotator4	1		знатный
знатный-20	знатный-21	annotator5	1		знатный
знатный-22	знатный-23	annotator1	2		знатный
знатный-22	знатный-23	annotator2	4		знатный
знатный-22	знатный-23	annotator3	1		знатный
знатный-22	знатный-23	annotator4	4		знатный
знатный-22	знатный-23	annotator5	4		знатный
знатный-24	знатный-25	annotator1	3		знатный
знатный-24	знатный-25	annotator2	3		знатный
знатный-24	знатный-25	annotator3	3		знатный
знатный-24	знатный-25	annotator4	4		знатный
знатный-24	знатный-25	annotator5	3		знатный
знатный-26	знатный-27	annotator1	1		знатный
знатный-26	знатный-27	annotator2	1		знатный
знатный-26	знатный-27	annotator3	2		знатный
знатный-26	знатный-27	annotator4	1		знатный
знатный-26	знатный-27	annotator5	1		знатный
знатный-28	знатный-29	annotator1	4		знатный
знатный-28	знатный-29	annotator2	4		знатный
знатный-28	знатный-29	annotator3	3		знатный
знатный-28	знатный-29	annotator4	1		знатный
знатный-28	знатный-29	annotator5	4		знатный
знатный-30	знатный-31	annotator1	4		знатный
знатный-30	знатный-31	annotator2	4		знатный
знатный-30	знатный-31	annotator3	3		знатный
знатный-30	знатный-31	annotator4	4		знатный
знатный-30	знатный-31	annotator5	4		знатный
знатный-32	знатный-33	annotator1	2		знатный
знатный-32	знатный-33	annotator2	3		знатный
знатный-32	знатный-33	annotator3	3		знатный
знатный-32	знатный-33	annotator4	4		знатный
знатный-32	знатный-33	annotator5	1		знатный
знатный-34	знатный-35	annotator1	3		знатный
знатный-34	знатный-35	annotator2	1		знатный
знатный-34	знатный-35	annotator3	4		знатный
знатный-34	знатный-35	annotator4	3		знатный
знатный-34	знатный-35	annotator5	3		знатный
знатный-36	знатный-37	annotator1	4		знатный
знатный-36	знатный-37	annotator2	3		знатный
знатный-36	знатный-37	annotator3	4		знатный
знатный-36	знатный-37	annotator4	4		знатный
знатный-36	знатный-37	annotator5	4		знатный
знатный-38	знатный-39	annotator1	4		знатный
знатный-38	знатный-39	annotator2	4		знатный
знатный-38	знатный-39	annotator3	4		знатный
знатный-38	знатный-39	annotator4	4		знатный
знатный-38	знатный-39	annotator5	4		знатный
знатный-40	знатный-41	annotator1	4		знатный
знатный-40	знатный-41	annotator2	4		знатный
знатный-40	знатный-41	annotator3	4		знатный
знатный-40	знатный-41	annotator4	4		знатный
знатный-40	знатный-41	annotator5	3		знатный
знатный-42	знатный-43	annotator1	4		знатный
знатный-42	знатный-43	annotator2	4		знатный
знатный-42	знатный-43	annotator3	4		знатный
знатный-42	знатный-43	annotator4	4		знатный
знатный-42	знатный-43	annotator5	3		знатный
знатный-44	знатный-45	annotator1	4		знатный
знатный-44	знатный-45	annotator2	4		знатный
знатный-44	знатный-45	annotator3	3		знатный
знатный-44	знатный-45	annotator4	4		знатный
знатный-44	знатный-45	annotator5	2		знатный
знатный-46	знатный-47	annotator1	4		знатный
знатный-46	знатный-47	annotator2	4		знатный
знатный-46	знатный-47	annotator3	4		знатный
знатный-46	знатный-47	annotator4	4		знатный
знатный-46	знатный-47	annotator5	4		знатный
знатный-48	знатный-49	annotator1	1		знатный
знатный-48	знатный-49	annotator2	3		знатный
знатный-48	знатный-49	annotator3	1		знатный
знатный-48	знатный-49	annotator4	1		знатный
знатный-48	знатный-49	annotator5	1		знатный
знатный-50	знатный-51	annotator1	4		знатный
знатный-50	знатный-51	annotator2	4		знатный
знатный-50	знатный-51	annotator3	4		знатный
знатный-50	знатный-51	annotator4	4		знатный
знатный-50	знатный-51	annotator5	4		знатный
знатный-52	знатный-53	annotator1	3		знатный
знатный-52	знатный-53	annotator2	2		знатный
знатный-52	знатный-53	annotator3	1		знатный
знатный-52	знатный-53	annotator4	1		знатный
знатный-52	знатный-53	annotator5	1		знатный
знатный-54	знатный-55	annotator1	4		знатный
знатный-54	знатный-55	annotator2	4		знатный
знатный-54	знатный-55	annotator3	3		знатный
знатный-54	знатный-55	annotator4	4		знатный
знатный-54	знатный-55	annotator5	4		знатный
знатный-56	знатный-57	annotator1	1		знатный
знатный-56	знатный-57	annotator2	1		знатный
знатный-56	знатный-57	annotator3	2		знатный
знатный-56	знатный-57	annotator4	1		знатный
знатный-56	знатный-57	annotator5	1		знатный
знатный-58	знатный-59	annotator1	4		знатный
знатный-58	знатный-59	annotator2	4		знатный
знатный-58	знатный-59	annotator3	4		знатный
знатный-58	знатный-59	annotator4	4		знатный
знатный-58	знатный-59	annotator5	4		знатный
знатный-60	знатный-61	annotator1	1		знатный
знатный-60	знатный-61	annotator2	3		знатный
знатный-60	знатный-61	annotator3	2		знатный
знатный-60	знатный-61	annotator4	4		знатный
знатный-60	знатный-61	annotator5	4		знатный
знатный-62	знатный-63	annotator1	3		знатный
знатный-62	знатный-63	annotator2	4		знатный
знатный-62	знатный-63	annotator3	3		знатный
знатный-62	знатный-63	annotator4	4		знатный
знатный-62	знатный-63	annotator5	4		знатный
знатный-64	знатный-65	annotator1	4		знатный
знатный-64	знатный-65	annotator2	3		знатный
знатный-64	знатный-65	annotator3	1		знатный
знатный-64	знатный-65	annotator4	2		знатный
знатный-64	знатный-65	annotator5	4		знатный
знатный-66	знатный-67	annotator1	1		знатный
знатный-66	знатный-67	annotator2	1		знатный
знатный-66	знатный-67	annotator3	1		знатный
знатный-66	знатный-67	annotator4	1		знатный
знатный-66	знатный-67	annotator5	1		знатный
знатный-68	знатный-69	annotator1	1		знатный
знатный-68	знатный-69	annotator2	1		знатный
знатный-68	знатный-69	annotator3	1		знатный
знатный-68	знатный-69	annotator4	2		знатный
знатный-68	знатный-69	annotator5	1		знатный
знатный-70	знатный-71	annotator1	1		знатный
знатный-70	знатный-71	annotator2	1		знатный
знатный-70	знатный-71	annotator3	2		знатный
знатный-70	знатный-71	annotator4	1		знатный
знатный-70	знатный-71	annotator5	3		знатный
знатный-72	знатный-73	annotator1	3		знатный
знатный-72	знатный-73	annotator2	4		знатный
знатный-72	знатный-73	annotator3	3		знатный
знатный-72	знатный-73	annotator4	2		знатный
знатный-72	знатный-73	annotator5	3		знатный
знатный-74	знатный-75	annotator1	2		знатный
знатный-74	знатный-75	annotator2	4		знатный
знатный-74	знатный-75	annotator3	2		знатный
знатный-74	знатный-75	annotator4	3		знатный
знатный-74	знатный-75	annotator5	2		знатный
знатный-76	знатный-77	annotator1	1		знатный
знатный-76	знатный-77	annotator2	2		знатный
знатный-76	знатный-77	annotator3	1		знатный
знатный-76	знатный-77	annotator4	1		знатный
знатный-76	знатный-77	annotator5	3		знатный
знатный-78	знатный-79	annotator1	1		знатный
знатный-78	знатный-79	annotator2	2		знатный
знатный-78	знатный-79	annotator3	3		знатный
знатный-78	знатный-79	annotator4	1		знатный
знатный-78	знатный-79	annotator5	2		знатный
знатный-80	знатный-81	annotator1	4		знатный
знатный-80	знатный-81	annotator2	4		знатный
знатный-80	знатный-81	annotator3	3		знатный
знатный-80	знатный-81	annotator4	4		знатный
знатный-80	знатный-81	annotator5	3		знатный
знатный-82	знатный-83	annotator1	3		знатный
знатный-82	знатный-83	annotator2	2		знатный
знатный-82	знатный-83	annotator3	3		знатный
знатный-82	знатный-83	annotator4	2		знатный
знатный-82	знатный-83	annotator5	2		знатный
знатный-84	знатный-85	annotator1	1		знатный
знатный-84	знатный-85	annotator2	4		знатный
знатный-84	знатный-85	annotator3	1		знатный
знатный-84	знатный-85	annotator4	4		знатный
знатный-84	знатный-85	annotator5	3		знатный
знатный-86	знатный-87	annotator1	3		знатный
знатный-86	знатный-87	annotator2	4		знатный
знатный-86	знатный-87	annotator3	3		знатный
знатный-86	знатный-87	annotator4	3		знатный
знатный-86	знатный-87	annotator5	4		знатный
знатный-88	знатный-89	annotator1	3		знатный
знатный-88	знатный-89	annotator2	4		знатный
знатный-88	знатный-89	annotator3	4		знатный
знатный-88	знатный-89	annotator4	4		знатный
знатный-88	знатный-89	annotator5	4		знатный
знатный-90	знатный-91	annotator1	4		знатный
знатный-90	знатный-91	annotator2	3		знатный
знатный-90	знатный-91	annotator3	4		знатный
знатный-90	знатный-91	annotator4	1		знатный
знатный-90	знатный-91	annotator5	4		знатный
знатный-92	знатный-93	annotator1	3		знатный
знатный-92	знатный-93	annotator2	4		знатный
знатный-92	знатный-93	annotator3	3		знатный
знатный-92	знатный-93	annotator4	3		знатный
знатный-92	знатный-93	annotator5	4		знатный
знатный-94	знатный-95	annotator1	3		знатный
знатный-94	знатный-95	annotator2	4		знатный
знатный-94	знатный-95	annotator3	3		знатный
знатный-94	знатный-95	annotator4	2		знатный
знатный-94	знатный-95	annotator5	3		знатный
знатный-96	знатный-97	annotator1	4		знатный
знатный-96	знатный-97	annotator2	3		знатный
знатный-96	знатный-97	annotator3	4		знатный
знатный-96	знатный-97	annotator4	2		знатный
знатный-96	знатный-97	annotator5	3		знатный
знатный-98	знатный-99	annotator1	4		знатный
знатный-98	знатный-99	annotator2	4		знатный
знатный-98	знатный-99	annotator3	2		знатный
знатный-98	знатный-99	annotator4	3		знатный
знатный-98	знатный-99	annotator5	4		знатный
знатный-100	знатный-101	annotator1	1		знатный
знатный-100	знатный-101	annotator2	1		знатный
знатный-100	знатный-101	annotator3	1		знатный
знатный-100	знатный-101	annotator4	1		знатный
знатный-100	знатный-101	annotator5	1		знатный
знатный-102	знатный-103	annotator1	4		знатный
знатный-102	знатный-103	annotator2	4		знатный
знатный-102	знатный-103	annotator3	4		знатный
знатный-102	знатный-103	annotator4	4		знатный
знатный-102	знатный-103	annotator5	4		знатный
знатный-104	знатный-105	annotator1	4		знатный
знатный-104	знатный-105	annotator2	4		знатный
знатный-104	знатный-105	annotator3	4		знатный
знатный-104	знатный-105	annotator4	4		знатный
знатный-104	знатный-105	annotator5	4		знатный
знатный-106	знатный-107	annotator1	1		знатный
знатный-106	знатный-107	annotator2	1		знатный
знатный-106	знатный-107	annotator3	1		знатный
знатный-106	знатный-107	annotator4	1		знатный
знатный-106	знатный-107	annotator5	1		знатный
знатный-108	знатный-109	annotator1	4		знатный
знатный-108	знатный-109	annotator2	2		знатный
знатный-108	знатный-109	annotator3	4		знатный
знатный-108	знатный-109	annotator4	4		знатный
знатный-108	знатный-109	annotator5	4		знатный
знатный-110	знатный-111	annotator1	1		знатный
знатный-110	знатный-111	annotator2	1		знатный
знатный-110	знатный-111	annotator3	1		знатный
знатный-110	знатный-111	annotator4	3		знатный
знатный-110	знатный-111	annotator5	1		знатный
знатный-112	знатный-113	annotator1	4		знатный
знатный-112	знатный-113	annotator2	3		знатный
знатный-112	знатный-113	annotator3	4		знатный
знатный-112	знатный-113	annotator4	4		знатный
знатный-112	знатный-113	annotator5	1		знатный
знатный-114	знатный-115	annotator1	4		знатный
знатный-114	знатный-115	annotator2	4		знатный
знатный-114	знатный-115	annotator3	3		знатный
знатный-114	знатный-115	annotator4	3		знатный
знатный-114	знатный-115	annotator5	3		знатный
знатный-116	знатный-117	annotator1	4		знатный
знатный-116	знатный-117	annotator2	4		знатный
знатный-116	знатный-117	annotator3	4		знатный
знатный-116	знатный-117	annotator4	4		знатный
знатный-116	знатный-117	annotator5	4		знатный
знатный-118	знатный-119	annotator1	1		знатный
знатный-118	знатный-119	annotator2	1		знатный
знатный-118	знатный-119	annotator3	1		знатный
знатный-118	знатный-119	annotator4	3		знатный
знатный-118	знатный-119	annotator5	3		знатный
