lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
знатный	ADJ	1682-1916	1	знатный-0		"Почему стихи И почему такие длинные" Сюжетом стихов была легенда о жившей некогда под Эмсом знатной госпоже фон Штейн, которая так удачно женила своих сыновей и выдала замуж дочерей, что не было пределов ее земному счастью.	93:100	0:224
знатный	ADJ	1918-1990	2	знатный-1		Его правила требовали для признания виновности "лучшего доказательства всего света", как выражался закон, то есть собственного признания или, во всяком случае, не менее двух присяжных свидетельских показаний, причем в оценке этих показаний отдавалось предпочтение знатному перед незнатным, мужчине перед женщиной, духовной особе перед светской, и закон воспрещал доверять показаниям "людей, тайно портивших межевые знаки", "явных прелюбодеев" и "иностранцев, поведение коих не известно".	264:272	0:487
знатный	ADJ	1918-1990	2	знатный-2		-- Знатная бригада -- они должны план давать, греметь.	3:10	0:54
знатный	ADJ	1918-1990	2	знатный-3		А начало уже и раньше было -- о знатных суммах, которые его светлость переправил в амстердамские и лионские кредиты.	32:39	0:116
знатный	ADJ	1682-1916	1	знатный-4		-- Знатный кондер!..	3:10	0:20
знатный	ADJ	1918-1990	2	знатный-5		Ежедневно тритцать пять центнеровъ руды выжигается, которые почти половину, или по крайней мр пятнатцать центнеровъ, даютъ чистой ртути, изъ чего о знатной прибыли сего дла разсудить можно: ибо центнеръ обыкновенной ртути стоитъ 150 гулденовъ, а ежели врознь продается, то фунтъ за два гулдена покупается.	148:155	0:305
знатный	ADJ	1918-1990	2	знатный-6		-- А я не хочу быть знатной.	20:27	0:28
знатный	ADJ	1918-1990	2	знатный-7		Это была первая всенародная казнь знатного боярина.	34:42	0:51
знатный	ADJ	1682-1916	1	знатный-8		-- И ежели это действительно так, я, в виде гарантии, должен потребовать от вас, любезнейший Гоцковский, письменного на то свидетельства, а также утверждения присягою и... еще, хотя бы для проформы, показаний каких-либо знатных свидетелей.	220:227	0:239
знатный	ADJ	1918-1990	2	знатный-9		Послы российские, знатные люди Ольгины и купцы обедали в другой комнате; потом дарили гостей деньгами: племяннику княгини дали 30 милиаризий -- или 2 1/2 червонца, -- каждому из осьми ее приближенных 20, каждому из двадцати послов 12, каждому из сорока трех купцов то же, священнику или духовнику Ольгину именем Григорий 8, двум переводчикам 24, Святославовым людям 5 на человека, посольским 3, собственному переводчику княгини 15 милиаризий.	18:25	0:442
знатный	ADJ	1682-1916	1	знатный-10		-- Ну и махина,-- говорит он, -- знатная махина!..	33:40	0:50
знатный	ADJ	1918-1990	2	знатный-11		Элиза принимала всех милостиво, без унижения и гордости; она была приветлива среди народа, не давая чувствовать, что снисходит к нему; ласкала знатных, не допуская их до излишней смелости, и каждым словом, каждым взором доказывала, что ей не учиться царствовать.	143:150	0:262
знатный	ADJ	1682-1916	1	знатный-12		-- Это почему так -- На днях приехал сюда один знатный немецкий барон с баронессой, супругой, из Берлина.	47:54	0:105
знатный	ADJ	1682-1916	1	знатный-13		Наконец, стараниями Карла II знатные его любовницы примирились с плебейками, сиживали с ними за одним столом и чередовались на королевском ложе.	29:36	0:144
знатный	ADJ	1918-1990	2	знатный-14		-- Я не знатный.	8:15	0:16
знатный	ADJ	1918-1990	2	знатный-15		Они были, очевидно, очень знатные люди.	26:33	0:39
знатный	ADJ	1918-1990	2	знатный-16		Знатная дама напоминала паву, высидевшую яйцо лебедя.	0:7	0:53
знатный	ADJ	1918-1990	2	знатный-17		Если ехали знатный и богатый, -- он пощады не знал, сам кончал с людьми.	11:18	0:72
знатный	ADJ	1682-1916	1	знатный-18		А пока что мы тебе и знатную невесту подыщем.	21:28	0:45
знатный	ADJ	1918-1990	2	знатный-19		Фу, знатный мед, так в нос и ударяет!..	4:11	0:39
знатный	ADJ	1682-1916	1	знатный-20		А пред собою отправил нерегулярных несколко в партию, чтоб достать знатного языка.	67:75	0:82
знатный	ADJ	1682-1916	1	знатный-21		-- Только барантачи и душманы скрывают свое имя... а я... я племянница и приемная дочь знатного и известного русского генерала, князя Георгия Джаваха, я могу сказать мое имя -- меня зовут Нина бек-Израэл.	87:95	0:204
знатный	ADJ	1682-1916	1	знатный-22		Блестящий гвардейский офицер-сапер Ландсберг, накануне женитьбы на богатой и знатной невесте, накануне большой и блестящей карьеры, зарезал, с целью грабежа, ростовщика Власова и его служанку.	77:84	0:192
знатный	ADJ	1682-1916	1	знатный-23		Катерина Рабе не оскорблялась гордым обращением с нею знатных приезжих или не примечала его: дружба Луизы, явно дававшая ей предпочтение перед всеми гостями, вознаграждала ее за неприятности этого праздника.	54:61	0:207
знатный	ADJ	1682-1916	1	знатный-24		В 1585 году -- Шекспир уже в Лондоне: стережет лошадей знатных посетителей театра.	55:62	0:82
знатный	ADJ	1682-1916	1	знатный-25		С восшествием на престол названого Димитрия, был устроен сенат, где надлежало заседать и знатному духовенству: Гермоген был членом этого сената и потому был приглашен в Москву.	89:97	0:176
знатный	ADJ	1918-1990	2	знатный-26		В 1900 году знатная азербайджанская доярка обязалась довести надой молока от коровы до 6.500 килограммов.	12:19	0:105
знатный	ADJ	1918-1990	2	знатный-27		Оная окружная черта рыб знатной широты полосу составляет.	24:31	0:57
знатный	ADJ	1682-1916	1	знатный-28		В то время между богатыми и знатными людьми было весьма много людей оригинальных, или, как ныне говорят, эксцентрических, т.е. людей, которые жили особой жизнью, вопреки своему рождению и состоянию, искали повсюду приключений, и большую часть жизни проводили в странствиях, инкогнито, мешаясь со всеми сословиями, посещая места самые низкие, и находя единственное наслаждение в сильных ощущениях, в внезапностях, в необыкновенных событиях, подвергаясь даже опасностям.	28:36	0:468
знатный	ADJ	1682-1916	1	знатный-29		Но заседание в сенате токмо нескольким родам предоставили, тако, уменьшая излишнею власть монарха, предавали ее множества вельможам, со огорчением множества знатных родов, и вместо одного толпу Государей сочиняли.	157:164	0:213
знатный	ADJ	1918-1990	2	знатный-30		В ту эпоху существовал обычай, согласно которому каждая актерская труппа имела знатного покровителя.	79:87	0:100
знатный	ADJ	1918-1990	2	знатный-31		Здесь останавливаются знатные иностранцы, свои миллионщики, кутилы-воротилы, помещики и другие баловни жизни.	22:29	0:109
знатный	ADJ	1682-1916	1	знатный-32		Вероятно, на основе фольклорного материала сюда введён суконник Адам, убивающий знатного татарского князя, попав из своего самострела прямо "в сердце его гневливое", Москва достаётся Тохтамышу лишь в результате измены и лживых его обещаний.	80:88	0:240
знатный	ADJ	1918-1990	2	знатный-33		-- Но как и сие ничего не пособило, то вознамерилась пойтить по домам и, пришедши в один знатный дом, сняла с плеч ящик и наземь постановила, ибо великое количество разума начало уже ее весьма отягощать.	89:96	0:203
знатный	ADJ	1682-1916	1	знатный-34		Вот Исайя, иерусалимлянин знатного рода, влиятельный советник царя (ок.730).	26:34	0:76
знатный	ADJ	1918-1990	2	знатный-35		И как сие было готово, наутро велел послать по печенег, звать от них знатных во град для разговора.	69:76	0:99
знатный	ADJ	1682-1916	1	знатный-36		Вот у тебя и перстенек завелся знатный.	31:38	0:39
