identifier1	identifier2	annotator	judgment	comment	lemma
казенный-0	казенный-1	annotator1	1		казенный
казенный-0	казенный-1	annotator2	1		казенный
казенный-0	казенный-1	annotator3	4		казенный
казенный-0	казенный-1	annotator4	4		казенный
казенный-0	казенный-1	annotator5	1		казенный
казенный-2	казенный-3	annotator1	2		казенный
казенный-2	казенный-3	annotator2	1		казенный
казенный-2	казенный-3	annotator3	1		казенный
казенный-2	казенный-3	annotator4	4		казенный
казенный-2	казенный-3	annotator5	4		казенный
казенный-4	казенный-5	annotator1	3		казенный
казенный-4	казенный-5	annotator2	4		казенный
казенный-4	казенный-5	annotator3	4		казенный
казенный-4	казенный-5	annotator4	3		казенный
казенный-4	казенный-5	annotator5	3		казенный
казенный-6	казенный-7	annotator1	4		казенный
казенный-6	казенный-7	annotator2	4		казенный
казенный-6	казенный-7	annotator3	3		казенный
казенный-6	казенный-7	annotator4	1		казенный
казенный-6	казенный-7	annotator5	4		казенный
казенный-8	казенный-9	annotator1	4		казенный
казенный-8	казенный-9	annotator2	4		казенный
казенный-8	казенный-9	annotator3	3		казенный
казенный-8	казенный-9	annotator4	4		казенный
казенный-8	казенный-9	annotator5	4		казенный
казенный-10	казенный-11	annotator1	4		казенный
казенный-10	казенный-11	annotator2	3		казенный
казенный-10	казенный-11	annotator3	1		казенный
казенный-10	казенный-11	annotator4	4		казенный
казенный-10	казенный-11	annotator5	3		казенный
казенный-12	казенный-13	annotator1	4		казенный
казенный-12	казенный-13	annotator2	4		казенный
казенный-12	казенный-13	annotator3	3		казенный
казенный-12	казенный-13	annotator4	3		казенный
казенный-12	казенный-13	annotator5	3		казенный
казенный-14	казенный-15	annotator1	4		казенный
казенный-14	казенный-15	annotator2	3		казенный
казенный-14	казенный-15	annotator3	2		казенный
казенный-14	казенный-15	annotator4	1		казенный
казенный-14	казенный-15	annotator5	4		казенный
казенный-16	казенный-17	annotator1	3		казенный
казенный-16	казенный-17	annotator2	2		казенный
казенный-16	казенный-17	annotator3	4		казенный
казенный-16	казенный-17	annotator4	2		казенный
казенный-16	казенный-17	annotator5	1		казенный
казенный-18	казенный-19	annotator1	1		казенный
казенный-18	казенный-19	annotator2	3		казенный
казенный-18	казенный-19	annotator3	1		казенный
казенный-18	казенный-19	annotator4	2		казенный
казенный-18	казенный-19	annotator5	1		казенный
казенный-20	казенный-21	annotator1	4		казенный
казенный-20	казенный-21	annotator2	1		казенный
казенный-20	казенный-21	annotator3	4		казенный
казенный-20	казенный-21	annotator4	3		казенный
казенный-20	казенный-21	annotator5	4		казенный
казенный-22	казенный-23	annotator1	4		казенный
казенный-22	казенный-23	annotator2	2		казенный
казенный-22	казенный-23	annotator3	4		казенный
казенный-22	казенный-23	annotator4	3		казенный
казенный-22	казенный-23	annotator5	3		казенный
казенный-24	казенный-25	annotator1	3		казенный
казенный-24	казенный-25	annotator2	3		казенный
казенный-24	казенный-25	annotator3	3		казенный
казенный-24	казенный-25	annotator4	4		казенный
казенный-24	казенный-25	annotator5	3		казенный
казенный-26	казенный-27	annotator1	1		казенный
казенный-26	казенный-27	annotator2	1		казенный
казенный-26	казенный-27	annotator3	2		казенный
казенный-26	казенный-27	annotator4	4		казенный
казенный-26	казенный-27	annotator5	1		казенный
казенный-28	казенный-29	annotator1	3		казенный
казенный-28	казенный-29	annotator2	4		казенный
казенный-28	казенный-29	annotator3	4		казенный
казенный-28	казенный-29	annotator4	1		казенный
казенный-28	казенный-29	annotator5	4		казенный
казенный-30	казенный-31	annotator1	3		казенный
казенный-30	казенный-31	annotator2	3		казенный
казенный-30	казенный-31	annotator3	4		казенный
казенный-30	казенный-31	annotator4	4		казенный
казенный-30	казенный-31	annotator5	3		казенный
казенный-32	казенный-33	annotator1	2		казенный
казенный-32	казенный-33	annotator2	2		казенный
казенный-32	казенный-33	annotator3	4		казенный
казенный-32	казенный-33	annotator4	4		казенный
казенный-32	казенный-33	annotator5	3		казенный
казенный-34	казенный-35	annotator1	4		казенный
казенный-34	казенный-35	annotator2	3		казенный
казенный-34	казенный-35	annotator3	4		казенный
казенный-34	казенный-35	annotator4	3		казенный
казенный-34	казенный-35	annotator5	4		казенный
казенный-36	казенный-37	annotator1	1		казенный
казенный-36	казенный-37	annotator2	1		казенный
казенный-36	казенный-37	annotator3	2		казенный
казенный-36	казенный-37	annotator4	1		казенный
казенный-36	казенный-37	annotator5	2		казенный
казенный-38	казенный-39	annotator1	2		казенный
казенный-38	казенный-39	annotator2	3		казенный
казенный-38	казенный-39	annotator3	4		казенный
казенный-38	казенный-39	annotator4	3		казенный
казенный-38	казенный-39	annotator5	4		казенный
казенный-40	казенный-41	annotator1	4		казенный
казенный-40	казенный-41	annotator2	4		казенный
казенный-40	казенный-41	annotator3	3		казенный
казенный-40	казенный-41	annotator4	3		казенный
казенный-40	казенный-41	annotator5	4		казенный
казенный-42	казенный-43	annotator1	3		казенный
казенный-42	казенный-43	annotator2	4		казенный
казенный-42	казенный-43	annotator3	4		казенный
казенный-42	казенный-43	annotator4	3		казенный
казенный-42	казенный-43	annotator5	3		казенный
казенный-44	казенный-45	annotator1	4		казенный
казенный-44	казенный-45	annotator2	2		казенный
казенный-44	казенный-45	annotator3	4		казенный
казенный-44	казенный-45	annotator4	4		казенный
казенный-44	казенный-45	annotator5	2		казенный
казенный-46	казенный-47	annotator1	4		казенный
казенный-46	казенный-47	annotator2	2		казенный
казенный-46	казенный-47	annotator3	4		казенный
казенный-46	казенный-47	annotator4	3		казенный
казенный-46	казенный-47	annotator5	4		казенный
казенный-48	казенный-49	annotator1	3		казенный
казенный-48	казенный-49	annotator2	1		казенный
казенный-48	казенный-49	annotator3	3		казенный
казенный-48	казенный-49	annotator4	3		казенный
казенный-48	казенный-49	annotator5	1		казенный
казенный-50	казенный-51	annotator1	4		казенный
казенный-50	казенный-51	annotator2	4		казенный
казенный-50	казенный-51	annotator3	4		казенный
казенный-50	казенный-51	annotator4	4		казенный
казенный-50	казенный-51	annotator5	1		казенный
казенный-52	казенный-53	annotator1	3		казенный
казенный-52	казенный-53	annotator2	3		казенный
казенный-52	казенный-53	annotator3	3		казенный
казенный-52	казенный-53	annotator4	4		казенный
казенный-52	казенный-53	annotator5	3		казенный
казенный-54	казенный-55	annotator1	4		казенный
казенный-54	казенный-55	annotator2	4		казенный
казенный-54	казенный-55	annotator3	3		казенный
казенный-54	казенный-55	annotator4	4		казенный
казенный-54	казенный-55	annotator5	4		казенный
казенный-56	казенный-57	annotator1	4		казенный
казенный-56	казенный-57	annotator2	4		казенный
казенный-56	казенный-57	annotator3	4		казенный
казенный-56	казенный-57	annotator4	4		казенный
казенный-56	казенный-57	annotator5	4		казенный
казенный-58	казенный-59	annotator1	4		казенный
казенный-58	казенный-59	annotator2	4		казенный
казенный-58	казенный-59	annotator3	4		казенный
казенный-58	казенный-59	annotator4	4		казенный
казенный-58	казенный-59	annotator5	4		казенный
казенный-60	казенный-61	annotator1	2		казенный
казенный-60	казенный-61	annotator2	4		казенный
казенный-60	казенный-61	annotator3	4		казенный
казенный-60	казенный-61	annotator4	4		казенный
казенный-60	казенный-61	annotator5	4		казенный
казенный-62	казенный-63	annotator1	2		казенный
казенный-62	казенный-63	annotator2	2		казенный
казенный-62	казенный-63	annotator3	1		казенный
казенный-62	казенный-63	annotator4	3		казенный
казенный-62	казенный-63	annotator5	4		казенный
казенный-64	казенный-65	annotator1	3		казенный
казенный-64	казенный-65	annotator2	1		казенный
казенный-64	казенный-65	annotator3	4		казенный
казенный-64	казенный-65	annotator4	4		казенный
казенный-64	казенный-65	annotator5	1		казенный
казенный-66	казенный-67	annotator1	3		казенный
казенный-66	казенный-67	annotator2	1		казенный
казенный-66	казенный-67	annotator3	3		казенный
казенный-66	казенный-67	annotator4	1		казенный
казенный-66	казенный-67	annotator5	3		казенный
казенный-68	казенный-69	annotator1	3		казенный
казенный-68	казенный-69	annotator2	4		казенный
казенный-68	казенный-69	annotator3	3		казенный
казенный-68	казенный-69	annotator4	4		казенный
казенный-68	казенный-69	annotator5	3		казенный
казенный-70	казенный-71	annotator1	1		казенный
казенный-70	казенный-71	annotator2	1		казенный
казенный-70	казенный-71	annotator3	1		казенный
казенный-70	казенный-71	annotator4	4		казенный
казенный-70	казенный-71	annotator5	4		казенный
казенный-72	казенный-73	annotator1	4		казенный
казенный-72	казенный-73	annotator2	3		казенный
казенный-72	казенный-73	annotator3	4		казенный
казенный-72	казенный-73	annotator4	3		казенный
казенный-72	казенный-73	annotator5	4		казенный
казенный-74	казенный-75	annotator1	4		казенный
казенный-74	казенный-75	annotator2	4		казенный
казенный-74	казенный-75	annotator3	4		казенный
казенный-74	казенный-75	annotator4	4		казенный
казенный-74	казенный-75	annotator5	4		казенный
казенный-76	казенный-77	annotator1	1		казенный
казенный-76	казенный-77	annotator2	4		казенный
казенный-76	казенный-77	annotator3	2		казенный
казенный-76	казенный-77	annotator4	2		казенный
казенный-76	казенный-77	annotator5	2		казенный
казенный-78	казенный-79	annotator1	1		казенный
казенный-78	казенный-79	annotator2	3		казенный
казенный-78	казенный-79	annotator3	3		казенный
казенный-78	казенный-79	annotator4	4		казенный
казенный-78	казенный-79	annotator5	4		казенный
казенный-80	казенный-81	annotator1	1		казенный
казенный-80	казенный-81	annotator2	2		казенный
казенный-80	казенный-81	annotator3	3		казенный
казенный-80	казенный-81	annotator4	3		казенный
казенный-80	казенный-81	annotator5	1		казенный
казенный-82	казенный-83	annotator1	4		казенный
казенный-82	казенный-83	annotator2	4		казенный
казенный-82	казенный-83	annotator3	1		казенный
казенный-82	казенный-83	annotator4	4		казенный
казенный-82	казенный-83	annotator5	4		казенный
казенный-84	казенный-85	annotator1	4		казенный
казенный-84	казенный-85	annotator2	4		казенный
казенный-84	казенный-85	annotator3	3		казенный
казенный-84	казенный-85	annotator4	2		казенный
казенный-84	казенный-85	annotator5	4		казенный
казенный-86	казенный-87	annotator1	4		казенный
казенный-86	казенный-87	annotator2	3		казенный
казенный-86	казенный-87	annotator3	4		казенный
казенный-86	казенный-87	annotator4	1		казенный
казенный-86	казенный-87	annotator5	2		казенный
казенный-88	казенный-89	annotator1	3		казенный
казенный-88	казенный-89	annotator2	1		казенный
