lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
казенный	ADJ	1682-1916	1	казенный-0		"За неимением", "ввиду отсутствия", "что касается" -- все это было необходимо в тех казенных бумагах, которые всю жизнь подписывал почтенный сенатор, но в сказке Оскара Уайльда это кажется бездарною чушью.	84:92	0:205
казенный	ADJ	1918-1990	2	казенный-1		Не ученье страшно -- страшна чужедальня сторона непотачливая, житье-бытье под казенной кровлею, кусок хлеба не матерью печенный, щи не в родительской печи сваренные.	78:86	0:165
казенный	ADJ	1682-1916	1	казенный-2		-- А то еще опознают где-нибудь да засадят за тебя твою подружку в казенный домок о сорока решетчатых окошечках.	67:75	0:112
казенный	ADJ	1918-1990	2	казенный-3		Какая по этому последовала резолюция, из дела не видно, а "приходские люди" стояли на своём и 2-го декабря подали вторую такую же просьбу в синодальный казённый приказ, и там опять писали, что поп Кирилл им хорош и они просят "дать ему к их церкви для служения эпитрахильную память".	152:160	0:283
казенный	ADJ	1682-1916	1	казенный-4		-- Андрюша, много вы с братцем кадетов порубили, а может быть, только зря вас казенной кашей кормили -- Много.	78:86	0:110
казенный	ADJ	1918-1990	2	казенный-5		А Леонтьев, когда-то назвавший адмирала "бешеной собакой" и принужденный оставить морскую службу вследствие того, что неосторожно отозвался в клубе об одном молодом адмирале как о человеке, слишком фамильярно обращавшемся с казенными деньгами (хотя эта фамильярность ни для кого не была секретом), и, кроме того, -- что было еще преступнее! -- напечатал без разрешения начальства какую-то статейку, в которой критически относился к цензу и находил, что "купеческий дух" развращает флот. -- этот самый Леонтьев, оказавшийся во флоте неудобным человеком, испытал на себе истинно дружескую привязанность беспокойного адмирала.	224:233	0:623
казенный	ADJ	1918-1990	2	казенный-6		-- Всех наших раскатали царицыны конники, казенные гусары.	42:50	0:58
казенный	ADJ	1918-1990	2	казенный-7		Это соответствует продажной казенной цене на хлеб -- пятачок фунт.	28:36	0:66
казенный	ADJ	1682-1916	1	казенный-8		-- И помчался на казенной лошади в лес; а там, на полянке, расселись семинаристы -- и курят.	17:25	0:92
казенный	ADJ	1918-1990	2	казенный-9		Произведения сии суть: 1) атласы губерний, по прежнему разделению составленные, по уездам, комиссарствам и волостям; 2) планы выгонам всех почти городов, до 1822 года учрежденных; 3) планы приведенным в известность оброчным статьям; 4) значительное число чертежей по частному межеванию дач для казенных поселян; 5) планы земель Колывано-Воскресенского заводского ведомства; 6) съемки уездов Ялуторовского и Тюменского; 7) общие и частные планы земель, занимаемых в смежности Тобольской губернии линейными казаками; 8) карты северной части Тобольской губернии, составленные при изысканиях водяных сообщений; 9) план южной части Кузнецкого уезда; 10) описание Ишимского уезда; 11) карты берегов Восточного океана и Ледовитого моря в Иркутской губернии, в особенности же хранящиеся в Морском ведомстве; 12) карты Нерчинского края, составленные по распоряжению бывшей там секретной комиссии; 13) съемки рек Оби, Иртыша, Ангары, Тыма и Сыма; 14) съемки берегов озера Байкал; 15) съемки дорог Барабинской и Кемчугской.	294:302	0:1012
казенный	ADJ	1918-1990	2	казенный-10		.. казенной печати Если взять без проверки и сопоставлений данные казенной статистики о состоянии казенного и народного хозяйства с одной стороны, и данные об удовлетворении насущнейших потребностей населения с другой стороны, то можно было бы установить следующий парадоксальный закон: чем больше растет производство, тем острее ощущается недостаток в товарах и продуктах продовольствия.	3:11	0:388
казенный	ADJ	1918-1990	2	казенный-11		Таким образом, оба оппонента в изображаемом споре, употребляя казенный язык, в сущности, говорили об одном и том же.	62:70	0:116
казенный	ADJ	1682-1916	1	казенный-12		Казенные леса сохраняются в распоряжении казны, а частновладельческие принимаются под наблюдение лесных правительственных управлений.	0:8	0:133
казенный	ADJ	1682-1916	1	казенный-13		На ней даже казенное платье.	12:20	0:28
казенный	ADJ	1918-1990	2	казенный-14		Казенный.	0:8	0:9
казенный	ADJ	1918-1990	2	казенный-15		Все партии помещались в одном казенном доме, и каждая считала себя лучше всех.	30:38	0:78
казенный	ADJ	1918-1990	2	казенный-16		А корова -- это же дополнительное питание, когда одно казенное довольствие и почти ничего нельзя достать на стороне.	54:62	0:116
казенный	ADJ	1918-1990	2	казенный-17		Номер был однокоечный, для важных командированных, но вида самого казенного: славянский шкаф, обеденный круглый стол на толстых ножках, письменный стол с мраморным чернильным прибором, кровать, тумбочка, пара стульев, обитых коричневым дерматином.	66:75	0:247
казенный	ADJ	1918-1990	2	казенный-18		Аретино не мог не знать об этом, потому что наиболее высокий подъем борьбы против казенного католицизма пришелся на 40-е и 50-е годы.	82:91	0:133
казенный	ADJ	1918-1990	2	казенный-19		Сегодня наконец-то должно было выйти решение о его отставке с казенной службы.	62:70	0:78
казенный	ADJ	1918-1990	2	казенный-20		Бабушкин дом, стоявший хотя и в центре города, но в стороне от казенных зданий, едва ли мог рассчитывать на то, что Государь проедет мимо, тем не менее и он был побелен заново, также как и задняя стена его двора, вытянувшаяся длинным белым полотнищем по другой улице, по которой мог случайно проехать Государь, направляясь во флотские казармы, или на лагерный плац.	63:71	0:365
