identifier1	identifier2	annotator	judgment	comment	lemma
классный-84-12	классный-85-12	annotator1	4		классный
классный-2-12	классный-3-12	annotator1	1		классный
классный-58-12	классный-59-12	annotator1	1		классный
классный-40-12	классный-41-12	annotator1	4		классный
классный-116-12	классный-117-12	annotator1	4		классный
классный-114-12	классный-115-12	annotator1	4		классный
классный-112-12	классный-113-12	annotator1	1		классный
классный-92-12	классный-93-12	annotator1	3		классный
классный-94-12	классный-95-12	annotator1	1		классный
классный-118-12	классный-119-12	annotator1	2		классный
классный-110-12	классный-111-12	annotator1	4		классный
классный-100-12	классный-101-12	annotator1	1		классный
классный-98-12	классный-99-12	annotator1	3		классный
классный-96-12	классный-97-12	annotator1	4		классный
классный-102-12	классный-103-12	annotator1	1		классный
классный-108-12	классный-109-12	annotator1	3		классный
классный-106-12	классный-107-12	annotator1	1		классный
классный-104-12	классный-105-12	annotator1	4		классный
классный-90-12	классный-91-12	annotator1	1		классный
классный-68-12	классный-69-12	annotator1	4		классный
классный-70-12	классный-71-12	annotator1	1		классный
классный-72-12	классный-73-12	annotator1	4		классный
классный-4-12	классный-5-12	annotator1	4		классный
классный-6-12	классный-7-12	annotator1	1		классный
классный-28-12	классный-29-12	annotator1	3		классный
классный-26-12	классный-27-12	annotator1	4		классный
классный-38-12	классный-39-12	annotator1	2		классный
классный-42-12	классный-43-12	annotator1	4		классный
классный-36-12	классный-37-12	annotator1	1		классный
классный-32-12	классный-33-12	annotator1	3		классный
классный-34-12	классный-35-12	annotator1	1		классный
классный-44-12	классный-45-12	annotator1	4		классный
классный-52-12	классный-53-12	annotator1	2		классный
классный-54-12	классный-55-12	annotator1	4		классный
классный-56-12	классный-57-12	annotator1	3		классный
классный-46-12	классный-47-12	annotator1	3		классный
классный-66-12	классный-67-12	annotator1	2		классный
классный-48-12	классный-49-12	annotator1	4		классный
классный-30-12	классный-31-12	annotator1	4		классный
классный-14-12	классный-15-12	annotator1	3		классный
классный-12-12	классный-13-12	annotator1	4		классный
классный-10-12	классный-11-12	annotator1	1		классный
классный-8-12	классный-9-12	annotator1	2		классный
классный-16-12	классный-17-12	annotator1	4		классный
классный-20-12	классный-21-12	annotator1	3		классный
классный-18-12	классный-19-12	annotator1	1		классный
классный-0-12	классный-1-12	annotator1	4		классный
классный-24-12	классный-25-12	annotator1	1		классный
классный-50-12	классный-51-12	annotator1	1		классный
классный-60-12	классный-61-12	annotator1	1		классный
классный-22-12	классный-23-12	annotator1	1		классный
классный-76-12	классный-77-12	annotator1	3		классный
классный-64-12	классный-65-12	annotator1	2		классный
классный-74-12	классный-75-12	annotator1	2		классный
классный-78-12	классный-79-12	annotator1	4		классный
классный-82-12	классный-83-12	annotator1	4		классный
классный-62-12	классный-63-12	annotator1	3		классный
классный-80-12	классный-81-12	annotator1	2		классный
классный-88-12	классный-89-12	annotator1	4		классный
классный-86-12	классный-87-12	annotator1	4		классный
классный-114-12	классный-115-12	annotator2	3		классный
классный-118-12	классный-119-12	annotator2	4		классный
классный-74-12	классный-75-12	annotator2	3		классный
классный-58-12	классный-59-12	annotator2	1		классный
классный-84-12	классный-85-12	annotator2	4		классный
классный-10-12	классный-11-12	annotator2	3		классный
классный-94-12	классный-95-12	annotator2	1		классный
классный-100-12	классный-101-12	annotator2	1		классный
классный-14-12	классный-15-12	annotator2	3		классный
классный-22-12	классный-23-12	annotator2	1		классный
классный-4-12	классный-5-12	annotator2	4		классный
классный-98-12	классный-99-12	annotator2	4		классный
классный-48-12	классный-49-12	annotator2	4		классный
классный-76-12	классный-77-12	annotator2	4		классный
классный-12-12	классный-13-12	annotator2	4		классный
классный-20-12	классный-21-12	annotator2	4		классный
классный-88-12	классный-89-12	annotator2	4		классный
классный-92-12	классный-93-12	annotator2	3		классный
классный-28-12	классный-29-12	annotator2	3		классный
классный-86-12	классный-87-12	annotator2	4		классный
классный-60-12	классный-61-12	annotator2	1		классный
классный-26-12	классный-27-12	annotator2	4		классный
классный-6-12	классный-7-12	annotator2	1		классный
классный-112-12	классный-113-12	annotator2	1		классный
