identifier1	identifier2	annotator	judgment	comment	lemma
клиника-0	клиника-1	annotator1	3		клиника
клиника-0	клиника-1	annotator2	4		клиника
клиника-0	клиника-1	annotator3	4		клиника
клиника-0	клиника-1	annotator4	4		клиника
клиника-0	клиника-1	annotator5	4		клиника
клиника-2	клиника-3	annotator1	4		клиника
клиника-2	клиника-3	annotator2	4		клиника
клиника-2	клиника-3	annotator3	4		клиника
клиника-2	клиника-3	annotator4	4		клиника
клиника-2	клиника-3	annotator5	4		клиника
клиника-4	клиника-5	annotator1	4		клиника
клиника-4	клиника-5	annotator2	4		клиника
клиника-4	клиника-5	annotator3	4		клиника
клиника-4	клиника-5	annotator4	4		клиника
клиника-4	клиника-5	annotator5	4		клиника
клиника-6	клиника-7	annotator1	4		клиника
клиника-6	клиника-7	annotator2	4		клиника
клиника-6	клиника-7	annotator3	4		клиника
клиника-6	клиника-7	annotator4	3		клиника
клиника-6	клиника-7	annotator5	4		клиника
клиника-8	клиника-9	annotator1	4		клиника
клиника-8	клиника-9	annotator2	4		клиника
клиника-8	клиника-9	annotator3	4		клиника
клиника-8	клиника-9	annotator4	4		клиника
клиника-8	клиника-9	annotator5	4		клиника
клиника-10	клиника-11	annotator1	4		клиника
клиника-10	клиника-11	annotator2	4		клиника
клиника-10	клиника-11	annotator3	4		клиника
клиника-10	клиника-11	annotator4	4		клиника
клиника-10	клиника-11	annotator5	4		клиника
клиника-12	клиника-13	annotator1	3		клиника
клиника-12	клиника-13	annotator2	3		клиника
клиника-12	клиника-13	annotator3	4		клиника
клиника-12	клиника-13	annotator4	3		клиника
клиника-12	клиника-13	annotator5	3		клиника
клиника-14	клиника-15	annotator1	4		клиника
клиника-14	клиника-15	annotator2	3		клиника
клиника-14	клиника-15	annotator3	4		клиника
клиника-14	клиника-15	annotator4	4		клиника
клиника-14	клиника-15	annotator5	4		клиника
клиника-16	клиника-17	annotator1	4		клиника
клиника-16	клиника-17	annotator2	4		клиника
клиника-16	клиника-17	annotator3	4		клиника
клиника-16	клиника-17	annotator4	4		клиника
клиника-16	клиника-17	annotator5	4		клиника
клиника-18	клиника-19	annotator1	4		клиника
клиника-18	клиника-19	annotator2	4		клиника
клиника-18	клиника-19	annotator3	4		клиника
клиника-18	клиника-19	annotator4	1		клиника
клиника-18	клиника-19	annotator5	4		клиника
клиника-20	клиника-21	annotator1	4		клиника
клиника-20	клиника-21	annotator2	4		клиника
клиника-20	клиника-21	annotator3	4		клиника
клиника-20	клиника-21	annotator4	4		клиника
клиника-20	клиника-21	annotator5	4		клиника
клиника-22	клиника-23	annotator1	4		клиника
клиника-22	клиника-23	annotator2	4		клиника
клиника-22	клиника-23	annotator3	4		клиника
клиника-22	клиника-23	annotator4	4		клиника
клиника-22	клиника-23	annotator5	4		клиника
клиника-24	клиника-25	annotator1	3		клиника
клиника-24	клиника-25	annotator2	4		клиника
клиника-24	клиника-25	annotator3	3		клиника
клиника-24	клиника-25	annotator4	3		клиника
клиника-24	клиника-25	annotator5	4		клиника
клиника-26	клиника-27	annotator1	4		клиника
клиника-26	клиника-27	annotator2	4		клиника
клиника-26	клиника-27	annotator3	4		клиника
клиника-26	клиника-27	annotator4	4		клиника
клиника-26	клиника-27	annotator5	4		клиника
клиника-28	клиника-29	annotator1	3		клиника
клиника-28	клиника-29	annotator2	4		клиника
клиника-28	клиника-29	annotator3	3		клиника
клиника-28	клиника-29	annotator4	4		клиника
клиника-28	клиника-29	annotator5	4		клиника
клиника-30	клиника-31	annotator1	4		клиника
клиника-30	клиника-31	annotator2	4		клиника
клиника-30	клиника-31	annotator3	4		клиника
клиника-30	клиника-31	annotator4	4		клиника
клиника-30	клиника-31	annotator5	4		клиника
клиника-32	клиника-33	annotator1	4		клиника
клиника-32	клиника-33	annotator2	4		клиника
клиника-32	клиника-33	annotator3	4		клиника
клиника-32	клиника-33	annotator4	4		клиника
клиника-32	клиника-33	annotator5	4		клиника
клиника-34	клиника-35	annotator1	3		клиника
