lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
клиника	NOUN	1682-1916	1	клиника-0		-- Вы куда -- На Выборгскую, в клинику.	31:38	0:39
клиника	NOUN	1682-1916	1	клиника-1		По словам газет, двумя англичанками, учительницами английского языка, в одном берлинском женском лицее была устроена своего рода клиника, в которой больных лечили без лекарств одними таинственными заклинаниями.	129:136	0:210
клиника	NOUN	1682-1916	1	клиника-2		-- Газета "Врач" напечатала докладную записку медицинского факультета о нуждах клиник, статья была принята с глубоким сочувствием со стороны зрячих и со скрежетом зубовным со стороны бездушных представителей злополучной бюрократии".	79:85	0:232
клиника	NOUN	1682-1916	1	клиника-3		-- В то время, когда, возвратившись из утренней поездки моей в клинику Вилье и в военную тюрьму, я собирался ехать в заседание Военного совета, получил приглашение во дворец, к 1 часу, на совещание.	63:70	0:198
клиника	NOUN	1682-1916	1	клиника-4		-- Позавчера я дежурил у себя в клинике.	32:39	0:40
клиника	NOUN	1918-1990	2	клиника-5		И именно потому, что я чувствовал нечистоту наших взглядов, мне особенно больно становилось за эту девушку, какая сила заставляет ее обнажаться перед нами Пройдет ли для нее все это даром И я старался прочесть на ее красивом, почти еще детском лице всю историю ее пребывания в нашей клинике, -- как возмутилась она, когда впервые была принуждена предстать перед всеми нагою, и как ей пришлось примириться с этим, потому что дома нет средств лечиться, и как постепенно она привыкла.	283:290	0:481
клиника	NOUN	1918-1990	2	клиника-6		...Каждый четверг в моем кабинете собирались врачи -- препарат испытывался в шести клиниках одновременно.	83:91	0:105
клиника	NOUN	1918-1990	2	клиника-7		Нам лично приходилось неоднократно получать письма от бывших пациентов клиники, которые сообщали о своем хорошем здоровье и утверждали при этом, что они никогда не были больны, а только обманывали врачей.	71:78	0:204
клиника	NOUN	1918-1990	2	клиника-8		А обо мне ты думаешь Я училась, росла, работала в клинике, делала доклады, а здесь я что Хороший муж видит в жене не постельную принадлежность, а друга, товарища, ты же.	50:57	0:169
клиника	NOUN	1918-1990	2	клиника-9		Что он знал о сыне Однажды, будучи уже мобилизованным, Юрий Андреевич перед отъездом пришел в клинику проведать Тоню.	94:101	0:117
клиника	NOUN	1918-1990	2	клиника-10		Апельсиново-водочный, вовремя спохватившийся, собирает в чемодан пижаму, зубную щетку, бритву, Гэрольд Робинса и отправляется в алкогольную клинику.	140:147	0:148
клиника	NOUN	1918-1990	2	клиника-11		В восемь часов сиделка почему-то не позвонила, и мы опять побежали в клинику и снова говорили -- на этот раз с той милой сестрой, которая посоветовала нам ловить профессора после обхода.	69:76	0:186
клиника	NOUN	1918-1990	2	клиника-12		Больная Л. 44 лет, кустарь-косметик, поступила в психиатрическую клинику II ММИ с жалобами на различные навязчивые явления, которые совершенно парализовали ее волю.	65:72	0:164
клиника	NOUN	1918-1990	2	клиника-13		Нужны, по-видимому, новые центры, клиники, программы исследований.	34:41	0:66
