identifier1	identifier2	annotator	judgment	comment	lemma
комиссар-90-12	комиссар-91-12	annotator1	1		комиссар
комиссар-112-12	комиссар-113-12	annotator1	2		комиссар
комиссар-96-12	комиссар-97-12	annotator1	2		комиссар
комиссар-0-12	комиссар-1-12	annotator1	4		комиссар
комиссар-2-12	комиссар-3-12	annotator1	4		комиссар
комиссар-84-12	комиссар-85-12	annotator1	4		комиссар
комиссар-80-12	комиссар-81-12	annotator1	4		комиссар
комиссар-82-12	комиссар-83-12	annotator1	2		комиссар
комиссар-86-12	комиссар-87-12	annotator1	4		комиссар
комиссар-110-12	комиссар-111-12	annotator1	4		комиссар
комиссар-94-12	комиссар-95-12	annotator1	4		комиссар
комиссар-88-12	комиссар-89-12	annotator1	4		комиссар
комиссар-18-12	комиссар-19-12	annotator1	4		комиссар
комиссар-4-12	комиссар-5-12	annotator1	4		комиссар
комиссар-116-12	комиссар-117-12	annotator1	4		комиссар
комиссар-20-12	комиссар-21-12	annotator1	4		комиссар
комиссар-22-12	комиссар-23-12	annotator1	4		комиссар
комиссар-14-12	комиссар-15-12	annotator1	4		комиссар
комиссар-44-12	комиссар-45-12	annotator1	3		комиссар
комиссар-6-12	комиссар-7-12	annotator1	4		комиссар
комиссар-8-12	комиссар-9-12	annotator1	4		комиссар
комиссар-16-12	комиссар-17-12	annotator1	3		комиссар
комиссар-92-12	комиссар-93-12	annotator1	2		комиссар
комиссар-60-12	комиссар-61-12	annotator1	4		комиссар
комиссар-30-12	комиссар-31-12	annotator1	4		комиссар
комиссар-46-12	комиссар-47-12	annotator1	2		комиссар
комиссар-48-12	комиссар-49-12	annotator1	4		комиссар
комиссар-50-12	комиссар-51-12	annotator1	4		комиссар
комиссар-52-12	комиссар-53-12	annotator1	4		комиссар
комиссар-56-12	комиссар-57-12	annotator1	4		комиссар
комиссар-40-12	комиссар-41-12	annotator1	3		комиссар
комиссар-38-12	комиссар-39-12	annotator1	4		комиссар
комиссар-98-12	комиссар-99-12	annotator1	4		комиссар
комиссар-108-12	комиссар-109-12	annotator1	2		комиссар
комиссар-104-12	комиссар-105-12	annotator1	3		комиссар
комиссар-102-12	комиссар-103-12	annotator1	2		комиссар
комиссар-54-12	комиссар-55-12	annotator1	4		комиссар
комиссар-100-12	комиссар-101-12	annotator1	4		комиссар
комиссар-36-12	комиссар-37-12	annotator1	4		комиссар
комиссар-26-12	комиссар-27-12	annotator1	4		комиссар
комиссар-24-12	комиссар-25-12	annotator1	4		комиссар
комиссар-106-12	комиссар-107-12	annotator1	1		комиссар
комиссар-28-12	комиссар-29-12	annotator1	4		комиссар
комиссар-32-12	комиссар-33-12	annotator1	4		комиссар
комиссар-34-12	комиссар-35-12	annotator1	1		комиссар
комиссар-114-12	комиссар-115-12	annotator1	4		комиссар
комиссар-10-12	комиссар-11-12	annotator1	1		комиссар
комиссар-12-12	комиссар-13-12	annotator1	4		комиссар
комиссар-58-12	комиссар-59-12	annotator1	4		комиссар
комиссар-62-12	комиссар-63-12	annotator1	3		комиссар
комиссар-76-12	комиссар-77-12	annotator1	4		комиссар
комиссар-78-12	комиссар-79-12	annotator1	4		комиссар
комиссар-74-12	комиссар-75-12	annotator1	4		комиссар
комиссар-118-12	комиссар-119-12	annotator1	4		комиссар
комиссар-72-12	комиссар-73-12	annotator1	1		комиссар
комиссар-42-12	комиссар-43-12	annotator1	4		комиссар
комиссар-64-12	комиссар-65-12	annotator1	1		комиссар
комиссар-66-12	комиссар-67-12	annotator1	1		комиссар
комиссар-70-12	комиссар-71-12	annotator1	4		комиссар
комиссар-68-12	комиссар-69-12	annotator1	2		комиссар
комиссар-38-12	комиссар-39-12	annotator2	3		комиссар
комиссар-30-12	комиссар-31-12	annotator2	3		комиссар
комиссар-70-12	комиссар-71-12	annotator2	4		комиссар
комиссар-12-12	комиссар-13-12	annotator2	3		комиссар
комиссар-96-12	комиссар-97-12	annotator2	1		комиссар
комиссар-94-12	комиссар-95-12	annotator2	4		комиссар
комиссар-90-12	комиссар-91-12	annotator2	3		комиссар
комиссар-68-12	комиссар-69-12	annotator2	4		комиссар
комиссар-92-12	комиссар-93-12	annotator2	1		комиссар
комиссар-32-12	комиссар-33-12	annotator2	3		комиссар
комиссар-78-12	комиссар-79-12	annotator2	3		комиссар
комиссар-46-12	комиссар-47-12	annotator2	4		комиссар
комиссар-0-12	комиссар-1-12	annotator2	4		комиссар
комиссар-2-12	комиссар-3-12	annotator2	4		комиссар
комиссар-58-12	комиссар-59-12	annotator2	4		комиссар
комиссар-76-12	комиссар-77-12	annotator2	4		комиссар
комиссар-52-12	комиссар-53-12	annotator2	4		комиссар
комиссар-80-12	комиссар-81-12	annotator2	4		комиссар
комиссар-82-12	комиссар-83-12	annotator2	2		комиссар
комиссар-84-12	комиссар-85-12	annotator2	4		комиссар
комиссар-112-12	комиссар-113-12	annotator2	4		комиссар
комиссар-114-12	комиссар-115-12	annotator2	4		комиссар
комиссар-118-12	комиссар-119-12	annotator2	4		комиссар
комиссар-34-12	комиссар-35-12	annotator2	4		комиссар
комиссар-66-12	комиссар-67-12	annotator2	1		комиссар
комиссар-36-12	комиссар-37-12	annotator2	1		комиссар
комиссар-108-12	комиссар-109-12	annotator2	3		комиссар
комиссар-98-12	комиссар-99-12	annotator2	2		комиссар
комиссар-104-12	комиссар-105-12	annotator2	4		комиссар
комиссар-54-12	комиссар-55-12	annotator2	4		комиссар
комиссар-102-12	комиссар-103-12	annotator2	4		комиссар
комиссар-64-12	комиссар-65-12	annotator2	1		комиссар
комиссар-56-12	комиссар-57-12	annotator2	1		комиссар
комиссар-100-12	комиссар-101-12	annotator2	4		комиссар
комиссар-60-12	комиссар-61-12	annotator2	3		комиссар
комиссар-26-12	комиссар-27-12	annotator2	4		комиссар
комиссар-50-12	комиссар-51-12	annotator2	4		комиссар
комиссар-24-12	комиссар-25-12	annotator2	4		комиссар
комиссар-62-12	комиссар-63-12	annotator2	2		комиссар
комиссар-110-12	комиссар-111-12	annotator2	4		комиссар
комиссар-106-12	комиссар-107-12	annotator2	3		комиссар
комиссар-48-12	комиссар-49-12	annotator2	4		комиссар
комиссар-28-12	комиссар-29-12	annotator2	4		комиссар
комиссар-40-12	комиссар-41-12	annotator2	3		комиссар
комиссар-42-12	комиссар-43-12	annotator2	2		комиссар
комиссар-116-12	комиссар-117-12	annotator2	4		комиссар
комиссар-6-12	комиссар-7-12	annotator2	4		комиссар
комиссар-18-12	комиссар-19-12	annotator2	4		комиссар
комиссар-4-12	комиссар-5-12	annotator2	4		комиссар
комиссар-8-12	комиссар-9-12	annotator2	4		комиссар
комиссар-44-12	комиссар-45-12	annotator2	3		комиссар
комиссар-88-12	комиссар-89-12	annotator2	4		комиссар
комиссар-86-12	комиссар-87-12	annotator2	4		комиссар
комиссар-16-12	комиссар-17-12	annotator2	1		комиссар
комиссар-22-12	комиссар-23-12	annotator2	4		комиссар
комиссар-74-12	комиссар-75-12	annotator2	4		комиссар
комиссар-14-12	комиссар-15-12	annotator2	4		комиссар
комиссар-10-12	комиссар-11-12	annotator2	3		комиссар
комиссар-72-12	комиссар-73-12	annotator2	3		комиссар
комиссар-20-12	комиссар-21-12	annotator2	3		комиссар
комиссар-4-12	комиссар-5-12	annotator3	4		комиссар
комиссар-100-12	комиссар-101-12	annotator3	3		комиссар
комиссар-12-12	комиссар-13-12	annotator3	4		комиссар
комиссар-98-12	комиссар-99-12	annotator3	4		комиссар
комиссар-34-12	комиссар-35-12	annotator3	4		комиссар
комиссар-22-12	комиссар-23-12	annotator3	4		комиссар
комиссар-26-12	комиссар-27-12	annotator3	4		комиссар
комиссар-114-12	комиссар-115-12	annotator3	4		комиссар
комиссар-62-12	комиссар-63-12	annotator3	2		комиссар
комиссар-106-12	комиссар-107-12	annotator3	3		комиссар
комиссар-102-12	комиссар-103-12	annotator3	4		комиссар
комиссар-116-12	комиссар-117-12	annotator3	4		комиссар
комиссар-44-12	комиссар-45-12	annotator3	4		комиссар
комиссар-20-12	комиссар-21-12	annotator3	4		комиссар
комиссар-86-12	комиссар-87-12	annotator3	4		комиссар
комиссар-74-12	комиссар-75-12	annotator3	4		комиссар
комиссар-58-12	комиссар-59-12	annotator3	4		комиссар
комиссар-52-12	комиссар-53-12	annotator3	4		комиссар
комиссар-68-12	комиссар-69-12	annotator3	1		комиссар
комиссар-42-12	комиссар-43-12	annotator3	4		комиссар
комиссар-46-12	комиссар-47-12	annotator3	4		комиссар
комиссар-10-12	комиссар-11-12	annotator3	1		комиссар
комиссар-48-12	комиссар-49-12	annotator3	3		комиссар
комиссар-56-12	комиссар-57-12	annotator3	4		комиссар
комиссар-104-12	комиссар-105-12	annotator3	4		комиссар
комиссар-64-12	комиссар-65-12	annotator3	3		комиссар
комиссар-50-12	комиссар-51-12	annotator3	4		комиссар
комиссар-8-12	комиссар-9-12	annotator3	4		комиссар
комиссар-96-12	комиссар-97-12	annotator3	4		комиссар
комиссар-40-12	комиссар-41-12	annotator3	2		комиссар
комиссар-66-12	комиссар-67-12	annotator3	1		комиссар
комиссар-38-12	комиссар-39-12	annotator3	3		комиссар
комиссар-54-12	комиссар-55-12	annotator3	4		комиссар
комиссар-36-12	комиссар-37-12	annotator3	2		комиссар
комиссар-6-12	комиссар-7-12	annotator3	4		комиссар
комиссар-72-12	комиссар-73-12	annotator3	1		комиссар
комиссар-108-12	комиссар-109-12	annotator3	1		комиссар
комиссар-32-12	комиссар-33-12	annotator3	1		комиссар
комиссар-24-12	комиссар-25-12	annotator3	4		комиссар
комиссар-78-12	комиссар-79-12	annotator3	4		комиссар
комиссар-2-12	комиссар-3-12	annotator3	2		комиссар
комиссар-60-12	комиссар-61-12	annotator3	1		комиссар
комиссар-0-12	комиссар-1-12	annotator3	4		комиссар
комиссар-112-12	комиссар-113-12	annotator3	3		комиссар
комиссар-94-12	комиссар-95-12	annotator3	3		комиссар
комиссар-90-12	комиссар-91-12	annotator3	1		комиссар
комиссар-16-12	комиссар-17-12	annotator3	4		комиссар
комиссар-82-12	комиссар-83-12	annotator3	1		комиссар
комиссар-80-12	комиссар-81-12	annotator3	3		комиссар
комиссар-14-12	комиссар-15-12	annotator3	4		комиссар
комиссар-70-12	комиссар-71-12	annotator3	4		комиссар
комиссар-92-12	комиссар-93-12	annotator3	2		комиссар
комиссар-28-12	комиссар-29-12	annotator3	4		комиссар
комиссар-76-12	комиссар-77-12	annotator3	4		комиссар
комиссар-88-12	комиссар-89-12	annotator3	3		комиссар
комиссар-18-12	комиссар-19-12	annotator3	2		комиссар
комиссар-84-12	комиссар-85-12	annotator3	2		комиссар
комиссар-30-12	комиссар-31-12	annotator3	3		комиссар
комиссар-110-12	комиссар-111-12	annotator3	3		комиссар
комиссар-118-12	комиссар-119-12	annotator3	3		комиссар
комиссар-66-12	комиссар-67-12	annotator4	2		комиссар
комиссар-36-12	комиссар-37-12	annotator4	1		комиссар
комиссар-54-12	комиссар-55-12	annotator4	1		комиссар
комиссар-40-12	комиссар-41-12	annotator4	2		комиссар
комиссар-2-12	комиссар-3-12	annotator4	3		комиссар
комиссар-38-12	комиссар-39-12	annotator4	2		комиссар
комиссар-70-12	комиссар-71-12	annotator4	4		комиссар
комиссар-88-12	комиссар-89-12	annotator4	3		комиссар
комиссар-72-12	комиссар-73-12	annotator4	4		комиссар
комиссар-116-12	комиссар-117-12	annotator4	2		комиссар
комиссар-84-12	комиссар-85-12	annotator4	3		комиссар
комиссар-58-12	комиссар-59-12	annotator4	4		комиссар
комиссар-56-12	комиссар-57-12	annotator4	3		комиссар
комиссар-86-12	комиссар-87-12	annotator4	2		комиссар
комиссар-10-12	комиссар-11-12	annotator4	1		комиссар
комиссар-46-12	комиссар-47-12	annotator4	4		комиссар
комиссар-104-12	комиссар-105-12	annotator4	1		комиссар
комиссар-82-12	комиссар-83-12	annotator4	4		комиссар
комиссар-74-12	комиссар-75-12	annotator4	3		комиссар
комиссар-48-12	комиссар-49-12	annotator4	4		комиссар
комиссар-110-12	комиссар-111-12	annotator4	4		комиссар
комиссар-42-12	комиссар-43-12	annotator4	3		комиссар
комиссар-80-12	комиссар-81-12	annotator4	4		комиссар
комиссар-50-12	комиссар-51-12	annotator4	4		комиссар
комиссар-8-12	комиссар-9-12	annotator4	4		комиссар
комиссар-108-12	комиссар-109-12	annotator4	3		комиссар
комиссар-0-12	комиссар-1-12	annotator4	3		комиссар
комиссар-64-12	комиссар-65-12	annotator4	4		комиссар
комиссар-96-12	комиссар-97-12	annotator4	4		комиссар
комиссар-26-12	комиссар-27-12	annotator4	4		комиссар
комиссар-112-12	комиссар-113-12	annotator4	2		комиссар
комиссар-90-12	комиссар-91-12	annotator4	2		комиссар
комиссар-24-12	комиссар-25-12	annotator4	4		комиссар
комиссар-16-12	комиссар-17-12	annotator4	2		комиссар
комиссар-44-12	комиссар-45-12	annotator4	2		комиссар
комиссар-20-12	комиссар-21-12	annotator4	4		комиссар
комиссар-28-12	комиссар-29-12	annotator4	3		комиссар
комиссар-106-12	комиссар-107-12	annotator4	3		комиссар
комиссар-114-12	комиссар-115-12	annotator4	4		комиссар
комиссар-22-12	комиссар-23-12	annotator4	2		комиссар
комиссар-60-12	комиссар-61-12	annotator4	4		комиссар
комиссар-30-12	комиссар-31-12	annotator4	4		комиссар
комиссар-18-12	комиссар-19-12	annotator4	4		комиссар
комиссар-32-12	комиссар-33-12	annotator4	3		комиссар
комиссар-6-12	комиссар-7-12	annotator4	4		комиссар
комиссар-34-12	комиссар-35-12	annotator4	3		комиссар
комиссар-68-12	комиссар-69-12	annotator4	4		комиссар
комиссар-62-12	комиссар-63-12	annotator4	4		комиссар
комиссар-98-12	комиссар-99-12	annotator4	4		комиссар
комиссар-52-12	комиссар-53-12	annotator4	3		комиссар
комиссар-76-12	комиссар-77-12	annotator4	4		комиссар
комиссар-92-12	комиссар-93-12	annotator4	3		комиссар
комиссар-100-12	комиссар-101-12	annotator4	3		комиссар
комиссар-14-12	комиссар-15-12	annotator4	3		комиссар
комиссар-4-12	комиссар-5-12	annotator4	1		комиссар
комиссар-12-12	комиссар-13-12	annotator4	4		комиссар
комиссар-102-12	комиссар-103-12	annotator4	4		комиссар
комиссар-78-12	комиссар-79-12	annotator4	4		комиссар
комиссар-118-12	комиссар-119-12	annotator4	4		комиссар
комиссар-94-12	комиссар-95-12	annotator4	4		комиссар
комиссар-110-12	комиссар-111-12	annotator5	2		комиссар
комиссар-56-12	комиссар-57-12	annotator5	1		комиссар
комиссар-42-12	комиссар-43-12	annotator5	4		комиссар
комиссар-108-12	комиссар-109-12	annotator5	4		комиссар
комиссар-54-12	комиссар-55-12	annotator5	4		комиссар
комиссар-44-12	комиссар-45-12	annotator5	4		комиссар
комиссар-118-12	комиссар-119-12	annotator5	4		комиссар
комиссар-116-12	комиссар-117-12	annotator5	3		комиссар
комиссар-112-12	комиссар-113-12	annotator5	1		комиссар
комиссар-114-12	комиссар-115-12	annotator5	4		комиссар
комиссар-46-12	комиссар-47-12	annotator5	4		комиссар
комиссар-52-12	комиссар-53-12	annotator5	4		комиссар
комиссар-86-12	комиссар-87-12	annotator5	3		комиссар
комиссар-2-12	комиссар-3-12	annotator5	4		комиссар
комиссар-14-12	комиссар-15-12	annotator5	4		комиссар
комиссар-16-12	комиссар-17-12	annotator5	2		комиссар
комиссар-18-12	комиссар-19-12	annotator5	3		комиссар
комиссар-20-12	комиссар-21-12	annotator5	4		комиссар
комиссар-12-12	комиссар-13-12	annotator5	3		комиссар
комиссар-4-12	комиссар-5-12	annotator5	3		комиссар
комиссар-6-12	комиссар-7-12	annotator5	4		комиссар
комиссар-8-12	комиссар-9-12	annotator5	4		комиссар
комиссар-10-12	комиссар-11-12	annotator5	4		комиссар
комиссар-78-12	комиссар-79-12	annotator5	4		комиссар
комиссар-70-12	комиссар-71-12	annotator5	4		комиссар
комиссар-72-12	комиссар-73-12	annotator5	1		комиссар
комиссар-74-12	комиссар-75-12	annotator5	4		комиссар
комиссар-76-12	комиссар-77-12	annotator5	4		комиссар
комиссар-68-12	комиссар-69-12	annotator5	1		комиссар
комиссар-64-12	комиссар-65-12	annotator5	3		комиссар
комиссар-60-12	комиссар-61-12	annotator5	1		комиссар
комиссар-62-12	комиссар-63-12	annotator5	4		комиссар
комиссар-66-12	комиссар-67-12	annotator5	3		комиссар
комиссар-84-12	комиссар-85-12	annotator5	3		комиссар
комиссар-58-12	комиссар-59-12	annotator5	4		комиссар
комиссар-82-12	комиссар-83-12	annotator5	3		комиссар
комиссар-0-12	комиссар-1-12	annotator5	3		комиссар
комиссар-48-12	комиссар-49-12	annotator5	4		комиссар
комиссар-50-12	комиссар-51-12	annotator5	4		комиссар
комиссар-96-12	комиссар-97-12	annotator5	4		комиссар
комиссар-40-12	комиссар-41-12	annotator5	4		комиссар
комиссар-38-12	комиссар-39-12	annotator5	2		комиссар
комиссар-36-12	комиссар-37-12	annotator5	3		комиссар
комиссар-102-12	комиссар-103-12	annotator5	4		комиссар
комиссар-100-12	комиссар-101-12	annotator5	3		комиссар
комиссар-98-12	комиссар-99-12	annotator5	4		комиссар
комиссар-34-12	комиссар-35-12	annotator5	3		комиссар
комиссар-24-12	комиссар-25-12	annotator5	4		комиссар
комиссар-104-12	комиссар-105-12	annotator5	4		комиссар
комиссар-106-12	комиссар-107-12	annotator5	4		комиссар
комиссар-26-12	комиссар-27-12	annotator5	2		комиссар
комиссар-32-12	комиссар-33-12	annotator5	3		комиссар
комиссар-30-12	комиссар-31-12	annotator5	3		комиссар
комиссар-28-12	комиссар-29-12	annotator5	4		комиссар
комиссар-90-12	комиссар-91-12	annotator5	4		комиссар
комиссар-92-12	комиссар-93-12	annotator5	1		комиссар
комиссар-88-12	комиссар-89-12	annotator5	4		комиссар
комиссар-94-12	комиссар-95-12	annotator5	2		комиссар
комиссар-80-12	комиссар-81-12	annotator5	4		комиссар
комиссар-22-12	комиссар-23-12	annotator5	4		комиссар
