lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
комиссар	NOUN	1682-1916	1	комиссар-0		"Читай, читай!" сказал голова: "что там пишет комиссар" "Послушаем, что пишет комиссар!" произнес винокур, держа в зубах люльку и вырубливая огонь.	46:54	0:147
комиссар	NOUN	1682-1916	1	комиссар-1		Полицейский комиссар, явившийся для увещания, был встречен каменьями.	12:20	0:69
комиссар	NOUN	1682-1916	1	комиссар-2		-- Входим мы сюда вследствие законного права, -- ответил сухо комиссар, -- я пришел именем закона вас арестовать, господин Савин.	62:70	0:129
комиссар	NOUN	1682-1916	1	комиссар-3		Сделав тое, я долгом моим поставляю просить и ваше сиятельство покорнейше изволить довести до сведения его величества, всемилостивейшего Сербии покровителя, всенижайшее мое прошение в высокомонаршей снисходить милости дать всевысочайшие внушения по сему предмету императорской миссии в столице оттоманской, комиссару же своему посреднику, в Сербии находящемуся, г-ну Коцебу приказание не оставлять оной до тех пор, пока нежелательным и справедливым образом не кончатся все преждепомянутые 4 статьи гатишерифа, но паче и в конечном, точном и совестном исполнении, и оных быть посредником между нами и турками.	307:316	0:608
комиссар	NOUN	1682-1916	1	комиссар-4		-- Как настроение -- бросает комиссар, идя к трибуне.	29:37	0:53
комиссар	NOUN	1918-1990	2	комиссар-5		-- Так арестуйте же и меня вместе с маркизом! -- воскликнула она вне себя от негодования и неожиданно для всех схватила стоявшее близ умывальника фаянсовое ведро, полное грязной воды, и вылила его на голову комиссара.	207:216	0:217
комиссар	NOUN	1918-1990	2	комиссар-6		-- Ставь флаг, комиссар.	15:23	0:24
комиссар	NOUN	1918-1990	2	комиссар-7		-- А вот и они, -- сказал комиссар, увлекая Круглова к одному из вагонов.	26:34	0:73
комиссар	NOUN	1918-1990	2	комиссар-8		-- Товарищ комиссар, -- сказал красноармеец, нагоняя Коржикова, -- позвольте доложить.	11:19	0:86
комиссар	NOUN	1918-1990	2	комиссар-9		Там уже сидит сторож Мокеич и пустует стул, оставленный комиссару.	56:65	0:66
комиссар	NOUN	1682-1916	1	комиссар-10		-- Тогда прямой ход тебе -- в комиссары к Мещерякову, а уже вместе идти на разгон главного штаба.	30:39	0:97
комиссар	NOUN	1918-1990	2	комиссар-11		Мусульманские комиссары стояли на своих первоначальных решениях во все продолжение пребывания Смешанной Комиссии в Мухаммере.	14:23	0:125
комиссар	NOUN	1682-1916	1	комиссар-12		-- Я ничего не объясню вам, -- сказала Биче так решительно, хотя мягким тоном, что комиссар с особым вниманием посмотрел на нее.	83:91	0:128
комиссар	NOUN	1918-1990	2	комиссар-13		Пограничный комиссар более не являлся, и благодаря этому я чувствовал себя весь этот день несравненно легче, чем предыдущие, несмотря на то что не спал все ночи, чтоб сделать при первом удобном случае попытку к побегу.	12:20	0:218
комиссар	NOUN	1682-1916	1	комиссар-14		Комиссары отказали и хотели вместе с австрийскими послами разъехаться без дела.	0:9	0:79
комиссар	NOUN	1682-1916	1	комиссар-15		Полицеймейстер вошел, страшно гремя саблею; вдали сквозь растворенную дверь виделся тощий комиссар и половой, державший в страхе в руках шинель полицеймейстера.	90:98	0:160
комиссар	NOUN	1682-1916	1	комиссар-16		А в те годы (1927-1929) я опубликовал ряд работ по космической медицине, вышедших под редакцией Народного комиссара здравоохранения профессора Н.А. Семашко.	106:115	0:156
комиссар	NOUN	1918-1990	2	комиссар-17		-- возразил комиссар.	12:20	0:21
комиссар	NOUN	1682-1916	1	комиссар-18		Батальонный комиссар *** ознакомил нас с историей дивизии.	12:20	0:58
комиссар	NOUN	1918-1990	2	комиссар-19		Протопопица показала на это мужу, но прежде чем протопоп успел встать с своего места, дверь их передней с шумом распахнулась, и в залу протоиерейского дома предстал Ахилла, непосредственно ведя за собою за ухо раскрасневшегося и переконфуженного комиссара Данилку.	246:255	0:264
комиссар	NOUN	1682-1916	1	комиссар-20		Был ли правительственный комиссар плохо вообще освдомлен, недоврчиво ли относился к миролюбивой тактик "диктатора", находился ли под влянем революцоннаго пыла своего окруженя, но он старался воспрепятствовать прозду ивановскаго эшелона в Гатчину.	25:33	0:246
комиссар	NOUN	1918-1990	2	комиссар-21		Сим образом, помнится, в бытность в Ярославле в приличных разговорах случилось мне на любопытные ее величества вопросы обстоятельно доносить, каким образом прежде бывшие генерал-кригс-комиссары и по их ордерам подчиненные их, а потом еще учрежденные при армии генерал-инспекторы в государствование императрицы Анны Иоанновны, повсегодно в летнее время, все армейские и гарнизонные полки в исправных экзерцициях и в довольствовании всех военных чинов по содержанию штатов, также все мундирные и амуничные вещи, дорожные экипажи и бываемую на разные употребления в полках денежную казну осматривали и лучших исправностей во всех учреждениях и производствах наблюдали и, как я напоследок, без мала 8 лет будучи генерал-кригс-комиссаром (когда уже генерал-инспекторы были отставлены, а по их инструкциям учрежденные полкам осмотры приобщены к должности генерал-кригс-комиссара), многократно по обеим тем должностям армейские полки, представляемые мне от дивизионных и бригадных командиров в параде, начиная с экзерциции, и во всех по артикулу учрежденных военных действиях, а потом их ружья, все их мундиры и амуницию, в строю находящуюся, и сначала обер- и унтер- офицеров, потом рядовых по именному списку всех перекликая, осматривал; а потом, отдаля штаб- и обер- офицеров от рот, каждого порознь к себе, в поставленную для меня особливо нарочную палатку, спрашивал о исправном от их командиров содержании, и нет ли им от кого обиды и притеснения, и после, оставляя оных при своей палатке, прохаживал вдоль шеренги и во фрунте стоящих унтер-офицеров и солдат таким же образом спрашивал, обнадеживая их, какое об них имеет ее величество в исправном содержании и довольствовании материнское попечение и что все то мне от ее величества наблюдать и в потребных случаях их защищать повелено.	-1:20	0:1785
комиссар	NOUN	1682-1916	1	комиссар-22		Был штаб, комиссары, культурно просветительная комиссия, но не было солдат.	10:19	0:75
комиссар	NOUN	1918-1990	2	комиссар-23		В погоню за золотом Густав Бирон и вдова комиссара.	41:50	0:51
комиссар	NOUN	1918-1990	2	комиссар-24		В дом, в опустелое нутро дома, плеснуло шипящей кислотой: Елена рвала бумаги в столе комиссара.	85:94	0:95
комиссар	NOUN	1918-1990	2	комиссар-25		Надо комиссару все высказать, объяснить, чтоб, давая билет, он не сомневался: достойному человеку дает.	5:14	0:103
комиссар	NOUN	1682-1916	1	комиссар-26		В июне прошлого года я имел столкновение в Париже с полицией и, будучи в раздражении, побил полицейского комиссара, за что и был арестован.	105:114	0:139
комиссар	NOUN	1682-1916	1	комиссар-27		Вот быстрый обзор каждого из этих предметов: 1. Караван. Когда комиссары приготавливались в Багдаде к выступлению на границу, они условились, чтобы каждый из них имел свой собственный караван.	63:72	0:192
комиссар	NOUN	1682-1916	1	комиссар-28		В письме от 29 апреля Вы передали мне содержание сообщения лорда Керзона Британскому верховному комиссару в Константинополе.	96:105	0:124
комиссар	NOUN	1682-1916	1	комиссар-29		Президентским приказом управляющий министерством иностранных дел Хувейдо назначен комиссаром по заключению иностранных займов.	82:92	0:126
комиссар	NOUN	1682-1916	1	комиссар-30		В скором времени сообщество настолько увеличило число своих членов, что старосты выбрали из среды себя атамана и составили особые списки дружинников, которые и передали упомянутому "комиссару", а также заготовили пики, установили пароль "Воздвиженье" и быстро стали разносить пропаганду бунта по окрестным селам.	182:191	0:312
комиссар	NOUN	1682-1916	1	комиссар-31		Московский военно-окружный суд приговорил по делу о злоупотреблениях в московском военном госпитале подполковника Захарова и комиссара Ильина к арестантским отделениям на один и два с половиной года.	125:134	0:199
комиссар	NOUN	1918-1990	2	комиссар-32		В те же дни происходил съезд губернаторов -- губернских комиссаров, местных агентов того же Авксентьева.	56:66	0:104
комиссар	NOUN	1918-1990	2	комиссар-33		Зачем, вы думаете, директория, посольства и комиссары Я думаю, для того, чтобы ничто, с чем не согласен Малевич, не смогло поднять головы.	44:53	0:138
комиссар	NOUN	1682-1916	1	комиссар-34		Вместо вождя революции и комиссара у него всегда получается генерал, барин или интеллигент.	25:34	0:91
комиссар	NOUN	1918-1990	2	комиссар-35		На другой день посетили шлюп наш и французский {Генерал-майор маркиз Монтеню.} комиссары, капитан адмиральского корабля, первый член Ост-Индского совета и три или четыре морских капитана с здешних военных судов.	79:88	0:211
