identifier1	identifier2	annotator	judgment	comment	lemma
мазь-40-12	мазь-41-12	annotator1	1		мазь
мазь-38-12	мазь-39-12	annotator1	1		мазь
мазь-8-12	мазь-9-12	annotator1	1		мазь
мазь-106-12	мазь-107-12	annotator1	4		мазь
мазь-74-12	мазь-75-12	annotator1	4		мазь
мазь-68-12	мазь-69-12	annotator1	4		мазь
мазь-16-12	мазь-17-12	annotator1	2		мазь
мазь-78-12	мазь-79-12	annotator1	3		мазь
мазь-14-12	мазь-15-12	annotator1	4		мазь
мазь-18-12	мазь-19-12	annotator1	4		мазь
мазь-112-12	мазь-113-12	annotator1	4		мазь
мазь-84-12	мазь-85-12	annotator1	4		мазь
мазь-118-12	мазь-119-12	annotator1	4		мазь
мазь-22-12	мазь-23-12	annotator1	4		мазь
мазь-28-12	мазь-29-12	annotator1	1		мазь
мазь-80-12	мазь-81-12	annotator1	4		мазь
мазь-30-12	мазь-31-12	annotator1	3		мазь
мазь-72-12	мазь-73-12	annotator1	4		мазь
мазь-110-12	мазь-111-12	annotator1	3		мазь
мазь-82-12	мазь-83-12	annotator1	1		мазь
мазь-26-12	мазь-27-12	annotator1	3		мазь
мазь-76-12	мазь-77-12	annotator1	4		мазь
мазь-86-12	мазь-87-12	annotator1	4		мазь
мазь-116-12	мазь-117-12	annotator1	4		мазь
мазь-20-12	мазь-21-12	annotator1	4		мазь
мазь-12-12	мазь-13-12	annotator1	4		мазь
мазь-0-12	мазь-1-12	annotator1	1		мазь
мазь-108-12	мазь-109-12	annotator1	4		мазь
мазь-46-12	мазь-47-12	annotator1	4		мазь
мазь-70-12	мазь-71-12	annotator1	4		мазь
мазь-58-12	мазь-59-12	annotator1	4		мазь
мазь-44-12	мазь-45-12	annotator1	2		мазь
мазь-94-12	мазь-95-12	annotator1	4		мазь
мазь-10-12	мазь-11-12	annotator1	4		мазь
мазь-62-12	мазь-63-12	annotator1	4		мазь
мазь-2-12	мазь-3-12	annotator1	1		мазь
мазь-104-12	мазь-105-12	annotator1	4		мазь
мазь-4-12	мазь-5-12	annotator1	4		мазь
мазь-32-12	мазь-33-12	annotator1	4		мазь
мазь-64-12	мазь-65-12	annotator1	3		мазь
мазь-88-12	мазь-89-12	annotator1	1		мазь
мазь-100-12	мазь-101-12	annotator1	4		мазь
мазь-102-12	мазь-103-12	annotator1	4		мазь
мазь-66-12	мазь-67-12	annotator1	4		мазь
