lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
мазь	NOUN	1682-1916	1	мазь-0		-- В этом разе, -- говорит, -- нет тебе мази!	40:44	0:45
мазь	NOUN	1918-1990	2	мазь-1		Наша, слава богу, благодаря Степановке и Василию Боткину, гостившему у нас летом, на мази.	85:89	0:90
мазь	NOUN	1682-1916	1	мазь-2		-- Как дела -- спросил его Лозневой, Сысоев обтер жирные пальцы о кудлатые рыжие волосы и, подмигивая, ответил: -- Дела на мази!	123:127	0:128
мазь	NOUN	1918-1990	2	мазь-3		Будучи не совсем несведущим в медицине и видав на практике, в походах, немало ран, тотчас же, как только я получил способность рассуждать разумно, я приказал выбросить все масляные мази из разных отвратительных составов этого жреца Эскулапа и пользовал свою рану исключительно тёплой водой, к большой тревоге Ренаты и к негодованию чёрного доктора.	181:185	0:348
мазь	NOUN	1682-1916	1	мазь-4		-- Нюра, нас никто не слышит, -- сказал я ей, -- скажи мне, только не ври -- много ли девчат больны чесоткой Я знал, что лечить чесотку нужно серной мазью, но ни в нашем ВСО, ни в УВПС ее не было.	149:154	0:196
мазь	NOUN	1918-1990	2	мазь-5		Теплый и тяжелый воздух, насыщенный больными испарениями и запахом разных мазей, в разных углах -- то удушливый кашель, то глухие, страдальческие стоны трудно больных; брезжущий слабый свет от единственной сальной свечи, вставленной в воду, которою наполнен длинный цилиндр жестяного подсвечника, стоящего на полу у печки и весьма напоминающего собою те подсвечники, что обыкновенно ставят над покойниками; длинные халаты словно саваны, болтающиеся на тощих фигурах, тихо бродящих по комнате, вроде каких-то теней; шепотливый говор выздоравливающих и громкая перебранка двух пьяноватых служительниц, которую из соседнего коридора гулкое эхо разносит по смежным комнатам, -- вот какою с первого раза представилась эта больничная палата грустным глазам заболевшей Маши.	74:79	0:767
мазь	NOUN	1682-1916	1	мазь-6		-- Так-то и всегда надобно поступать с вами, сутяги, -- говорил лекарь, -- теперь и нехотя заплатишь за мои мази и примочки!	108:112	0:124
мазь	NOUN	1682-1916	1	мазь-7		А когда подъ пузыремъ лежащая часть тла помертвла и почернла: то все оное мсто безъ упущеня времени надлежитъ шкарификовать, то есть, вдоль и поперекъ прорзывать, и обмаченнымъ въ крпкую (аква-фортисъ) водку, или бутирумъ антимони перомъ оное мсто помазать, а потомъ приложить корпи намазавши оную гноительною мазью, (унгвентумъ-дигестивумъ) прибавя къ тому нсколько нашатырю.** Посредствомъ сего помертвлая часть по краямъ отъ живаго тла отстанетъ, и по оказавшемся въ скоромъ времени загноени, совсмъ отдлится такъ, что уже легко будетъ помертвлую часть совсмъ вынять, а потомъ рану обыкновеннымъ образомъ залчить.	310:315	0:616
мазь	NOUN	1682-1916	1	мазь-8		-- Э, батюшка, нам с вами вдвоем всего на свой лад не переделать! -- отвечает мне тот же изобретатель растительной мази, -- а вот лучше выпьем-ка водочки, закусим селедочкой да сыграем пулечку в вистик: печаль-то как рукой снимет!	115:119	0:230
мазь	NOUN	1682-1916	1	мазь-9		Но время исцеляет все скорби, прикладывая к ним спасительную мазь забвения.	61:65	0:75
мазь	NOUN	1682-1916	1	мазь-10		2 п. Эти средства приготовляются в виде тинктур, эссенций, экстрактов, капель, порошков, таблеток, сахарных насыщаемых лекарством пилюль, таких же крупинок (шариков), мазей, линиментов, пластырей, суппозиторий, глобул, бацилл, вспрыскиваний, примочек, промываний и присыпок.	167:172	0:274
мазь	NOUN	1682-1916	1	мазь-11		У Растеряева берут на больницу но 1 к, с заработного рубля в месяц, всего в год, по вычислению рабочих, не меньше 4.500 р., и выдают за эти деньги из больницы касторовое масло, порошок от кашля, мазь и какой-то пудельдох.	195:199	0:221
мазь	NOUN	1918-1990	2	мазь-12		А Алексей вытащит А может быть, Алексей все-таки вытащит" В медицинском отсеке Моллар, дыша носом от боли, мазался жирной таниновой мазью.	107:114	0:138
мазь	NOUN	1918-1990	2	мазь-13		-- Давайте потрите себе шею змеиной мазью!	36:41	0:42
