identifier1	identifier2	annotator	judgment	comment	lemma
мама-0	мама-1	annotator1	4		мама
мама-0	мама-1	annotator2	4		мама
мама-0	мама-1	annotator3	4		мама
мама-0	мама-1	annotator4	4		мама
мама-0	мама-1	annotator5	2		мама
мама-2	мама-3	annotator1	2		мама
мама-2	мама-3	annotator2	1		мама
мама-2	мама-3	annotator3	4		мама
мама-2	мама-3	annotator4	4		мама
мама-2	мама-3	annotator5	4		мама
мама-4	мама-5	annotator1	3		мама
мама-4	мама-5	annotator2	1		мама
мама-4	мама-5	annotator3	1		мама
мама-4	мама-5	annotator4	1		мама
мама-4	мама-5	annotator5	2		мама
мама-6	мама-7	annotator1	4		мама
мама-6	мама-7	annotator2	4		мама
мама-6	мама-7	annotator3	2		мама
мама-6	мама-7	annotator4	4		мама
мама-6	мама-7	annotator5	4		мама
мама-8	мама-9	annotator1	4		мама
мама-8	мама-9	annotator2	3		мама
мама-8	мама-9	annotator3	4		мама
мама-8	мама-9	annotator4	4		мама
мама-8	мама-9	annotator5	4		мама
мама-10	мама-11	annotator1	4		мама
мама-10	мама-11	annotator2	4		мама
мама-10	мама-11	annotator3	4		мама
мама-10	мама-11	annotator4	4		мама
мама-10	мама-11	annotator5	4		мама
мама-12	мама-13	annotator1	1		мама
мама-12	мама-13	annotator2	4		мама
мама-12	мама-13	annotator3	4		мама
мама-12	мама-13	annotator4	4		мама
мама-12	мама-13	annotator5	4		мама
мама-14	мама-15	annotator1	4		мама
мама-14	мама-15	annotator2	4		мама
мама-14	мама-15	annotator3	4		мама
мама-14	мама-15	annotator4	4		мама
мама-14	мама-15	annotator5	4		мама
мама-16	мама-17	annotator1	4		мама
мама-16	мама-17	annotator2	4		мама
мама-16	мама-17	annotator3	4		мама
мама-16	мама-17	annotator4	4		мама
мама-16	мама-17	annotator5	4		мама
мама-18	мама-19	annotator1	4		мама
мама-18	мама-19	annotator2	4		мама
мама-18	мама-19	annotator3	4		мама
мама-18	мама-19	annotator4	4		мама
мама-18	мама-19	annotator5	4		мама
мама-20	мама-21	annotator1	4		мама
мама-20	мама-21	annotator2	4		мама
мама-20	мама-21	annotator3	4		мама
мама-20	мама-21	annotator4	4		мама
мама-20	мама-21	annotator5	4		мама
мама-22	мама-23	annotator1	4		мама
мама-22	мама-23	annotator2	4		мама
мама-22	мама-23	annotator3	4		мама
мама-22	мама-23	annotator4	4		мама
