lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
мама	NOUN	1682-1916	1	мама-0		-- Мама! простите мою вспышку, тем более что от Андрея Петровича и без того невозможно укрыться, -- засмеялся я притворно и стараясь хоть на миг перебить все в шутку.	3:7	0:166
мама	NOUN	1682-1916	1	мама-1		Вечером пришел еще Пастухов, да еще Рахманов, так что у папа собралась целая толпа "темных", что бывает (странное совпадение) всегда, как только мама уезжает из дому.	145:149	0:166
мама	NOUN	1682-1916	1	мама-2		-- Мама, когда мы будем делить елку -- приставали к ней.	3:7	0:56
мама	NOUN	1682-1916	1	мама-3		Поутру рано, с зорькою, будит меня мама Федосья: "Вставай, Катюша, обряжай вот эту одежу, -- платье мне простенькое припасла, -- да пойдем-ка мы с тобой к Пафнутию в Боровск, помолимся!	35:39	0:185
мама	NOUN	1918-1990	2	мама-4		-- Да иди ты к чертовой маме!	24:28	0:29
мама	NOUN	1918-1990	2	мама-5		Маме позвонили и сказали за несколько дней, что запустят человека.	0:4	0:66
мама	NOUN	1918-1990	2	мама-6		-- Знаешь, я теперь поняла, почему с самого начала почти не думала о тебе: мы найдем Таню, отправим ее с мамой, а я останусь с тобой в армии.	105:110	0:141
мама	NOUN	1918-1990	2	мама-7		На загородную трассу выехали, влились в поток машин, мама сделалась увереннее.	53:57	0:78
мама	NOUN	1682-1916	1	мама-8		-- Не стану молчать, мамо, не стану, не стану! -- ответила девушка, точно в мельнице опять пошли ворочаться все колеса.	21:25	0:119
мама	NOUN	1682-1916	1	мама-9		-- Еще бы, мама, я вернусь двенадцатого, самое позднее -- тринадцатого утром.	11:15	0:77
мама	NOUN	1682-1916	1	мама-10		-- Нет, очень хочу, -- грубым голосом отвечал мальчик, -- налей мне, мама!	69:73	0:74
мама	NOUN	1682-1916	1	мама-11		Мамочка, мама, раз-то в жизни была ты у меня.	9:13	0:45
мама	NOUN	1682-1916	1	мама-12		-- Но как же смела ты не послушаться мамы и пойти на берег -- Я не смела!	37:41	0:73
мама	NOUN	1918-1990	2	мама-13		Мама хотела отвязать и возвратить лошадку хозяину, но папа ее остановил, зная, что это обидит того, кто дарил лошадь.	0:4	0:117
мама	NOUN	1918-1990	2	мама-14		-- Ну и что с того -- Мама благодушно пожимала плечами.	22:26	0:55
мама	NOUN	1918-1990	2	мама-15		А мама вовсе статистик.	2:6	0:23
мама	NOUN	1682-1916	1	мама-16		-- Только мне страшно при нем, мне всегда страшно при нем, что это значит Значит, что это настоящее, да Мама, вы спите -- Нет, душа моя, мне самой страшно, -- отвечала мать.	104:108	0:173
мама	NOUN	1682-1916	1	мама-17		Пусть мама не замечает.	6:10	0:23
мама	NOUN	1682-1916	1	мама-18		-- Что значит: честно петь Она снова задумалась, поглаживая щеки ладонями, потом быстро рассказала: -- Отец мой несчастливо в карты играл и когда, бывало, проиграется, приказывает маме разбавлять молоко водой, -- у нас было две коровы.	180:184	0:235
мама	NOUN	1918-1990	2	мама-19		Мама приехала в 8 час. из Гатчины и отправилась с нами морем в Петербург.	0:4	0:73
мама	NOUN	1682-1916	1	мама-20		-- Я бы сказала тебе, мой мальчик, что они живы и здоровы, -- мягко улыбаясь, проговорила Женькина мама.	99:103	0:104
мама	NOUN	1918-1990	2	мама-21		Мне ничего, мама, я здоровехонек!	12:16	0:33
мама	NOUN	1682-1916	1	мама-22		-- Я хотела попрощаться с вами, -- сказала дрогнувшим голосом Татьяна Николаевна, -- мама велела передать вам ее благословение.	85:89	0:127
мама	NOUN	1918-1990	2	мама-23		-- Ах, мама!	7:11	0:12
мама	NOUN	1682-1916	1	мама-24		Мама, давай же мне поесть-та.	0:4	0:29
мама	NOUN	1682-1916	1	мама-25		Ах, не огорчайся же, Трилли, мама сделает все, что хочешь.	29:33	0:58
мама	NOUN	1682-1916	1	мама-26		Мама, смотри, бойница!	0:4	0:22
мама	NOUN	1918-1990	2	мама-27		Милая, нежная мама, -- подумал Сергей, -- где-то ты теперь Как порадовалась бы ты за меня и полюбила бы ее!" "Как, однако, бедная Наташа плакала!	14:18	0:145
мама	NOUN	1682-1916	1	мама-28		Мама прикормила птиц в нашем саду.	0:4	0:34
мама	NOUN	1918-1990	2	мама-29		-- Гадость, мама! -- произнес он, и слезы закапали у него из глаз.	12:16	0:66
мама	NOUN	1918-1990	2	мама-30		Мама советует идти в кондитерский цех, а я не представляю, что это за жизнь -- печь пирожные, как будто домашняя хозяйка!	0:4	0:121
мама	NOUN	1918-1990	2	мама-31		Не знаю мама как теперь получить высшее образование.	8:12	0:52
мама	NOUN	1682-1916	1	мама-32		Мама уверяет, что это высшая степень одобрения.	0:4	0:47
мама	NOUN	1918-1990	2	мама-33		из лазарета Мама.	12:16	0:17
мама	NOUN	1682-1916	1	мама-34		Мама уже всё уложила для завтрашней поездки, но говорила между тем, что мы вряд ли поедем, так как небо обложено тучами и предвидится дождь.	0:4	0:140
мама	NOUN	1682-1916	1	мама-35		Мама меня беспокоит, Лева в Самаре тоже часто меня тревожит, а за папа такой страх, что если он уйдет гулять и долго не идет или если он ест что-нибудь вредное, то я чувствую нытье и боль в сердце и хочется, как страус, спрятать голову в песок и ничего не слышать и не видеть.	0:4	0:276
мама	NOUN	1918-1990	2	мама-36		Мама хочет, чтоб дети крепко спали, и Динка, посапывая, молчит.	0:4	0:63
мама	NOUN	1918-1990	2	мама-37		И включая такую деталь, как, скажем, мама.	37:41	0:42
мама	NOUN	1682-1916	1	мама-38		Мамы и бабушки чуть ли не панически боятся за своих мальчишек, когда им предстоит призыв.	0:4	0:89
мама	NOUN	1918-1990	2	мама-39		Опять мама в отчаянии: пойми, говорит, ты бедная девочка и еще дурнеешь, у тебя, говорит, ни гроша приданого и весной все лицо в веснушках, кто тебя, говорит, возьмет замуж Теперь, когда время идет к выпуску, у мамы, кажется, каждая третья фраза начинается с того: "когда ты выйдешь замуж...".	6:10	0:293
мама	NOUN	1682-1916	1	мама-40		А вечером меня мама в ванне мыла.	15:19	0:33
мама	NOUN	1918-1990	2	мама-41		Я знаю маму.	7:11	0:12
мама	NOUN	1682-1916	1	мама-42		А вот Лелька Мама хотела оставить ее дома, но она подняла такой рев, что пришлось взять с собой.	13:17	0:96
