identifier1	identifier2	annotator	judgment	comment	lemma
машина-20-12	машина-21-12	annotator1	2		машина
машина-46-12	машина-47-12	annotator1	4		машина
машина-90-12	машина-91-12	annotator1	1		машина
машина-44-12	машина-45-12	annotator1	2		машина
машина-42-12	машина-43-12	annotator1	1		машина
машина-92-12	машина-93-12	annotator1	2		машина
машина-34-12	машина-35-12	annotator1	3		машина
машина-24-12	машина-25-12	annotator1	1		машина
машина-108-12	машина-109-12	annotator1	1		машина
машина-22-12	машина-23-12	annotator1	1		машина
машина-80-12	машина-81-12	annotator1	4		машина
машина-32-12	машина-33-12	annotator1	1		машина
машина-82-12	машина-83-12	annotator1	1		машина
машина-30-12	машина-31-12	annotator1	4		машина
машина-28-12	машина-29-12	annotator1	2		машина
машина-84-12	машина-85-12	annotator1	4		машина
машина-88-12	машина-89-12	annotator1	1		машина
машина-26-12	машина-27-12	annotator1	1		машина
машина-36-12	машина-37-12	annotator1	2		машина
машина-86-12	машина-87-12	annotator1	4		машина
машина-4-12	машина-5-12	annotator1	2		машина
машина-6-12	машина-7-12	annotator1	2		машина
машина-14-12	машина-15-12	annotator1	1		машина
машина-114-12	машина-115-12	annotator1	1		машина
машина-112-12	машина-113-12	annotator1	3		машина
машина-12-12	машина-13-12	annotator1	1		машина
машина-110-12	машина-111-12	annotator1	1		машина
машина-116-12	машина-117-12	annotator1	4		машина
машина-16-12	машина-17-12	annotator1	4		машина
машина-10-12	машина-11-12	annotator1	1		машина
машина-18-12	машина-19-12	annotator1	4		машина
машина-118-12	машина-119-12	annotator1	2		машина
машина-8-12	машина-9-12	annotator1	1		машина
машина-0-12	машина-1-12	annotator1	1		машина
машина-38-12	машина-39-12	annotator1	4		машина
машина-40-12	машина-41-12	annotator1	1		машина
машина-78-12	машина-79-12	annotator1	4		машина
машина-2-12	машина-3-12	annotator1	1		машина
машина-64-12	машина-65-12	annotator1	1		машина
машина-54-12	машина-55-12	annotator1	1		машина
машина-50-12	машина-51-12	annotator1	1		машина
машина-48-12	машина-49-12	annotator1	2		машина
машина-72-12	машина-73-12	annotator1	4		машина
машина-96-12	машина-97-12	annotator1	1		машина
машина-74-12	машина-75-12	annotator1	4		машина
машина-106-12	машина-107-12	annotator1	2		машина
машина-62-12	машина-63-12	annotator1	2		машина
машина-76-12	машина-77-12	annotator1	4		машина
машина-98-12	машина-99-12	annotator1	4		машина
машина-104-12	машина-105-12	annotator1	1		машина
машина-60-12	машина-61-12	annotator1	1		машина
машина-52-12	машина-53-12	annotator1	1		машина
машина-68-12	машина-69-12	annotator1	2		машина
машина-94-12	машина-95-12	annotator1	1		машина
машина-102-12	машина-103-12	annotator1	3		машина
машина-58-12	машина-59-12	annotator1	4		машина
машина-66-12	машина-67-12	annotator1	4		машина
машина-56-12	машина-57-12	annotator1	1		машина
машина-100-12	машина-101-12	annotator1	4		машина
машина-70-12	машина-71-12	annotator1	1		машина
машина-116-12	машина-117-12	annotator2	4		машина
машина-48-12	машина-49-12	annotator2	4		машина
машина-118-12	машина-119-12	annotator2	1		машина
машина-56-12	машина-57-12	annotator2	1		машина
машина-112-12	машина-113-12	annotator2	1		машина
машина-4-12	машина-5-12	annotator2	3		машина
машина-62-12	машина-63-12	annotator2	2		машина
машина-60-12	машина-61-12	annotator2	1		машина
машина-50-12	машина-51-12	annotator2	1		машина
машина-110-12	машина-111-12	annotator2	1		машина
машина-14-12	машина-15-12	annotator2	1		машина
машина-114-12	машина-115-12	annotator2	4		машина
машина-58-12	машина-59-12	annotator2	4		машина
машина-16-12	машина-17-12	annotator2	4		машина
машина-68-12	машина-69-12	annotator2	1		машина
машина-52-12	машина-53-12	annotator2	1		машина
машина-28-12	машина-29-12	annotator2	1		машина
машина-30-12	машина-31-12	annotator2	1		машина
машина-66-12	машина-67-12	annotator2	4		машина
машина-32-12	машина-33-12	annotator2	3		машина
машина-26-12	машина-27-12	annotator2	4		машина
машина-2-12	машина-3-12	annotator2	3		машина
машина-64-12	машина-65-12	annotator2	2		машина
машина-20-12	машина-21-12	annotator2	4		машина
машина-22-12	машина-23-12	annotator2	1		машина
машина-70-12	машина-71-12	annotator2	1		машина
машина-76-12	машина-77-12	annotator2	1		машина
машина-24-12	машина-25-12	annotator2	1		машина
машина-74-12	машина-75-12	annotator2	3		машина
машина-42-12	машина-43-12	annotator2	3		машина
машина-44-12	машина-45-12	annotator2	4		машина
машина-72-12	машина-73-12	annotator2	2		машина
машина-46-12	машина-47-12	annotator2	4		машина
машина-40-12	машина-41-12	annotator2	2		машина
машина-34-12	машина-35-12	annotator2	4		машина
машина-54-12	машина-55-12	annotator2	1		машина
