identifier1	identifier2	annotator	judgment	comment	lemma
молодец-84-12	молодец-85-12	annotator1	1		молодец
молодец-110-12	молодец-111-12	annotator1	4		молодец
молодец-42-12	молодец-43-12	annotator1	4		молодец
молодец-40-12	молодец-41-12	annotator1	1		молодец
молодец-52-12	молодец-53-12	annotator1	1		молодец
молодец-50-12	молодец-51-12	annotator1	1		молодец
молодец-48-12	молодец-49-12	annotator1	1		молодец
молодец-38-12	молодец-39-12	annotator1	1		молодец
молодец-30-12	молодец-31-12	annotator1	1		молодец
молодец-28-12	молодец-29-12	annotator1	4		молодец
молодец-26-12	молодец-27-12	annotator1	1		молодец
молодец-114-12	молодец-115-12	annotator1	4		молодец
молодец-106-12	молодец-107-12	annotator1	1		молодец
молодец-36-12	молодец-37-12	annotator1	4		молодец
молодец-100-12	молодец-101-12	annotator1	3		молодец
молодец-32-12	молодец-33-12	annotator1	4		молодец
молодец-34-12	молодец-35-12	annotator1	1		молодец
молодец-54-12	молодец-55-12	annotator1	1		молодец
молодец-76-12	молодец-77-12	annotator1	4		молодец
молодец-74-12	молодец-75-12	annotator1	4		молодец
молодец-72-12	молодец-73-12	annotator1	4		молодец
молодец-70-12	молодец-71-12	annotator1	1		молодец
молодец-44-12	молодец-45-12	annotator1	4		молодец
молодец-102-12	молодец-103-12	annotator1	4		молодец
молодец-46-12	молодец-47-12	annotator1	1		молодец
молодец-4-12	молодец-5-12	annotator1	1		молодец
молодец-86-12	молодец-87-12	annotator1	1		молодец
молодец-92-12	молодец-93-12	annotator1	2		молодец
молодец-88-12	молодец-89-12	annotator1	1		молодец
молодец-98-12	молодец-99-12	annotator1	4		молодец
молодец-96-12	молодец-97-12	annotator1	4		молодец
молодец-94-12	молодец-95-12	annotator1	4		молодец
молодец-14-12	молодец-15-12	annotator1	1		молодец
молодец-90-12	молодец-91-12	annotator1	1		молодец
молодец-12-12	молодец-13-12	annotator1	4		молодец
молодец-10-12	молодец-11-12	annotator1	1		молодец
молодец-16-12	молодец-17-12	annotator1	4		молодец
молодец-22-12	молодец-23-12	annotator1	4		молодец
молодец-20-12	молодец-21-12	annotator1	4		молодец
молодец-18-12	молодец-19-12	annotator1	4		молодец
молодец-0-12	молодец-1-12	annotator1	1		молодец
молодец-118-12	молодец-119-12	annotator1	2		молодец
молодец-116-12	молодец-117-12	annotator1	1		молодец
молодец-108-12	молодец-109-12	annotator1	3		молодец
молодец-2-12	молодец-3-12	annotator1	1		молодец
молодец-8-12	молодец-9-12	annotator1	1		молодец
молодец-6-12	молодец-7-12	annotator1	4		молодец
молодец-24-12	молодец-25-12	annotator1	1		молодец
молодец-82-12	молодец-83-12	annotator1	4		молодец
молодец-112-12	молодец-113-12	annotator1	2		молодец
молодец-78-12	молодец-79-12	annotator1	1		молодец
молодец-66-12	молодец-67-12	annotator1	3		молодец
молодец-56-12	молодец-57-12	annotator1	1		молодец
молодец-104-12	молодец-105-12	annotator1	2		молодец
молодец-60-12	молодец-61-12	annotator1	3		молодец
молодец-58-12	молодец-59-12	annotator1	1		молодец
молодец-62-12	молодец-63-12	annotator1	4		молодец
молодец-68-12	молодец-69-12	annotator1	1		молодец
молодец-64-12	молодец-65-12	annotator1	1		молодец
молодец-80-12	молодец-81-12	annotator1	1		молодец
молодец-38-12	молодец-39-12	annotator2	2		молодец
молодец-30-12	молодец-31-12	annotator2	1		молодец
молодец-60-12	молодец-61-12	annotator2	3		молодец
молодец-18-12	молодец-19-12	annotator2	1		молодец
молодец-56-12	молодец-57-12	annotator2	1		молодец
молодец-98-12	молодец-99-12	annotator2	4		молодец
молодец-28-12	молодец-29-12	annotator2	4		молодец
молодец-20-12	молодец-21-12	annotator2	3		молодец
молодец-102-12	молодец-103-12	annotator2	4		молодец
молодец-26-12	молодец-27-12	annotator2	1		молодец
молодец-68-12	молодец-69-12	annotator2	1		молодец
молодец-8-12	молодец-9-12	annotator2	1		молодец
молодец-0-12	молодец-1-12	annotator2	1		молодец
молодец-50-12	молодец-51-12	annotator2	1		молодец
молодец-118-12	молодец-119-12	annotator2	1		молодец
молодец-44-12	молодец-45-12	annotator2	4		молодец
молодец-4-12	молодец-5-12	annotator2	1		молодец
молодец-42-12	молодец-43-12	annotator2	1		молодец
молодец-110-12	молодец-111-12	annotator2	4		молодец
молодец-2-12	молодец-3-12	annotator2	4		молодец
молодец-104-12	молодец-105-12	annotator2	1		молодец
молодец-40-12	молодец-41-12	annotator2	1		молодец
молодец-58-12	молодец-59-12	annotator2	4		молодец
молодец-6-12	молодец-7-12	annotator2	4		молодец
молодец-46-12	молодец-47-12	annotator2	4		молодец
молодец-108-12	молодец-109-12	annotator2	4		молодец
молодец-52-12	молодец-53-12	annotator2	4		молодец
молодец-86-12	молодец-87-12	annotator2	4		молодец
молодец-116-12	молодец-117-12	annotator2	3		молодец
молодец-112-12	молодец-113-12	annotator2	4		молодец
молодец-48-12	молодец-49-12	annotator2	3		молодец
молодец-22-12	молодец-23-12	annotator2	4		молодец
молодец-24-12	молодец-25-12	annotator2	1		молодец
молодец-32-12	молодец-33-12	annotator2	4		молодец
молодец-114-12	молодец-115-12	annotator2	4		молодец
молодец-70-12	молодец-71-12	annotator2	1		молодец
молодец-84-12	молодец-85-12	annotator2	1		молодец
молодец-16-12	молодец-17-12	annotator2	4		молодец
молодец-80-12	молодец-81-12	annotator2	1		молодец
молодец-88-12	молодец-89-12	annotator2	1		молодец
молодец-106-12	молодец-107-12	annotator2	4		молодец
молодец-76-12	молодец-77-12	annotator2	2		молодец
молодец-94-12	молодец-95-12	annotator2	1		молодец
молодец-14-12	молодец-15-12	annotator2	1		молодец
