lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
молодец	NOUN	1682-1916	1	молодец-0		"А ну, орелики, взяли!", "Молодцы, орелики!".	26:33	0:45
молодец	NOUN	1918-1990	2	молодец-1		Она, любовно смотря на него, понимала, что в такого молодца каждая может влюбиться.	52:59	0:83
молодец	NOUN	1918-1990	2	молодец-2		-- Молодец, Рэсси! -- не выдержал Сергей.	3:10	0:41
молодец	NOUN	1918-1990	2	молодец-3		Молодец анархист!	0:7	0:17
молодец	NOUN	1682-1916	1	молодец-4		-- Молодец, что заступились.	3:10	0:28
молодец	NOUN	1682-1916	1	молодец-5		Но как он сюда попал Как Катя ему ничего не сказала Неужели она в заговоре против него с этим молодцом Или сама ничего не знает Он решил продолжать свой легонький допросец.	94:102	0:172
молодец	NOUN	1682-1916	1	молодец-6		-- Молодец, что поступил на железную дорогу.	3:10	0:44
молодец	NOUN	1918-1990	2	молодец-7		Вот кто молодец -- так это я: что я ни начну делать, все выйдет хорошо, а у вас сноровки нет.	8:15	0:93
молодец	NOUN	1682-1916	1	молодец-8		-- Молодец, что приехал.	3:10	0:24
молодец	NOUN	1918-1990	2	молодец-9		Пара бежит, и молодец ловит подругу.	14:21	0:36
молодец	NOUN	1682-1916	1	молодец-10		-- Молодец-то не таков, Степан Михайлыч, чтоб его легко провести, -- молвил Терентьич.	3:12	0:86
молодец	NOUN	1682-1916	1	молодец-11		Молодец, барыня, нечего сказать, но ради Бога будь без меня осторожнее.	0:7	0:71
молодец	NOUN	1918-1990	2	молодец-12		-- Ай, молодец! -- шипел из укрытия Пулькин.	7:14	0:44
молодец	NOUN	1918-1990	2	молодец-13		-- Мать у нас молодец.	14:21	0:22
молодец	NOUN	1682-1916	1	молодец-14		-- Батюшка боярин, -- сказал он, -- оно тово, может быть, этот молодец и правду говорит: неравно староста отпустит этих разбойников.	63:70	0:132
молодец	NOUN	1682-1916	1	молодец-15		Запорожцы подняли головы, перекрестились, и один из них сказал: -- Молодец!	67:74	0:75
молодец	NOUN	1682-1916	1	молодец-16		-- Да А по-моему, она молодец.	22:29	0:30
молодец	NOUN	1918-1990	2	молодец-17		-- А! Козельцов, Козельцов! хорошо, что приехал, молодец!..	49:56	0:59
