identifier1	identifier2	annotator	judgment	comment	lemma
насаждение-0	насаждение-1	annotator1	4		насаждение
насаждение-0	насаждение-1	annotator2	4		насаждение
насаждение-0	насаждение-1	annotator3	4		насаждение
насаждение-0	насаждение-1	annotator4	4		насаждение
насаждение-0	насаждение-1	annotator5	4		насаждение
насаждение-2	насаждение-3	annotator1	4		насаждение
насаждение-2	насаждение-3	annotator2	4		насаждение
насаждение-2	насаждение-3	annotator3	4		насаждение
насаждение-2	насаждение-3	annotator4	3		насаждение
насаждение-2	насаждение-3	annotator5	4		насаждение
насаждение-4	насаждение-5	annotator1	2		насаждение
насаждение-4	насаждение-5	annotator2	2		насаждение
насаждение-4	насаждение-5	annotator3	2		насаждение
насаждение-4	насаждение-5	annotator4	1		насаждение
насаждение-4	насаждение-5	annotator5	1		насаждение
насаждение-6	насаждение-7	annotator1	1		насаждение
насаждение-6	насаждение-7	annotator2	1		насаждение
насаждение-6	насаждение-7	annotator3	1		насаждение
насаждение-6	насаждение-7	annotator4	4		насаждение
насаждение-6	насаждение-7	annotator5	1		насаждение
насаждение-8	насаждение-9	annotator1	1		насаждение
насаждение-8	насаждение-9	annotator2	1		насаждение
насаждение-8	насаждение-9	annotator3	1		насаждение
насаждение-8	насаждение-9	annotator4	1		насаждение
насаждение-8	насаждение-9	annotator5	3		насаждение
насаждение-10	насаждение-11	annotator1	1		насаждение
насаждение-10	насаждение-11	annotator2	1		насаждение
насаждение-10	насаждение-11	annotator3	1		насаждение
насаждение-10	насаждение-11	annotator4	1		насаждение
насаждение-10	насаждение-11	annotator5	1		насаждение
насаждение-12	насаждение-13	annotator1	4		насаждение
насаждение-12	насаждение-13	annotator2	4		насаждение
насаждение-12	насаждение-13	annotator3	2		насаждение
насаждение-12	насаждение-13	annotator4	3		насаждение
насаждение-12	насаждение-13	annotator5	4		насаждение
насаждение-14	насаждение-15	annotator1	1		насаждение
насаждение-14	насаждение-15	annotator2	2		насаждение
насаждение-14	насаждение-15	annotator3	1		насаждение
насаждение-14	насаждение-15	annotator4	1		насаждение
насаждение-14	насаждение-15	annotator5	1		насаждение
насаждение-16	насаждение-17	annotator1	4		насаждение
насаждение-16	насаждение-17	annotator2	4		насаждение
насаждение-16	насаждение-17	annotator3	4		насаждение
насаждение-16	насаждение-17	annotator4	3		насаждение
насаждение-16	насаждение-17	annotator5	4		насаждение
насаждение-18	насаждение-19	annotator1	1		насаждение
насаждение-18	насаждение-19	annotator2	1		насаждение
насаждение-18	насаждение-19	annotator3	1		насаждение
насаждение-18	насаждение-19	annotator4	1		насаждение
насаждение-18	насаждение-19	annotator5	1		насаждение
насаждение-20	насаждение-21	annotator1	1		насаждение
насаждение-20	насаждение-21	annotator2	1		насаждение
насаждение-20	насаждение-21	annotator3	1		насаждение
насаждение-20	насаждение-21	annotator4	1		насаждение
насаждение-20	насаждение-21	annotator5	1		насаждение
насаждение-22	насаждение-23	annotator1	1		насаждение
насаждение-22	насаждение-23	annotator2	1		насаждение
насаждение-22	насаждение-23	annotator3	1		насаждение
насаждение-22	насаждение-23	annotator4	1		насаждение
насаждение-22	насаждение-23	annotator5	1		насаждение
насаждение-24	насаждение-25	annotator1	1		насаждение
насаждение-24	насаждение-25	annotator2	1		насаждение
насаждение-24	насаждение-25	annotator3	1		насаждение
насаждение-24	насаждение-25	annotator4	1		насаждение
насаждение-24	насаждение-25	annotator5	1		насаждение
насаждение-26	насаждение-27	annotator1	1		насаждение
насаждение-26	насаждение-27	annotator2	1		насаждение
насаждение-26	насаждение-27	annotator3	1		насаждение
насаждение-26	насаждение-27	annotator4	1		насаждение
насаждение-26	насаждение-27	annotator5	1		насаждение
насаждение-28	насаждение-29	annotator1	4		насаждение
насаждение-28	насаждение-29	annotator2	2		насаждение
насаждение-28	насаждение-29	annotator3	4		насаждение
насаждение-28	насаждение-29	annotator4	4		насаждение
насаждение-28	насаждение-29	annotator5	4		насаждение
насаждение-30	насаждение-31	annotator1	1		насаждение
насаждение-30	насаждение-31	annotator2	1		насаждение
насаждение-30	насаждение-31	annotator3	1		насаждение
насаждение-30	насаждение-31	annotator4	1		насаждение
насаждение-30	насаждение-31	annotator5	1		насаждение
насаждение-32	насаждение-33	annotator1	1		насаждение
насаждение-32	насаждение-33	annotator2	1		насаждение
насаждение-32	насаждение-33	annotator3	1		насаждение
насаждение-32	насаждение-33	annotator4	1		насаждение
насаждение-32	насаждение-33	annotator5	1		насаждение
насаждение-34	насаждение-35	annotator1	4		насаждение
насаждение-34	насаждение-35	annotator2	4		насаждение
насаждение-34	насаждение-35	annotator3	4		насаждение
насаждение-34	насаждение-35	annotator4	1		насаждение
насаждение-34	насаждение-35	annotator5	3		насаждение
насаждение-36	насаждение-37	annotator1	4		насаждение
насаждение-36	насаждение-37	annotator2	4		насаждение
насаждение-36	насаждение-37	annotator3	4		насаждение
насаждение-36	насаждение-37	annotator4	4		насаждение
насаждение-36	насаждение-37	annotator5	4		насаждение
насаждение-38	насаждение-39	annotator1	3		насаждение
насаждение-38	насаждение-39	annotator2	2		насаждение
насаждение-38	насаждение-39	annotator3	3		насаждение
насаждение-38	насаждение-39	annotator4	4		насаждение
насаждение-38	насаждение-39	annotator5	4		насаждение
насаждение-40	насаждение-41	annotator1	1		насаждение
насаждение-40	насаждение-41	annotator2	1		насаждение
насаждение-40	насаждение-41	annotator3	1		насаждение
насаждение-40	насаждение-41	annotator4	1		насаждение
насаждение-40	насаждение-41	annotator5	1		насаждение
насаждение-42	насаждение-43	annotator1	4		насаждение
насаждение-42	насаждение-43	annotator2	1		насаждение
насаждение-42	насаждение-43	annotator3	3		насаждение
насаждение-42	насаждение-43	annotator4	3		насаждение
насаждение-42	насаждение-43	annotator5	3		насаждение
насаждение-44	насаждение-45	annotator1	4		насаждение
насаждение-44	насаждение-45	annotator2	1		насаждение
насаждение-44	насаждение-45	annotator3	4		насаждение
насаждение-44	насаждение-45	annotator4	4		насаждение
насаждение-44	насаждение-45	annotator5	1		насаждение
насаждение-46	насаждение-47	annotator1	4		насаждение
насаждение-46	насаждение-47	annotator2	2		насаждение
насаждение-46	насаждение-47	annotator3	4		насаждение
насаждение-46	насаждение-47	annotator4	3		насаждение
насаждение-46	насаждение-47	annotator5	4		насаждение
насаждение-48	насаждение-49	annotator1	2		насаждение
насаждение-48	насаждение-49	annotator2	1		насаждение
насаждение-48	насаждение-49	annotator3	1		насаждение
насаждение-48	насаждение-49	annotator4	1		насаждение
насаждение-48	насаждение-49	annotator5	4		насаждение
насаждение-50	насаждение-51	annotator1	4		насаждение
насаждение-50	насаждение-51	annotator2	4		насаждение
насаждение-50	насаждение-51	annotator3	4		насаждение
насаждение-50	насаждение-51	annotator4	4		насаждение
насаждение-50	насаждение-51	annotator5	2		насаждение
насаждение-52	насаждение-53	annotator1	1		насаждение
насаждение-52	насаждение-53	annotator2	1		насаждение
насаждение-52	насаждение-53	annotator3	1		насаждение
насаждение-52	насаждение-53	annotator4	2		насаждение
насаждение-52	насаждение-53	annotator5	1		насаждение
насаждение-54	насаждение-55	annotator1	4		насаждение
насаждение-54	насаждение-55	annotator2	4		насаждение
насаждение-54	насаждение-55	annotator3	4		насаждение
насаждение-54	насаждение-55	annotator4	3		насаждение
насаждение-54	насаждение-55	annotator5	4		насаждение
насаждение-56	насаждение-57	annotator1	4		насаждение
насаждение-56	насаждение-57	annotator2	3		насаждение
насаждение-56	насаждение-57	annotator3	2		насаждение
насаждение-56	насаждение-57	annotator4	3		насаждение
насаждение-56	насаждение-57	annotator5	4		насаждение
насаждение-58	насаждение-59	annotator1	1		насаждение
насаждение-58	насаждение-59	annotator2	1		насаждение
насаждение-58	насаждение-59	annotator3	1		насаждение
насаждение-58	насаждение-59	annotator4	1		насаждение
насаждение-58	насаждение-59	annotator5	1		насаждение
насаждение-60	насаждение-61	annotator1	4		насаждение
насаждение-60	насаждение-61	annotator2	4		насаждение
насаждение-60	насаждение-61	annotator3	4		насаждение
насаждение-60	насаждение-61	annotator4	4		насаждение
насаждение-60	насаждение-61	annotator5	4		насаждение
насаждение-62	насаждение-63	annotator1	4		насаждение
насаждение-62	насаждение-63	annotator2	3		насаждение
насаждение-62	насаждение-63	annotator3	3		насаждение
насаждение-62	насаждение-63	annotator4	4		насаждение
насаждение-62	насаждение-63	annotator5	4		насаждение
насаждение-64	насаждение-65	annotator1	1		насаждение
насаждение-64	насаждение-65	annotator2	3		насаждение
насаждение-64	насаждение-65	annotator3	4		насаждение
насаждение-64	насаждение-65	annotator4	4		насаждение
насаждение-64	насаждение-65	annotator5	4		насаждение
насаждение-66	насаждение-67	annotator1	1		насаждение
насаждение-66	насаждение-67	annotator2	1		насаждение
насаждение-66	насаждение-67	annotator3	1		насаждение
насаждение-66	насаждение-67	annotator4	1		насаждение
насаждение-66	насаждение-67	annotator5	1		насаждение
насаждение-68	насаждение-69	annotator1	4		насаждение
насаждение-68	насаждение-69	annotator2	1		насаждение
насаждение-68	насаждение-69	annotator3	1		насаждение
насаждение-68	насаждение-69	annotator4	1		насаждение
насаждение-68	насаждение-69	annotator5	3		насаждение
насаждение-70	насаждение-71	annotator1	4		насаждение
насаждение-70	насаждение-71	annotator2	4		насаждение
насаждение-70	насаждение-71	annotator3	4		насаждение
насаждение-70	насаждение-71	annotator4	4		насаждение
насаждение-70	насаждение-71	annotator5	4		насаждение
насаждение-72	насаждение-73	annotator1	1		насаждение
насаждение-72	насаждение-73	annotator2	1		насаждение
насаждение-72	насаждение-73	annotator3	1		насаждение
насаждение-72	насаждение-73	annotator4	1		насаждение
