lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
насаждение	NOUN	1918-1990	2	насаждение-0		Насаждения в пространстве между передними и задними воротами дворца относятся ко второй половине XVIII в.	0:10	0:105
насаждение	NOUN	1918-1990	2	насаждение-1		Пржевальск отличается правильностью планировки улиц, главные из которых тянутся с юга на север параллельно горам, и обилием фруктовых садов и других зеленых насаждений.	157:167	0:168
насаждение	NOUN	1682-1916	1	насаждение-2		Ан нет, кто-то придумал еще возводить вокруг цехов зеленые насажденья.	59:69	0:70
насаждение	NOUN	1918-1990	2	насаждение-3		Показав тебе какого рода земля моего владения, какие употребляются средства к ее удобрению, образ возделывания оной и насаждения, орудия для оного употребляемые, каким образом производится жатва и приготовления сена; словом, сказав тебе все то, что касается до строительства моего селения и до самих поселян, я чувствую, что желанию твоему не удовлетворил по мере твоего любопытства.	118:128	0:383
насаждение	NOUN	1682-1916	1	насаждение-4		Без Него насаждение не действительно, без Него напоение неплодно, без Него всуе зиждем град, напрасно метаем семена своя в землю; все наши предприятия без Него суть паутина, все замыслы на песке поставленной дом.	9:19	0:212
насаждение	NOUN	1682-1916	1	насаждение-5		Сверх того, как мы ни стараемся о насаждении классицизма, но русский культурный человек в деле знакомства с древними классиками и ныне едва ли идет дальше басен Федра, иметь которые в качестве настольной книги несколько, впрочем, совестно.	34:44	0:239
насаждение	NOUN	1682-1916	1	насаждение-6		Бен Азай заглянул и был сражен; Бен Зоймо заглянул и был задет в рассудке; Ахойр подрубил Насаждения, отрекся от Бога, и только раби Акива вошел с миром и вышел с миром.	90:100	0:169
насаждение	NOUN	1682-1916	1	насаждение-7		Попутно, почему-то вырублена масса недавних древесных насаждений перед домами, в заречных частях города, только что разросшихся и дававших иллюзию аллей. неизвестный.	54:64	0:166
насаждение	NOUN	1682-1916	1	насаждение-8		В настоящее время все внутреннее пространство, между двумя воротами и Казанской церковью, занято разросшимися насаждениями.	110:122	0:123
насаждение	NOUN	1918-1990	2	насаждение-9		Полезно государству в начале своем личными своими заслугами, ослабело оно в подвигах своих наследственностию, и, сладкий при насаждении, его корень произнес наконец плод горький.	125:135	0:178
насаждение	NOUN	1682-1916	1	насаждение-10		В основу экономической политики, которая до сих пор была почти исключительно направлена к насаждению промышленности, постройке железных дорог и достижению финансового, бюджетного благополучия, должно быть вообще положено попечение о земледелии.	90:100	0:244
