identifier1	identifier2	annotator	judgment	comment	lemma
неудачник-0	неудачник-1	annotator1	4		неудачник
неудачник-0	неудачник-1	annotator2	4		неудачник
неудачник-0	неудачник-1	annotator3	4		неудачник
неудачник-0	неудачник-1	annotator4	4		неудачник
неудачник-0	неудачник-1	annotator5	4		неудачник
неудачник-2	неудачник-3	annotator1	4		неудачник
неудачник-2	неудачник-3	annotator2	4		неудачник
неудачник-2	неудачник-3	annotator3	2		неудачник
неудачник-2	неудачник-3	annotator4	2		неудачник
неудачник-2	неудачник-3	annotator5	4		неудачник
неудачник-4	неудачник-5	annotator1	4		неудачник
неудачник-4	неудачник-5	annotator2	3		неудачник
неудачник-4	неудачник-5	annotator3	4		неудачник
неудачник-4	неудачник-5	annotator4	3		неудачник
неудачник-4	неудачник-5	annotator5	4		неудачник
неудачник-6	неудачник-7	annotator1	3		неудачник
неудачник-6	неудачник-7	annotator2	4		неудачник
неудачник-6	неудачник-7	annotator3	4		неудачник
неудачник-6	неудачник-7	annotator4	4		неудачник
неудачник-6	неудачник-7	annotator5	2		неудачник
неудачник-8	неудачник-9	annotator1	4		неудачник
неудачник-8	неудачник-9	annotator2	4		неудачник
неудачник-8	неудачник-9	annotator3	3		неудачник
неудачник-8	неудачник-9	annotator4	4		неудачник
неудачник-8	неудачник-9	annotator5	4		неудачник
неудачник-10	неудачник-11	annotator1	4		неудачник
неудачник-10	неудачник-11	annotator2	4		неудачник
неудачник-10	неудачник-11	annotator3	4		неудачник
неудачник-10	неудачник-11	annotator4	4		неудачник
неудачник-10	неудачник-11	annotator5	4		неудачник
неудачник-12	неудачник-13	annotator1	3		неудачник
неудачник-12	неудачник-13	annotator2	3		неудачник
неудачник-12	неудачник-13	annotator3	1		неудачник
неудачник-12	неудачник-13	annotator4	3		неудачник
неудачник-12	неудачник-13	annotator5	1		неудачник
неудачник-14	неудачник-15	annotator1	4		неудачник
неудачник-14	неудачник-15	annotator2	4		неудачник
неудачник-14	неудачник-15	annotator3	3		неудачник
неудачник-14	неудачник-15	annotator4	4		неудачник
неудачник-14	неудачник-15	annotator5	3		неудачник
неудачник-16	неудачник-17	annotator1	4		неудачник
неудачник-16	неудачник-17	annotator2	3		неудачник
неудачник-16	неудачник-17	annotator3	3		неудачник
неудачник-16	неудачник-17	annotator4	4		неудачник
неудачник-16	неудачник-17	annotator5	3		неудачник
неудачник-18	неудачник-19	annotator1	3		неудачник
неудачник-18	неудачник-19	annotator2	4		неудачник
неудачник-18	неудачник-19	annotator3	3		неудачник
неудачник-18	неудачник-19	annotator4	4		неудачник
неудачник-18	неудачник-19	annotator5	4		неудачник
неудачник-20	неудачник-21	annotator1	4		неудачник
неудачник-20	неудачник-21	annotator2	4		неудачник
неудачник-20	неудачник-21	annotator3	4		неудачник
неудачник-20	неудачник-21	annotator4	4		неудачник
неудачник-20	неудачник-21	annotator5	4		неудачник
неудачник-22	неудачник-23	annotator1	2		неудачник
неудачник-22	неудачник-23	annotator2	4		неудачник
неудачник-22	неудачник-23	annotator3	3		неудачник
неудачник-22	неудачник-23	annotator4	4		неудачник
неудачник-22	неудачник-23	annotator5	4		неудачник
неудачник-24	неудачник-25	annotator1	3		неудачник
неудачник-24	неудачник-25	annotator2	3		неудачник
неудачник-24	неудачник-25	annotator3	2		неудачник
неудачник-24	неудачник-25	annotator4	3		неудачник
неудачник-24	неудачник-25	annotator5	3		неудачник
неудачник-26	неудачник-27	annotator1	3		неудачник
неудачник-26	неудачник-27	annotator2	4		неудачник
неудачник-26	неудачник-27	annotator3	4		неудачник
неудачник-26	неудачник-27	annotator4	4		неудачник
неудачник-26	неудачник-27	annotator5	4		неудачник
неудачник-28	неудачник-29	annotator1	3		неудачник
неудачник-28	неудачник-29	annotator2	4		неудачник
неудачник-28	неудачник-29	annotator3	4		неудачник
неудачник-28	неудачник-29	annotator4	3		неудачник
неудачник-28	неудачник-29	annotator5	3		неудачник
неудачник-30	неудачник-31	annotator1	3		неудачник
неудачник-30	неудачник-31	annotator2	4		неудачник
неудачник-30	неудачник-31	annotator3	4		неудачник
неудачник-30	неудачник-31	annotator4	3		неудачник
неудачник-30	неудачник-31	annotator5	4		неудачник
неудачник-32	неудачник-33	annotator1	4		неудачник
неудачник-32	неудачник-33	annotator2	4		неудачник
неудачник-32	неудачник-33	annotator3	3		неудачник
неудачник-32	неудачник-33	annotator4	4		неудачник
неудачник-32	неудачник-33	annotator5	4		неудачник
неудачник-34	неудачник-35	annotator1	4		неудачник
неудачник-34	неудачник-35	annotator2	3		неудачник
неудачник-34	неудачник-35	annotator3	4		неудачник
неудачник-34	неудачник-35	annotator4	2		неудачник
неудачник-34	неудачник-35	annotator5	3		неудачник
неудачник-36	неудачник-37	annotator1	4		неудачник
неудачник-36	неудачник-37	annotator2	4		неудачник
неудачник-36	неудачник-37	annotator3	4		неудачник
неудачник-36	неудачник-37	annotator4	3		неудачник
неудачник-36	неудачник-37	annotator5	3		неудачник
неудачник-38	неудачник-39	annotator1	4		неудачник
неудачник-38	неудачник-39	annotator2	4		неудачник
неудачник-38	неудачник-39	annotator3	4		неудачник
неудачник-38	неудачник-39	annotator4	4		неудачник
неудачник-38	неудачник-39	annotator5	4		неудачник
неудачник-40	неудачник-41	annotator1	4		неудачник
неудачник-40	неудачник-41	annotator2	4		неудачник
неудачник-40	неудачник-41	annotator3	4		неудачник
неудачник-40	неудачник-41	annotator4	4		неудачник
неудачник-40	неудачник-41	annotator5	4		неудачник
неудачник-42	неудачник-43	annotator1	1		неудачник
неудачник-42	неудачник-43	annotator2	3		неудачник
неудачник-42	неудачник-43	annotator3	2		неудачник
неудачник-42	неудачник-43	annotator4	1		неудачник
неудачник-42	неудачник-43	annotator5	3		неудачник
неудачник-44	неудачник-45	annotator1	4		неудачник
неудачник-44	неудачник-45	annotator2	4		неудачник
неудачник-44	неудачник-45	annotator3	3		неудачник
неудачник-44	неудачник-45	annotator4	4		неудачник
