lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
неудачник	NOUN	1918-1990	2	неудачник-0		Не сомневаюсь, -- ответила она спокойно, -- но вы ее любите как неудачник, а я -- как волчица, -- и хохотнула.	64:73	0:110
неудачник	NOUN	1918-1990	2	неудачник-1		-- Что, брат, попался -- хохочут все над неудачником.	41:52	0:53
неудачник	NOUN	1682-1916	1	неудачник-2		Права Ксана, -- Ласточкин подумал, -- что сторонится неудачников.	53:64	0:65
неудачник	NOUN	1918-1990	2	неудачник-3		Тургенев создает бесконечную галерею, по его мнению, истинно-русских героев, т. е. героев слабости, калек, неудачников.	107:118	0:119
неудачник	NOUN	1918-1990	2	неудачник-4		-- Если вы в таком возрасте будете ориентироваться на "принято" и "не принято", вы уже неудачник.	87:96	0:97
неудачник	NOUN	1918-1990	2	неудачник-5		Конечно, как и везде, тут все в степени, есть отрицатели демонические, -- какие это неудачники!	84:94	0:95
неудачник	NOUN	1918-1990	2	неудачник-6		-- Значит, они у вас неудачники -- Почему У них практически есть все.	21:31	0:69
неудачник	NOUN	1918-1990	2	неудачник-7		Говори, неудачник!	8:17	0:18
неудачник	NOUN	1682-1916	1	неудачник-8		-- Укажи мне место на лоне твоём! -- горестно взывал неудачник.	53:62	0:63
неудачник	NOUN	1682-1916	1	неудачник-9		Бог весть, что делалось в его старческой, опустошенной и израненной душе неудачника.	73:83	0:84
неудачник	NOUN	1918-1990	2	неудачник-10		5 февраля 1954 г. ...Но все чаще встает вопрос -- да сохраним ли голову-то И стоит ли она того, моя голова, чтобы ее сохранять Голова неудачника.	134:144	0:145
неудачник	NOUN	1918-1990	2	неудачник-11		А почему бы и нет.." Конечно, думала Ашхен, Бога нет, как воображают несчастные неудачники, но если бы он был, если бы он и впрямь существовал там, где-то, в недоступных сферах, прозорливый, вечный, озабоченный человеческой судьбой и справедливостью, если бы он был, он бы, несомненно, помог ей встретиться с Лаврентием!	80:90	0:320
неудачник	NOUN	1682-1916	1	неудачник-12		Nous connmes разнородных мотельщиков -- исправившегося преступника или неудачника-дельца, среди директоров, а среди директрис -- полублагородную даму или бывшую бандершу.	71:87	0:170
неудачник	NOUN	1918-1990	2	неудачник-13		Поэт как будто говорит нам, указывая на Базарова и не замечая, что это вовсе не герой, а такой же недоносок, неудачник, как его "лишние люди", ничего не создающий, обреченный на гибель: "вы хотели видеть сильного русского человека -- вот вам сильный!	109:118	0:250
неудачник	NOUN	1682-1916	1	неудачник-14		А неудачник несчастлив один, про себя.	2:11	0:38
неудачник	NOUN	1682-1916	1	неудачник-15		Множество рабочих и неудачников артистов находится именно в таком положении.	20:31	0:76
неудачник	NOUN	1682-1916	1	неудачник-16		А в общем -- пускай Всё пройдет и забудется, -- и опять через двести лет, самолюбивый неудачник отведет душу на мечтающих о довольстве простаках (если только не будет моего мира, где каждый сам по себе, и нет равенства, и нет властей, -- впрочем, если не хотите, не надо, мне решительно всё равно).	86:95	0:298
неудачник	NOUN	1918-1990	2	неудачник-17		Странное, мне самому непонятное детство, потом -- жизнь у дяди без ласки, без искренней дружбы, без взаимного уважения, потом, наконец, знакомство с Дешевовыми, дальше в будущем -- армейский офицер, писатель-неудачник, запоздавший романтик и мечтатель -- пустая, глупая жизнь.	-1:16	0:276
