identifier1	identifier2	annotator	judgment	comment	lemma
новичок-48-12	новичок-49-12	annotator1	4		новичок
новичок-16-12	новичок-17-12	annotator1	4		новичок
новичок-90-12	новичок-91-12	annotator1	4		новичок
новичок-114-12	новичок-115-12	annotator1	4		новичок
новичок-18-12	новичок-19-12	annotator1	4		новичок
новичок-106-12	новичок-107-12	annotator1	3		новичок
новичок-54-12	новичок-55-12	annotator1	4		новичок
новичок-10-12	новичок-11-12	annotator1	4		новичок
новичок-14-12	новичок-15-12	annotator1	3		новичок
новичок-52-12	новичок-53-12	annotator1	2		новичок
новичок-12-12	новичок-13-12	annotator1	2		новичок
новичок-110-12	новичок-111-12	annotator1	4		новичок
новичок-96-12	новичок-97-12	annotator1	4		новичок
новичок-2-12	новичок-3-12	annotator1	4		новичок
новичок-24-12	новичок-25-12	annotator1	4		новичок
новичок-20-12	новичок-21-12	annotator1	4		новичок
новичок-32-12	новичок-33-12	annotator1	4		новичок
новичок-72-12	новичок-73-12	annotator1	4		новичок
новичок-30-12	новичок-31-12	annotator1	3		новичок
новичок-112-12	новичок-113-12	annotator1	4		новичок
новичок-68-12	новичок-69-12	annotator1	4		новичок
новичок-64-12	новичок-65-12	annotator1	4		новичок
новичок-108-12	новичок-109-12	annotator1	3		новичок
новичок-70-12	новичок-71-12	annotator1	4		новичок
новичок-62-12	новичок-63-12	annotator1	4		новичок
новичок-116-12	новичок-117-12	annotator1	4		новичок
новичок-8-12	новичок-9-12	annotator1	3		новичок
новичок-76-12	новичок-77-12	annotator1	3		новичок
новичок-6-12	новичок-7-12	annotator1	4		новичок
новичок-118-12	новичок-119-12	annotator1	4		новичок
новичок-28-12	новичок-29-12	annotator1	4		новичок
новичок-74-12	новичок-75-12	annotator1	4		новичок
новичок-4-12	новичок-5-12	annotator1	4		новичок
новичок-26-12	новичок-27-12	annotator1	1		новичок
новичок-50-12	новичок-51-12	annotator1	3		новичок
новичок-22-12	новичок-23-12	annotator1	4		новичок
новичок-40-12	новичок-41-12	annotator1	4		новичок
новичок-56-12	новичок-57-12	annotator1	4		новичок
новичок-38-12	новичок-39-12	annotator1	4		новичок
