lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
новичок	NOUN	1918-1990	2	новичок-0		-- Вот вы увидите, -- опять-таки неизменно повторялось каждому новичку, -- после обеда я вас поведу, и вы увидите.	63:70	0:114
новичок	NOUN	1918-1990	2	новичок-1		Это у нас он новичок.	13:20	0:21
новичок	NOUN	1918-1990	2	новичок-2		-- Вчера я с одним новичком ну и помучилась!	19:27	0:44
новичок	NOUN	1918-1990	2	новичок-3		Но -- СРТ, в которой мы уже не новички!	31:38	0:39
новичок	NOUN	1682-1916	1	новичок-4		-- И до чего они все одинаковы, эти новички! -- воскликнул замполит, как только Марина вышла.	36:43	0:93
новичок	NOUN	1918-1990	2	новичок-5		Разумеется, тут пускают часто фальшивые слухи, даже пишут фальшивые письма, и на этом базаре новичка или нашего брата как раз собьют с толку; а биржа с своей огромной залой стоит пустая, хотя в ней сведения собираются только несомненные и достоверные, хотя в ней и висят географические карты, получаются газеты.	93:100	0:311
новичок	NOUN	1918-1990	2	новичок-6		-- Мак -- новичок, -- мрачно сказал Мемо.	10:17	0:41
новичок	NOUN	1918-1990	2	новичок-7		Новички не спешили, молчали.	0:7	0:28
новичок	NOUN	1682-1916	1	новичок-8		-- Оставь эти фокусы для новичков! -- сердито прикрикнул Бальтазар.	25:33	0:67
новичок	NOUN	1918-1990	2	новичок-9		Новичку все кажется страшно или сомнительно на корабле.	0:7	0:55
новичок	NOUN	1682-1916	1	новичок-10		-- Чего вы хотите -- спрашивает новичок.	32:39	0:40
новичок	NOUN	1682-1916	1	новичок-11		-- Да неужели это вы, сударь Прохор Васильевич -- проговорил, оторопев, озадаченный, словами новичка, острая бородка, всматриваясь в него.	93:100	0:138
новичок	NOUN	1918-1990	2	новичок-12		-- Я в ваших местах новичок, -- сказал Сергеев.	20:27	0:47
новичок	NOUN	1918-1990	2	новичок-13		Тогда он был еще совершенным новичком в эмбриомеханике.	29:37	0:55
новичок	NOUN	1918-1990	2	новичок-14		-- Я, брат, сам новичок тут,-- бодро продолжал директор.--	16:23	0:58
новичок	NOUN	1918-1990	2	новичок-15		Она заключается в том, что великое множество новичков, каждый день все в большем масштабе овладевающих вершинами нашей советской культуры, а значит, и литературным языком, приходит из разных областей страны.	16:17	0:207
