identifier1	identifier2	annotator	judgment	comment	lemma
ночлег-44-12	ночлег-45-12	annotator1	3		ночлег
ночлег-26-12	ночлег-27-12	annotator1	4		ночлег
ночлег-70-12	ночлег-71-12	annotator1	4		ночлег
ночлег-98-12	ночлег-99-12	annotator1	4		ночлег
ночлег-76-12	ночлег-77-12	annotator1	4		ночлег
ночлег-18-12	ночлег-19-12	annotator1	4		ночлег
ночлег-10-12	ночлег-11-12	annotator1	4		ночлег
ночлег-20-12	ночлег-21-12	annotator1	4		ночлег
ночлег-28-12	ночлег-29-12	annotator1	4		ночлег
ночлег-38-12	ночлег-39-12	annotator1	4		ночлег
ночлег-86-12	ночлег-87-12	annotator1	3		ночлег
ночлег-80-12	ночлег-81-12	annotator1	4		ночлег
ночлег-34-12	ночлег-35-12	annotator1	4		ночлег
ночлег-88-12	ночлег-89-12	annotator1	4		ночлег
ночлег-46-12	ночлег-47-12	annotator1	3		ночлег
ночлег-82-12	ночлег-83-12	annotator1	4		ночлег
ночлег-78-12	ночлег-79-12	annotator1	2		ночлег
ночлег-96-12	ночлег-97-12	annotator1	4		ночлег
ночлег-0-12	ночлег-1-12	annotator1	1		ночлег
ночлег-12-12	ночлег-13-12	annotator1	4		ночлег
ночлег-14-12	ночлег-15-12	annotator1	4		ночлег
ночлег-36-12	ночлег-37-12	annotator1	4		ночлег
ночлег-32-12	ночлег-33-12	annotator1	2		ночлег
ночлег-16-12	ночлег-17-12	annotator1	4		ночлег
ночлег-84-12	ночлег-85-12	annotator1	4		ночлег
ночлег-72-12	ночлег-73-12	annotator1	4		ночлег
ночлег-114-12	ночлег-115-12	annotator1	4		ночлег
ночлег-30-12	ночлег-31-12	annotator1	2		ночлег
ночлег-52-12	ночлег-53-12	annotator1	4		ночлег
ночлег-92-12	ночлег-93-12	annotator1	4		ночлег
ночлег-74-12	ночлег-75-12	annotator1	1		ночлег
ночлег-94-12	ночлег-95-12	annotator1	3		ночлег
ночлег-22-12	ночлег-23-12	annotator1	4		ночлег
ночлег-24-12	ночлег-25-12	annotator1	4		ночлег
ночлег-90-12	ночлег-91-12	annotator1	3		ночлег
ночлег-118-12	ночлег-119-12	annotator1	3		ночлег
ночлег-48-12	ночлег-49-12	annotator1	4		ночлег
ночлег-6-12	ночлег-7-12	annotator1	4		ночлег
ночлег-104-12	ночлег-105-12	annotator1	4		ночлег
ночлег-62-12	ночлег-63-12	annotator1	3		ночлег
ночлег-4-12	ночлег-5-12	annotator1	4		ночлег
ночлег-64-12	ночлег-65-12	annotator1	4		ночлег
ночлег-102-12	ночлег-103-12	annotator1	4		ночлег
ночлег-42-12	ночлег-43-12	annotator1	4		ночлег
ночлег-100-12	ночлег-101-12	annotator1	4		ночлег
ночлег-66-12	ночлег-67-12	annotator1	4		ночлег
ночлег-112-12	ночлег-113-12	annotator1	3		ночлег
ночлег-40-12	ночлег-41-12	annotator1	4		ночлег
ночлег-116-12	ночлег-117-12	annotator1	4		ночлег
ночлег-68-12	ночлег-69-12	annotator1	1		ночлег
