lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ночлег	NOUN	1682-1916	1	ночлег-0		"Там (пишет отец Фока) я застал преосвященного, пересказывающего, что в иных местах (конечно, киевской же епархии) священство не в пример хуже имеет квартиры, и повествовал нам о ночлеге своем у одного пастыря, как там дули в окна ветры, а под окнами хрюкали целую ночь свиньи".	179:186	0:278
ночлег	NOUN	1682-1916	1	ночлег-1		Окончив наблюдения, возвратились мы к месту ночлега 10 июля.	44:51	0:60
ночлег	NOUN	1682-1916	1	ночлег-2		Что это значит как куда" -- "Ужин и ночлег! -- кротко, но твердо заметил Вандик.	36:42	0:80
ночлег	NOUN	1682-1916	1	ночлег-3		-- Откуда ты мог узнать Вошедши дорогою на ночлег в идольский храм, я слышал, что демоны говорили о твоем падении и хвастались им; то очень опечалило меня.	43:49	0:155
ночлег	NOUN	1682-1916	1	ночлег-4		-- Встали раненько, с ночлега поехали с солнышком вместе, а дороги-то у вас, спаси, господи, и помилуй.	22:29	0:103
ночлег	NOUN	1682-1916	1	ночлег-5		После ужина, простившись с матерью, Александр отправился на свой ночлег.	65:71	0:72
ночлег	NOUN	1682-1916	1	ночлег-6		.. отправлялись на ночлег"; затем -- та же тема развивается; всё кругом ест и спит, только ест и спит; кучер целый день помогает изготовлять напитки -- "и к концу этого процесса совершенно не был в состоянии говорить языком, болтал такой вздор, что Пульхерия Ивановна ничего не могла понять, и отправлялся на кухню спать".	19:25	0:322
ночлег	NOUN	1918-1990	2	ночлег-7		Теперь полицейский обязан подойти к такому "спящему", разбудить его и вручить ему билет, дающий право на ночлег и утренний завтрак в одной из городских ночлежек.	105:111	0:161
ночлег	NOUN	1682-1916	1	ночлег-8		Ночлег был организован хорошо, а питания по-прежнему практически не было.	0:6	0:73
ночлег	NOUN	1918-1990	2	ночлег-9		Я узнал только, что он тут не живет, а остановился на ночлег и завтра едет дальше, к своей должности, на какую-то станцию.	54:60	0:122
ночлег	NOUN	1682-1916	1	ночлег-10		Ночлег лагерем близ селения Миана.	0:6	0:34
ночлег	NOUN	1682-1916	1	ночлег-11		Суда стоят уже 4 месяца; промышленники из убитых морских слонов (Phoca procosciclea) вытапливают жир; ездят для сего промысла во все бухты, для ночлегов опрокидывают свои лодки, разводят огонь.	144:152	0:193
ночлег	NOUN	1918-1990	2	ночлег-12		А раньше выезжаешь с ночлегом, бывало, и не с одним.	21:29	0:52
ночлег	NOUN	1918-1990	2	ночлег-13		В ней были устроены откидные полки, что позволяло Наполеону удобно располагаться на ночлег.	84:90	0:91
ночлег	NOUN	1682-1916	1	ночлег-14		Безводный переход через пустыню мы выполнили в два дня; для ночлега была взята в бочонках вода и для лошадей -- тростник: верблюды должны были довольствоваться скудным подножным кормом.	60:67	0:185
ночлег	NOUN	1918-1990	2	ночлег-15		Последняя деревня Хяфт-Чешме (7 ключей) и одна на самой дороге, не доходя 30 минут до ночлега.	86:93	0:94
ночлег	NOUN	1682-1916	1	ночлег-16		Бесприютно прослоняешься ты в Целебееве; под ударами молний ночлега себе не найдешь, а еще, пожалуй, ослепнешь, как красная баба Маланья из тучи на тебя поглядит, и ты ее на мгновенье увидишь, как попрыгивает по тучам она; и ты на мгновенье увидишь всю даль -- красной.	60:67	0:269
ночлег	NOUN	1682-1916	1	ночлег-17		Тащить его на лыжах было тяжело, и потому все остановились на ночлег.	62:68	0:69
ночлег	NOUN	1682-1916	1	ночлег-18		Боишься, зверь, погони -- на бегу и на ночлеге не пьешь, не ешь, потому смерть чуешь.	39:46	0:85
