identifier1	identifier2	annotator	judgment	comment	lemma
обвинитель-0	обвинитель-1	annotator1	4		обвинитель
обвинитель-0	обвинитель-1	annotator2	3		обвинитель
обвинитель-0	обвинитель-1	annotator3	4		обвинитель
обвинитель-0	обвинитель-1	annotator4	4		обвинитель
обвинитель-0	обвинитель-1	annotator5	3		обвинитель
обвинитель-2	обвинитель-3	annotator1	2		обвинитель
обвинитель-2	обвинитель-3	annotator2	4		обвинитель
обвинитель-2	обвинитель-3	annotator3	4		обвинитель
обвинитель-2	обвинитель-3	annotator4	3		обвинитель
обвинитель-2	обвинитель-3	annotator5	3		обвинитель
обвинитель-4	обвинитель-5	annotator1	4		обвинитель
обвинитель-4	обвинитель-5	annotator2	4		обвинитель
обвинитель-4	обвинитель-5	annotator3	4		обвинитель
обвинитель-4	обвинитель-5	annotator4	4		обвинитель
обвинитель-4	обвинитель-5	annotator5	4		обвинитель
обвинитель-6	обвинитель-7	annotator1	3		обвинитель
обвинитель-6	обвинитель-7	annotator2	4		обвинитель
обвинитель-6	обвинитель-7	annotator3	2		обвинитель
обвинитель-6	обвинитель-7	annotator4	3		обвинитель
обвинитель-6	обвинитель-7	annotator5	4		обвинитель
обвинитель-8	обвинитель-9	annotator1	4		обвинитель
обвинитель-8	обвинитель-9	annotator2	4		обвинитель
обвинитель-8	обвинитель-9	annotator3	4		обвинитель
обвинитель-8	обвинитель-9	annotator4	4		обвинитель
обвинитель-8	обвинитель-9	annotator5	4		обвинитель
обвинитель-10	обвинитель-11	annotator1	4		обвинитель
обвинитель-10	обвинитель-11	annotator2	4		обвинитель
обвинитель-10	обвинитель-11	annotator3	4		обвинитель
обвинитель-10	обвинитель-11	annotator4	3		обвинитель
обвинитель-10	обвинитель-11	annotator5	4		обвинитель
обвинитель-12	обвинитель-13	annotator1	4		обвинитель
обвинитель-12	обвинитель-13	annotator2	1		обвинитель
обвинитель-12	обвинитель-13	annotator3	4		обвинитель
обвинитель-12	обвинитель-13	annotator4	4		обвинитель
обвинитель-12	обвинитель-13	annotator5	4		обвинитель
обвинитель-14	обвинитель-15	annotator1	4		обвинитель
обвинитель-14	обвинитель-15	annotator2	4		обвинитель
обвинитель-14	обвинитель-15	annotator3	4		обвинитель
обвинитель-14	обвинитель-15	annotator4	4		обвинитель
обвинитель-14	обвинитель-15	annotator5	2		обвинитель
обвинитель-16	обвинитель-17	annotator1	3		обвинитель
обвинитель-16	обвинитель-17	annotator2	4		обвинитель
обвинитель-16	обвинитель-17	annotator3	3		обвинитель
обвинитель-16	обвинитель-17	annotator4	3		обвинитель
обвинитель-16	обвинитель-17	annotator5	4		обвинитель
обвинитель-18	обвинитель-19	annotator1	4		обвинитель
обвинитель-18	обвинитель-19	annotator2	4		обвинитель
обвинитель-18	обвинитель-19	annotator3	4		обвинитель
обвинитель-18	обвинитель-19	annotator4	4		обвинитель
обвинитель-18	обвинитель-19	annotator5	4		обвинитель
обвинитель-20	обвинитель-21	annotator1	4		обвинитель
обвинитель-20	обвинитель-21	annotator2	4		обвинитель
обвинитель-20	обвинитель-21	annotator3	4		обвинитель
обвинитель-20	обвинитель-21	annotator4	4		обвинитель
обвинитель-20	обвинитель-21	annotator5	3		обвинитель
обвинитель-22	обвинитель-23	annotator1	4		обвинитель
обвинитель-22	обвинитель-23	annotator2	4		обвинитель
обвинитель-22	обвинитель-23	annotator3	4		обвинитель
обвинитель-22	обвинитель-23	annotator4	4		обвинитель
обвинитель-22	обвинитель-23	annotator5	4		обвинитель
обвинитель-24	обвинитель-25	annotator1	4		обвинитель
обвинитель-24	обвинитель-25	annotator2	4		обвинитель
обвинитель-24	обвинитель-25	annotator3	4		обвинитель
обвинитель-24	обвинитель-25	annotator4	4		обвинитель
обвинитель-24	обвинитель-25	annotator5	4		обвинитель
обвинитель-26	обвинитель-27	annotator1	4		обвинитель
обвинитель-26	обвинитель-27	annotator2	1		обвинитель
обвинитель-26	обвинитель-27	annotator3	4		обвинитель
обвинитель-26	обвинитель-27	annotator4	4		обвинитель
обвинитель-26	обвинитель-27	annotator5	4		обвинитель
обвинитель-28	обвинитель-29	annotator1	2		обвинитель
обвинитель-28	обвинитель-29	annotator2	1		обвинитель
обвинитель-28	обвинитель-29	annotator3	3		обвинитель
обвинитель-28	обвинитель-29	annotator4	3		обвинитель
обвинитель-28	обвинитель-29	annotator5	3		обвинитель
обвинитель-30	обвинитель-31	annotator1	4		обвинитель
обвинитель-30	обвинитель-31	annotator2	4		обвинитель
обвинитель-30	обвинитель-31	annotator3	4		обвинитель
обвинитель-30	обвинитель-31	annotator4	4		обвинитель
обвинитель-30	обвинитель-31	annotator5	4		обвинитель
обвинитель-32	обвинитель-33	annotator1	4		обвинитель
обвинитель-32	обвинитель-33	annotator2	1		обвинитель
обвинитель-32	обвинитель-33	annotator3	2		обвинитель
обвинитель-32	обвинитель-33	annotator4	4		обвинитель
обвинитель-32	обвинитель-33	annotator5	1		обвинитель
обвинитель-34	обвинитель-35	annotator1	4		обвинитель
обвинитель-34	обвинитель-35	annotator2	3		обвинитель
обвинитель-34	обвинитель-35	annotator3	4		обвинитель
обвинитель-34	обвинитель-35	annotator4	4		обвинитель
обвинитель-34	обвинитель-35	annotator5	4		обвинитель
обвинитель-36	обвинитель-37	annotator1	4		обвинитель
обвинитель-36	обвинитель-37	annotator2	2		обвинитель
обвинитель-36	обвинитель-37	annotator3	2		обвинитель
обвинитель-36	обвинитель-37	annotator4	4		обвинитель
обвинитель-36	обвинитель-37	annotator5	2		обвинитель
обвинитель-38	обвинитель-39	annotator1	3		обвинитель
обвинитель-38	обвинитель-39	annotator2	4		обвинитель
обвинитель-38	обвинитель-39	annotator3	4		обвинитель
обвинитель-38	обвинитель-39	annotator4	4		обвинитель
обвинитель-38	обвинитель-39	annotator5	3		обвинитель
обвинитель-40	обвинитель-41	annotator1	4		обвинитель
обвинитель-40	обвинитель-41	annotator2	4		обвинитель
обвинитель-40	обвинитель-41	annotator3	4		обвинитель
обвинитель-40	обвинитель-41	annotator4	4		обвинитель
обвинитель-40	обвинитель-41	annotator5	4		обвинитель
обвинитель-42	обвинитель-43	annotator1	4		обвинитель
обвинитель-42	обвинитель-43	annotator2	4		обвинитель
обвинитель-42	обвинитель-43	annotator3	4		обвинитель
обвинитель-42	обвинитель-43	annotator4	4		обвинитель
обвинитель-42	обвинитель-43	annotator5	3		обвинитель
обвинитель-44	обвинитель-45	annotator1	1		обвинитель
обвинитель-44	обвинитель-45	annotator2	3		обвинитель
обвинитель-44	обвинитель-45	annotator3	2		обвинитель
обвинитель-44	обвинитель-45	annotator4	4		обвинитель
обвинитель-44	обвинитель-45	annotator5	4		обвинитель
обвинитель-46	обвинитель-47	annotator1	4		обвинитель
обвинитель-46	обвинитель-47	annotator2	4		обвинитель
обвинитель-46	обвинитель-47	annotator3	3		обвинитель
обвинитель-46	обвинитель-47	annotator4	4		обвинитель
обвинитель-46	обвинитель-47	annotator5	1		обвинитель
обвинитель-48	обвинитель-49	annotator1	3		обвинитель
обвинитель-48	обвинитель-49	annotator2	2		обвинитель
обвинитель-48	обвинитель-49	annotator3	1		обвинитель
обвинитель-48	обвинитель-49	annotator4	3		обвинитель
обвинитель-48	обвинитель-49	annotator5	2		обвинитель
обвинитель-50	обвинитель-51	annotator1	3		обвинитель
обвинитель-50	обвинитель-51	annotator2	4		обвинитель
обвинитель-50	обвинитель-51	annotator3	4		обвинитель
обвинитель-50	обвинитель-51	annotator4	4		обвинитель
обвинитель-50	обвинитель-51	annotator5	4		обвинитель
обвинитель-52	обвинитель-53	annotator1	4		обвинитель
обвинитель-52	обвинитель-53	annotator2	4		обвинитель
обвинитель-52	обвинитель-53	annotator3	4		обвинитель
обвинитель-52	обвинитель-53	annotator4	4		обвинитель
обвинитель-52	обвинитель-53	annotator5	4		обвинитель
обвинитель-54	обвинитель-55	annotator1	4		обвинитель
обвинитель-54	обвинитель-55	annotator2	4		обвинитель
обвинитель-54	обвинитель-55	annotator3	4		обвинитель
обвинитель-54	обвинитель-55	annotator4	4		обвинитель
обвинитель-54	обвинитель-55	annotator5	4		обвинитель
обвинитель-56	обвинитель-57	annotator1	4		обвинитель
обвинитель-56	обвинитель-57	annotator2	3		обвинитель
обвинитель-56	обвинитель-57	annotator3	3		обвинитель
обвинитель-56	обвинитель-57	annotator4	4		обвинитель
обвинитель-56	обвинитель-57	annotator5	4		обвинитель
обвинитель-58	обвинитель-59	annotator1	3		обвинитель
обвинитель-58	обвинитель-59	annotator2	4		обвинитель
обвинитель-58	обвинитель-59	annotator3	4		обвинитель
обвинитель-58	обвинитель-59	annotator4	4		обвинитель
обвинитель-58	обвинитель-59	annotator5	4		обвинитель
обвинитель-60	обвинитель-61	annotator1	4		обвинитель
обвинитель-60	обвинитель-61	annotator2	2		обвинитель
обвинитель-60	обвинитель-61	annotator3	2		обвинитель
обвинитель-60	обвинитель-61	annotator4	4		обвинитель
обвинитель-60	обвинитель-61	annotator5	2		обвинитель
обвинитель-62	обвинитель-63	annotator1	4		обвинитель
обвинитель-62	обвинитель-63	annotator2	3		обвинитель
обвинитель-62	обвинитель-63	annotator3	4		обвинитель
обвинитель-62	обвинитель-63	annotator4	3		обвинитель
обвинитель-62	обвинитель-63	annotator5	3		обвинитель
обвинитель-64	обвинитель-65	annotator1	3		обвинитель
обвинитель-64	обвинитель-65	annotator2	2		обвинитель
обвинитель-64	обвинитель-65	annotator3	3		обвинитель
обвинитель-64	обвинитель-65	annotator4	4		обвинитель
обвинитель-64	обвинитель-65	annotator5	4		обвинитель
обвинитель-66	обвинитель-67	annotator1	4		обвинитель
обвинитель-66	обвинитель-67	annotator2	4		обвинитель
обвинитель-66	обвинитель-67	annotator3	2		обвинитель
обвинитель-66	обвинитель-67	annotator4	2		обвинитель
обвинитель-66	обвинитель-67	annotator5	4		обвинитель
обвинитель-68	обвинитель-69	annotator1	3		обвинитель
обвинитель-68	обвинитель-69	annotator2	3		обвинитель
обвинитель-68	обвинитель-69	annotator3	4		обвинитель
обвинитель-68	обвинитель-69	annotator4	4		обвинитель
обвинитель-68	обвинитель-69	annotator5	4		обвинитель
обвинитель-70	обвинитель-71	annotator1	4		обвинитель
обвинитель-70	обвинитель-71	annotator2	2		обвинитель
обвинитель-70	обвинитель-71	annotator3	1		обвинитель
обвинитель-70	обвинитель-71	annotator4	3		обвинитель
обвинитель-70	обвинитель-71	annotator5	4		обвинитель
обвинитель-72	обвинитель-73	annotator1	2		обвинитель
обвинитель-72	обвинитель-73	annotator2	2		обвинитель
обвинитель-72	обвинитель-73	annotator3	2		обвинитель
обвинитель-72	обвинитель-73	annotator4	4		обвинитель
обвинитель-72	обвинитель-73	annotator5	4		обвинитель
обвинитель-74	обвинитель-75	annotator1	4		обвинитель
обвинитель-74	обвинитель-75	annotator2	4		обвинитель
обвинитель-74	обвинитель-75	annotator3	3		обвинитель
обвинитель-74	обвинитель-75	annotator4	4		обвинитель
обвинитель-74	обвинитель-75	annotator5	4		обвинитель
обвинитель-76	обвинитель-77	annotator1	4		обвинитель
обвинитель-76	обвинитель-77	annotator2	4		обвинитель
обвинитель-76	обвинитель-77	annotator3	2		обвинитель
обвинитель-76	обвинитель-77	annotator4	1		обвинитель
обвинитель-76	обвинитель-77	annotator5	4		обвинитель
обвинитель-78	обвинитель-79	annotator1	2		обвинитель
обвинитель-78	обвинитель-79	annotator2	4		обвинитель
обвинитель-78	обвинитель-79	annotator3	2		обвинитель
обвинитель-78	обвинитель-79	annotator4	1		обвинитель
обвинитель-78	обвинитель-79	annotator5	2		обвинитель
обвинитель-80	обвинитель-81	annotator1	4		обвинитель
обвинитель-80	обвинитель-81	annotator2	4		обвинитель
обвинитель-80	обвинитель-81	annotator3	4		обвинитель
обвинитель-80	обвинитель-81	annotator4	4		обвинитель
обвинитель-80	обвинитель-81	annotator5	4		обвинитель
обвинитель-82	обвинитель-83	annotator1	4		обвинитель
обвинитель-82	обвинитель-83	annotator2	1		обвинитель
обвинитель-82	обвинитель-83	annotator3	3		обвинитель
обвинитель-82	обвинитель-83	annotator4	4		обвинитель
обвинитель-82	обвинитель-83	annotator5	3		обвинитель
обвинитель-84	обвинитель-85	annotator1	3		обвинитель
обвинитель-84	обвинитель-85	annotator2	3		обвинитель
обвинитель-84	обвинитель-85	annotator3	4		обвинитель
обвинитель-84	обвинитель-85	annotator4	4		обвинитель
обвинитель-84	обвинитель-85	annotator5	3		обвинитель
обвинитель-86	обвинитель-87	annotator1	1		обвинитель
обвинитель-86	обвинитель-87	annotator2	4		обвинитель
обвинитель-86	обвинитель-87	annotator3	3		обвинитель
обвинитель-86	обвинитель-87	annotator4	3		обвинитель
обвинитель-86	обвинитель-87	annotator5	4		обвинитель
обвинитель-88	обвинитель-89	annotator1	4		обвинитель
обвинитель-88	обвинитель-89	annotator2	4		обвинитель
обвинитель-88	обвинитель-89	annotator3	4		обвинитель
обвинитель-88	обвинитель-89	annotator4	4		обвинитель
обвинитель-88	обвинитель-89	annotator5	4		обвинитель
обвинитель-90	обвинитель-91	annotator1	4		обвинитель
обвинитель-90	обвинитель-91	annotator2	4		обвинитель
обвинитель-90	обвинитель-91	annotator3	4		обвинитель
обвинитель-90	обвинитель-91	annotator4	4		обвинитель
обвинитель-90	обвинитель-91	annotator5	4		обвинитель
обвинитель-92	обвинитель-93	annotator1	2		обвинитель
обвинитель-92	обвинитель-93	annotator2	4		обвинитель
обвинитель-92	обвинитель-93	annotator3	2		обвинитель
обвинитель-92	обвинитель-93	annotator4	4		обвинитель
обвинитель-92	обвинитель-93	annotator5	4		обвинитель
обвинитель-94	обвинитель-95	annotator1	4		обвинитель
обвинитель-94	обвинитель-95	annotator2	4		обвинитель
обвинитель-94	обвинитель-95	annotator3	4		обвинитель
обвинитель-94	обвинитель-95	annotator4	4		обвинитель
обвинитель-94	обвинитель-95	annotator5	2		обвинитель
обвинитель-96	обвинитель-97	annotator1	4		обвинитель
обвинитель-96	обвинитель-97	annotator2	3		обвинитель
обвинитель-96	обвинитель-97	annotator3	1		обвинитель
обвинитель-96	обвинитель-97	annotator4	4		обвинитель
обвинитель-96	обвинитель-97	annotator5	2		обвинитель
обвинитель-98	обвинитель-99	annotator1	4		обвинитель
обвинитель-98	обвинитель-99	annotator2	3		обвинитель
обвинитель-98	обвинитель-99	annotator3	4		обвинитель
обвинитель-98	обвинитель-99	annotator4	4		обвинитель
обвинитель-98	обвинитель-99	annotator5	3		обвинитель
обвинитель-100	обвинитель-101	annotator1	4		обвинитель
обвинитель-100	обвинитель-101	annotator2	4		обвинитель
обвинитель-100	обвинитель-101	annotator3	4		обвинитель
обвинитель-100	обвинитель-101	annotator4	4		обвинитель
обвинитель-100	обвинитель-101	annotator5	4		обвинитель
обвинитель-102	обвинитель-103	annotator1	4		обвинитель
обвинитель-102	обвинитель-103	annotator2	4		обвинитель
обвинитель-102	обвинитель-103	annotator3	4		обвинитель
обвинитель-102	обвинитель-103	annotator4	4		обвинитель
обвинитель-102	обвинитель-103	annotator5	4		обвинитель
обвинитель-104	обвинитель-105	annotator1	2		обвинитель
обвинитель-104	обвинитель-105	annotator2	3		обвинитель
обвинитель-104	обвинитель-105	annotator3	4		обвинитель
обвинитель-104	обвинитель-105	annotator4	1		обвинитель
обвинитель-104	обвинитель-105	annotator5	3		обвинитель
обвинитель-106	обвинитель-107	annotator1	4		обвинитель
обвинитель-106	обвинитель-107	annotator2	4		обвинитель
обвинитель-106	обвинитель-107	annotator3	4		обвинитель
обвинитель-106	обвинитель-107	annotator4	2		обвинитель
обвинитель-106	обвинитель-107	annotator5	1		обвинитель
обвинитель-108	обвинитель-109	annotator1	4		обвинитель
обвинитель-108	обвинитель-109	annotator2	4		обвинитель
обвинитель-108	обвинитель-109	annotator3	4		обвинитель
обвинитель-108	обвинитель-109	annotator4	2		обвинитель
обвинитель-108	обвинитель-109	annotator5	4		обвинитель
обвинитель-110	обвинитель-111	annotator1	3		обвинитель
обвинитель-110	обвинитель-111	annotator2	1		обвинитель
обвинитель-110	обвинитель-111	annotator3	4		обвинитель
обвинитель-110	обвинитель-111	annotator4	4		обвинитель
обвинитель-110	обвинитель-111	annotator5	4		обвинитель
обвинитель-112	обвинитель-113	annotator1	4		обвинитель
обвинитель-112	обвинитель-113	annotator2	4		обвинитель
обвинитель-112	обвинитель-113	annotator3	4		обвинитель
обвинитель-112	обвинитель-113	annotator4	4		обвинитель
обвинитель-112	обвинитель-113	annotator5	4		обвинитель
обвинитель-114	обвинитель-115	annotator1	4		обвинитель
обвинитель-114	обвинитель-115	annotator2	4		обвинитель
обвинитель-114	обвинитель-115	annotator3	3		обвинитель
обвинитель-114	обвинитель-115	annotator4	4		обвинитель
обвинитель-114	обвинитель-115	annotator5	1		обвинитель
обвинитель-116	обвинитель-117	annotator1	3		обвинитель
обвинитель-116	обвинитель-117	annotator2	4		обвинитель
обвинитель-116	обвинитель-117	annotator3	1		обвинитель
обвинитель-116	обвинитель-117	annotator4	3		обвинитель
обвинитель-116	обвинитель-117	annotator5	3		обвинитель
обвинитель-118	обвинитель-119	annotator1	1		обвинитель
обвинитель-118	обвинитель-119	annotator2	3		обвинитель
обвинитель-118	обвинитель-119	annotator3	4		обвинитель
обвинитель-118	обвинитель-119	annotator4	1		обвинитель
обвинитель-118	обвинитель-119	annotator5	1		обвинитель
