lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
обвинитель	NOUN	1682-1916	1	обвинитель-0		Личности, -- говорит о Маколее Писарев, -- оживают под его пером и отдают полный отчет в своих поступках, в своих мыслях и побуждениях; перед глазами читателя происходит величавый процесс, в котором живой и умный англичанин, оратор и парламентский боец, является то обвинителем, то адвокатом выводимой личности, смотря по тому, куда влечет его голос совести и личного убеждения.	266:277	0:378
обвинитель	NOUN	1682-1916	1	обвинитель-1		Все это происшествие было мне известно, но что я мог сделать без обвинителя В сущности тут до грабежа один шаг, -- но не грабеж, а самоуправство.	65:75	0:145
обвинитель	NOUN	1682-1916	1	обвинитель-2		"Не считает ли слово за истину эхо свое" Самгин определил, что Диомидов говорит так же бесстрастно, ремесленно и привычно, как обвинители на суде произносят речи по мелким уголовным преступлениям.	127:137	0:196
обвинитель	NOUN	1918-1990	2	обвинитель-3		Затем уже наверное я знаю, что если бы Имшенецкий при виде шляпки заволновался и стал кричать: "вот, вот она, моя голубка, моя Маша, я ее вижу, спасите ее!", -- обвинители аргументировали бы в обратном порядке.	161:171	0:210
обвинитель	NOUN	1682-1916	1	обвинитель-4		-- "И притом, видите, любезный Анатолий Федорович, назначение обвинителя -- дело прокурора палаты; уже добрейший А. А.	62:72	0:118
обвинитель	NOUN	1682-1916	1	обвинитель-5		Афины этого еще не сознавали, они допускали суд по не предусмотренным законодателем преступлениям, предоставляя в этих случаях обвинителю предлагать, а гелиэе определять меру наказания, вразрез с римским и нашим правилом nulla poena sine lege [3]; в таком процессе (dike timete) был осужден и Сократ.	127:137	0:300
обвинитель	NOUN	1682-1916	1	обвинитель-6		-- Не мое, может быть, дело судить действия правительственных лиц; но я раз стал обвинителем и докончу это.	81:92	0:107
обвинитель	NOUN	1682-1916	1	обвинитель-7		Не думаю, чтобы резкие жесты и модуляции голоса были по душе русским присяжным заседателям, которые по моим наблюдениям, ценят спокойствие и простоту в "повадке" обвинителя.	162:172	0:173
обвинитель	NOUN	1682-1916	1	обвинитель-8		ОБВИНИТЕЛЬ:	0:10	0:11
обвинитель	NOUN	1918-1990	2	обвинитель-9		Я, по крайней мере, троих из господ обвинителей знаю как людей вполне добродушных и не верю, чтобы они желали увеличения наказания.	36:47	0:131
