lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
овес	NOUN	1918-1990	2	овес-0		"Иль гиганте" поднял сложенные руки над головой, потом надел роскошный, как у куртизанки, шелковый халат, нырнул под веревки ринга и степенно отправился переодеваться, отправился походкой старой работящей лошади, возвращающейся в конюшню, чтобы засунуть свою длинную морду в торбу с овсом.	44:45	0:289
овес	NOUN	1918-1990	2	овес-1		Из растительных продуктов для подагриков вредны овес, горох, бобы, чечевица, каштаны, спаржа, шпинат, цветная капуста, грибы.	48:52	0:125
овес	NOUN	1682-1916	1	овес-2		"У меня, -- говорит, -- тогда овса не хватит, если я полностью буду выдавать".	30:34	0:78
овес	NOUN	1918-1990	2	овес-3		Лошадей привязал кучер к деревьям, в недальнем расстоянии, и задал им овса, которым запасся на дорогу; потом перескочил по камням через речку, пробрался сквозь рощу, в которой, сказали мы, терялась по косогору дорога в Менцен, прополз по обнаженной высоте за крестом и у мрачной ограды соснового леса, к стороне Мариенбурга, вскарабкавшись на дерево, которого вершина была обожжена молниею, привязал к нему красный лоскут, неприметный с холма, где были наши путешественники, но видный вкось на мызе.	11:12	0:499
овес	NOUN	1918-1990	2	овес-4		) обыкновенно с большим усердием потчивают путешественника сеном и овсом, как будто бы он был почтовая лошадь".	2:13	0:111
овес	NOUN	1918-1990	2	овес-5		Конь тихо бил ногой и мерно жевал овес.	34:38	0:39
овес	NOUN	1918-1990	2	овес-6		-- Овес бы поберегли.	3:7	0:21
овес	NOUN	1918-1990	2	овес-7		Ну, я, как куль с овсом, упаду, и все поплывет перед глазами.	16:17	0:61
овес	NOUN	1918-1990	2	овес-8		-- Овес есть Гаврила трудно двинулся от крыльца, подавленный виденным, не мог совладать с онемевшим языком.	3:7	0:107
овес	NOUN	1918-1990	2	овес-9		Говорит, что если в Августе закупить овес и сено, то содержание лошади обойдется 20 р. в месяц.	37:41	0:95
овес	NOUN	1682-1916	1	овес-10		-- А чем же они промышляют -- Чем овсом да репой торгуют; капусту еще садят.	34:39	0:76
овес	NOUN	1682-1916	1	овес-11		В прошлом 1815 году посеяно было разного рода хлеба, как-то: ржи, пшеницы, кукурузы, проса, ячменю, овса и гороха 19.939 четвертей, а уродилось 70.092 четверти.	100:104	0:160
овес	NOUN	1682-1916	1	овес-12		-- И овес есть -- Авжеж есть.	5:9	0:29
овес	NOUN	1682-1916	1	овес-13		"Дед" -- хороший хозяин, знает все приметы, и его мнение всегда уважается на совете "стариков", который решает, когда сеять коноплю, овес, рожь и лен: у крестьян всегда бывает предварительное совещание, когда начать сев, особенно конопли, которую сеют все за раз, и как решат старики, так и делается.	133:137	0:300
овес	NOUN	1682-1916	1	овес-14		-- Не могу ли я, голубчик, купить у вас четвертей пять овса Мне продают наши мужички овес, да уж больно плохой.	85:89	0:111
овес	NOUN	1682-1916	1	овес-15		Около Воздвиженья священник ездит по приходу в телеге и собирает новую рожь и овес.	78:82	0:83
овес	NOUN	1682-1916	1	овес-16		-- Ну, овса, -- сказали парашкинцы.	7:11	0:35
овес	NOUN	1682-1916	1	овес-17		Тысяча шестьсот заключенных, содержащихся в ней, изготовляют железные кровати, рамы для картин, зеркала, меры, бархат, полотно, дамские корсеты, мелкие вещицы из перламутра, деревянные башмаки и вместе с тем возделывают несколько пшеницы, овса и овощей.	42:43	0:253
овес	NOUN	1918-1990	2	овес-18		-- Овсом кормлю, а вот не поправляется.	3:8	0:39
