identifier1	identifier2	annotator	judgment	comment	lemma
особа-0	особа-1	annotator1	3		особа
особа-0	особа-1	annotator2	3		особа
особа-0	особа-1	annotator3	3		особа
особа-0	особа-1	annotator4	1		особа
особа-0	особа-1	annotator5	1		особа
особа-2	особа-3	annotator1	3		особа
особа-2	особа-3	annotator2	3		особа
особа-2	особа-3	annotator3	4		особа
особа-2	особа-3	annotator4	3		особа
особа-2	особа-3	annotator5	4		особа
особа-4	особа-5	annotator1	1		особа
особа-4	особа-5	annotator2	1		особа
особа-4	особа-5	annotator3	2		особа
особа-4	особа-5	annotator4	4		особа
особа-4	особа-5	annotator5	4		особа
особа-6	особа-7	annotator1	3		особа
особа-6	особа-7	annotator2	4		особа
особа-6	особа-7	annotator3	3		особа
особа-6	особа-7	annotator4	4		особа
особа-6	особа-7	annotator5	4		особа
особа-8	особа-9	annotator1	3		особа
особа-8	особа-9	annotator2	4		особа
особа-8	особа-9	annotator3	4		особа
особа-8	особа-9	annotator4	4		особа
особа-8	особа-9	annotator5	1		особа
особа-10	особа-11	annotator1	4		особа
особа-10	особа-11	annotator2	3		особа
особа-10	особа-11	annotator3	2		особа
особа-10	особа-11	annotator4	3		особа
особа-10	особа-11	annotator5	4		особа
особа-12	особа-13	annotator1	4		особа
особа-12	особа-13	annotator2	4		особа
особа-12	особа-13	annotator3	1		особа
особа-12	особа-13	annotator4	3		особа
особа-12	особа-13	annotator5	2		особа
особа-14	особа-15	annotator1	4		особа
особа-14	особа-15	annotator2	3		особа
особа-14	особа-15	annotator3	4		особа
особа-14	особа-15	annotator4	4		особа
особа-14	особа-15	annotator5	4		особа
особа-16	особа-17	annotator1	2		особа
особа-16	особа-17	annotator2	4		особа
особа-16	особа-17	annotator3	4		особа
особа-16	особа-17	annotator4	2		особа
особа-16	особа-17	annotator5	2		особа
особа-18	особа-19	annotator1	4		особа
особа-18	особа-19	annotator2	1		особа
особа-18	особа-19	annotator3	4		особа
особа-18	особа-19	annotator4	4		особа
особа-18	особа-19	annotator5	2		особа
особа-20	особа-21	annotator1	2		особа
особа-20	особа-21	annotator2	4		особа
особа-20	особа-21	annotator3	1		особа
особа-20	особа-21	annotator4	1		особа
особа-20	особа-21	annotator5	4		особа
особа-22	особа-23	annotator1	3		особа
особа-22	особа-23	annotator2	1		особа
особа-22	особа-23	annotator3	4		особа
особа-22	особа-23	annotator4	1		особа
особа-22	особа-23	annotator5	4		особа
особа-24	особа-25	annotator1	4		особа
особа-24	особа-25	annotator2	1		особа
особа-24	особа-25	annotator3	3		особа
особа-24	особа-25	annotator4	1		особа
особа-24	особа-25	annotator5	4		особа
