lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
особа	NOUN	1682-1916	1	особа-0		(Аполлон Аполлонович эти два с половиною года ведь особу эту считал за... особу.	51:56	0:80
особа	NOUN	1682-1916	1	особа-1		Въ 1846 году на экзаменахъ 10-го выпуска Института также присутствовалъ Государь Императоръ съ другими Высочайшими Особами, Императрица же лично присутствовать не могла, такъ какъ находилась въ это время въ Палермо, но Она не забыла свой Институтъ и, по обыкновеню, наградила нкоторыхъ преподавателей милостивыми царскими подарками-перстнями съ бриллантами, а преподавательницу танцевъ Шемаеву, потрудившуюся въ Институт боле 25 лтъ, фермуаромъ.	115:122	0:445
особа	NOUN	1682-1916	1	особа-2		-- А быть может, сударыня, кроме того не пожелает ли иметь при себе и благородную пожилую особу -- любезно предлагал майор своей нанимательнице.	90:95	0:144
особа	NOUN	1682-1916	1	особа-3		После обычного хождения высочайшей особы по церквам и поклонения кремлевской святыне государыня уехала в свой яузский дворец, где наступили балы, куртаги, маскарады, а по вечерам зажигались потешные огни.	35:40	0:204
особа	NOUN	1682-1916	1	особа-4		-- Вы обвиняетесь, -- заявили мне торжественно, -- в принадлежности к тайному сообществу, имеющему цель ниспровергнуть существующую форму правления, и в заговоре против священной особы его императорского величества.	179:184	0:215
особа	NOUN	1682-1916	1	особа-5		Отправив к тебе последнее послание, я вздумала занемочь, и занемочь тотчас же; но где взять для этого средства На дворе жар нестерпимый, вода тепла, и, на мое несчастие, ежедневные ванны из ледяного источника приучили особу мою к холоду; оставались, следовательно, неумеренный моцион и мороженое.	218:223	0:296
особа	NOUN	1682-1916	1	особа-6		-- Кто эта особа -- спрашивали в партере, указывая на головку бель-этажа.	11:16	0:73
особа	NOUN	1682-1916	1	особа-7		В моем уме стремление к теоретическим исследованиям сущности бытия преобладало слишком решительно для того, чтобы я ради обеспечения своей особы мог, насилуя свой ум, предаться какой-нибудь иной деятельности и поставить себе задачею добывание хлеба насущного.	139:144	0:259
особа	NOUN	1682-1916	1	особа-8		-- У, да какая! -- промолвил он про себя, взглянув на даму, которая вышла из кареты и посмотрела вокруг, как владетельная особа, вступающая в хижину своих подданных.	122:127	0:165
особа	NOUN	1682-1916	1	особа-9		Знатнейшей породы особы не стыдятся обманывать самым подлым образом.	18:23	0:68
особа	NOUN	1682-1916	1	особа-10		-- важно заметила "особа".	19:24	0:26
особа	NOUN	1682-1916	1	особа-11		Для нас, молодых людей, это было, между прочим, и развлечение: а между тем -- стоять ночью при великолепном гробе, окруженном погребальными свечами, при однообразном чтении Евангелия (ибо по коронованных особах читается не псалтирь, а Евангелие) -- это было что-то величественное, возвышающее душу!	204:210	0:298
особа	NOUN	1682-1916	1	особа-12		1) Собор, 2) Дом губернатора, 3) Часовой при нем, 4) Будка, 5) Клуб и предводитель дворянства на извозчике, 6) Каланча, 7) Дом, покосившийся от времени, 8) Тульская львица, имени которой из уважения к собственной особе не упоминаю, 9) Река Упа с корабликом, 10) Мост.	213:218	0:267
особа	NOUN	1682-1916	1	особа-13		Если вас не наказали примерно, то это потому только, что особа, которой вы вчера дерзость оказали, имеет большое пристрастие к людям отчаянным и смелым.	57:62	0:152
особа	NOUN	1918-1990	2	особа-14		; матушка нашла, и я совершенно с нею согласна, что он похож на портреты и описания, которые читаем о Робеспиерре, Дантоне и прочих подобных им особ французской революции: он малого росту, толст, лицо у нею свежее, румяное, глаза умные, но все выражение лица его имеет что-то зверское".	144:148	0:286
особа	NOUN	1918-1990	2	особа-15		На вопрос: "Кто у нас государь император" -- они отвечали: "Штабс-капитан Калиновский", среди "особ царствующей фамилии" называли каптенармуса и кашевара, так как все эти непонятные им слова не связывались у них ни с какими представлениями.	95:99	0:240
особа	NOUN	1682-1916	1	особа-16		А молодая особа поселилась на Васильевском острове, в небольшой, но славной комнатушке.	10:15	0:87
особа	NOUN	1918-1990	2	особа-17		Особы, составляющия Семейство Императора, не отличаются от частных лиц, подчинены тем же учреждениям и тому же влиянию Правительства, как и все прочие, и не пользуются никакими особыми правами и преимуществами.	0:5	0:210
особа	NOUN	1682-1916	1	особа-18		Бывало, конечно, и раньше, что художника или ученого, неугодного королевской фаворитке, тупой и сладострастной особе, продавали за границу или травили мышьяком, но только дон Рэба взялся за дело по-настоящему.	111:116	0:209
особа	NOUN	1918-1990	2	особа-19		Столь дерзкую выходку турки считали допустимой в отношении герцога, но никак не в отношении коронованной особы.	105:110	0:111
особа	NOUN	1682-1916	1	особа-20		В 1850 году действительно в Хиве было заведено, по примеру Бухары, регулярное войско численностью до 1000 чел. пехоты, но число их к настоящему времени уменьшилось до сотни сарбазов, главная обязанность которых состоит в охранении особы хана.	231:236	0:242
особа	NOUN	1682-1916	1	особа-21		IV 1840 ГОД Митрополит римско-католических церквей в России, при дворцовых выходах в торжественные дни, всегда видел царскую фамилию и был ею видим, наравне с другими особами, имеющими приезд ко двору, т. е. при шествии ее через парадные залы.	167:174	0:243
особа	NOUN	1682-1916	1	особа-22		В этом отношении согласие между супругами было полное, и черты эти получили особую прелесть в особе моей невестки, с которой у меня тогда завязался, несмотря на почти двадцатилетнюю разницу в годах, род настоящей дружбы.	76:82	0:220
особа	NOUN	1918-1990	2	особа-23		Но через год, другой (господа стали жить в деревне даже по зимам) такие уверения в каких-то превосходных качествах Федюшкиной особы, по капельке, на мгновение начали протачивать его с детства обезнадеженное сердце.	126:131	0:214
особа	NOUN	1918-1990	2	особа-24		Вельский, высоко неся голову и как-то особенно держа плечи (он перенял эту понравившуюся ему манеру у одной царствующей особы), быстро прошел через парадные комнаты к швейцарской, где швейцар уже держал наготове шубу и за стеклами подъезда у дверец двухместной кареты ждал, без шапки, выездной лакей.	38:46	0:300
особа	NOUN	1918-1990	2	особа-25		Ему бы просто не поверили, что такие важные особы едут в обыкновенном поезде.	44:49	0:77
особа	NOUN	1918-1990	2	особа-26		Виконт Ченсфильд увидел на печати оттиск собственного фамильного герба и, вскрыв конверт с изображением корабля под созвездием Ориона, прочел: -- "Господа, с огорчением вынужден известить мистера островитянина и его друзей, что известная особа, весьма близко принявшая к сердцу его отказ от предложенных умеренных условий, одета сейчас в смирительную рубашку и находится в карцере для буйно помешанных.	238:243	0:402
особа	NOUN	1918-1990	2	особа-27		Гурьеву из отдела кадров, в тот же день позвонившему, что хочет зайти "с фотографией этой особы, проконсультироваться дополнительно", Мокшин, чувствуя все ту же легкость и свободу, сказал, что ради вздора отрываться от работы больше не намерен.	90:95	0:244
особа	NOUN	1682-1916	1	особа-28		Высокие особы и важнейшие из приближенных лиц жили в Зимнем дворце.	8:13	0:67
особа	NOUN	1918-1990	2	особа-29		Настоящий дядя, не зная куда его деть, намекнул Льву Степановичу, который хотя уже тогда и был в отставке, но все же не смел поперечить особе.	136:141	0:142
особа	NOUN	1682-1916	1	особа-30		Гораздо явственнее насмешки над духовными особами.	42:49	0:50
особа	NOUN	1918-1990	2	особа-31		А. П. Евфанов заставил меня потерять вечер, знакомя меня с какой-то стерьвой Марьей Давыдовной и другими непривлекательными особами, Ольгой Федоровной, Прасковьей Петровной и т. д.	124:131	0:180
особа	NOUN	1682-1916	1	особа-32		Государи и Владтельныя особы, имющя нын пребыване въ Вн суть: 1.	23:28	0:64
