identifier1	identifier2	annotator	judgment	comment	lemma
отдел-72-12	отдел-73-12	annotator1	2		отдел
отдел-26-12	отдел-27-12	annotator1	3		отдел
отдел-18-12	отдел-19-12	annotator1	3		отдел
отдел-20-12	отдел-21-12	annotator1	2		отдел
отдел-22-12	отдел-23-12	annotator1	4		отдел
отдел-24-12	отдел-25-12	annotator1	4		отдел
отдел-108-12	отдел-109-12	annotator1	3		отдел
отдел-106-12	отдел-107-12	annotator1	3		отдел
отдел-104-12	отдел-105-12	annotator1	4		отдел
отдел-44-12	отдел-45-12	annotator1	4		отдел
отдел-34-12	отдел-35-12	annotator1	3		отдел
отдел-102-12	отдел-103-12	annotator1	4		отдел
отдел-52-12	отдел-53-12	annotator1	3		отдел
отдел-118-12	отдел-119-12	annotator1	2		отдел
отдел-116-12	отдел-117-12	annotator1	1		отдел
отдел-110-12	отдел-111-12	annotator1	4		отдел
отдел-114-12	отдел-115-12	annotator1	1		отдел
отдел-112-12	отдел-113-12	annotator1	3		отдел
отдел-50-12	отдел-51-12	annotator1	1		отдел
отдел-98-12	отдел-99-12	annotator1	4		отдел
отдел-86-12	отдел-87-12	annotator1	3		отдел
отдел-100-12	отдел-101-12	annotator1	4		отдел
отдел-88-12	отдел-89-12	annotator1	1		отдел
отдел-38-12	отдел-39-12	annotator1	1		отдел
отдел-30-12	отдел-31-12	annotator1	4		отдел
отдел-66-12	отдел-67-12	annotator1	1		отдел
отдел-68-12	отдел-69-12	annotator1	3		отдел
отдел-70-12	отдел-71-12	annotator1	2		отдел
отдел-62-12	отдел-63-12	annotator1	4		отдел
отдел-54-12	отдел-55-12	annotator1	2		отдел
отдел-56-12	отдел-57-12	annotator1	1		отдел
отдел-58-12	отдел-59-12	annotator1	3		отдел
отдел-60-12	отдел-61-12	annotator1	1		отдел
отдел-42-12	отдел-43-12	annotator1	1		отдел
отдел-32-12	отдел-33-12	annotator1	2		отдел
отдел-10-12	отдел-11-12	annotator1	3		отдел
отдел-14-12	отдел-15-12	annotator1	2		отдел
отдел-8-12	отдел-9-12	annotator1	3		отдел
отдел-0-12	отдел-1-12	annotator1	4		отдел
отдел-40-12	отдел-41-12	annotator1	4		отдел
отдел-2-12	отдел-3-12	annotator1	1		отдел
отдел-4-12	отдел-5-12	annotator1	4		отдел
отдел-6-12	отдел-7-12	annotator1	1		отдел
отдел-16-12	отдел-17-12	annotator1	1		отдел
отдел-28-12	отдел-29-12	annotator1	3		отдел
отдел-12-12	отдел-13-12	annotator1	3		отдел
отдел-90-12	отдел-91-12	annotator1	4		отдел
отдел-36-12	отдел-37-12	annotator1	1		отдел
отдел-64-12	отдел-65-12	annotator1	1		отдел
отдел-78-12	отдел-79-12	annotator1	4		отдел
отдел-46-12	отдел-47-12	annotator1	4		отдел
отдел-80-12	отдел-81-12	annotator1	4		отдел
отдел-84-12	отдел-85-12	annotator1	4		отдел
отдел-82-12	отдел-83-12	annotator1	1		отдел
отдел-94-12	отдел-95-12	annotator1	4		отдел
отдел-48-12	отдел-49-12	annotator1	2		отдел
отдел-74-12	отдел-75-12	annotator1	3		отдел
отдел-76-12	отдел-77-12	annotator1	4		отдел
отдел-96-12	отдел-97-12	annotator1	3		отдел
отдел-92-12	отдел-93-12	annotator1	4		отдел
отдел-60-12	отдел-61-12	annotator2	3		отдел
отдел-38-12	отдел-39-12	annotator2	3		отдел
отдел-30-12	отдел-31-12	annotator2	4		отдел
отдел-48-12	отдел-49-12	annotator2	4		отдел
отдел-32-12	отдел-33-12	annotator2	4		отдел
отдел-66-12	отдел-67-12	annotator2	2		отдел
отдел-26-12	отдел-27-12	annotator2	3		отдел
отдел-46-12	отдел-47-12	annotator2	3		отдел
отдел-18-12	отдел-19-12	annotator2	1		отдел
отдел-78-12	отдел-79-12	annotator2	1		отдел
отдел-20-12	отдел-21-12	annotator2	2		отдел
отдел-36-12	отдел-37-12	annotator2	2		отдел
отдел-72-12	отдел-73-12	annotator2	1		отдел
отдел-22-12	отдел-23-12	annotator2	2		отдел
отдел-64-12	отдел-65-12	annotator2	1		отдел
отдел-24-12	отдел-25-12	annotator2	4		отдел
отдел-70-12	отдел-71-12	annotator2	1		отдел
отдел-108-12	отдел-109-12	annotator2	2		отдел
отдел-106-12	отдел-107-12	annotator2	4		отдел
отдел-68-12	отдел-69-12	annotator2	1		отдел
отдел-58-12	отдел-59-12	annotator2	4		отдел
отдел-28-12	отдел-29-12	annotator2	1		отдел
отдел-6-12	отдел-7-12	annotator2	1		отдел
отдел-42-12	отдел-43-12	annotator2	1		отдел
отдел-16-12	отдел-17-12	annotator2	1		отдел
отдел-8-12	отдел-9-12	annotator2	4		отдел
отдел-52-12	отдел-53-12	annotator2	2		отдел
отдел-76-12	отдел-77-12	annotator2	2		отдел
отдел-10-12	отдел-11-12	annotator2	1		отдел
отдел-56-12	отдел-57-12	annotator2	1		отдел
отдел-12-12	отдел-13-12	annotator2	2		отдел
отдел-118-12	отдел-119-12	annotator2	2		отдел
отдел-14-12	отдел-15-12	annotator2	1		отдел
отдел-94-12	отдел-95-12	annotator2	2		отдел
отдел-74-12	отдел-75-12	annotator2	4		отдел
отдел-54-12	отдел-55-12	annotator2	2		отдел
отдел-40-12	отдел-41-12	annotator2	4		отдел
отдел-0-12	отдел-1-12	annotator2	1		отдел
отдел-104-12	отдел-105-12	annotator2	4		отдел
отдел-82-12	отдел-83-12	annotator2	1		отдел
отдел-4-12	отдел-5-12	annotator2	4		отдел
отдел-62-12	отдел-63-12	annotator2	1		отдел
отдел-34-12	отдел-35-12	annotator2	2		отдел
отдел-2-12	отдел-3-12	annotator2	1		отдел
отдел-80-12	отдел-81-12	annotator2	4		отдел
отдел-96-12	отдел-97-12	annotator2	2		отдел
отдел-88-12	отдел-89-12	annotator2	1		отдел
отдел-116-12	отдел-117-12	annotator2	1		отдел
отдел-114-12	отдел-115-12	annotator2	1		отдел
отдел-84-12	отдел-85-12	annotator2	4		отдел
отдел-50-12	отдел-51-12	annotator2	1		отдел
отдел-92-12	отдел-93-12	annotator2	3		отдел
отдел-100-12	отдел-101-12	annotator2	3		отдел
отдел-86-12	отдел-87-12	annotator2	4		отдел
отдел-44-12	отдел-45-12	annotator2	1		отдел
отдел-98-12	отдел-99-12	annotator2	3		отдел
отдел-112-12	отдел-113-12	annotator2	3		отдел
отдел-110-12	отдел-111-12	annotator2	4		отдел
отдел-90-12	отдел-91-12	annotator2	4		отдел
отдел-102-12	отдел-103-12	annotator2	4		отдел
отдел-110-12	отдел-111-12	annotator3	4		отдел
отдел-16-12	отдел-17-12	annotator3	2		отдел
отдел-58-12	отдел-59-12	annotator3	3		отдел
отдел-26-12	отдел-27-12	annotator3	1		отдел
отдел-74-12	отдел-75-12	annotator3	3		отдел
отдел-92-12	отдел-93-12	annotator3	3		отдел
отдел-50-12	отдел-51-12	annotator3	3		отдел
отдел-28-12	отдел-29-12	annotator3	3		отдел
отдел-12-12	отдел-13-12	annotator3	1		отдел
отдел-80-12	отдел-81-12	annotator3	2		отдел
отдел-116-12	отдел-117-12	annotator3	2		отдел
отдел-94-12	отдел-95-12	annotator3	2		отдел
отдел-42-12	отдел-43-12	annotator3	3		отдел
отдел-38-12	отдел-39-12	annotator3	2		отдел
отдел-4-12	отдел-5-12	annotator3	3		отдел
отдел-84-12	отдел-85-12	annotator3	4		отдел
отдел-14-12	отдел-15-12	annotator3	2		отдел
отдел-86-12	отдел-87-12	annotator3	3		отдел
отдел-6-12	отдел-7-12	annotator3	1		отдел
отдел-60-12	отдел-61-12	annotator3	1		отдел
отдел-40-12	отдел-41-12	annotator3	3		отдел
отдел-82-12	отдел-83-12	annotator3	1		отдел
отдел-8-12	отдел-9-12	annotator3	4		отдел
отдел-34-12	отдел-35-12	annotator3	3		отдел
отдел-0-12	отдел-1-12	annotator3	3		отдел
отдел-112-12	отдел-113-12	annotator3	3		отдел
отдел-70-12	отдел-71-12	annotator3	4		отдел
отдел-118-12	отдел-119-12	annotator3	1		отдел
отдел-2-12	отдел-3-12	annotator3	3		отдел
отдел-44-12	отдел-45-12	annotator3	3		отдел
отдел-30-12	отдел-31-12	annotator3	4		отдел
отдел-10-12	отдел-11-12	annotator3	1		отдел
отдел-68-12	отдел-69-12	annotator3	1		отдел
отдел-62-12	отдел-63-12	annotator3	3		отдел
отдел-24-12	отдел-25-12	annotator3	4		отдел
отдел-72-12	отдел-73-12	annotator3	2		отдел
отдел-46-12	отдел-47-12	annotator3	3		отдел
отдел-100-12	отдел-101-12	annotator3	4		отдел
отдел-22-12	отдел-23-12	annotator3	1		отдел
отдел-48-12	отдел-49-12	annotator3	3		отдел
отдел-56-12	отдел-57-12	annotator3	1		отдел
отдел-66-12	отдел-67-12	annotator3	2		отдел
отдел-90-12	отдел-91-12	annotator3	4		отдел
отдел-108-12	отдел-109-12	annotator3	2		отдел
отдел-106-12	отдел-107-12	annotator3	4		отдел
отдел-36-12	отдел-37-12	annotator3	2		отдел
отдел-52-12	отдел-53-12	annotator3	1		отдел
отдел-96-12	отдел-97-12	annotator3	1		отдел
отдел-18-12	отдел-19-12	annotator3	2		отдел
отдел-64-12	отдел-65-12	annotator3	1		отдел
отдел-20-12	отдел-21-12	annotator3	2		отдел
отдел-88-12	отдел-89-12	annotator3	1		отдел
отдел-114-12	отдел-115-12	annotator3	1		отдел
отдел-76-12	отдел-77-12	annotator3	3		отдел
отдел-54-12	отдел-55-12	annotator3	2		отдел
отдел-78-12	отдел-79-12	annotator3	3		отдел
отдел-104-12	отдел-105-12	annotator3	1		отдел
отдел-102-12	отдел-103-12	annotator3	4		отдел
отдел-32-12	отдел-33-12	annotator3	3		отдел
отдел-98-12	отдел-99-12	annotator3	3		отдел
отдел-62-12	отдел-63-12	annotator4	4		отдел
отдел-64-12	отдел-65-12	annotator4	3		отдел
отдел-84-12	отдел-85-12	annotator4	4		отдел
отдел-92-12	отдел-93-12	annotator4	4		отдел
отдел-8-12	отдел-9-12	annotator4	4		отдел
отдел-52-12	отдел-53-12	annotator4	1		отдел
отдел-68-12	отдел-69-12	annotator4	3		отдел
отдел-72-12	отдел-73-12	annotator4	2		отдел
отдел-88-12	отдел-89-12	annotator4	1		отдел
отдел-34-12	отдел-35-12	annotator4	3		отдел
отдел-56-12	отдел-57-12	annotator4	1		отдел
отдел-58-12	отдел-59-12	annotator4	1		отдел
отдел-74-12	отдел-75-12	annotator4	4		отдел
отдел-86-12	отдел-87-12	annotator4	3		отдел
отдел-60-12	отдел-61-12	annotator4	3		отдел
отдел-48-12	отдел-49-12	annotator4	4		отдел
отдел-54-12	отдел-55-12	annotator4	4		отдел
отдел-66-12	отдел-67-12	annotator4	3		отдел
отдел-102-12	отдел-103-12	annotator4	3		отдел
отдел-112-12	отдел-113-12	annotator4	4		отдел
отдел-50-12	отдел-51-12	annotator4	1		отдел
отдел-10-12	отдел-11-12	annotator4	4		отдел
отдел-32-12	отдел-33-12	annotator4	1		отдел
отдел-76-12	отдел-77-12	annotator4	1		отдел
отдел-36-12	отдел-37-12	annotator4	4		отдел
отдел-78-12	отдел-79-12	annotator4	2		отдел
отдел-18-12	отдел-19-12	annotator4	3		отдел
отдел-108-12	отдел-109-12	annotator4	4		отдел
отдел-20-12	отдел-21-12	annotator4	1		отдел
отдел-116-12	отдел-117-12	annotator4	1		отдел
отдел-24-12	отдел-25-12	annotator4	2		отдел
отдел-100-12	отдел-101-12	annotator4	1		отдел
отдел-22-12	отдел-23-12	annotator4	4		отдел
отдел-70-12	отдел-71-12	annotator4	3		отдел
отдел-94-12	отдел-95-12	annotator4	4		отдел
отдел-38-12	отдел-39-12	annotator4	3		отдел
отдел-106-12	отдел-107-12	annotator4	4		отдел
отдел-46-12	отдел-47-12	annotator4	4		отдел
отдел-104-12	отдел-105-12	annotator4	1		отдел
отдел-96-12	отдел-97-12	annotator4	3		отдел
отдел-118-12	отдел-119-12	annotator4	4		отдел
отдел-90-12	отдел-91-12	annotator4	3		отдел
отдел-28-12	отдел-29-12	annotator4	2		отдел
отдел-98-12	отдел-99-12	annotator4	4		отдел
отдел-12-12	отдел-13-12	annotator4	4		отдел
отдел-40-12	отдел-41-12	annotator4	4		отдел
отдел-14-12	отдел-15-12	annotator4	4		отдел
отдел-110-12	отдел-111-12	annotator4	2		отдел
отдел-6-12	отдел-7-12	annotator4	3		отдел
отдел-44-12	отдел-45-12	annotator4	1		отдел
отдел-0-12	отдел-1-12	annotator4	4		отдел
отдел-30-12	отдел-31-12	annotator4	4		отдел
отдел-2-12	отдел-3-12	annotator4	1		отдел
отдел-82-12	отдел-83-12	annotator4	1		отдел
отдел-4-12	отдел-5-12	annotator4	3		отдел
отдел-114-12	отдел-115-12	annotator4	1		отдел
отдел-16-12	отдел-17-12	annotator4	2		отдел
отдел-26-12	отдел-27-12	annotator4	1		отдел
отдел-80-12	отдел-81-12	annotator4	3		отдел
отдел-42-12	отдел-43-12	annotator4	1		отдел
отдел-52-12	отдел-53-12	annotator5	1		отдел
отдел-46-12	отдел-47-12	annotator5	4		отдел
отдел-50-12	отдел-51-12	annotator5	2		отдел
отдел-38-12	отдел-39-12	annotator5	1		отдел
отдел-44-12	отдел-45-12	annotator5	1		отдел
отдел-48-12	отдел-49-12	annotator5	2		отдел
отдел-36-12	отдел-37-12	annotator5	4		отдел
отдел-42-12	отдел-43-12	annotator5	2		отдел
отдел-40-12	отдел-41-12	annotator5	3		отдел
отдел-30-12	отдел-31-12	annotator5	3		отдел
отдел-64-12	отдел-65-12	annotator5	3		отдел
отдел-100-12	отдел-101-12	annotator5	2		отдел
отдел-98-12	отдел-99-12	annotator5	4		отдел
отдел-108-12	отдел-109-12	annotator5	1		отдел
отдел-116-12	отдел-117-12	annotator5	1		отдел
отдел-114-12	отдел-115-12	annotator5	1		отдел
отдел-112-12	отдел-113-12	annotator5	3		отдел
отдел-110-12	отдел-111-12	annotator5	1		отдел
отдел-84-12	отдел-85-12	annotator5	1		отдел
отдел-86-12	отдел-87-12	annotator5	1		отдел
