identifier1	identifier2	annotator	judgment	comment	lemma
отделение-42-12	отделение-43-12	annotator1	1		отделение
отделение-58-12	отделение-59-12	annotator1	1		отделение
отделение-60-12	отделение-61-12	annotator1	1		отделение
отделение-62-12	отделение-63-12	annotator1	4		отделение
отделение-0-12	отделение-1-12	annotator1	4		отделение
отделение-20-12	отделение-21-12	annotator1	3		отделение
отделение-18-12	отделение-19-12	annotator1	1		отделение
отделение-16-12	отделение-17-12	annotator1	1		отделение
отделение-22-12	отделение-23-12	annotator1	1		отделение
отделение-28-12	отделение-29-12	annotator1	2		отделение
отделение-26-12	отделение-27-12	annotator1	4		отделение
отделение-24-12	отделение-25-12	annotator1	4		отделение
отделение-14-12	отделение-15-12	annotator1	1		отделение
отделение-6-12	отделение-7-12	annotator1	3		отделение
отделение-4-12	отделение-5-12	annotator1	2		отделение
отделение-2-12	отделение-3-12	annotator1	1		отделение
отделение-12-12	отделение-13-12	annotator1	4		отделение
отделение-10-12	отделение-11-12	annotator1	1		отделение
отделение-8-12	отделение-9-12	annotator1	4		отделение
отделение-112-12	отделение-113-12	annotator1	4		отделение
отделение-114-12	отделение-115-12	annotator1	4		отделение
отделение-116-12	отделение-117-12	annotator1	1		отделение
отделение-64-12	отделение-65-12	annotator1	4		отделение
отделение-70-12	отделение-71-12	annotator1	1		отделение
отделение-68-12	отделение-69-12	annotator1	2		отделение
отделение-66-12	отделение-67-12	annotator1	1		отделение
отделение-82-12	отделение-83-12	annotator1	1		отделение
отделение-84-12	отделение-85-12	annotator1	2		отделение
отделение-86-12	отделение-87-12	annotator1	3		отделение
отделение-80-12	отделение-81-12	annotator1	1		отделение
отделение-72-12	отделение-73-12	annotator1	1		отделение
отделение-74-12	отделение-75-12	annotator1	4		отделение
отделение-76-12	отделение-77-12	annotator1	1		отделение
отделение-78-12	отделение-79-12	annotator1	1		отделение
отделение-96-12	отделение-97-12	annotator1	4		отделение
отделение-98-12	отделение-99-12	annotator1	1		отделение
отделение-110-12	отделение-111-12	annotator1	4		отделение
отделение-100-12	отделение-101-12	annotator1	4		отделение
отделение-88-12	отделение-89-12	annotator1	1		отделение
отделение-90-12	отделение-91-12	annotator1	1		отделение
отделение-92-12	отделение-93-12	annotator1	4		отделение
отделение-52-12	отделение-53-12	annotator1	4		отделение
отделение-54-12	отделение-55-12	annotator1	1		отделение
отделение-56-12	отделение-57-12	annotator1	1		отделение
