lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
отделение	NOUN	1918-1990	2	отделение-0		"Необходимо ли при этой кафедре клиническое отделение -- спрашивал он и отвечал: -- По существу дела оно не представляется прямой необходимостью, такою же, как, например, лаборатория, но нельзя не признать, что существование клинического отделения по заразным именно болезням при этой кафедре было бы весьма желательным и поставило бы преподавателя этой кафедры в очень счастливые условия деятельности".	44:53	0:403
отделение	NOUN	1918-1990	2	отделение-1		Именно такую модель, содержащую десятки уравнений и учитывающую разные параметры -- плотность, соленость, теплоту испарения, таяния, разработали в Ленинградском отделении Института океанологии имени П. П. Ширшова АН СССР.	161:170	0:221
отделение	NOUN	1918-1990	2	отделение-2		-- И тебе советую осмотреть машинное отделение.	37:46	0:47
отделение	NOUN	1918-1990	2	отделение-3		В виду важности палехского и мстерского промыслов, как экспортных, Нижегородское отделение Госторга в настоящее время обратило на них более серьезное внимание.	81:90	0:159
отделение	NOUN	1918-1990	2	отделение-4		-- Опаздываешь, -- недовольно пробурчал командир второго отделения, забираясь к нему на спину, -- поехали!	57:66	0:106
отделение	NOUN	1918-1990	2	отделение-5		Начальник Московского охранного отделения С. В.	32:41	0:47
отделение	NOUN	1918-1990	2	отделение-6		-- Третье отделение на вахту!	10:19	0:29
отделение	NOUN	1918-1990	2	отделение-7		В младшем отделении школы не рекомендовались урочно-предметные занятия и строгое расписание.	10:19	0:92
отделение	NOUN	1918-1990	2	отделение-8		15/V 1920 г. Доклад о работе Правления Пензенского Отделения Всероссийского Союза Работников Коммунального Хозяйства Пензенское Отделение Всероссийского Союза Работников Коммунального Хозяйства соорганизовалось в августе месяце 1919 года.	51:60	0:238
отделение	NOUN	1918-1990	2	отделение-9		Мне пришла посылка из Ярославского отделения Всероссийского театрального общества.	35:44	0:82
отделение	NOUN	1682-1916	1	отделение-10		Отделение формальное от Восточной Церкви (особая религиозная культура), начало светской власти пап; явное преобладание духовенства (мудрецов Платона) и т. д., значит, X, XI век -- до XV, 400 лет с чем-нибудь.	0:9	0:208
отделение	NOUN	1682-1916	1	отделение-11		Не возможно ли было бы именно для этой цели устроить особое учительское отделение при академии художеств В таком отделении следовало бы занимать учеников, кроме рисовки, методой учения рисованию и чистописанию, геометрией, арифметикой, с небольшой дозой алгебры, и естественными науками.	72:81	0:287
отделение	NOUN	1682-1916	1	отделение-12		Благодаря этим указаниям в Азербайджанском отделении ВИР поставлен вопрос о полузаводском ее получении из местного материала.	43:52	0:125
отделение	NOUN	1918-1990	2	отделение-13		Арест Зубрицкого На-днях киевским сыскным отделением было получено требование кутаисскаго мировою судьи о розыске мещ.	42:52	0:118
отделение	NOUN	1682-1916	1	отделение-14		Больше всего, конечно, приходится на долю нашего новшества, -- отделения префиксов.	63:72	0:83
отделение	NOUN	1918-1990	2	отделение-15		Арестованный студент отправлен в охранное отделение. неизвестный.	42:51	0:65
отделение	NOUN	1682-1916	1	отделение-16		Борта двойные, в них находятся воздушные отсеки, поддерживающие среднюю часть -- "ванну" из нескольких отделений -- каскадов.	103:112	0:125
отделение	NOUN	1918-1990	2	отделение-17		Придавая весьма серьезное значение означенной организации, Начальник Московского Охранного Отделения Полковник Заварзин вошел в сношения с тем же секретным сотрудником Иваном Русановым, который освещал эту группу в истекшем году Полковнику фон Котену во время бытности последнего Начальником Московского Охранного Отделения.	91:100	0:324
отделение	NOUN	1682-1916	1	отделение-18		Была уже ночь, и, хотя почтовое отделение помещалось в гостинице, идти туда было поздно.	32:41	0:88
отделение	NOUN	1918-1990	2	отделение-19		10) Далее, партия требует полного отделения церкви от государства и школы от церкви.	34:43	0:84
отделение	NOUN	1682-1916	1	отделение-20		В 1844 г. Герцен пишет: "Истинно, через десять лет закроют III отделение собственной канцелярии, потому что оно, а равно и шпионы, будут не нужны, донос будет обыкновенное дело, знак преданности отечеству и государю acte de dvouement" .	63:72	0:236
отделение	NOUN	1918-1990	2	отделение-21		Директор Н. Зуев За Заведующего Отделом Броецкий Записка начальника петербургского охранного отделения М.Ф. фон Котена директору департамента полиции Н.П. Зуеву о возможном покушении на Николая II Сего числа во вверенное мне Отделение явился находящийся проездом в гор.	93:102	0:269
отделение	NOUN	1682-1916	1	отделение-22		В видах упрощения таможенных формальностей для прибывающих из-за границы экспонатов с 18 марта будет открыто отделение таможни при манеже, в котором будет находиться выставка. неизвестный.	109:118	0:188
отделение	NOUN	1682-1916	1	отделение-23		Фантазируя в безделье, Наполеон издал декрет об уничтожении крепостного права, о восстановлении татарского царства на Волге, о провозглашении себя польским королем, отделении западной России, восстановлении смоленского княжества и т. д., и т. д.	165:174	0:245
отделение	NOUN	1682-1916	1	отделение-24		В их задачу входит также борьба с алкоголизмом, централизованная в так называемой Reihshauptstelle, имеющей до 200 отделений в стране.	115:124	0:134
отделение	NOUN	1918-1990	2	отделение-25		Некоторые химики для объяснения увеличения веса при отделении флогистона считали его веществом, имеющим отрицательную тяжесть, уменьшающим вес тел, с которыми оно соединилось.	52:61	0:175
отделение	NOUN	1682-1916	1	отделение-26		В результате оказалось, что общая смертность при гомеопатическом лечении самых разнообразных болезней была на 2% меньше, больные выздоравливали настолько скорее, что была возможность гомеопатическому отделению принять больных на 3 118 человек больше, а расход на лекарства в гомеопатическом отделении оказался в шесть раз менее, чем в аллопатическом; при этом больные, благодаря быстрейшему выздоровлению, выиграли 16 225 рабочих дней.	200:209	0:435
отделение	NOUN	1682-1916	1	отделение-27		Эти остатки, в виде объедков пирогов, котлет, жареного мяса, живности и даже в виде застывших подливок, продаются в особенном отделении Halles centrales и известны под именем bijoux.	126:135	0:182
отделение	NOUN	1918-1990	2	отделение-28		В то время управляющим отделением состоял Василий Иванович Ермаков, года три назад занимавший при мне в Екатеринбурге должность товарища управляющего.	23:33	0:150
отделение	NOUN	1918-1990	2	отделение-29		В основном это те же академики, которые голосовали против данной кандидатуры на Отделении, члены же других Отделений традиционно доверяют результатам выборов первого этапа.	80:89	0:172
отделение	NOUN	1682-1916	1	отделение-30		Вести События дня В Цюрихе арестован второй из злоумышленников, ограбивших 29 июля в Фиуме отделение Allgemeine Kreditbank и убивших кассира.	91:100	0:141
отделение	NOUN	1682-1916	1	отделение-31		А почему А потому, что давно уже указывали на необходимость детараканизации, а разве хоть какие-нибудь шаги сделаны Разве меры приняты Смешно сказать, таракан гуляет по всей квартире, а почем вы знаете, где он сейчас побывал В сыпном бараке или в чумном отделении Однако же мы привыкли, и, не обрати я вашего внимания, вы бы по-прежнему поощряли тараканов.	254:263	0:356
отделение	NOUN	1682-1916	1	отделение-32		Во время собрания нашего Отделения мне стало известно, что биологи избрали академиком члена-корреспондента своего Отделения Н. И.	25:34	0:129
отделение	NOUN	1918-1990	2	отделение-33		Однако такая же дама способна влезть со своими баулами, картонками, зонтиками и всякой дрянью в соседнее "мужское отделение", стеснить всех своим присутствием, заявить: "Я, знаете, не переношу дамского общества", и завести на целую ночь утомительную трескотню, с визгами, игривым хохотом, ахами, ломаньем и кокетством, от которых наутро чувствуешь себя разбитым гораздо больше, чем тряской и бессонницей.	114:123	0:404
отделение	NOUN	1682-1916	1	отделение-34		Военным судом в Екатеринодаре приговорены по делу о шайке разбойников 15 к смертной казни, 7 к каторге и 4 к арестантским отделениям.	122:132	0:133
отделение	NOUN	1682-1916	1	отделение-35		Каждое отделение имеет своего начальника и нужное число помощников.	7:16	0:67
отделение	NOUN	1682-1916	1	отделение-36		Вокзальные залы, коридоры, багажные отделения были превращены в огромный лазарет.	36:45	0:81
отделение	NOUN	1918-1990	2	отделение-37		Рабочим фабрики известно, что штрейкбрехерствует на фабрике приблизительно 300 человек, в отделениях сигарном, ручном-папиросном и оклейном.	90:100	0:140
отделение	NOUN	1918-1990	2	отделение-38		Впоследствии от Духовно-Учебного управления было предписано выдавать экземпляр этих "грамот" каждому ученику семинарии при переходе в высшее отделение, "с тем, чтобы, по окончании курса и по выходе из семинарии, они удержали книгу сию у себя для всегдашнего употребления".	141:150	0:272
отделение	NOUN	1918-1990	2	отделение-39		Менее года понадобилось отцу Григорию, чтобы организовать одиннадцать отделений общества и поднять сотни тысяч рабочих на шествие к царю с петицией, содержавшей требования не только человеческих условий труда и участия рабочих в управлении делами предприятия, но и созыва народных представителей для участия в обсуждении и решении государственных дел.	70:79	0:351
отделение	NOUN	1682-1916	1	отделение-40		Головка отделения разворовала фонды питания -- вот заключенные и полезли на стенку.	8:17	0:83
отделение	NOUN	1918-1990	2	отделение-41		Закрыт Польский банк и заменен отделениями Государственного банка.	31:42	0:66
отделение	NOUN	1682-1916	1	отделение-42		Да и сама программа концерта, в особенности в первом его отделении, блиставшая именами Листа, Чимарозы и Бетховена, представляла для непосвященных слушателей мало утешительного, и когда отделение закончила неумолимая г-жа Захропуло своим барабанным боем, мухрованская интеллигенция облегченно вздохнула, а большинство обер-офицеров с поспешностью школьников бросилось в буфет.	57:66	0:376
отделение	NOUN	1682-1916	1	отделение-43		Но ей не хотелось сходить; покладливый, тихий характер "барина" приходился ей очень по нутру: она сознавала, что всякий другой, походя, давал бы ей окрики за лень, сонливость и неопрятность; но она не знала, оставит ли он ее при себе Накануне дня, когда была вывезена вся мебель из двух комнат "Гинецея" (так называл Лука Иванович отделение Анны Каранатовны), Татьяна тайно проникла к барину и стала у притолоки, уперев в него глаза.	331:340	0:433
отделение	NOUN	1918-1990	2	отделение-44		Даю два свистка -- сигнал для сбора своего отделения.	43:52	0:53
отделение	NOUN	1918-1990	2	отделение-45		Для проведения рационализации в торговле, сделано переоборудование центрального и универсального магазинов; этим удалось достигнуть экономии: вместо имеющихся 6 заведующих отделениями теперь стало 2.	172:183	0:199
отделение	NOUN	1682-1916	1	отделение-46		Дерзкое пари обошлось ему в 1 1/2 года арестантских отделений, с зачетом 5 месяцев предварительного заключения. неизвестный.	52:61	0:124
отделение	NOUN	1682-1916	1	отделение-47		Потолок этого отделения был задрапирован, наподобие павильона, черным сукном и увит крестообразно по краям белыми и креповыми перевязями.	14:23	0:137
отделение	NOUN	1682-1916	1	отделение-48		Директор Института цитологии и генетики Сибирского отделения АН СССР академик Д. Беляев пришел к интересному выводу.	51:60	0:116
отделение	NOUN	1918-1990	2	отделение-49		Им обоим приятно было бы остаться еще вдвоем в этом хозяйском отделении амбара.	62:71	0:79
отделение	NOUN	1918-1990	2	отделение-50		Для классных занятий мы были распределены по трем отделениям с особым составом преподавателей, а во всех прочих отношениях -- размещения, довольствия, обмундирования и строевого обучения -- нас слили с юнкерами "юнкерского курса".	50:60	0:230
отделение	NOUN	1918-1990	2	отделение-51		Знаю по рассказам бабушки и, кажется, помню, как радовалась мама отделению от семьи свекра и обретению хозяйственной самостоятельности, пусть и в тесном, но в "своем углу".	65:74	0:172
отделение	NOUN	1682-1916	1	отделение-52		Другие катедры в разных отделениях Университета равномерно замещены природными Россиянами.	24:34	0:90
отделение	NOUN	1682-1916	1	отделение-53		В день рождения Государыни Императрицы Марии Федоровны состоялось торжество открытия вновь выстроенных: ставки ставропольских Калмыков, больницы на 30 кроватей, 2-классного училища с ремесленным отделением и интернатом на 25 Калмыков, а также необходимых административных корпусов.	195:205	0:281
отделение	NOUN	1682-1916	1	отделение-54		За длинными столами воспитанницы разместились по отделениям.	49:59	0:60
отделение	NOUN	1682-1916	1	отделение-55		Если обрабатывать мочевую кислоту хлорноватокислым кали с соляной кислотой, то без отделения газов получаются аллоксан и мочевина.	83:92	0:130
